gene	exons
ENSFALG00000000002	E002,E005,E006,E007
ENSFALG00000000004	E001,E002,E003,E004,E005,E006,E007,E008,E009,E010,E011,E012,E013,E014,E015
ENSFALG00000000005	E001,E002,E003,E004,E005,E006,E007,E008,E009,E010,E011,E012,E013,E014,E015,E016
ENSFALG00000000006	E003,E005,E007,E008,E010,E011,E012,E013,E014,E015,E016,E017,E018,E019,E020,E021,E022,E024,E026
ENSFALG00000000007	E001,E002,E003,E004,E005,E006
ENSFALG00000000008	E001,E002,E003,E004,E005,E006,E007
ENSFALG00000000009	E001,E002,E003,E004,E005,E006,E007,E008,E009,E010
ENSFALG00000000012	E001,E003,E004,E005,E006,E007,E008,E011,E012
ENSFALG00000000015	E002,E004,E005,E006,E007,E008,E009
ENSFALG00000000018	E001,E002,E003,E004,E005,E006,E007,E008,E009,E010,E011,E012,E013,E015,E016,E017,E018,E019
ENSFALG00000000023	E005,E006,E007,E008,E009,E010,E011,E012,E013
ENSFALG00000000024	E001,E002,E003,E004,E005,E006,E007,E008
ENSFALG00000000026	E001,E002,E003,E004,E005
ENSFALG00000000031	E001,E002,E003,E004,E011,E012,E013,E014,E015,E016,E017,E018,E019,E020,E023,E027,E028,E029,E030
ENSFALG00000000034	E001,E002,E004,E005,E006,E007,E009,E010,E011,E012,E013,E014,E016,E017,E019,E020,E021,E022,E023,E024
ENSFALG00000000036	E001,E002,E003,E004,E006,E008,E009,E012,E014,E015,E017,E020,E021,E022,E023,E025,E026,E027,E028,E029,E030,E031,E032,E035,E037,E039,E040
ENSFALG00000000046	E001,E002,E003,E004
ENSFALG00000000049	E001,E002,E003,E004,E005,E006,E007,E008,E009,E013,E014,E015,E016,E017,E018,E019,E020,E021,E022,E023
ENSFALG00000000050	E001,E002,E003,E004,E005,E006,E007,E008,E009,E010,E011,E012,E013,E014,E015,E016,E017,E018,E019,E020,E021,E022,E023,E024
ENSFALG00000000052	E001,E002,E003,E004,E005,E006,E008,E009,E010,E023,E024
ENSFALG00000000053	E001,E002,E003,E004,E006,E007,E008,E009,E010
ENSFALG00000000054	E001,E002,E003,E004,E005,E006,E007
ENSFALG00000000055	E001,E007,E010,E011,E014,E017,E018,E019,E020,E021,E022,E030,E032,E038,E039,E043,E044,E050,E051,E052
ENSFALG00000000056	E001,E003,E004,E008,E009,E010,E012,E013
ENSFALG00000000058	E002,E003,E004,E007,E008,E009,E011
ENSFALG00000000061	E001,E002,E003
ENSFALG00000000062	E001,E002,E003,E004,E005,E006,E007,E009,E010,E011,E012
ENSFALG00000000064	E002,E004,E005,E006,E007,E008,E009,E010,E011,E012,E013,E014,E015,E016,E018,E019,E020
ENSFALG00000000071	E001,E003,E005,E006,E008,E009,E012
ENSFALG00000000072	E001,E004,E005,E006,E008
ENSFALG00000000073	E002,E003,E004
ENSFALG00000000074	E001,E002,E003,E004,E005,E006,E007,E008
ENSFALG00000000075	E001,E002,E003,E004,E005,E006,E007,E008,E009,E010,E011,E012,E013,E014,E015,E016,E017
ENSFALG00000000076	E001,E002,E003,E004,E005,E006,E007,E008,E010,E011
ENSFALG00000000077	E001,E002,E003,E004
ENSFALG00000000078	E001,E002,E004,E005,E006,E008,E011
ENSFALG00000000079	E002,E005,E006,E007,E008,E009,E010,E011
ENSFALG00000000080	E001,E002,E003,E004,E005,E006,E007,E009,E010,E011,E017,E018,E019,E020,E023,E024,E028,E029,E030,E032,E033
ENSFALG00000000084	E002,E003,E010,E011,E012,E013,E014,E015,E016,E017,E018,E019,E020,E021
