groupID	featureID
ENSFALG00000000049	E002
ENSFALG00000000055	E010
ENSFALG00000000100	E010
ENSFALG00000000173	E006
ENSFALG00000000176	E014
ENSFALG00000000309	E012
ENSFALG00000000436	E011
ENSFALG00000000505	E004
ENSFALG00000000618	E001
ENSFALG00000000674	E005
ENSFALG00000000756	E011
ENSFALG00000000804	E006
ENSFALG00000000834	E006
ENSFALG00000000839	E001
ENSFALG00000000869	E003
ENSFALG00000000869	E006
ENSFALG00000001009	E004
ENSFALG00000001022	E002
ENSFALG00000001056	E006
ENSFALG00000001132	E012
ENSFALG00000001252	E007
ENSFALG00000001566	E009
ENSFALG00000001580	E008
ENSFALG00000001671	E003
ENSFALG00000001671	E012
ENSFALG00000001877	E006
ENSFALG00000001930	E003
ENSFALG00000002016	E002
ENSFALG00000002257	E008
ENSFALG00000002448	E004
ENSFALG00000002454	E017
ENSFALG00000002494	E001
ENSFALG00000002516	E003
ENSFALG00000002516	E009
ENSFALG00000002523	E003
ENSFALG00000002548	E019
ENSFALG00000002692	E006
ENSFALG00000002713	E074
ENSFALG00000002813	E007
ENSFALG00000002956	E005
ENSFALG00000003193	E030
ENSFALG00000003393	E001
ENSFALG00000003393	E003
ENSFALG00000003393	E006
ENSFALG00000003553	E008
ENSFALG00000003789	E013
ENSFALG00000003955	E015
ENSFALG00000004079	E020
ENSFALG00000004374	E001
ENSFALG00000004441	E024
ENSFALG00000004525	E009
ENSFALG00000004589	E012
ENSFALG00000004650	E034
ENSFALG00000004756	E002
ENSFALG00000004756	E007
ENSFALG00000004765	E009
ENSFALG00000004844	E016
ENSFALG00000004879	E012
ENSFALG00000004879	E028
ENSFALG00000004887	E014
ENSFALG00000004934	E030
ENSFALG00000004934	E031
ENSFALG00000005003	E008
ENSFALG00000005035	E006
ENSFALG00000005093	E003
ENSFALG00000005104	E008
ENSFALG00000005126	E001
ENSFALG00000005146	E021
ENSFALG00000005240	E018
ENSFALG00000005282	E028
ENSFALG00000005307	E009
ENSFALG00000005312	E001
ENSFALG00000005312	E002
ENSFALG00000005363	E038
ENSFALG00000005443	E007
ENSFALG00000005557	E014
ENSFALG00000005746	E008
ENSFALG00000005812	E004
ENSFALG00000005937	E004
ENSFALG00000006135	E009
ENSFALG00000006319	E011
ENSFALG00000006344	E013
ENSFALG00000006524	E012
ENSFALG00000006727	E011
ENSFALG00000006850	E013
ENSFALG00000006959	E003
ENSFALG00000006985	E004
ENSFALG00000007132	E006
ENSFALG00000007250	E031
ENSFALG00000007290	E008
ENSFALG00000007372	E019
ENSFALG00000007470	E001
ENSFALG00000007669	E009
ENSFALG00000008023	E004
ENSFALG00000008048	E014
ENSFALG00000008095	E007
ENSFALG00000008158	E045
ENSFALG00000008158	E046
ENSFALG00000008180	E002
ENSFALG00000008230	E003
ENSFALG00000008338	E024
ENSFALG00000008342	E016
ENSFALG00000008434	E007
ENSFALG00000008500	E005
ENSFALG00000008658	E008
ENSFALG00000008715	E002
ENSFALG00000008715	E006
ENSFALG00000008754	E011
ENSFALG00000008795	E008
ENSFALG00000008795	E018
ENSFALG00000008828	E022
ENSFALG00000009370	E015
ENSFALG00000009517	E002
ENSFALG00000009629	E003
ENSFALG00000009805	E015
ENSFALG00000009903	E010
ENSFALG00000009997	E036
ENSFALG00000010010	E006
ENSFALG00000010416	E010
ENSFALG00000010521	E027
ENSFALG00000010638	E016
ENSFALG00000010651	E010
ENSFALG00000010721	E001
ENSFALG00000010721	E005
ENSFALG00000010731	E014
ENSFALG00000010827	E002
ENSFALG00000010861	E002
ENSFALG00000010945	E004
ENSFALG00000010980	E023
ENSFALG00000011005	E001
ENSFALG00000011005	E002
ENSFALG00000011010	E002
ENSFALG00000011040	E002
ENSFALG00000011329	E011
ENSFALG00000011383	E001
ENSFALG00000011452	E002
ENSFALG00000011699	E002
ENSFALG00000011716	E002
ENSFALG00000011740	E003
ENSFALG00000011805	E007
ENSFALG00000011820	E013
ENSFALG00000011840	E004
ENSFALG00000011980	E016
ENSFALG00000012468	E014
ENSFALG00000012472	E017
ENSFALG00000012568	E010
ENSFALG00000012569	E019
ENSFALG00000012588	E002
ENSFALG00000012639	E001
ENSFALG00000012688	E004
ENSFALG00000012708	E025
ENSFALG00000012736	E008
ENSFALG00000012736	E009
ENSFALG00000012834	E005
ENSFALG00000012924	E033
ENSFALG00000012966	E002
ENSFALG00000013013	E005
ENSFALG00000013244	E017
ENSFALG00000013267	E004
ENSFALG00000013270	E009
ENSFALG00000013506	E029
ENSFALG00000013566	E043
ENSFALG00000013689	E021
ENSFALG00000013804	E003
ENSFALG00000013810	E002
ENSFALG00000013871	E001
ENSFALG00000013907	E001
ENSFALG00000013907	E011
ENSFALG00000022949	E001
ENSFALG00000022949	E003
ENSFALG00000023788	E004
ENSFALG00000023828	E005
ENSFALG00000023828	E011
ENSFALG00000023897	E004
ENSFALG00000023964	E004
ENSFALG00000023964	E005
ENSFALG00000023985	E002
ENSFALG00000023985	E003
ENSFALG00000024162	E001
