gene	exons
ENSFALG00000000051	E001,E002,E003,E004,E005,E006
ENSFALG00000000058	E001,E002,E003,E004,E005,E006,E007,E008,E009,E010,E011
ENSFALG00000000071	E001,E002,E003,E004,E005,E006,E007,E008,E009,E010,E011,E012
ENSFALG00000000093	E001,E002,E003
ENSFALG00000000118	E001,E002,E003,E004,E005
ENSFALG00000000142	E001,E002,E003,E004,E005,E006,E007,E008
ENSFALG00000000143	E001,E002,E003,E004,E005,E006,E007,E008,E009
ENSFALG00000000151	E001,E002,E003,E004
ENSFALG00000000166	E001,E002,E003,E004,E005,E006,E007,E008,E009,E010,E011,E012,E013,E014,E015,E016,E017,E018,E019,E020,E021,E022,E023,E024,E025,E026,E027,E028,E029
ENSFALG00000000172	E001,E002,E003
ENSFALG00000000195	E001,E002,E003,E004,E005,E006,E007
ENSFALG00000000208	E001,E002,E003,E004,E005,E006,E007,E008,E009,E010,E011,E012,E013,E014,E015,E016,E017,E018,E019,E020,E021,E022,E023,E024,E025,E026,E027
ENSFALG00000000225	E001,E002,E003,E004,E005,E006,E007,E008
ENSFALG00000000230	E001,E002,E003,E004,E005,E006,E007,E008,E009,E010,E011,E012,E013,E014,E015,E016
ENSFALG00000000242	E001,E002
ENSFALG00000000248	E001,E002,E003,E004,E005,E006,E007,E008,E009,E010,E011,E012,E013,E014,E015,E016,E017,E018,E019,E020,E021,E022
ENSFALG00000000259	E001,E002,E003,E004,E005,E006,E007,E008,E009,E010,E011,E012,E013,E014,E015,E016,E017,E018,E019,E020,E021,E022,E023,E024,E025,E026,E027,E028,E029,E030,E031,E032
ENSFALG00000000261	E001,E002,E003,E004
ENSFALG00000000270	E001,E002,E003,E004,E005,E006,E007,E008,E009,E010,E011,E012,E013,E014,E015,E016,E017,E018,E019,E020,E021,E022,E023,E024,E025,E026,E027
ENSFALG00000000274	E001,E002,E003,E004,E005,E006,E007,E008,E009,E010,E011,E012,E013,E014
ENSFALG00000000280	E001,E002,E003,E004,E005
ENSFALG00000000284	E001,E002,E003,E004,E005,E006,E007,E008,E009,E010,E011,E012,E013,E014,E015,E016,E017,E018,E019,E020,E021,E022,E023,E024,E025,E026,E027,E028,E029,E030,E031,E032,E033,E034,E035,E036,E037,E038,E039,E040,E041,E042,E043,E044,E045,E046,E047,E048,E049,E050,E051,E052,E053
ENSFALG00000000285	E001,E002,E003,E004,E005,E006,E007,E008,E009,E010,E011,E012,E013,E014
ENSFALG00000000300	E001,E002,E003,E004,E005,E006,E007,E008
ENSFALG00000000307	E001,E002,E003,E004,E005,E006,E007,E008,E009,E010,E011,E012,E013,E014,E015,E016,E017,E018,E019,E020,E021,E022
ENSFALG00000000308	E001,E002,E003,E004,E005,E006,E007,E008,E009
ENSFALG00000000312	E001,E002
ENSFALG00000000331	E001,E002,E003,E004,E005,E006
ENSFALG00000000335	E001,E002,E003,E004,E005,E006,E007,E008
ENSFALG00000000346	E001,E002,E003,E004,E005,E006,E007,E008
ENSFALG00000000350	E001,E002,E003,E004,E005,E006,E007,E008
ENSFALG00000000351	E001,E002,E003,E004,E005,E006,E007,E008
ENSFALG00000000357	E001,E002,E003,E004,E005,E006,E007,E008,E009,E010
ENSFALG00000000372	E001,E002,E003,E004,E005,E006,E007
ENSFALG00000000373	E001,E002,E003
ENSFALG00000000375	E001,E002,E003,E004,E005,E006,E007,E008,E009,E010,E011
ENSFALG00000000379	E001,E002,E003,E004,E005,E006,E007,E008,E009,E010,E011,E012,E013,E014,E015,E016
ENSFALG00000000382	E001,E002,E003,E004,E005,E006,E007,E008,E009,E010
ENSFALG00000000383	E001,E002,E003,E004,E005,E006,E007,E008,E009,E010,E011,E012,E013
ENSFALG00000000390	E001,E002,E003,E004,E005,E006,E007,E008,E009,E010,E011,E012,E013,E014,E015,E016,E017,E018,E019,E020,E021,E022
ENSFALG00000000394	E001,E002,E003,E004,E005,E006,E007,E008,E009,E010
ENSFALG00000000397	E001,E002,E003,E004,E005,E006,E007,E008,E009,E010,E011,E012,E013,E014
ENSFALG00000000400	E001,E002,E003,E004,E005,E006,E007,E008,E009,E010
ENSFALG00000000404	E001,E002,E003,E004,E005,E006,E007,E008,E009,E010,E011,E012,E013,E014,E015,E016,E017,E018,E019,E020,E021,E022,E023,E024,E025
ENSFALG00000000405	E001,E002,E003,E004,E005,E006,E007,E008
ENSFALG00000000410	E001,E002,E003,E004,E005,E006,E007
ENSFALG00000000417	E001,E002,E003,E004,E005,E006,E007,E008,E009,E010,E011,E012
ENSFALG00000000447	E001,E002,E003,E004,E005
ENSFALG00000000467	E001,E002,E003,E004,E005,E006,E007,E008,E009,E010,E011,E012,E013
ENSFALG00000000482	E001,E002,E003
ENSFALG00000000493	E001,E002,E003,E004,E005
ENSFALG00000000495	E001,E002,E003,E004,E005,E006,E007,E008,E009,E010,E011,E012,E013,E014,E015,E016
ENSFALG00000000496	E001,E002,E003,E004
ENSFALG00000000497	E001,E002,E003,E004,E005,E006,E007,E008,E009,E010,E011
ENSFALG00000000500	E001,E002,E003,E004,E005,E006,E007,E008,E009,E010,E011,E012,E013,E014,E015,E016,E017,E018,E019,E020,E021,E022,E023,E024,E025,E026,E027,E028,E029,E030,E031,E032,E033,E034,E035,E036,E037,E038,E039,E040,E041,E042,E043,E044,E045
ENSFALG00000000502	E001,E002,E003,E004,E005
ENSFALG00000000503	E001,E002,E003,E004
ENSFALG00000000507	E001,E002,E003,E004,E005,E006,E007,E008,E009,E010,E011
ENSFALG00000000509	E001,E002,E003,E004,E005,E006
ENSFALG00000000510	E001,E002,E003,E004,E005,E006,E007,E008,E009,E010,E011,E012,E013,E014,E015,E016,E017,E018,E019,E020,E021,E022,E023,E024,E025,E026,E027,E028,E029,E030,E031,E032,E033
ENSFALG00000000526	E001,E002
ENSFALG00000000546	E001,E002,E003,E004,E005,E006,E007,E008,E009,E010,E011,E012,E013,E014,E015,E016,E017,E018,E019
ENSFALG00000000554	E001,E002,E003
ENSFALG00000000570	E001,E002,E003,E004,E005,E006,E007,E008,E009,E010
ENSFALG00000000573	E001,E002,E003,E004
ENSFALG00000000576	E001,E002,E003,E004,E005,E006,E007,E008,E009,E010,E011,E012,E013,E014,E015,E016,E017,E018,E019,E020
ENSFALG00000000579	E001,E002
ENSFALG00000000585	E001,E002,E003,E004,E005
ENSFALG00000000588	E001,E002,E003,E004,E005,E006,E007,E008,E009,E010,E011,E012,E013,E014,E015,E016,E017,E018,E019,E020
ENSFALG00000000589	E001,E002,E003,E004,E005,E006
ENSFALG00000000590	E001,E002,E003,E004,E005,E006,E007,E008,E009,E010,E011,E012,E013,E014,E015,E016,E017,E018,E019,E020,E021,E022,E023,E024,E025,E026,E027,E028,E029,E030,E031,E032,E033,E034,E035,E036,E037,E038,E039,E040,E041,E042,E043,E044,E045,E046,E047,E048,E049,E050,E051,E052,E053,E054,E055,E056,E057,E058,E059,E060,E061,E062,E063,E064,E065,E066,E067,E068,E069,E070,E071,E072,E073,E074,E075,E076,E077,E078,E079,E080,E081,E082,E083,E084,E085,E086,E087,E088,E089,E090
ENSFALG00000000593	E001,E002,E003,E004,E005,E006,E007,E008,E009,E010,E011,E012,E013,E014,E015
ENSFALG00000000612	E001,E002,E003,E004,E005,E006
ENSFALG00000000614	E001,E002,E003,E004
ENSFALG00000000624	E001,E002,E003,E004,E005,E006,E007,E008,E009,E010,E011,E012,E013,E014,E015,E016,E017,E018,E019,E020,E021,E022,E023,E024,E025,E026,E027,E028,E029,E030,E031,E032,E033,E034,E035,E036,E037,E038,E039,E040,E041,E042,E043,E044,E045,E046,E047,E048,E049,E050,E051,E052,E053,E054,E055,E056,E057,E058,E059,E060,E061,E062,E063,E064,E065,E066,E067,E068,E069,E070,E071,E072,E073,E074,E075
ENSFALG00000000629	E001,E002,E003,E004,E005,E006,E007
ENSFALG00000000672	E001,E002,E003,E004,E005
ENSFALG00000000688	E001,E002,E003,E004,E005,E006,E007,E008,E009,E010,E011,E012,E013
ENSFALG00000000690	E001,E002,E003,E004,E005,E006,E007,E008,E009,E010,E011
ENSFALG00000000693	E001,E002,E003,E004,E005
ENSFALG00000000694	E001,E002,E003,E004,E005,E006,E007,E008,E009,E010,E011
ENSFALG00000000699	E001,E002,E003,E004,E005,E006,E007,E008,E009
ENSFALG00000000703	E001,E002,E003,E004,E005,E006,E007
ENSFALG00000000713	E001,E002,E003,E004,E005,E006,E007,E008,E009
ENSFALG00000000722	E001,E002,E003,E004,E005,E006,E007,E008,E009,E010,E011,E012,E013,E014,E015,E016,E017,E018,E019,E020,E021,E022
ENSFALG00000000736	E001,E002
ENSFALG00000000771	E001,E002,E003,E004
ENSFALG00000000814	E001,E002,E003,E004,E005,E006,E007,E008,E009,E010,E011,E012,E013,E014
ENSFALG00000000828	E001,E002,E003,E004,E005,E006,E007,E008,E009,E010,E011,E012,E013
ENSFALG00000000842	E001,E002,E003,E004,E005
ENSFALG00000000865	E001,E002,E003,E004,E005,E006,E007,E008,E009,E010,E011,E012,E013,E014,E015,E016,E017
ENSFALG00000000875	E001,E002,E003,E004,E005,E006,E007,E008,E009,E010,E011,E012,E013,E014,E015,E016
ENSFALG00000000876	E001,E002,E003,E004
ENSFALG00000000879	E001,E002,E003,E004,E005,E006,E007,E008,E009,E010,E011,E012,E013,E014,E015,E016,E017,E018,E019,E020,E021,E022,E023,E024,E025
ENSFALG00000000880	E001,E002,E003,E004
ENSFALG00000000887	E001,E002,E003,E004,E005,E006,E007
ENSFALG00000000894	E001,E002
ENSFALG00000000900	E001,E002,E003,E004,E005,E006,E007,E008,E009,E010,E011
ENSFALG00000000906	E001,E002,E003,E004,E005,E006,E007,E008,E009,E010,E011,E012,E013,E014
ENSFALG00000000931	E001,E002
ENSFALG00000000941	E001,E002,E003,E004,E005
ENSFALG00000000942	E001,E002,E003
ENSFALG00000000957	E001,E002,E003,E004,E005,E006,E007,E008,E009,E010,E011,E012,E013,E014,E015,E016,E017,E018,E019,E020,E021,E022,E023,E024,E025,E026,E027,E028,E029,E030,E031,E032,E033,E034,E035,E036,E037,E038,E039,E040,E041,E042,E043,E044,E045,E046,E047,E048,E049,E050,E051,E052,E053,E054,E055,E056,E057,E058,E059,E060,E061,E062,E063,E064,E065,E066,E067,E068,E069,E070,E071,E072,E073,E074,E075,E076,E077,E078,E079,E080,E081,E082,E083,E084,E085,E086
ENSFALG00000000966	E001,E002,E003,E004,E005
ENSFALG00000000970	E001,E002,E003,E004,E005,E006,E007,E008,E009,E010,E011,E012,E013,E014,E015,E016,E017,E018,E019,E020,E021,E022,E023,E024,E025,E026,E027,E028,E029,E030,E031,E032
ENSFALG00000000992	E001,E002,E003,E004,E005,E006,E007,E008,E009,E010,E011
ENSFALG00000000999	E001,E002,E003,E004
ENSFALG00000001011	E001,E002,E003,E004,E005,E006,E007,E008
ENSFALG00000001027	E001,E002,E003,E004,E005,E006,E007,E008,E009,E010,E011,E012,E013,E014,E015,E016,E017,E018,E019,E020,E021,E022,E023,E024,E025,E026,E027,E028,E029,E030,E031,E032,E033,E034,E035,E036,E037,E038
ENSFALG00000001034	E001,E002,E003,E004,E005,E006,E007,E008,E009,E010,E011,E012,E013,E014,E015,E016,E017,E018,E019,E020,E021,E022,E023,E024,E025
ENSFALG00000001061	E001,E002,E003,E004,E005,E006,E007,E008,E009
ENSFALG00000001082	E001,E002
ENSFALG00000001084	E001,E002,E003,E004
ENSFALG00000001086	E001,E002,E003,E004,E005,E006,E007,E008,E009,E010,E011,E012,E013,E014,E015,E016
ENSFALG00000001093	E001,E002
ENSFALG00000001109	E001,E002,E003,E004,E005,E006,E007,E008,E009,E010,E011,E012,E013,E014,E015,E016,E017,E018,E019,E020,E021,E022,E023,E024,E025,E026,E027,E028,E029,E030,E031,E032,E033,E034,E035,E036,E037,E038,E039,E040,E041,E042,E043,E044,E045,E046,E047,E048,E049,E050,E051
ENSFALG00000001111	E001,E002,E003,E004,E005,E006,E007
