gene	exons
ENSFALG00000000002	E007
ENSFALG00000000005	E003,E004,E005,E006,E007,E008,E009,E010,E011,E012,E013,E014,E015,E016
ENSFALG00000000006	E008,E012,E013,E014,E015,E026
ENSFALG00000000007	E003
ENSFALG00000000008	E001,E003,E004,E005,E007
ENSFALG00000000009	E001,E002,E003,E004,E006,E007,E008,E009,E010
ENSFALG00000000012	E001,E004,E007,E008,E012
ENSFALG00000000015	E002,E005,E006,E007,E008,E009
ENSFALG00000000018	E003,E007,E011,E012,E013,E018
ENSFALG00000000023	E013
ENSFALG00000000024	E001,E002,E006
ENSFALG00000000026	E001,E002,E003,E004
ENSFALG00000000031	E001,E003,E011,E016
ENSFALG00000000034	E001,E002,E004,E005,E009,E010,E011,E012,E013,E014,E019,E020,E022
ENSFALG00000000036	E001
ENSFALG00000000046	E001,E003,E004
ENSFALG00000000049	E001,E002,E005,E007,E008,E014,E016,E018,E019,E021,E022
ENSFALG00000000050	E001,E002,E003,E005,E007,E008,E009,E012,E013,E014,E015,E016,E017,E018,E019,E020,E021,E022,E023,E024
ENSFALG00000000052	E001,E003
ENSFALG00000000053	E001,E003,E004,E006,E007,E009,E010
ENSFALG00000000054	E001,E002,E003,E004,E005,E007
ENSFALG00000000056	E001,E013
ENSFALG00000000061	E001
ENSFALG00000000062	E002,E005,E007,E012
ENSFALG00000000064	E002,E005,E020
ENSFALG00000000072	E001,E004,E005,E006,E008
ENSFALG00000000073	E003,E004
ENSFALG00000000074	E002,E003,E004,E005,E007,E008
ENSFALG00000000075	E001,E002,E008,E009,E010,E011,E012,E014,E015,E016,E017
ENSFALG00000000076	E001,E002,E003,E005,E007,E008,E010
ENSFALG00000000077	E004
ENSFALG00000000078	E001,E011
ENSFALG00000000079	E008,E009,E010,E011
ENSFALG00000000080	E001,E004,E005,E006,E007,E010,E023,E024,E030,E032,E033
ENSFALG00000000084	E002,E003
ENSFALG00000000086	E001,E026
ENSFALG00000000087	E001,E002,E003,E006,E011
ENSFALG00000000088	E001,E008,E009
ENSFALG00000000089	E001,E002,E003,E013,E019
ENSFALG00000000092	E002,E003
ENSFALG00000000094	E007,E010,E013
ENSFALG00000000096	E001,E002,E003,E004,E005,E006,E009
ENSFALG00000000097	E002,E004,E007,E012
ENSFALG00000000098	E002,E004
ENSFALG00000000099	E010
ENSFALG00000000100	E002,E010,E011,E012,E013
ENSFALG00000000101	E002,E007
ENSFALG00000000102	E002,E003
ENSFALG00000000103	E002,E004,E005,E006,E007,E008,E009,E011,E014,E016,E019
ENSFALG00000000104	E002,E003
ENSFALG00000000105	E001
ENSFALG00000000106	E007,E008,E014
ENSFALG00000000107	E001,E002,E003,E006,E007,E008,E009,E010,E012,E022,E025,E034,E035,E036
ENSFALG00000000111	E003,E004,E005,E008,E013
ENSFALG00000000115	E001,E002,E003,E006,E009,E010
ENSFALG00000000116	E001,E002,E007,E010,E012,E014
ENSFALG00000000119	E001,E003,E005,E006,E007,E009
ENSFALG00000000120	E001,E005
ENSFALG00000000121	E002,E006,E007
ENSFALG00000000122	E001
ENSFALG00000000123	E009,E022,E023,E024,E027,E029,E032
ENSFALG00000000124	E001,E003,E007
ENSFALG00000000126	E001,E002,E003,E004,E007,E012,E016,E020,E021,E022
ENSFALG00000000127	E001,E003,E007,E010,E014,E015
ENSFALG00000000128	E008,E016
ENSFALG00000000129	E005,E007,E012,E013,E014,E015,E017
ENSFALG00000000130	E002,E003,E005,E006,E007,E008,E009
ENSFALG00000000132	E003,E004,E005,E006,E007,E008,E009
ENSFALG00000000133	E001,E002,E005,E006,E008,E009,E012,E013,E015
ENSFALG00000000135	E001
ENSFALG00000000137	E003,E005
ENSFALG00000000139	E001,E003,E007,E008,E009
ENSFALG00000000141	E003,E008,E009,E011,E019
ENSFALG00000000149	E001,E003,E004,E005,E006,E007,E008,E009,E010,E011,E012
ENSFALG00000000150	E001,E002,E004,E006,E011,E013,E027,E030
ENSFALG00000000152	E003,E005
ENSFALG00000000153	E007,E017
ENSFALG00000000154	E001,E002,E003,E004,E006,E012,E013
ENSFALG00000000155	E014
ENSFALG00000000157	E002,E005,E006,E007,E009
ENSFALG00000000158	E001,E002,E003,E012
ENSFALG00000000159	E001,E005,E007,E008,E009,E010,E011,E013
ENSFALG00000000160	E001,E002,E003
ENSFALG00000000163	E003,E006,E008
ENSFALG00000000165	E002,E006,E007
ENSFALG00000000167	E001,E008,E023,E024,E025,E026,E027,E028,E029,E031
ENSFALG00000000168	E001,E006
ENSFALG00000000170	E001,E002,E003,E004,E005,E006
ENSFALG00000000171	E001,E002
ENSFALG00000000173	E003,E004,E005,E006,E007,E008,E010,E011,E013,E014,E015,E016
ENSFALG00000000175	E001,E002,E003
ENSFALG00000000176	E001,E003,E004,E005,E009,E010,E011,E012,E013,E014,E015,E016,E017,E032
ENSFALG00000000178	E001,E002
ENSFALG00000000179	E001,E002,E004,E006,E007
ENSFALG00000000180	E003,E005
ENSFALG00000000182	E001,E004,E007,E008,E010,E012,E015,E023,E024,E029,E032,E033,E036,E057,E060
ENSFALG00000000183	E001,E004,E005,E017,E020,E021,E024,E026,E029,E034,E035,E036,E037,E038,E040,E041,E043,E044,E045,E047,E048
ENSFALG00000000184	E001,E002,E003,E004
ENSFALG00000000185	E001
ENSFALG00000000186	E001
ENSFALG00000000187	E041,E042,E043
ENSFALG00000000189	E010
ENSFALG00000000190	E003,E005,E007,E010,E017,E018,E019,E020,E021
ENSFALG00000000192	E001,E003,E004,E005,E006,E007,E008,E011,E012
ENSFALG00000000193	E001
ENSFALG00000000197	E001,E002,E003,E004,E015,E016,E017,E018,E020,E021,E022,E023,E024
ENSFALG00000000199	E002,E007,E017
ENSFALG00000000200	E001,E013,E014
ENSFALG00000000202	E001,E002,E003,E004,E005,E006
ENSFALG00000000204	E001,E002,E003,E004,E005,E007,E008,E009,E010,E011,E012,E021
ENSFALG00000000205	E002,E003
ENSFALG00000000206	E004,E005,E006,E007,E010
ENSFALG00000000207	E003,E007,E009,E010,E011,E013
ENSFALG00000000209	E004,E006,E007,E008,E009,E014,E015,E016,E017,E021,E022,E024,E025,E027
ENSFALG00000000212	E001,E002,E004,E006
ENSFALG00000000213	E006
ENSFALG00000000215	E002,E003,E004,E005,E006
ENSFALG00000000216	E010,E017
ENSFALG00000000219	E001,E002,E003,E004,E005
ENSFALG00000000220	E001
ENSFALG00000000223	E005,E010
ENSFALG00000000224	E005
ENSFALG00000000228	E001,E003,E006,E007,E008,E009,E010,E011
ENSFALG00000000232	E001
ENSFALG00000000233	E001,E003,E005,E006,E008
ENSFALG00000000235	E001,E002,E003,E004,E006,E009,E012
ENSFALG00000000237	E001,E003,E010
ENSFALG00000000238	E003,E004,E005,E006,E007,E008,E012,E017,E018,E019,E021
ENSFALG00000000240	E001,E004,E005,E007
ENSFALG00000000241	E007,E032,E033,E037
ENSFALG00000000243	E001,E002,E003
ENSFALG00000000245	E001,E002,E003,E005,E006,E007,E009,E011,E012,E013,E014,E015
ENSFALG00000000250	E006
ENSFALG00000000253	E001,E004,E010,E012,E014,E015,E026
ENSFALG00000000254	E002,E005,E008,E011,E012,E014,E016
ENSFALG00000000255	E001,E002,E006,E012,E013,E016,E017,E022
ENSFALG00000000256	E002,E003,E004,E005,E009,E012,E019,E022
ENSFALG00000000263	E008,E010,E014
ENSFALG00000000264	E001,E003,E006,E007,E008,E009
ENSFALG00000000265	E005
ENSFALG00000000266	E008,E009,E010,E011,E012,E013,E014,E015
ENSFALG00000000267	E001,E002,E003,E004,E005
ENSFALG00000000268	E001,E002,E003
ENSFALG00000000269	E004,E008,E014,E015,E016,E018,E020
ENSFALG00000000271	E009,E011,E014
ENSFALG00000000272	E006,E007,E009,E011,E014,E015,E018,E019,E022,E023,E024,E030,E031,E033,E034,E035,E036,E037,E042,E045,E047
ENSFALG00000000273	E004,E010
ENSFALG00000000276	E003,E004,E005,E008,E009
ENSFALG00000000278	E002
ENSFALG00000000281	E001,E002,E003,E005,E010,E011
ENSFALG00000000283	E008
ENSFALG00000000286	E001,E002
ENSFALG00000000289	E001,E003,E004,E006,E007,E008,E015
ENSFALG00000000290	E005,E011
ENSFALG00000000292	E008,E009,E011,E013,E016,E019,E022,E023,E029
ENSFALG00000000293	E001,E004,E005
ENSFALG00000000294	E002,E009,E012
ENSFALG00000000295	E002,E003,E004,E006,E007,E008,E009,E010,E011,E012
ENSFALG00000000296	E016
ENSFALG00000000297	E003,E004,E006,E007,E009,E018,E021
ENSFALG00000000299	E001,E005
ENSFALG00000000301	E021,E022,E023,E024,E034
ENSFALG00000000304	E001,E002,E004
ENSFALG00000000305	E001,E003,E004,E005
ENSFALG00000000306	E001,E021
ENSFALG00000000309	E001,E002,E003,E005,E006,E007,E008,E009,E011,E012,E014,E015,E016,E017,E018,E022,E023,E024,E025,E027,E028,E030,E031,E033,E034,E035,E037,E038,E040,E041,E042,E043,E044,E046,E047,E048,E051,E052,E054,E055,E056,E057,E059,E060,E061,E063,E064
ENSFALG00000000310	E013,E015,E017
ENSFALG00000000311	E003,E004,E005
ENSFALG00000000313	E001,E004
ENSFALG00000000314	E001,E002,E003
ENSFALG00000000315	E002,E010,E016,E017
ENSFALG00000000318	E007,E008
ENSFALG00000000320	E006,E012,E016
ENSFALG00000000321	E004,E006,E007,E009
ENSFALG00000000325	E001,E002
ENSFALG00000000327	E001,E003,E004,E006,E008
ENSFALG00000000330	E001,E002
ENSFALG00000000332	E001,E004,E005,E014,E016,E017,E019,E025,E026
ENSFALG00000000333	E001,E002,E003,E005,E006,E007,E008
ENSFALG00000000336	E001,E002,E003,E004,E005,E007,E008,E009
ENSFALG00000000337	E002,E003,E009,E010,E011
ENSFALG00000000338	E001,E002,E003,E005,E006,E007,E008,E012,E014
ENSFALG00000000339	E001,E004
ENSFALG00000000341	E001
ENSFALG00000000347	E001,E003,E007
ENSFALG00000000348	E001,E002,E003,E004,E006,E008,E010,E013,E015,E017,E018,E020,E022,E024,E025
ENSFALG00000000349	E008
