groupID	featureID
ENSFALG00000000004	E015
ENSFALG00000000055	E010
ENSFALG00000000218	E003
ENSFALG00000000869	E003
ENSFALG00000000869	E006
ENSFALG00000001056	E006
ENSFALG00000001105	E014
ENSFALG00000001105	E016
ENSFALG00000001347	E011
ENSFALG00000001671	E003
ENSFALG00000002437	E001
ENSFALG00000002437	E002
ENSFALG00000002454	E017
ENSFALG00000002816	E006
ENSFALG00000002847	E001
ENSFALG00000003393	E001
ENSFALG00000004313	E012
ENSFALG00000004425	E020
ENSFALG00000004879	E028
ENSFALG00000005282	E028
ENSFALG00000008230	E003
ENSFALG00000008698	E008
ENSFALG00000008715	E002
ENSFALG00000009370	E015
ENSFALG00000009840	E007
ENSFALG00000009943	E001
ENSFALG00000010240	E010
ENSFALG00000010251	E017
ENSFALG00000010945	E004
ENSFALG00000011820	E013
ENSFALG00000012000	E014
ENSFALG00000012051	E002
ENSFALG00000012472	E017
ENSFALG00000012879	E007
ENSFALG00000012966	E002
ENSFALG00000013267	E004
ENSFALG00000013597	E006
ENSFALG00000024595	E002
ENSFALG00000024595	E003
ENSFALG00000024981	E001
ENSFALG00000025116	E003
ENSFALG00000026098	E001
ENSFALG00000027394	E006
ENSFALG00000027644	E001
ENSFALG00000027644	E003
ENSFALG00000028300	E017
ENSFALG00000028383	E001
ENSFALG00000028513	E004
ENSFALG00000028564	E001
