genes	clusters
ENSFALG00000000007	chrN00141:clu_22057_-,chrN00141:clu_22058_-
ENSFALG00000000008	chrN00141:clu_22059_-,chrN00141:clu_22060_-
ENSFALG00000000036	chrN00141:clu_22079_-
ENSFALG00000000052	chrN00171:clu_23502_-,chrN00171:clu_23505_-,chrN00171:clu_23506_-,chrN00171:clu_23507_-,chrN00171:clu_23508_-,chrN00171:clu_23509_-
ENSFALG00000000058	chrN00171:clu_23559_+
ENSFALG00000000064	chrN00171:clu_23513_-
ENSFALG00000000072	chrN00061:clu_15511_+
ENSFALG00000000073	chrN00171:clu_23561_+
ENSFALG00000000076	chrN00171:clu_23515_-,chrN00171:clu_23516_-,chrN00171:clu_23517_-
ENSFALG00000000079	chrN00171:clu_23563_+,chrN00171:clu_23564_+
ENSFALG00000000084	chrN00171:clu_23565_+
ENSFALG00000000092	chrN00171:clu_23566_+
ENSFALG00000000097	chrN00061:clu_15522_+,chrN00061:clu_15523_+
ENSFALG00000000102	chrN00218:clu_25248_+
ENSFALG00000000104	chrN00061:clu_15527_+,chrN00061:clu_15528_+
ENSFALG00000000105	chrN00218:clu_25274_-,chrN00218:clu_25275_-
ENSFALG00000000115	chrN00218:clu_25276_-
ENSFALG00000000126	chrN00218:clu_25280_-
ENSFALG00000000127	chrN00171:clu_23528_-
ENSFALG00000000133	chrN00218:clu_25281_-
ENSFALG00000000135	chrN00061:clu_15480_-,chrN00061:clu_15481_-,chrN00061:clu_15482_-
ENSFALG00000000141	chrN00171:clu_23574_+
ENSFALG00000000149	chrN00377:clu_27737_-
ENSFALG00000000157	chrN00161:clu_22983_+,chrN00161:clu_22984_+
ENSFALG00000000158	chrN00171:clu_23532_-
ENSFALG00000000163	chrN00377:clu_27734_+,chrN00377:clu_27735_+,chrN00377:clu_27736_+
ENSFALG00000000166	chrN00142:clu_22101_+
ENSFALG00000000175	chrN00142:clu_22112_-
ENSFALG00000000176	chrN00061:clu_15543_+,chrN00061:clu_15544_+,chrN00061:clu_15545_+
ENSFALG00000000185	chrN00161:clu_23015_-,chrN00161:clu_23016_-,chrN00161:clu_23017_-,chrN00161:clu_23018_-
ENSFALG00000000187	chrN00161:clu_22998_+
ENSFALG00000000189	chrN00142:clu_22106_+,chrN00142:clu_22107_+
ENSFALG00000000190	chrN00171:clu_23579_+
ENSFALG00000000200	chrN00142:clu_22114_-,chrN00142:clu_22115_-,chrN00142:clu_22116_-,chrN00142:clu_22117_-
ENSFALG00000000207	chrN00161:clu_23033_-,chrN00161:clu_23034_-
ENSFALG00000000208	chrN00218:clu_25286_-
ENSFALG00000000213	chrN00127:clu_21356_+
ENSFALG00000000216	chrN00171:clu_23537_-
ENSFALG00000000218	chrN00061:clu_15494_-
ENSFALG00000000219	chrN00093:clu_19241_-
ENSFALG00000000224	chrN00218:clu_25253_+
ENSFALG00000000237	chrN00061:clu_15557_+
ENSFALG00000000240	chrN00171:clu_23580_+
ENSFALG00000000241	chrN00061:clu_15498_-,chrN00061:clu_15499_-,chrN00061:clu_15500_-,chrN00061:clu_15501_-,chrN00061:clu_15502_-
ENSFALG00000000243	chrN00142:clu_22118_-,chrN00142:clu_22119_-
ENSFALG00000000250	chrN00061:clu_15563_+
ENSFALG00000000259	chrN00061:clu_15566_+,chrN00061:clu_15567_+,chrN00061:clu_15568_+,chrN00061:clu_15569_+,chrN00061:clu_15570_+,chrN00061:clu_15571_+,chrN00061:clu_15572_+
ENSFALG00000000266	chrN00147:clu_22346_+
ENSFALG00000000274	chrN00147:clu_22354_+,chrN00147:clu_22355_+,chrN00147:clu_22356_+
ENSFALG00000000285	chrN00050:clu_13713_+,chrN00050:clu_13714_+
ENSFALG00000000292	chrN00050:clu_13715_+,chrN00050:clu_13716_+,chrN00050:clu_13717_+,chrN00050:clu_13718_+
ENSFALG00000000294	chrN00050:clu_13719_+
ENSFALG00000000296	chrN00171:clu_23595_+
ENSFALG00000000305	chrN00171:clu_23597_+
ENSFALG00000000307	chrN00050:clu_13721_+,chrN00050:clu_13722_+,chrN00050:clu_13723_+
ENSFALG00000000311	chrN00050:clu_13724_+,chrN00050:clu_13725_+
ENSFALG00000000347	chrN00040:clu_12154_-,chrN00040:clu_12155_-
ENSFALG00000000353	chrN00050:clu_13738_+,chrN00050:clu_13739_+,chrN00050:clu_13740_+
ENSFALG00000000354	chrN00050:clu_13692_-
ENSFALG00000000357	chrN00050:clu_13693_-
ENSFALG00000000358	chrN00050:clu_13742_+,chrN00050:clu_13743_+,chrN00050:clu_13744_+,chrN00050:clu_13745_+,chrN00050:clu_13746_+
ENSFALG00000000361	chrN00050:clu_13747_+,chrN00050:clu_13748_+
ENSFALG00000000383	chrN00040:clu_12015_+,chrN00040:clu_12016_+,chrN00040:clu_12017_+,chrN00040:clu_12018_+
ENSFALG00000000384	chrN00218:clu_25258_+
ENSFALG00000000387	chrN00040:clu_12159_-,chrN00040:clu_12160_-
ENSFALG00000000405	chrN00040:clu_12019_+,chrN00040:clu_12020_+,chrN00040:clu_12021_+
