cluster	genes
chrN00002:clu_924_+	ENSFALG00000010476
chrN00004:clu_1600_+	ENSFALG00000007038
chrN00011:clu_4122_+	ENSFALG00000011012
chrN00015:clu_6024_+	ENSFALG00000005098
chrN00017:clu_6418_-	ENSFALG00000004907
chrN00020:clu_7434_+	ENSFALG00000025516
chrN00030:clu_9683_-	ENSFALG00000010257
chrN00043:clu_12622_+	ENSFALG00000023535
chrN00046:clu_13090_+	ENSFALG00000002467
chrN00054:clu_14603_-	ENSFALG00000012167
chrN00107:clu_20175_-	NA
chrN00108:clu_20253_+	ENSFALG00000025540
chrN00191:clu_24341_+	ENSFALG00000011750
chrN00285:clu_26779_+	ENSFALG00000014576,ENSFALG00000000923
chrN00430:clu_27953_-	NA
