cluster genes
chrN00001:clu_103_+ ENSFALG00000012244
chrN00001:clu_104_+ ENSFALG00000023321
chrN00001:clu_105_+ ENSFALG00000023321
chrN00001:clu_11_+ ENSFALG00000023706
chrN00001:clu_112_+ ENSFALG00000012433
chrN00001:clu_113_+ ENSFALG00000012433
chrN00001:clu_115_+ ENSFALG00000012470
chrN00001:clu_116_+ ENSFALG00000012470
chrN00001:clu_117_+ ENSFALG00000012470
chrN00001:clu_120_+ ENSFALG00000012529
chrN00001:clu_121_+ ENSFALG00000012529
chrN00001:clu_122_+ ENSFALG00000012529
chrN00001:clu_123_+ ENSFALG00000012564
chrN00001:clu_124_+ ENSFALG00000012564
chrN00001:clu_125_+ ENSFALG00000012564
chrN00001:clu_126_+ ENSFALG00000012564
chrN00001:clu_127_+ ENSFALG00000012564
chrN00001:clu_134_+ ENSFALG00000012598
chrN00001:clu_135_+ ENSFALG00000012598
chrN00001:clu_136_+ ENSFALG00000012602
chrN00001:clu_140_+ ENSFALG00000012615
chrN00001:clu_141_+ ENSFALG00000012615
chrN00001:clu_142_+ ENSFALG00000012615
chrN00001:clu_148_+ ENSFALG00000012711
chrN00001:clu_152_+ ENSFALG00000012744
chrN00001:clu_153_+ ENSFALG00000012744
chrN00001:clu_157_+ ENSFALG00000012821
chrN00001:clu_158_+ ENSFALG00000012821
chrN00001:clu_159_+ ENSFALG00000012821
chrN00001:clu_160_+ ENSFALG00000012821
chrN00001:clu_161_+ ENSFALG00000012821
chrN00001:clu_165_+ ENSFALG00000012835
chrN00001:clu_166_+ ENSFALG00000012835
chrN00001:clu_171_+ ENSFALG00000012890
chrN00001:clu_172_+ ENSFALG00000012907
chrN00001:clu_174_+ ENSFALG00000012907
chrN00001:clu_175_+ ENSFALG00000012907
chrN00001:clu_176_+ ENSFALG00000012907
chrN00001:clu_178_+ ENSFALG00000012907
chrN00001:clu_179_+ ENSFALG00000012928
chrN00001:clu_18_+ ENSFALG00000011039
chrN00001:clu_180_+ ENSFALG00000012928
chrN00001:clu_181_+ ENSFALG00000012928
chrN00001:clu_182_+ ENSFALG00000012928
chrN00001:clu_183_+ ENSFALG00000012928
chrN00001:clu_184_+ ENSFALG00000012928
chrN00001:clu_185_+ ENSFALG00000012928
chrN00001:clu_190_+ ENSFALG00000012991
chrN00001:clu_192_+ ENSFALG00000012991
chrN00001:clu_193_+ ENSFALG00000012991
chrN00001:clu_194_+ ENSFALG00000012991
chrN00001:clu_197_+ ENSFALG00000013082
chrN00001:clu_208_+ ENSFALG00000013101
chrN00001:clu_209_+ ENSFALG00000013101
chrN00001:clu_21_+ ENSFALG00000022865
chrN00001:clu_211_+ ENSFALG00000013106
chrN00001:clu_212_+ ENSFALG00000013106
chrN00001:clu_213_+ ENSFALG00000022978
chrN00001:clu_214_+ ENSFALG00000013124
chrN00001:clu_215_+ ENSFALG00000013124
chrN00001:clu_220_+ ENSFALG00000013158
chrN00001:clu_221_+ ENSFALG00000013158
chrN00001:clu_222_+ ENSFALG00000013158
chrN00001:clu_228_+ ENSFALG00000013506
chrN00001:clu_229_+ ENSFALG00000013506
chrN00001:clu_231_+ ENSFALG00000026090
chrN00001:clu_232_+ ENSFALG00000013515
chrN00001:clu_233_+ ENSFALG00000013515
chrN00001:clu_237_+ ENSFALG00000013548
chrN00001:clu_239_+ ENSFALG00000013548
chrN00001:clu_244_+ ENSFALG00000013565
chrN00001:clu_245_+ ENSFALG00000013565
chrN00001:clu_246_+ ENSFALG00000013565
chrN00001:clu_251_+ ENSFALG00000013610
chrN00001:clu_252_+ ENSFALG00000013610
chrN00001:clu_253_- ENSFALG00000026666,ENSFALG00000010760
chrN00001:clu_255_- ENSFALG00000026666
chrN00001:clu_256_- ENSFALG00000010760,ENSFALG00000026666
chrN00001:clu_258_- ENSFALG00000010770
chrN00001:clu_259_- ENSFALG00000010770
chrN00001:clu_261_- ENSFALG00000010776
chrN00001:clu_262_- ENSFALG00000010776,ENSFALG00000027740
chrN00001:clu_264_- ENSFALG00000010846
chrN00001:clu_265_- ENSFALG00000010846
chrN00001:clu_267_- ENSFALG00000010846
chrN00001:clu_271_- ENSFALG00000010875
chrN00001:clu_272_- ENSFALG00000010875
chrN00001:clu_273_- ENSFALG00000010875
chrN00001:clu_276_- ENSFALG00000010959
chrN00001:clu_279_- ENSFALG00000010975
chrN00001:clu_283_- ENSFALG00000011032
chrN00001:clu_284_- ENSFALG00000011032
chrN00001:clu_287_- ENSFALG00000011117
chrN00001:clu_288_- ENSFALG00000011168
chrN00001:clu_29_+ ENSFALG00000011294
chrN00001:clu_290_- ENSFALG00000011225
chrN00001:clu_292_- ENSFALG00000011225
chrN00001:clu_293_- ENSFALG00000011225
chrN00001:clu_299_- ENSFALG00000011270
chrN00001:clu_3_+ ENSFALG00000028426
chrN00001:clu_30_+ ENSFALG00000011294
chrN00001:clu_301_- ENSFALG00000011270
chrN00001:clu_303_- ENSFALG00000011329
chrN00001:clu_315_- ENSFALG00000011511
chrN00001:clu_318_- ENSFALG00000011515
chrN00001:clu_319_- ENSFALG00000011515
chrN00001:clu_32_+ ENSFALG00000011393,ENSFALG00000027820
chrN00001:clu_320_- ENSFALG00000011531
chrN00001:clu_321_- ENSFALG00000011531
chrN00001:clu_322_- ENSFALG00000011531
chrN00001:clu_323_- ENSFALG00000011531
chrN00001:clu_324_- ENSFALG00000011531
chrN00001:clu_326_- ENSFALG00000011606
chrN00001:clu_328_- ENSFALG00000011650,ENSFALG00000026400
chrN00001:clu_329_- ENSFALG00000026400,ENSFALG00000011650
chrN00001:clu_330_- ENSFALG00000011650,ENSFALG00000026400
chrN00001:clu_332_- ENSFALG00000011717
chrN00001:clu_334_- ENSFALG00000011779
chrN00001:clu_337_- ENSFALG00000011817
chrN00001:clu_338_- ENSFALG00000011817
chrN00001:clu_34_+ ENSFALG00000011393
chrN00001:clu_341_- ENSFALG00000011830
chrN00001:clu_342_- ENSFALG00000011830
chrN00001:clu_343_- ENSFALG00000011830
chrN00001:clu_348_- ENSFALG00000011887
chrN00001:clu_351_- ENSFALG00000011898
chrN00001:clu_352_- ENSFALG00000011898
chrN00001:clu_366_- ENSFALG00000011999
chrN00001:clu_372_- ENSFALG00000012086
chrN00001:clu_375_- ENSFALG00000012103
chrN00001:clu_379_- ENSFALG00000012161
chrN00001:clu_382_- ENSFALG00000012263
chrN00001:clu_383_- ENSFALG00000012263
chrN00001:clu_385_- ENSFALG00000012360
chrN00001:clu_386_- ENSFALG00000012360
chrN00001:clu_387_- ENSFALG00000012360
chrN00001:clu_389_- ENSFALG00000012360
chrN00001:clu_39_+ ENSFALG00000023828
chrN00001:clu_390_- ENSFALG00000012360
chrN00001:clu_391_- ENSFALG00000012360
chrN00001:clu_392_- ENSFALG00000012360
chrN00001:clu_395_- ENSFALG00000012360
chrN00001:clu_397_- ENSFALG00000012360
chrN00001:clu_398_- ENSFALG00000012360
chrN00001:clu_399_- ENSFALG00000012360
