cluster	genes
chrN00001:clu_311_-	ENSFALG00000011450
chrN00001:clu_336_-	ENSFALG00000011801
chrN00001:clu_432_-	ENSFALG00000012736
chrN00001:clu_512_-	ENSFALG00000013486
chrN00002:clu_1090_+	ENSFALG00000012410
chrN00002:clu_590_-	ENSFALG00000010404
chrN00002:clu_777_-	ENSFALG00000012726
chrN00002:clu_924_+	ENSFALG00000010476
chrN00003:clu_1188_+	ENSFALG00000009138
chrN00003:clu_1222_+	ENSFALG00000028782
chrN00003:clu_1427_-	ENSFALG00000009370
chrN00004:clu_1600_+	ENSFALG00000007038
chrN00004:clu_1839_-	ENSFALG00000007132
chrN00005:clu_2110_-	ENSFALG00000004547
chrN00005:clu_2123_+	ENSFALG00000003317
chrN00005:clu_2162_+	ENSFALG00000027514
chrN00005:clu_2216_+	ENSFALG00000004063
chrN00005:clu_2258_+	ENSFALG00000004363
chrN00006:clu_2325_-	ENSFALG00000006903
chrN00006:clu_2348_-	ENSFALG00000007047
chrN00006:clu_2391_-	ENSFALG00000028087
chrN00006:clu_2627_+	ENSFALG00000007093
chrN00006:clu_2685_+	ENSFALG00000007475
chrN00006:clu_2758_+	ENSFALG00000008293
chrN00007:clu_2997_-	NA
chrN00007:clu_3081_+	ENSFALG00000023485
chrN00007:clu_3218_+	ENSFALG00000008230
chrN00007:clu_3256_+	ENSFALG00000008477
chrN00008:clu_3408_-	ENSFALG00000009811
chrN00008:clu_3450_-	ENSFALG00000010092
chrN00008:clu_3593_+	ENSFALG00000010089
chrN00009:clu_3651_-	NA
chrN00009:clu_3673_-	ENSFALG00000013278
chrN00010:clu_4090_-	ENSFALG00000006386
chrN00011:clu_4122_+	ENSFALG00000011012
chrN00011:clu_4177_+	ENSFALG00000011701
chrN00011:clu_4273_+	ENSFALG00000012993
chrN00012:clu_4860_+	ENSFALG00000006809
chrN00012:clu_4880_+	ENSFALG00000024243
chrN00012:clu_4886_+	ENSFALG00000007083
chrN00012:clu_4928_+	ENSFALG00000007235
chrN00012:clu_5082_+	ENSFALG00000008468
chrN00013:clu_5386_+	ENSFALG00000003608
chrN00013:clu_5511_-	ENSFALG00000002845
chrN00013:clu_5598_-	ENSFALG00000003719
chrN00014:clu_5663_-	ENSFALG00000002454
chrN00014:clu_5665_-	ENSFALG00000002454
chrN00014:clu_5673_-	ENSFALG00000002523
chrN00014:clu_5766_+	ENSFALG00000002461
chrN00015:clu_5846_-	ENSFALG00000005164
chrN00015:clu_5874_-	ENSFALG00000024488
chrN00015:clu_5923_-	ENSFALG00000028414
chrN00015:clu_6024_+	ENSFALG00000005098
chrN00015:clu_6094_+	ENSFALG00000005900
chrN00015:clu_6163_+	ENSFALG00000006417
chrN00016:clu_6318_-	ENSFALG00000013509
chrN00016:clu_6330_-	ENSFALG00000023897
chrN00016:clu_6381_-	ENSFALG00000013845
chrN00017:clu_6413_-	ENSFALG00000023907
chrN00017:clu_6424_-	ENSFALG00000004907
chrN00017:clu_6586_+	ENSFALG00000005363
chrN00018:clu_6789_-	ENSFALG00000012083
chrN00018:clu_6793_-	ENSFALG00000012130
chrN00018:clu_6852_+	ENSFALG00000011356
chrN00018:clu_6888_+	ENSFALG00000011877
chrN00018:clu_6943_+	ENSFALG00000012354
chrN00021:clu_7551_+	ENSFALG00000013220
chrN00021:clu_7561_+	ENSFALG00000013315
chrN00021:clu_7654_-	ENSFALG00000013026
chrN00021:clu_7728_-	ENSFALG00000028480
chrN00022:clu_7811_-	NA
chrN00022:clu_7899_+	ENSFALG00000001877
chrN00023:clu_7956_+	ENSFALG00000028328
chrN00024:clu_8150_+	ENSFALG00000005387
chrN00024:clu_8292_-	ENSFALG00000005635
chrN00024:clu_8320_-	ENSFALG00000024541
chrN00025:clu_8434_-	ENSFALG00000024749
chrN00025:clu_8528_-	ENSFALG00000007914
chrN00025:clu_8594_+	ENSFALG00000007009
chrN00025:clu_8693_+	NA
chrN00025:clu_8694_+	NA
chrN00025:clu_8698_+	ENSFALG00000023567
chrN00027:clu_8793_-	ENSFALG00000022974
chrN00028:clu_9046_-	NA
chrN00028:clu_9055_-	ENSFALG00000004934
chrN00028:clu_9058_-	ENSFALG00000004934
chrN00028:clu_9268_+	ENSFALG00000005124
chrN00030:clu_9604_+	ENSFALG00000010643
chrN00031:clu_9815_+	ENSFALG00000011142
chrN00031:clu_9879_+	ENSFALG00000011708
chrN00032:clu_10019_-	NA
chrN00032:clu_9942_+	NA
chrN00033:clu_10379_-	ENSFALG00000012375
chrN00033:clu_10386_-	ENSFALG00000012375
chrN00034:clu_10550_+	ENSFALG00000010036
chrN00035:clu_10697_+	ENSFALG00000002940
chrN00036:clu_10764_-	ENSFALG00000013804
chrN00036:clu_10775_-	ENSFALG00000013840
chrN00036:clu_10779_-	ENSFALG00000013847
chrN00036:clu_10809_-	ENSFALG00000013964
chrN00036:clu_10851_-	ENSFALG00000013999
chrN00036:clu_10864_-	ENSFALG00000014019
chrN00036:clu_10865_-	ENSFALG00000028995
chrN00036:clu_10923_-	ENSFALG00000014067
chrN00036:clu_10941_+	ENSFALG00000013773
chrN00036:clu_11102_+	ENSFALG00000014076
chrN00036:clu_11104_+	ENSFALG00000014076
chrN00036:clu_11105_+	ENSFALG00000014076
chrN00038:clu_11597_+	ENSFALG00000008909
chrN00039:clu_11626_-	ENSFALG00000001360
chrN00039:clu_11720_-	NA
chrN00039:clu_11736_-	ENSFALG00000001791
chrN00039:clu_11830_+	ENSFALG00000001423,ENSFALG00000001424
chrN00040:clu_12080_+	NA
chrN00040:clu_12140_+	ENSFALG00000001371
chrN00040:clu_12143_+	ENSFALG00000001378
chrN00041:clu_12317_-	ENSFALG00000012061
chrN00042:clu_12381_+	NA
chrN00042:clu_12384_+	ENSFALG00000004069
chrN00042:clu_12491_-	ENSFALG00000004314
chrN00043:clu_12579_-	ENSFALG00000007794
chrN00044:clu_12673_-	ENSFALG00000026547
chrN00046:clu_13090_+	ENSFALG00000002467
chrN00046:clu_13096_+	ENSFALG00000002580
chrN00046:clu_13097_+	ENSFALG00000002580
chrN00046:clu_13113_+	ENSFALG00000002703
chrN00047:clu_13243_-	ENSFALG00000027769
chrN00049:clu_13567_-	ENSFALG00000026244
chrN00050:clu_13674_-	NA
chrN00052:clu_14005_+	ENSFALG00000005347
chrN00052:clu_14057_+	ENSFALG00000006117
chrN00052:clu_14132_+	ENSFALG00000026912
chrN00052:clu_14176_-	ENSFALG00000004684
chrN00052:clu_14187_-	ENSFALG00000004762
chrN00052:clu_14298_-	ENSFALG00000006061
