gene	exons
ENSFALG00000000153	E013
ENSFALG00000001046	E082
ENSFALG00000001545	E022
ENSFALG00000001546	E001
ENSFALG00000001877	E020
ENSFALG00000004375	E029
ENSFALG00000004441	E022
ENSFALG00000005246	E001,E007
ENSFALG00000005651	E011
ENSFALG00000006075	E004
ENSFALG00000006683	E013
ENSFALG00000006939	E001
ENSFALG00000007210	E017
ENSFALG00000008937	E014
ENSFALG00000009700	E003
ENSFALG00000010145	E007
ENSFALG00000011639	E007
ENSFALG00000012674	E023
ENSFALG00000013123	E005
ENSFALG00000013227	E001,E021
ENSFALG00000013610	E026
ENSFALG00000013976	E003
ENSFALG00000024613	E005
ENSFALG00000025445	E001,E008
ENSFALG00000027289	E003
ENSFALG00000028509	E003
ENSFALG00000028790	E001
ENSFALG00000028846	E007
