gene	exons
ENSFALG00000000006	E014
ENSFALG00000000050	E009
ENSFALG00000000089	E001
ENSFALG00000000100	E010
ENSFALG00000000105	E001,E020
ENSFALG00000000128	E015
ENSFALG00000000271	E011
ENSFALG00000000295	E003
ENSFALG00000000405	E006,E008
ENSFALG00000000425	E011
ENSFALG00000000505	E004
ENSFALG00000000621	E026
ENSFALG00000000638	E004
ENSFALG00000000674	E005
ENSFALG00000000715	E024
ENSFALG00000000725	E017
ENSFALG00000000738	E012
ENSFALG00000000756	E007,E011,E012
ENSFALG00000000781	E003
ENSFALG00000000804	E006
ENSFALG00000000856	E009
ENSFALG00000000902	E015
ENSFALG00000000946	E033
ENSFALG00000001000	E005
ENSFALG00000001022	E006
ENSFALG00000001050	E003
ENSFALG00000001138	E011
ENSFALG00000001230	E005,E007
ENSFALG00000001247	E003
ENSFALG00000001315	E005,E007
ENSFALG00000001322	E007
ENSFALG00000001351	E031
ENSFALG00000001353	E020
ENSFALG00000001508	E002
ENSFALG00000001530	E005
ENSFALG00000001580	E008,E014
ENSFALG00000001713	E010
ENSFALG00000001861	E003,E004,E008
ENSFALG00000001906	E016,E017
ENSFALG00000001931	E010
ENSFALG00000002035	E048
ENSFALG00000002284	E015
ENSFALG00000002338	E003
ENSFALG00000002351	E001
ENSFALG00000002440	E008
ENSFALG00000002454	E017
ENSFALG00000002467	E003
ENSFALG00000002494	E001
ENSFALG00000002512	E089
ENSFALG00000002550	E008
ENSFALG00000002624	E008
ENSFALG00000002632	E002
ENSFALG00000002679	E012
ENSFALG00000002712	E013
ENSFALG00000002713	E020
ENSFALG00000002722	E006
ENSFALG00000002836	E005
ENSFALG00000002878	E004
ENSFALG00000003019	E009
ENSFALG00000003127	E002
ENSFALG00000003140	E023
ENSFALG00000003193	E014,E030
ENSFALG00000003210	E010
ENSFALG00000003234	E001,E005
ENSFALG00000003266	E002
ENSFALG00000003280	E007
ENSFALG00000003321	E003
ENSFALG00000003439	E001
ENSFALG00000003512	E007,E019
ENSFALG00000003519	E022
ENSFALG00000003529	E002,E005
ENSFALG00000003544	E015
ENSFALG00000003713	E008
ENSFALG00000003814	E006
ENSFALG00000003847	E019
ENSFALG00000003849	E006
ENSFALG00000003854	E008
ENSFALG00000003904	E002
ENSFALG00000003981	E021
ENSFALG00000003999	E010
ENSFALG00000004052	E009
ENSFALG00000004106	E007
ENSFALG00000004260	E003
ENSFALG00000004343	E003
ENSFALG00000004441	E021
ENSFALG00000004457	E003
ENSFALG00000004612	E010
ENSFALG00000004634	E013
ENSFALG00000004645	E019,E020
ENSFALG00000004652	E005
ENSFALG00000004722	E001,E014
ENSFALG00000004741	E009
ENSFALG00000004765	E007,E009
ENSFALG00000004797	E013
ENSFALG00000004864	E005
ENSFALG00000004881	E007
ENSFALG00000004883	E009
ENSFALG00000004932	E007
ENSFALG00000005037	E007
ENSFALG00000005045	E027
ENSFALG00000005059	E001
ENSFALG00000005093	E003
ENSFALG00000005189	E034
ENSFALG00000005210	E001
ENSFALG00000005245	E004
ENSFALG00000005260	E001
ENSFALG00000005280	E013
ENSFALG00000005312	E001,E002,E003
ENSFALG00000005339	E004,E007
ENSFALG00000005368	E001,E020
ENSFALG00000005381	E001,E002
ENSFALG00000005398	E011
ENSFALG00000005402	E006
ENSFALG00000005521	E013
ENSFALG00000005557	E001,E015,E017
ENSFALG00000005626	E006
ENSFALG00000005654	E005
ENSFALG00000005701	E004,E006
ENSFALG00000005748	E012
ENSFALG00000005789	E019
ENSFALG00000005834	E029
ENSFALG00000005838	E002
ENSFALG00000005937	E004
ENSFALG00000005994	E002
ENSFALG00000006011	E002
ENSFALG00000006048	E018
ENSFALG00000006051	E009
ENSFALG00000006056	E001
ENSFALG00000006058	E003
ENSFALG00000006107	E006,E012,E018
ENSFALG00000006143	E017
ENSFALG00000006227	E012
ENSFALG00000006229	E003
ENSFALG00000006299	E015
ENSFALG00000006369	E009,E011
ENSFALG00000006405	E036
ENSFALG00000006407	E014
ENSFALG00000006411	E004
ENSFALG00000006417	E012
ENSFALG00000006484	E013
ENSFALG00000006522	E015
ENSFALG00000006603	E013
ENSFALG00000006623	E006
ENSFALG00000006707	E008
ENSFALG00000006744	E005
ENSFALG00000006839	E022
ENSFALG00000006850	E013
ENSFALG00000006918	E012
ENSFALG00000006933	E021
ENSFALG00000006942	E007
ENSFALG00000006980	E003
ENSFALG00000007030	E007
ENSFALG00000007036	E019
ENSFALG00000007060	E020
ENSFALG00000007167	E003,E007
ENSFALG00000007176	E004
ENSFALG00000007274	E014
ENSFALG00000007438	E002
ENSFALG00000007612	E001,E011
ENSFALG00000007629	E002
ENSFALG00000007694	E001,E003
ENSFALG00000007717	E001,E002
ENSFALG00000007783	E004
ENSFALG00000007870	E001
ENSFALG00000007927	E002
ENSFALG00000007990	E013
ENSFALG00000008064	E001,E002
ENSFALG00000008178	E002
ENSFALG00000008180	E001,E002
ENSFALG00000008182	E001,E014
ENSFALG00000008230	E003
ENSFALG00000008233	E018
ENSFALG00000008238	E001,E008
ENSFALG00000008264	E080
ENSFALG00000008284	E023
ENSFALG00000008290	E006
ENSFALG00000008302	E001
ENSFALG00000008316	E002
ENSFALG00000008333	E010
ENSFALG00000008377	E008
ENSFALG00000008681	E001
ENSFALG00000008682	E006
ENSFALG00000008688	E003
ENSFALG00000008714	E003
ENSFALG00000008726	E014
ENSFALG00000008750	E001
ENSFALG00000008875	E018,E021,E024,E026
ENSFALG00000008879	E002
ENSFALG00000008961	E001,E002
ENSFALG00000009026	E004
ENSFALG00000009038	E009,E019
ENSFALG00000009071	E010
ENSFALG00000009072	E018
ENSFALG00000009095	E008
ENSFALG00000009096	E001
ENSFALG00000009151	E033
ENSFALG00000009172	E019
ENSFALG00000009236	E007
ENSFALG00000009256	E008
ENSFALG00000009340	E023
ENSFALG00000009370	E009
ENSFALG00000009376	E010
ENSFALG00000009379	E017
ENSFALG00000009399	E002
ENSFALG00000009409	E028
ENSFALG00000009459	E003
ENSFALG00000009496	E003
ENSFALG00000009501	E001
ENSFALG00000009578	E002
ENSFALG00000009738	E019
ENSFALG00000009749	E001
ENSFALG00000009760	E008
ENSFALG00000009784	E001,E003
ENSFALG00000009792	E018
ENSFALG00000009800	E018
ENSFALG00000009983	E003
ENSFALG00000010007	E004,E005
ENSFALG00000010061	E001
ENSFALG00000010099	E049
ENSFALG00000010105	E011
ENSFALG00000010106	E018
ENSFALG00000010145	E007
ENSFALG00000010299	E001,E008
ENSFALG00000010356	E001,E078
ENSFALG00000010382	E005
ENSFALG00000010395	E007
ENSFALG00000010413	E003
ENSFALG00000010416	E010
ENSFALG00000010637	E036
ENSFALG00000010707	E006
ENSFALG00000010721	E001,E005
ENSFALG00000010750	E001,E006
ENSFALG00000010914	E012
ENSFALG00000010940	E002,E003
ENSFALG00000011059	E002
ENSFALG00000011155	E018
ENSFALG00000011214	E012
ENSFALG00000011218	E004
ENSFALG00000011383	E001
ENSFALG00000011390	E001,E005
ENSFALG00000011431	E009
ENSFALG00000011450	E004
ENSFALG00000011452	E002
ENSFALG00000011490	E001,E002
ENSFALG00000011633	E005
ENSFALG00000011701	E008
ENSFALG00000011764	E014
ENSFALG00000011805	E007,E008
ENSFALG00000011844	E012
ENSFALG00000011889	E001
ENSFALG00000011913	E029
ENSFALG00000011919	E002
ENSFALG00000011957	E005
ENSFALG00000011958	E008
ENSFALG00000011968	E007
ENSFALG00000011990	E004
ENSFALG00000012056	E023
ENSFALG00000012079	E001
ENSFALG00000012148	E001
ENSFALG00000012221	E003
ENSFALG00000012296	E010
ENSFALG00000012320	E008
ENSFALG00000012429	E006
ENSFALG00000012455	E001
ENSFALG00000012470	E004
ENSFALG00000012495	E006
ENSFALG00000012528	E001
ENSFALG00000012532	E007
ENSFALG00000012544	E013
ENSFALG00000012688	E004
ENSFALG00000012697	E004
ENSFALG00000012704	E039
ENSFALG00000012725	E001,E008
