groupID	featureID
ENSFALG00000000031	E019
ENSFALG00000000050	E009
ENSFALG00000000076	E001
ENSFALG00000000100	E010
ENSFALG00000000126	E001
ENSFALG00000000137	E003
ENSFALG00000000153	E010
ENSFALG00000000153	E013
ENSFALG00000000179	E002
ENSFALG00000000358	E011
ENSFALG00000000434	E001
ENSFALG00000000457	E008
ENSFALG00000000459	E002
ENSFALG00000000459	E004
ENSFALG00000000459	E008
ENSFALG00000000461	E004
ENSFALG00000000478	E015
ENSFALG00000000505	E004
ENSFALG00000000560	E005
ENSFALG00000000621	E026
ENSFALG00000000621	E027
ENSFALG00000000621	E029
ENSFALG00000000663	E006
ENSFALG00000000699	E001
ENSFALG00000000699	E008
ENSFALG00000000731	E002
ENSFALG00000000740	E012
ENSFALG00000000756	E011
ENSFALG00000000810	E015
ENSFALG00000000856	E004
ENSFALG00000000874	E001
ENSFALG00000000874	E002
ENSFALG00000000896	E004
ENSFALG00000000902	E026
ENSFALG00000000918	E006
ENSFALG00000000927	E001
ENSFALG00000000935	E007
ENSFALG00000000968	E016
ENSFALG00000000987	E023
ENSFALG00000001022	E002
ENSFALG00000001046	E082
ENSFALG00000001103	E012
ENSFALG00000001105	E014
ENSFALG00000001105	E016
ENSFALG00000001259	E006
ENSFALG00000001290	E001
ENSFALG00000001290	E024
ENSFALG00000001321	E001
ENSFALG00000001321	E007
ENSFALG00000001321	E008
ENSFALG00000001351	E031
ENSFALG00000001353	E020
ENSFALG00000001357	E001
ENSFALG00000001378	E012
ENSFALG00000001437	E002
ENSFALG00000001572	E007
ENSFALG00000001579	E001
ENSFALG00000001579	E002
ENSFALG00000001622	E012
ENSFALG00000001688	E002
ENSFALG00000001709	E010
ENSFALG00000001716	E001
ENSFALG00000001755	E001
ENSFALG00000001844	E014
ENSFALG00000001844	E015
ENSFALG00000001861	E003
ENSFALG00000001861	E004
ENSFALG00000001861	E008
ENSFALG00000001888	E009
ENSFALG00000001906	E017
ENSFALG00000001909	E004
ENSFALG00000001909	E008
ENSFALG00000001927	E002
ENSFALG00000001929	E023
ENSFALG00000001931	E010
ENSFALG00000002006	E003
ENSFALG00000002101	E007
ENSFALG00000002115	E001
ENSFALG00000002148	E019
ENSFALG00000002162	E016
ENSFALG00000002178	E012
ENSFALG00000002183	E008
ENSFALG00000002183	E013
ENSFALG00000002250	E033
ENSFALG00000002317	E013
ENSFALG00000002375	E007
ENSFALG00000002387	E023
ENSFALG00000002401	E009
ENSFALG00000002438	E001
ENSFALG00000002454	E017
ENSFALG00000002472	E011
ENSFALG00000002494	E001
ENSFALG00000002514	E001
ENSFALG00000002514	E016
ENSFALG00000002514	E017
ENSFALG00000002514	E018
ENSFALG00000002514	E019
ENSFALG00000002514	E020
ENSFALG00000002527	E004
ENSFALG00000002564	E002
ENSFALG00000002679	E007
ENSFALG00000002679	E009
ENSFALG00000002713	E048
ENSFALG00000002713	E062
ENSFALG00000002722	E005
ENSFALG00000002786	E007
ENSFALG00000002869	E013
ENSFALG00000002885	E012
ENSFALG00000002953	E006
ENSFALG00000002977	E005
ENSFALG00000003006	E003
ENSFALG00000003050	E021
ENSFALG00000003095	E003
ENSFALG00000003140	E023
ENSFALG00000003147	E001
ENSFALG00000003147	E026
ENSFALG00000003193	E014
ENSFALG00000003193	E019
ENSFALG00000003210	E001
ENSFALG00000003210	E009
ENSFALG00000003210	E010
ENSFALG00000003234	E001
ENSFALG00000003234	E003
ENSFALG00000003234	E005
ENSFALG00000003240	E009
ENSFALG00000003281	E005
ENSFALG00000003283	E002
ENSFALG00000003321	E003
ENSFALG00000003321	E017
ENSFALG00000003425	E018
ENSFALG00000003437	E026
ENSFALG00000003477	E001
ENSFALG00000003489	E004
ENSFALG00000003529	E002
ENSFALG00000003585	E012
ENSFALG00000003601	E010
ENSFALG00000003701	E004
ENSFALG00000003767	E001
ENSFALG00000003814	E006
ENSFALG00000003847	E019
ENSFALG00000003849	E005
ENSFALG00000003854	E008
ENSFALG00000003879	E008
ENSFALG00000003879	E009
ENSFALG00000003931	E022
ENSFALG00000004012	E002
ENSFALG00000004032	E013
ENSFALG00000004052	E001
ENSFALG00000004189	E001
ENSFALG00000004202	E004
ENSFALG00000004206	E010
ENSFALG00000004236	E001
ENSFALG00000004236	E005
ENSFALG00000004276	E002
ENSFALG00000004276	E006
ENSFALG00000004302	E021
ENSFALG00000004313	E012
ENSFALG00000004394	E002
ENSFALG00000004449	E021
ENSFALG00000004588	E014
ENSFALG00000004722	E001
ENSFALG00000004765	E007
ENSFALG00000004765	E009
ENSFALG00000004785	E032
ENSFALG00000004895	E020
ENSFALG00000004932	E007
ENSFALG00000005038	E001
ENSFALG00000005059	E001
ENSFALG00000005098	E003
ENSFALG00000005098	E007
ENSFALG00000005104	E008
ENSFALG00000005146	E002
ENSFALG00000005189	E071
ENSFALG00000005197	E001
ENSFALG00000005203	E005
ENSFALG00000005246	E001
ENSFALG00000005339	E004
ENSFALG00000005339	E006
ENSFALG00000005339	E007
ENSFALG00000005381	E001
ENSFALG00000005381	E002
ENSFALG00000005407	E003
ENSFALG00000005438	E001
ENSFALG00000005469	E003
ENSFALG00000005547	E005
ENSFALG00000005626	E002
ENSFALG00000005633	E007
ENSFALG00000005656	E009
ENSFALG00000005661	E006
ENSFALG00000005670	E005
ENSFALG00000005716	E008
ENSFALG00000005799	E002
ENSFALG00000005834	E012
ENSFALG00000005841	E001
ENSFALG00000005841	E011
ENSFALG00000005896	E015
ENSFALG00000005939	E016
ENSFALG00000005952	E008
ENSFALG00000005981	E030
ENSFALG00000006048	E016
ENSFALG00000006051	E002
ENSFALG00000006051	E003
ENSFALG00000006051	E009
ENSFALG00000006090	E010
ENSFALG00000006092	E001
ENSFALG00000006102	E001
ENSFALG00000006102	E006
ENSFALG00000006143	E015
ENSFALG00000006227	E006
ENSFALG00000006229	E002
ENSFALG00000006261	E009
ENSFALG00000006269	E002
ENSFALG00000006302	E002
ENSFALG00000006302	E015
ENSFALG00000006323	E015
ENSFALG00000006369	E009
ENSFALG00000006395	E008
ENSFALG00000006405	E047
ENSFALG00000006405	E050
ENSFALG00000006411	E004
ENSFALG00000006411	E006
ENSFALG00000006418	E002
ENSFALG00000006433	E007
ENSFALG00000006440	E003
ENSFALG00000006457	E001
ENSFALG00000006457	E023
ENSFALG00000006480	E018
ENSFALG00000006480	E022
ENSFALG00000006611	E022
ENSFALG00000006637	E006
ENSFALG00000006638	E004
ENSFALG00000006660	E011
ENSFALG00000006683	E002
ENSFALG00000006683	E013
ENSFALG00000006795	E005
ENSFALG00000006913	E033
ENSFALG00000006961	E010
ENSFALG00000006961	E018
ENSFALG00000006985	E001
ENSFALG00000006986	E006
ENSFALG00000006986	E008
ENSFALG00000007020	E003
ENSFALG00000007061	E009
ENSFALG00000007123	E005
ENSFALG00000007123	E006
ENSFALG00000007167	E003
ENSFALG00000007167	E006
ENSFALG00000007167	E007
ENSFALG00000007229	E011
ENSFALG00000007232	E010
ENSFALG00000007268	E007
ENSFALG00000007273	E019
ENSFALG00000007274	E014
ENSFALG00000007353	E001
ENSFALG00000007438	E002
ENSFALG00000007457	E004
ENSFALG00000007530	E001
ENSFALG00000007561	E007
ENSFALG00000007673	E002
ENSFALG00000007694	E001
ENSFALG00000007694	E003
ENSFALG00000007751	E004
ENSFALG00000007757	E009
ENSFALG00000007883	E002
ENSFALG00000007908	E002
ENSFALG00000007949	E010
ENSFALG00000007951	E013
ENSFALG00000008006	E028
ENSFALG00000008032	E011
ENSFALG00000008032	E018
ENSFALG00000008037	E005
ENSFALG00000008037	E008
ENSFALG00000008064	E001
ENSFALG00000008230	E003
ENSFALG00000008238	E001
ENSFALG00000008252	E017
ENSFALG00000008252	E023
ENSFALG00000008257	E004
ENSFALG00000008299	E001
ENSFALG00000008299	E005
ENSFALG00000008302	E001
ENSFALG00000008389	E009
ENSFALG00000008483	E009
ENSFALG00000008492	E014
ENSFALG00000008563	E002
ENSFALG00000008745	E002
ENSFALG00000008750	E012
ENSFALG00000008761	E005
ENSFALG00000008826	E011
ENSFALG00000008849	E003
ENSFALG00000008849	E004
ENSFALG00000008875	E018
ENSFALG00000008875	E021
ENSFALG00000008875	E024
ENSFALG00000008969	E001
ENSFALG00000009008	E001
ENSFALG00000009008	E003
ENSFALG00000009177	E014
ENSFALG00000009225	E037
ENSFALG00000009276	E009
ENSFALG00000009325	E012
ENSFALG00000009356	E004
ENSFALG00000009370	E009
ENSFALG00000009376	E010
ENSFALG00000009379	E016
ENSFALG00000009379	E020
ENSFALG00000009409	E028
ENSFALG00000009510	E022
ENSFALG00000009527	E009
ENSFALG00000009620	E001
ENSFALG00000009620	E006
ENSFALG00000009648	E007
ENSFALG00000009700	E003
ENSFALG00000009738	E009
ENSFALG00000009769	E002
ENSFALG00000009792	E018
ENSFALG00000009800	E018
ENSFALG00000009888	E008
ENSFALG00000010069	E005
ENSFALG00000010079	E003
ENSFALG00000010092	E002
ENSFALG00000010092	E010
ENSFALG00000010106	E018
ENSFALG00000010145	E001
ENSFALG00000010145	E006
ENSFALG00000010197	E001
ENSFALG00000010299	E001
ENSFALG00000010306	E012
ENSFALG00000010479	E007
ENSFALG00000010708	E002
ENSFALG00000010708	E010
ENSFALG00000010750	E001
ENSFALG00000010831	E004
ENSFALG00000010854	E003
ENSFALG00000010940	E002
ENSFALG00000010940	E003
ENSFALG00000010973	E004
ENSFALG00000010978	E014
ENSFALG00000011031	E003
ENSFALG00000011218	E001
ENSFALG00000011218	E004
ENSFALG00000011218	E022
ENSFALG00000011258	E002
ENSFALG00000011431	E009
ENSFALG00000011431	E016
ENSFALG00000011452	E002
ENSFALG00000011490	E001
ENSFALG00000011490	E002
ENSFALG00000011633	E005
ENSFALG00000011677	E001
ENSFALG00000011683	E006
ENSFALG00000011705	E011
ENSFALG00000011786	E014
ENSFALG00000011915	E004
ENSFALG00000011915	E006
ENSFALG00000011915	E010
ENSFALG00000011957	E004
ENSFALG00000011958	E003
ENSFALG00000011958	E008
ENSFALG00000011964	E002
ENSFALG00000011989	E003
ENSFALG00000012002	E001
ENSFALG00000012214	E022
ENSFALG00000012274	E024
ENSFALG00000012337	E004
ENSFALG00000012365	E009
ENSFALG00000012365	E014
ENSFALG00000012455	E001
ENSFALG00000012483	E009
ENSFALG00000012551	E016
ENSFALG00000012569	E031
ENSFALG00000012579	E010
ENSFALG00000012614	E003
ENSFALG00000012614	E006
ENSFALG00000012639	E005
ENSFALG00000012639	E013
ENSFALG00000012661	E005
ENSFALG00000012681	E001
ENSFALG00000012683	E015
ENSFALG00000012688	E004
ENSFALG00000012697	E002
ENSFALG00000012745	E003
ENSFALG00000012768	E008
ENSFALG00000012768	E009
ENSFALG00000012768	E011
ENSFALG00000012768	E019
ENSFALG00000012785	E003
ENSFALG00000012814	E006
ENSFALG00000012876	E022
ENSFALG00000012914	E010
ENSFALG00000012942	E001
ENSFALG00000012942	E009
ENSFALG00000012960	E011
ENSFALG00000012989	E017
ENSFALG00000013056	E005
ENSFALG00000013097	E007
ENSFALG00000013121	E002
ENSFALG00000013121	E004
ENSFALG00000013123	E008
ENSFALG00000013166	E001
ENSFALG00000013219	E010
ENSFALG00000013227	E001
ENSFALG00000013227	E009
ENSFALG00000013227	E021
ENSFALG00000013255	E007
ENSFALG00000013264	E004
ENSFALG00000013278	E005
ENSFALG00000013329	E013
ENSFALG00000013352	E047
ENSFALG00000013363	E001
ENSFALG00000013376	E001
ENSFALG00000013399	E015
ENSFALG00000013439	E002
ENSFALG00000013464	E007
ENSFALG00000013464	E008
ENSFALG00000013546	E002
ENSFALG00000013584	E008
ENSFALG00000013597	E005
ENSFALG00000013600	E001
ENSFALG00000013600	E002
ENSFALG00000013610	E026
ENSFALG00000013618	E001
ENSFALG00000013663	E002
ENSFALG00000013702	E009
ENSFALG00000013747	E002
ENSFALG00000013747	E005
ENSFALG00000013747	E008
ENSFALG00000013749	E001
ENSFALG00000013790	E016
ENSFALG00000013801	E002
ENSFALG00000013801	E004
ENSFALG00000013830	E018
ENSFALG00000013888	E020
ENSFALG00000013939	E001
ENSFALG00000013939	E005
ENSFALG00000022909	E001
ENSFALG00000022909	E002
ENSFALG00000023061	E002
ENSFALG00000023061	E007
ENSFALG00000023190	E006
ENSFALG00000023211	E007
ENSFALG00000023436	E001
ENSFALG00000023514	E004
ENSFALG00000023514	E007
ENSFALG00000023567	E013
ENSFALG00000023777	E001
ENSFALG00000023836	E001
ENSFALG00000023836	E002
ENSFALG00000024201	E006
ENSFALG00000024332	E013
ENSFALG00000024379	E001
ENSFALG00000024379	E003
ENSFALG00000024443	E009
ENSFALG00000024453	E008
ENSFALG00000024544	E004
ENSFALG00000024544	E006
ENSFALG00000024585	E001
ENSFALG00000024585	E007
ENSFALG00000024618	E001
ENSFALG00000024618	E005
ENSFALG00000024680	E001
ENSFALG00000024728	E001
ENSFALG00000024728	E008
ENSFALG00000024743	E003
ENSFALG00000024869	E001
ENSFALG00000024871	E002
ENSFALG00000025016	E003
ENSFALG00000025102	E003
ENSFALG00000025113	E002
ENSFALG00000025116	E003
ENSFALG00000025116	E007
ENSFALG00000025216	E001
ENSFALG00000025216	E002
ENSFALG00000025291	E001
ENSFALG00000025291	E002
ENSFALG00000025341	E001
ENSFALG00000025341	E002
ENSFALG00000025343	E001
ENSFALG00000025343	E003
ENSFALG00000025454	E007
ENSFALG00000025457	E003
ENSFALG00000025527	E009
ENSFALG00000025604	E010
ENSFALG00000025682	E006
ENSFALG00000025708	E001
ENSFALG00000025708	E004
ENSFALG00000025720	E008
ENSFALG00000025751	E001
ENSFALG00000025849	E002
ENSFALG00000025854	E005
ENSFALG00000025854	E008
ENSFALG00000025933	E002
ENSFALG00000026067	E013
ENSFALG00000026098	E002
ENSFALG00000026105	E005
ENSFALG00000026178	E004
ENSFALG00000026241	E001
ENSFALG00000026275	E003
ENSFALG00000026510	E001
ENSFALG00000026510	E002
ENSFALG00000026618	E006
ENSFALG00000026618	E013
