cluster	genes
chrN00001:clu_103_+	ENSFALG00000012244
chrN00001:clu_124_+	ENSFALG00000012564
chrN00001:clu_134_+	ENSFALG00000012598
chrN00001:clu_135_+	ENSFALG00000012598
chrN00001:clu_148_+	ENSFALG00000012711
chrN00001:clu_152_+	ENSFALG00000012744
chrN00001:clu_155_+	ENSFALG00000012800
chrN00001:clu_156_+	ENSFALG00000012800
chrN00001:clu_158_+	ENSFALG00000012821
chrN00001:clu_159_+	ENSFALG00000012821
chrN00001:clu_161_+	ENSFALG00000012821
chrN00001:clu_17_+	ENSFALG00000024864,ENSFALG00000028887
chrN00001:clu_18_+	ENSFALG00000011039
chrN00001:clu_182_+	ENSFALG00000012928
chrN00001:clu_183_+	ENSFALG00000012928
chrN00001:clu_184_+	ENSFALG00000012928
chrN00001:clu_185_+	ENSFALG00000012928
chrN00001:clu_190_+	ENSFALG00000012991
chrN00001:clu_192_+	ENSFALG00000012991
chrN00001:clu_193_+	ENSFALG00000012991
chrN00001:clu_194_+	ENSFALG00000012991
chrN00001:clu_2_+	ENSFALG00000010794
chrN00001:clu_21_+	ENSFALG00000022865
chrN00001:clu_22_+	ENSFALG00000022865
chrN00001:clu_23_+	NA
chrN00001:clu_232_+	ENSFALG00000013515
chrN00001:clu_233_+	ENSFALG00000013515
chrN00001:clu_234_+	ENSFALG00000013515
chrN00001:clu_239_+	ENSFALG00000013548
chrN00001:clu_24_+	NA
chrN00001:clu_241_+	NA
chrN00001:clu_242_+	NA
chrN00001:clu_252_+	ENSFALG00000013610
chrN00001:clu_253_-	ENSFALG00000026666,ENSFALG00000010760
chrN00001:clu_255_-	ENSFALG00000026666
chrN00001:clu_260_-	NA
chrN00001:clu_261_-	ENSFALG00000010776
chrN00001:clu_268_-	ENSFALG00000010853
chrN00001:clu_271_-	ENSFALG00000010875
chrN00001:clu_272_-	ENSFALG00000010875
chrN00001:clu_279_-	ENSFALG00000010975
chrN00001:clu_280_-	ENSFALG00000010975
chrN00001:clu_284_-	ENSFALG00000011032
chrN00001:clu_287_-	ENSFALG00000011117
chrN00001:clu_30_+	ENSFALG00000011294
chrN00001:clu_305_-	ENSFALG00000026618
chrN00001:clu_306_-	ENSFALG00000026618
chrN00001:clu_307_-	ENSFALG00000026618
chrN00001:clu_308_-	ENSFALG00000026618
chrN00001:clu_309_-	ENSFALG00000026618
chrN00001:clu_311_-	ENSFALG00000011450
chrN00001:clu_312_-	ENSFALG00000011450
chrN00001:clu_315_-	ENSFALG00000011511
chrN00001:clu_322_-	ENSFALG00000011531
chrN00001:clu_324_-	ENSFALG00000011531
chrN00001:clu_328_-	ENSFALG00000011650,ENSFALG00000026400
chrN00001:clu_329_-	ENSFALG00000026400,ENSFALG00000011650
chrN00001:clu_335_-	ENSFALG00000011801
chrN00001:clu_336_-	ENSFALG00000011801
chrN00001:clu_337_-	ENSFALG00000011817
chrN00001:clu_338_-	ENSFALG00000011817
chrN00001:clu_339_-	ENSFALG00000011817
chrN00001:clu_34_+	ENSFALG00000011393
chrN00001:clu_341_-	ENSFALG00000011830
chrN00001:clu_342_-	ENSFALG00000011830
chrN00001:clu_343_-	ENSFALG00000011830
chrN00001:clu_344_-	ENSFALG00000011830
chrN00001:clu_346_-	ENSFALG00000011874
chrN00001:clu_347_-	ENSFALG00000011887
chrN00001:clu_348_-	ENSFALG00000011887
chrN00001:clu_35_+	NA
chrN00001:clu_352_-	ENSFALG00000011898
chrN00001:clu_353_-	ENSFALG00000011898
chrN00001:clu_354_-	ENSFALG00000011898
chrN00001:clu_36_+	NA
chrN00001:clu_37_+	NA
chrN00001:clu_372_-	ENSFALG00000012086
chrN00001:clu_374_-	ENSFALG00000012103
chrN00001:clu_375_-	ENSFALG00000012103
chrN00001:clu_376_-	ENSFALG00000012149
chrN00001:clu_377_-	ENSFALG00000012149
chrN00001:clu_378_-	ENSFALG00000012149
chrN00001:clu_382_-	ENSFALG00000012263
chrN00001:clu_383_-	ENSFALG00000012263
chrN00001:clu_385_-	ENSFALG00000012360
chrN00001:clu_386_-	ENSFALG00000012360
chrN00001:clu_401_-	ENSFALG00000012403
chrN00001:clu_408_-	ENSFALG00000024202
chrN00001:clu_409_-	ENSFALG00000024202
chrN00001:clu_411_-	ENSFALG00000024202
chrN00001:clu_424_-	ENSFALG00000012690
chrN00001:clu_425_-	ENSFALG00000012690
chrN00001:clu_426_-	ENSFALG00000012690
chrN00001:clu_427_-	ENSFALG00000012690
chrN00001:clu_430_-	ENSFALG00000023436
chrN00001:clu_432_-	ENSFALG00000012736
chrN00001:clu_436_-	ENSFALG00000023407
chrN00001:clu_443_-	ENSFALG00000012815
chrN00001:clu_444_-	ENSFALG00000012829
chrN00001:clu_445_-	ENSFALG00000012829
chrN00001:clu_454_-	ENSFALG00000012884
chrN00001:clu_455_-	ENSFALG00000012884
chrN00001:clu_456_-	ENSFALG00000012884
chrN00001:clu_461_-	ENSFALG00000013054
chrN00001:clu_465_-	ENSFALG00000013061
chrN00001:clu_466_-	ENSFALG00000013061
chrN00001:clu_467_-	ENSFALG00000013061
chrN00001:clu_472_-	ENSFALG00000025196
chrN00001:clu_491_-	ENSFALG00000013270
chrN00001:clu_493_-	ENSFALG00000013270
chrN00001:clu_494_-	ENSFALG00000013270
chrN00001:clu_496_-	ENSFALG00000013270
chrN00001:clu_497_-	ENSFALG00000013270
chrN00001:clu_498_-	ENSFALG00000013270
chrN00001:clu_499_-	ENSFALG00000013270
chrN00001:clu_501_-	ENSFALG00000013270
chrN00001:clu_502_-	ENSFALG00000013270
chrN00001:clu_503_-	ENSFALG00000013270
chrN00001:clu_504_-	ENSFALG00000013270
chrN00001:clu_509_-	ENSFALG00000013451
chrN00001:clu_511_-	ENSFALG00000013486
chrN00001:clu_513_-	ENSFALG00000013486
chrN00001:clu_521_-	ENSFALG00000013532
chrN00001:clu_522_-	ENSFALG00000013532
chrN00001:clu_523_-	ENSFALG00000013532
chrN00001:clu_524_-	ENSFALG00000013532
chrN00001:clu_526_-	ENSFALG00000013542
chrN00001:clu_535_-	ENSFALG00000013600
chrN00001:clu_536_-	ENSFALG00000013600
chrN00001:clu_60_+	ENSFALG00000024704
chrN00001:clu_68_+	ENSFALG00000011562
chrN00001:clu_69_+	ENSFALG00000011562
chrN00001:clu_75_+	ENSFALG00000011697
chrN00001:clu_80_+	ENSFALG00000025904
chrN00001:clu_92_+	ENSFALG00000012108
chrN00001:clu_95_+	ENSFALG00000012135
chrN00001:clu_97_+	ENSFALG00000026300
chrN00001:clu_98_+	ENSFALG00000026300
chrN00001:clu_99_+	NA
chrN00002:clu_1013_+	ENSFALG00000011135
chrN00002:clu_1016_+	ENSFALG00000011194
chrN00002:clu_1019_+	ENSFALG00000011317
chrN00002:clu_1024_+	ENSFALG00000011391
chrN00002:clu_1028_+	ENSFALG00000011483
chrN00002:clu_1029_+	ENSFALG00000011483
chrN00002:clu_1030_+	ENSFALG00000011483
chrN00002:clu_1041_+	ENSFALG00000027622
chrN00002:clu_1042_+	ENSFALG00000027622
chrN00002:clu_1043_+	ENSFALG00000027622
chrN00002:clu_1044_+	ENSFALG00000027600
chrN00002:clu_1046_+	ENSFALG00000027600
chrN00002:clu_1050_+	ENSFALG00000011651
chrN00002:clu_1051_+	ENSFALG00000011651
chrN00002:clu_1052_+	ENSFALG00000011651
chrN00002:clu_1057_+	ENSFALG00000027411
chrN00002:clu_1067_+	ENSFALG00000011980
chrN00002:clu_1068_+	ENSFALG00000011980
chrN00002:clu_1070_+	ENSFALG00000011980
chrN00002:clu_1075_+	ENSFALG00000027046
chrN00002:clu_1079_+	ENSFALG00000025172
chrN00002:clu_1083_+	ENSFALG00000012365
chrN00002:clu_1087_+	ENSFALG00000012385
chrN00002:clu_1088_+	ENSFALG00000012385
chrN00002:clu_1096_+	ENSFALG00000012560
chrN00002:clu_1097_+	ENSFALG00000012594
chrN00002:clu_1098_+	ENSFALG00000012594
chrN00002:clu_1099_+	ENSFALG00000012608
chrN00002:clu_1100_+	ENSFALG00000012632
chrN00002:clu_1101_+	ENSFALG00000012632
chrN00002:clu_1113_+	ENSFALG00000012956
chrN00002:clu_1120_+	ENSFALG00000013048
chrN00002:clu_1123_+	ENSFALG00000028015
chrN00002:clu_1125_+	ENSFALG00000013012
chrN00002:clu_1126_+	ENSFALG00000013012
chrN00002:clu_1127_+	ENSFALG00000013012
chrN00002:clu_1131_+	ENSFALG00000023136
chrN00002:clu_1138_+	ENSFALG00000013111
chrN00002:clu_1139_+	ENSFALG00000013111
chrN00002:clu_1141_+	ENSFALG00000013121
chrN00002:clu_1160_+	ENSFALG00000013432
chrN00002:clu_1166_+	ENSFALG00000024616
chrN00002:clu_1167_+	ENSFALG00000024616
chrN00002:clu_545_-	ENSFALG00000009932
chrN00002:clu_555_-	NA
chrN00002:clu_558_-	ENSFALG00000010260
chrN00002:clu_559_-	ENSFALG00000010260
chrN00002:clu_561_-	ENSFALG00000010260
chrN00002:clu_566_-	ENSFALG00000010320
chrN00002:clu_582_-	ENSFALG00000010403
chrN00002:clu_583_-	ENSFALG00000010403
chrN00002:clu_584_-	ENSFALG00000010403
chrN00002:clu_587_-	ENSFALG00000010404
chrN00002:clu_594_-	ENSFALG00000010487
chrN00002:clu_595_-	ENSFALG00000010487
chrN00002:clu_596_-	ENSFALG00000010487
chrN00002:clu_597_-	ENSFALG00000010487
chrN00002:clu_598_-	ENSFALG00000010487
chrN00002:clu_599_-	ENSFALG00000010487
chrN00002:clu_607_-	NA
chrN00002:clu_626_-	ENSFALG00000010638
chrN00002:clu_644_-	ENSFALG00000010746
chrN00002:clu_647_-	ENSFALG00000010757
chrN00002:clu_649_-	ENSFALG00000010759
chrN00002:clu_654_-	ENSFALG00000010763
chrN00002:clu_655_-	ENSFALG00000010763
chrN00002:clu_656_-	ENSFALG00000010763
