genes	clusters
ENSFALG00000000006	chrN00141:clu_22038_+
ENSFALG00000000018	chrN00141:clu_22062_-,chrN00141:clu_22063_-,chrN00141:clu_22064_-
ENSFALG00000000023	chrN00141:clu_22043_+,chrN00141:clu_22044_+
ENSFALG00000000031	chrN00141:clu_22067_-,chrN00141:clu_22069_-,chrN00141:clu_22070_-,chrN00141:clu_22071_-
ENSFALG00000000034	chrN00141:clu_22073_-,chrN00141:clu_22074_-,chrN00141:clu_22078_-
ENSFALG00000000049	chrN00171:clu_23491_-
ENSFALG00000000050	chrN00171:clu_23496_-,chrN00171:clu_23497_-,chrN00171:clu_23498_-,chrN00171:clu_23499_-,chrN00171:clu_23500_-
ENSFALG00000000053	chrN00171:clu_23503_-,chrN00171:clu_23504_-
ENSFALG00000000054	chrN00171:clu_23556_+
ENSFALG00000000075	chrN00061:clu_15455_-,chrN00061:clu_15456_-,chrN00061:clu_15457_-
ENSFALG00000000080	chrN00061:clu_15520_+,chrN00061:clu_15521_+
ENSFALG00000000087	chrN00061:clu_15461_-
ENSFALG00000000088	chrN00171:clu_23518_-,chrN00171:clu_23519_-,chrN00171:clu_23520_-
ENSFALG00000000089	chrN00061:clu_15463_-,chrN00061:clu_15465_-,chrN00061:clu_15467_-
ENSFALG00000000101	chrN00061:clu_15524_+,chrN00061:clu_15526_+
ENSFALG00000000103	chrN00061:clu_15472_-,chrN00061:clu_15474_-
ENSFALG00000000105	chrN00218:clu_25274_-
ENSFALG00000000106	chrN00171:clu_23523_-,chrN00171:clu_23524_-
ENSFALG00000000107	chrN00061:clu_15477_-
ENSFALG00000000111	chrN00171:clu_23572_+
ENSFALG00000000116	chrN00142:clu_22087_+
ENSFALG00000000123	chrN00061:clu_15530_+
ENSFALG00000000124	chrN00218:clu_25278_-,chrN00218:clu_25279_-
ENSFALG00000000128	chrN00142:clu_22091_+
ENSFALG00000000132	chrN00061:clu_15535_+
ENSFALG00000000133	chrN00218:clu_25281_-
ENSFALG00000000135	chrN00061:clu_15480_-,chrN00061:clu_15481_-,chrN00061:clu_15482_-
ENSFALG00000000137	chrN00377:clu_27733_+
ENSFALG00000000139	chrN00377:clu_27731_+
ENSFALG00000000152	chrN00061:clu_15537_+,chrN00061:clu_15538_+
ENSFALG00000000154	chrN00171:clu_23521_-,chrN00171:clu_23529_-,chrN00171:clu_23530_-,chrN00171:clu_23531_-
ENSFALG00000000158	chrN00171:clu_23532_-
ENSFALG00000000160	chrN00218:clu_25282_-
ENSFALG00000000167	chrN00377:clu_27738_-
ENSFALG00000000170	chrN00127:clu_21343_-
ENSFALG00000000173	chrN00161:clu_22992_+
ENSFALG00000000176	chrN00061:clu_15543_+
ENSFALG00000000178	chrN00161:clu_23010_-
ENSFALG00000000179	chrN00171:clu_23578_+
ENSFALG00000000183	chrN00142:clu_22104_+,chrN00142:clu_22105_+
ENSFALG00000000184	chrN00127:clu_21346_-
ENSFALG00000000192	chrN00161:clu_23020_-,chrN00161:clu_23021_-
ENSFALG00000000197	chrN00127:clu_21351_+
ENSFALG00000000200	chrN00142:clu_22114_-
ENSFALG00000000202	chrN00161:clu_23023_-,chrN00161:clu_23024_-
ENSFALG00000000206	chrN00061:clu_15546_+
ENSFALG00000000209	chrN00161:clu_23003_+,chrN00161:clu_23004_+,chrN00161:clu_23005_+,chrN00161:clu_23007_+
ENSFALG00000000215	chrN00061:clu_15492_-
ENSFALG00000000218	chrN00061:clu_15494_-
ENSFALG00000000238	chrN00061:clu_15560_+
ENSFALG00000000240	chrN00171:clu_23580_+
ENSFALG00000000245	chrN00305:clu_27079_+,chrN00305:clu_27080_+
ENSFALG00000000253	chrN00061:clu_15505_-,chrN00061:clu_15507_-,chrN00061:clu_15509_-
ENSFALG00000000254	chrN00171:clu_23585_+
ENSFALG00000000265	chrN00218:clu_25287_-
ENSFALG00000000267	chrN00147:clu_22367_-,chrN00147:clu_22368_-
ENSFALG00000000271	chrN00171:clu_23586_+,chrN00171:clu_23587_+
ENSFALG00000000273	chrN00171:clu_23591_+
ENSFALG00000000295	chrN00050:clu_13720_+
ENSFALG00000000301	chrN00171:clu_23548_-
ENSFALG00000000304	chrN00171:clu_23550_-
ENSFALG00000000315	chrN00050:clu_13679_-
ENSFALG00000000321	chrN00040:clu_12010_+
ENSFALG00000000332	chrN00040:clu_12150_-
ENSFALG00000000336	chrN00050:clu_13683_-
ENSFALG00000000362	chrN00226:clu_25418_+,chrN00226:clu_25419_+,chrN00226:clu_25420_+
ENSFALG00000000364	chrN00050:clu_13750_+,chrN00050:clu_13751_+
ENSFALG00000000370	chrN00050:clu_13752_+,chrN00050:clu_13753_+,chrN00050:clu_13754_+
ENSFALG00000000387	chrN00040:clu_12159_-
ENSFALG00000000388	chrN00110:clu_20308_-,chrN00110:clu_20314_-
ENSFALG00000000403	chrN00050:clu_13697_-
ENSFALG00000000405	chrN00040:clu_12019_+,chrN00040:clu_12020_+,chrN00040:clu_12021_+
ENSFALG00000000415	chrN00050:clu_13699_-,chrN00050:clu_13700_-
ENSFALG00000000427	chrN00218:clu_25260_+
ENSFALG00000000437	chrN00226:clu_25421_+,chrN00226:clu_25424_+
ENSFALG00000000452	chrN00181:clu_23802_-
ENSFALG00000000459	chrN00181:clu_23803_-,chrN00181:clu_23804_-
ENSFALG00000000465	chrN00040:clu_12029_+
ENSFALG00000000467	chrN00226:clu_25447_-,chrN00226:clu_25452_-
ENSFALG00000000478	chrN00181:clu_23829_+
ENSFALG00000000479	chrN00181:clu_23830_+
ENSFALG00000000487	chrN00040:clu_12182_-
ENSFALG00000000488	chrN00110:clu_20318_-
ENSFALG00000000491	chrN00110:clu_20319_-,chrN00110:clu_20320_-
ENSFALG00000000505	chrN00040:clu_12037_+,chrN00040:clu_12038_+
ENSFALG00000000511	chrN00179:clu_23781_+
ENSFALG00000000512	chrN00040:clu_12044_+
ENSFALG00000000518	chrN00040:clu_12185_-
ENSFALG00000000519	chrN00040:clu_12186_-
ENSFALG00000000522	chrN00040:clu_12045_+,chrN00040:clu_12047_+
ENSFALG00000000523	chrN00040:clu_12187_-
ENSFALG00000000524	chrN00040:clu_12188_-
ENSFALG00000000530	chrN00179:clu_23796_-
ENSFALG00000000535	chrN00226:clu_25433_+
ENSFALG00000000536	chrN00226:clu_25458_-
ENSFALG00000000539	chrN00040:clu_12052_+
ENSFALG00000000541	chrN00226:clu_25461_-,chrN00226:clu_25462_-
ENSFALG00000000543	chrN00040:clu_12053_+
ENSFALG00000000545	chrN00040:clu_12056_+
ENSFALG00000000553	chrN00226:clu_25463_-,chrN00226:clu_25465_-
ENSFALG00000000557	chrN00226:clu_25437_+
ENSFALG00000000559	chrN00040:clu_12191_-,chrN00040:clu_12192_-,chrN00040:clu_12197_-,chrN00040:clu_12198_-,chrN00040:clu_12199_-
ENSFALG00000000560	chrN00110:clu_20333_-
ENSFALG00000000564	chrN00110:clu_20365_+,chrN00110:clu_20366_+,chrN00110:clu_20368_+,chrN00110:clu_20369_+
ENSFALG00000000569	chrN00110:clu_20338_-
ENSFALG00000000571	chrN00304:clu_27076_-,chrN00304:clu_27077_-
ENSFALG00000000592	chrN00040:clu_12058_+,chrN00040:clu_12059_+
ENSFALG00000000601	chrN00110:clu_20376_+
ENSFALG00000000610	chrN00040:clu_12069_+
ENSFALG00000000614	chrN00040:clu_12215_-
ENSFALG00000000615	chrN00040:clu_12072_+
ENSFALG00000000617	chrN00110:clu_20380_+,chrN00110:clu_20381_+
ENSFALG00000000631	chrN00210:clu_24950_-,chrN00210:clu_24951_-
ENSFALG00000000637	chrN00222:clu_25354_+,chrN00222:clu_25356_+,chrN00222:clu_25358_+,chrN00222:clu_25359_+
ENSFALG00000000639	chrN00210:clu_24953_-
ENSFALG00000000644	chrN00040:clu_12074_+
ENSFALG00000000656	chrN00210:clu_24956_-
ENSFALG00000000660	chrN00040:clu_12222_-,chrN00040:clu_12225_-
ENSFALG00000000667	chrN00210:clu_24961_-,chrN00210:clu_24962_-
ENSFALG00000000674	chrN00210:clu_24964_-,chrN00210:clu_24965_-
ENSFALG00000000675	chrN00210:clu_24966_-
ENSFALG00000000681	chrN00250:clu_26158_-,chrN00250:clu_26159_-
ENSFALG00000000682	chrN00110:clu_20344_-,chrN00110:clu_20345_-
