cluster	genes
chrN00001:clu_311_-	ENSFALG00000011450
chrN00001:clu_312_-	ENSFALG00000011450
chrN00001:clu_36_+	NA
chrN00001:clu_37_+	NA
chrN00001:clu_432_-	ENSFALG00000012736
chrN00001:clu_444_-	ENSFALG00000012829
chrN00001:clu_498_-	ENSFALG00000013270
chrN00001:clu_502_-	ENSFALG00000013270
chrN00001:clu_512_-	ENSFALG00000013486
chrN00001:clu_536_-	ENSFALG00000013600
chrN00001:clu_68_+	ENSFALG00000011562
chrN00001:clu_77_+	ENSFALG00000011753
chrN00002:clu_1013_+	ENSFALG00000011135
chrN00002:clu_1043_+	ENSFALG00000027622
chrN00002:clu_555_-	NA
chrN00002:clu_595_-	ENSFALG00000010487
chrN00002:clu_713_-	ENSFALG00000011639
chrN00002:clu_714_-	ENSFALG00000011639
chrN00002:clu_742_-	ENSFALG00000011968
chrN00002:clu_749_-	ENSFALG00000012014
chrN00002:clu_752_-	ENSFALG00000012051
chrN00002:clu_760_-	ENSFALG00000012195
chrN00002:clu_849_+	ENSFALG00000009828
chrN00002:clu_869_+	ENSFALG00000010013
chrN00003:clu_1222_+	ENSFALG00000028782
chrN00003:clu_1256_+	ENSFALG00000009527
chrN00003:clu_1364_-	ENSFALG00000009096
chrN00003:clu_1373_-	NA
chrN00003:clu_1427_-	ENSFALG00000009370
chrN00004:clu_1597_+	NA
chrN00004:clu_1634_+	NA
chrN00004:clu_1687_+	ENSFALG00000027397
chrN00004:clu_1703_+	ENSFALG00000007485
chrN00004:clu_1746_-	ENSFALG00000006795
chrN00004:clu_1813_-	NA
chrN00005:clu_1933_-	ENSFALG00000003216
chrN00005:clu_1940_-	ENSFALG00000003266
chrN00005:clu_2003_-	ENSFALG00000003920
chrN00005:clu_2026_-	ENSFALG00000004079
chrN00005:clu_2063_-	ENSFALG00000004250
chrN00005:clu_2123_+	ENSFALG00000003317
chrN00005:clu_2141_+	NA
chrN00006:clu_2311_-	ENSFALG00000025959
chrN00006:clu_2463_-	ENSFALG00000007963
chrN00006:clu_2605_+	ENSFALG00000006953
chrN00006:clu_2628_+	ENSFALG00000007093
chrN00006:clu_2635_+	ENSFALG00000007095
chrN00006:clu_2642_+	NA
chrN00006:clu_2759_+	ENSFALG00000008293
chrN00007:clu_2914_-	ENSFALG00000007274
chrN00007:clu_2928_-	ENSFALG00000007274
chrN00007:clu_2974_-	ENSFALG00000007877
chrN00007:clu_3015_-	ENSFALG00000008386
