cluster	genes
chrN00001:clu_305_-	ENSFALG00000026618
chrN00001:clu_308_-	ENSFALG00000026618
chrN00001:clu_311_-	ENSFALG00000011450
chrN00001:clu_335_-	ENSFALG00000011801
chrN00001:clu_37_+	NA
chrN00001:clu_512_-	ENSFALG00000013486
chrN00001:clu_80_+	ENSFALG00000025904
chrN00002:clu_1079_+	ENSFALG00000025172
chrN00002:clu_1127_+	ENSFALG00000013012
chrN00002:clu_595_-	ENSFALG00000010487
chrN00002:clu_986_+	ENSFALG00000026978
chrN00003:clu_1364_-	ENSFALG00000009096
chrN00004:clu_1597_+	NA
chrN00004:clu_1599_+	ENSFALG00000006999
chrN00004:clu_1669_+	ENSFALG00000007269
chrN00004:clu_1756_-	ENSFALG00000026181
chrN00004:clu_1839_-	ENSFALG00000007132
chrN00005:clu_1940_-	ENSFALG00000003266
chrN00005:clu_2082_-	ENSFALG00000004405
chrN00005:clu_2123_+	ENSFALG00000003317
chrN00005:clu_2141_+	NA
chrN00006:clu_2605_+	ENSFALG00000006953
chrN00006:clu_2641_+	NA
chrN00006:clu_2643_+	NA
chrN00006:clu_2647_+	ENSFALG00000007114
chrN00006:clu_2726_+	ENSFALG00000007827
chrN00007:clu_2905_-	ENSFALG00000007119
chrN00007:clu_2914_-	ENSFALG00000007274
chrN00007:clu_2992_-	ENSFALG00000008284
chrN00007:clu_2996_-	ENSFALG00000008284
chrN00007:clu_3009_-	ENSFALG00000008348
chrN00007:clu_3015_-	ENSFALG00000008386
chrN00007:clu_3102_+	ENSFALG00000007070
chrN00007:clu_3218_+	ENSFALG00000008230
chrN00008:clu_3417_-	ENSFALG00000028670
chrN00009:clu_3751_+	ENSFALG00000012879
chrN00010:clu_3995_+	ENSFALG00000006486
chrN00010:clu_4020_-	ENSFALG00000005863
chrN00011:clu_4258_+	ENSFALG00000012712
chrN00011:clu_4321_-	ENSFALG00000011808
chrN00012:clu_4473_-	ENSFALG00000006991
chrN00012:clu_4635_-	ENSFALG00000008065
chrN00012:clu_4806_-	ENSFALG00000029083
chrN00012:clu_4829_-	NA
chrN00012:clu_5055_+	ENSFALG00000008149
chrN00012:clu_5060_+	ENSFALG00000026312
