gene	exons
ENSFALG00000000050	E009
ENSFALG00000000152	E001,E005
ENSFALG00000000238	E009
ENSFALG00000000266	E014
ENSFALG00000000274	E006
ENSFALG00000000419	E004
ENSFALG00000000529	E005
ENSFALG00000000575	E010
ENSFALG00000000643	E015
ENSFALG00000000683	E004
ENSFALG00000000715	E019
ENSFALG00000000756	E011
ENSFALG00000000804	E006
ENSFALG00000001005	E007
ENSFALG00000001056	E006
ENSFALG00000001353	E020
ENSFALG00000001404	E014
ENSFALG00000001407	E004
ENSFALG00000001877	E018
ENSFALG00000001930	E003
ENSFALG00000002020	E013
ENSFALG00000002035	E030
ENSFALG00000002058	E025
ENSFALG00000002250	E045
ENSFALG00000002274	E009
ENSFALG00000002280	E009
ENSFALG00000002494	E001
ENSFALG00000002566	E016
ENSFALG00000002580	E015
ENSFALG00000002671	E017
ENSFALG00000002686	E008
ENSFALG00000002694	E043
ENSFALG00000002709	E014
ENSFALG00000002713	E057
ENSFALG00000002836	E009,E010
ENSFALG00000002885	E009
ENSFALG00000002919	E010
ENSFALG00000002974	E015
ENSFALG00000003072	E004,E005
ENSFALG00000003187	E001
ENSFALG00000003199	E011,E012
ENSFALG00000003290	E045
ENSFALG00000003335	E007
ENSFALG00000003459	E002
ENSFALG00000003554	E007
ENSFALG00000003600	E002,E008
ENSFALG00000003680	E011
ENSFALG00000003710	E001
ENSFALG00000003840	E013
ENSFALG00000003918	E020
ENSFALG00000004078	E016
ENSFALG00000004131	E003
ENSFALG00000004349	E009,E025
ENSFALG00000004354	E012
ENSFALG00000004402	E006
ENSFALG00000004612	E005
ENSFALG00000004656	E010
ENSFALG00000004765	E007,E008,E009
ENSFALG00000004880	E008
ENSFALG00000004934	E031
ENSFALG00000005012	E011
ENSFALG00000005021	E010
ENSFALG00000005059	E001
ENSFALG00000005093	E003
ENSFALG00000005109	E007
ENSFALG00000005117	E011
ENSFALG00000005131	E001,E009
ENSFALG00000005197	E003
ENSFALG00000005200	E004
ENSFALG00000005246	E004
ENSFALG00000005307	E010,E011,E012,E015
ENSFALG00000005312	E001,E002,E003,E006
ENSFALG00000005448	E005
ENSFALG00000005701	E006
ENSFALG00000005874	E007
ENSFALG00000005937	E004
ENSFALG00000005990	E001
ENSFALG00000005992	E001
ENSFALG00000006045	E011
ENSFALG00000006135	E009
ENSFALG00000006176	E001
ENSFALG00000006227	E016
ENSFALG00000006249	E004
ENSFALG00000006298	E007
ENSFALG00000006332	E001,E004
ENSFALG00000006356	E002
ENSFALG00000006571	E038
ENSFALG00000006718	E007
ENSFALG00000006744	E002,E008
ENSFALG00000006752	E002
ENSFALG00000006906	E002
ENSFALG00000006938	E003,E005
ENSFALG00000007002	E033
ENSFALG00000007009	E003
ENSFALG00000007123	E011
ENSFALG00000007125	E004
ENSFALG00000007245	E001
ENSFALG00000007274	E014,E034
ENSFALG00000007495	E006
ENSFALG00000007528	E014
ENSFALG00000007752	E007
ENSFALG00000007764	E005
ENSFALG00000008064	E002
ENSFALG00000008108	E001,E002,E003,E004
ENSFALG00000008145	E006
ENSFALG00000008180	E002
ENSFALG00000008211	E014
ENSFALG00000008217	E002
ENSFALG00000008230	E003
ENSFALG00000008316	E002
ENSFALG00000008323	E013
ENSFALG00000008360	E015
ENSFALG00000008388	E010
ENSFALG00000008431	E030
