groupID	featureID
ENSFALG00000000002	E001
ENSFALG00000000002	E002
ENSFALG00000000002	E003
ENSFALG00000000002	E004
ENSFALG00000000002	E005
ENSFALG00000000002	E006
ENSFALG00000000002	E007
ENSFALG00000000004	E001
ENSFALG00000000004	E005
ENSFALG00000000004	E008
ENSFALG00000000004	E009
ENSFALG00000000004	E010
ENSFALG00000000004	E012
ENSFALG00000000004	E013
ENSFALG00000000005	E001
ENSFALG00000000005	E002
ENSFALG00000000005	E003
ENSFALG00000000005	E004
ENSFALG00000000005	E005
ENSFALG00000000005	E006
ENSFALG00000000005	E007
ENSFALG00000000005	E008
ENSFALG00000000005	E009
ENSFALG00000000005	E010
ENSFALG00000000005	E011
ENSFALG00000000005	E012
ENSFALG00000000005	E013
ENSFALG00000000005	E014
ENSFALG00000000005	E015
ENSFALG00000000006	E001
ENSFALG00000000006	E002
ENSFALG00000000006	E004
ENSFALG00000000006	E005
ENSFALG00000000006	E006
ENSFALG00000000006	E007
ENSFALG00000000006	E009
ENSFALG00000000006	E011
ENSFALG00000000006	E017
ENSFALG00000000006	E018
ENSFALG00000000006	E023
ENSFALG00000000006	E024
ENSFALG00000000006	E025
ENSFALG00000000007	E001
ENSFALG00000000007	E002
ENSFALG00000000007	E005
ENSFALG00000000007	E006
ENSFALG00000000008	E002
ENSFALG00000000008	E006
ENSFALG00000000008	E008
ENSFALG00000000009	E002
ENSFALG00000000009	E003
ENSFALG00000000009	E004
ENSFALG00000000009	E005
ENSFALG00000000009	E006
ENSFALG00000000009	E009
ENSFALG00000000012	E002
ENSFALG00000000012	E003
ENSFALG00000000012	E005
ENSFALG00000000012	E009
ENSFALG00000000012	E010
ENSFALG00000000012	E011
ENSFALG00000000015	E001
ENSFALG00000000015	E003
ENSFALG00000000018	E002
ENSFALG00000000018	E008
ENSFALG00000000018	E011
ENSFALG00000000018	E014
ENSFALG00000000018	E016
ENSFALG00000000018	E019
ENSFALG00000000023	E001
ENSFALG00000000023	E002
ENSFALG00000000023	E003
ENSFALG00000000023	E004
ENSFALG00000000023	E005
ENSFALG00000000023	E006
ENSFALG00000000023	E007
ENSFALG00000000023	E008
ENSFALG00000000023	E012
ENSFALG00000000024	E001
ENSFALG00000000024	E004
ENSFALG00000000024	E007
ENSFALG00000000024	E008
ENSFALG00000000031	E002
ENSFALG00000000031	E004
ENSFALG00000000031	E005
ENSFALG00000000031	E006
ENSFALG00000000031	E007
ENSFALG00000000031	E008
ENSFALG00000000031	E009
ENSFALG00000000031	E010
