groupID	featureID
ENSFALG00000000074	E006
ENSFALG00000000419	E004
ENSFALG00000000765	E001
ENSFALG00000000824	E007
ENSFALG00000001105	E014
ENSFALG00000001987	E008
ENSFALG00000002020	E013
ENSFALG00000002237	E020
ENSFALG00000003001	E015
ENSFALG00000003047	E010
ENSFALG00000003072	E005
ENSFALG00000003199	E011
ENSFALG00000003335	E007
ENSFALG00000003422	E034
ENSFALG00000003585	E012
ENSFALG00000004313	E012
ENSFALG00000004765	E009
ENSFALG00000004888	E001
ENSFALG00000004925	E008
ENSFALG00000004950	E009
ENSFALG00000005059	E001
ENSFALG00000005131	E001
ENSFALG00000005312	E001
ENSFALG00000005312	E002
ENSFALG00000005422	E032
ENSFALG00000005594	E011
ENSFALG00000006045	E006
ENSFALG00000006045	E011
ENSFALG00000006249	E004
ENSFALG00000006332	E004
ENSFALG00000006356	E002
ENSFALG00000006371	E001
ENSFALG00000006571	E038
ENSFALG00000006752	E002
ENSFALG00000006752	E017
ENSFALG00000006757	E008
ENSFALG00000006808	E022
ENSFALG00000006808	E023
ENSFALG00000006938	E003
ENSFALG00000006976	E024
ENSFALG00000007137	E020
ENSFALG00000007246	E009
ENSFALG00000007702	E034
ENSFALG00000008246	E009
ENSFALG00000008323	E003
ENSFALG00000008323	E010
ENSFALG00000008431	E030
ENSFALG00000008550	E003
ENSFALG00000008734	E027
ENSFALG00000008979	E001
ENSFALG00000008996	E001
ENSFALG00000009087	E014
ENSFALG00000009429	E010
ENSFALG00000009520	E010
ENSFALG00000009600	E005
ENSFALG00000009788	E004
ENSFALG00000009834	E027
ENSFALG00000009844	E032
ENSFALG00000010240	E010
ENSFALG00000010257	E002
ENSFALG00000010379	E013
ENSFALG00000010520	E001
ENSFALG00000010520	E006
ENSFALG00000010708	E001
ENSFALG00000011040	E002
ENSFALG00000011042	E001
ENSFALG00000011228	E001
ENSFALG00000011264	E003
ENSFALG00000011367	E005
ENSFALG00000011820	E013
ENSFALG00000011970	E024
ENSFALG00000012239	E005
ENSFALG00000012314	E002
ENSFALG00000012472	E017
ENSFALG00000012681	E001
ENSFALG00000012697	E004
ENSFALG00000012884	E007
ENSFALG00000013019	E005
ENSFALG00000013546	E006
ENSFALG00000013684	E003
ENSFALG00000013911	E001
ENSFALG00000014031	E003
ENSFALG00000014031	E005
ENSFALG00000024169	E003
ENSFALG00000024169	E004
ENSFALG00000024467	E004
ENSFALG00000024501	E001
ENSFALG00000026105	E008
ENSFALG00000026271	E006
ENSFALG00000026415	E004
ENSFALG00000026640	E001
ENSFALG00000026640	E006
ENSFALG00000027111	E001
ENSFALG00000027165	E001
ENSFALG00000027165	E004
ENSFALG00000027402	E003
ENSFALG00000027402	E004
ENSFALG00000027837	E005
ENSFALG00000028055	E015
ENSFALG00000028278	E003
ENSFALG00000028804	E005
ENSFALG00000028804	E006
ENSFALG00000028956	E002
