cluster	genes
chrN00001:clu_328_-	ENSFALG00000011650,ENSFALG00000026400
chrN00001:clu_338_-	ENSFALG00000011817
chrN00001:clu_375_-	ENSFALG00000012103
chrN00001:clu_512_-	ENSFALG00000013486
chrN00001:clu_532_-	ENSFALG00000013580
chrN00001:clu_536_-	ENSFALG00000013600
chrN00001:clu_71_+	NA
chrN00001:clu_76_+	ENSFALG00000011753
chrN00002:clu_798_-	NA
chrN00002:clu_878_+	ENSFALG00000010127
chrN00003:clu_1358_-	NA
chrN00003:clu_1360_-	ENSFALG00000009092
chrN00003:clu_1449_-	ENSFALG00000009749
chrN00003:clu_1453_-	ENSFALG00000009749
chrN00004:clu_1545_+	ENSFALG00000023242
chrN00004:clu_1563_+	ENSFALG00000006847
chrN00004:clu_1631_+	ENSFALG00000007122
chrN00004:clu_1737_-	ENSFALG00000006592
chrN00004:clu_1769_-	ENSFALG00000006839
chrN00004:clu_1797_-	ENSFALG00000006954
chrN00005:clu_1967_-	ENSFALG00000003554
chrN00005:clu_2100_-	ENSFALG00000004465
chrN00005:clu_2123_+	ENSFALG00000003317
chrN00005:clu_2183_+	ENSFALG00000003927
chrN00006:clu_2330_-	ENSFALG00000006938
chrN00006:clu_2391_-	ENSFALG00000028087
chrN00006:clu_2400_-	ENSFALG00000007406
chrN00006:clu_2416_-	ENSFALG00000007570
chrN00006:clu_2635_+	ENSFALG00000007095
chrN00006:clu_2727_+	ENSFALG00000028278
chrN00006:clu_2784_+	ENSFALG00000008569
chrN00007:clu_2870_-	ENSFALG00000006962
chrN00007:clu_2921_-	ENSFALG00000007274
chrN00007:clu_2944_-	NA
chrN00007:clu_2994_-	ENSFALG00000008284
chrN00007:clu_3066_+	ENSFALG00000006922
chrN00007:clu_3068_+	ENSFALG00000006928
chrN00007:clu_3205_+	ENSFALG00000008063
chrN00007:clu_3218_+	ENSFALG00000008230
chrN00008:clu_3390_-	ENSFALG00000009723
chrN00008:clu_3495_+	ENSFALG00000009267
chrN00008:clu_3524_+	ENSFALG00000009507
chrN00009:clu_3643_-	ENSFALG00000029026
chrN00009:clu_3648_-	ENSFALG00000026713
chrN00009:clu_3656_-	ENSFALG00000013166
chrN00009:clu_3845_+	ENSFALG00000028166
chrN00010:clu_3877_+	ENSFALG00000023348
chrN00010:clu_4058_-	ENSFALG00000006173
chrN00011:clu_4368_-	ENSFALG00000012386
chrN00012:clu_4568_-	ENSFALG00000007591
chrN00012:clu_4671_-	ENSFALG00000008273
chrN00012:clu_4778_-	ENSFALG00000009189
chrN00012:clu_4911_+	ENSFALG00000007195
chrN00012:clu_4913_+	ENSFALG00000027165
chrN00012:clu_5038_+	ENSFALG00000007935,ENSFALG00000028339
chrN00012:clu_5055_+	ENSFALG00000008149
chrN00013:clu_5290_+	ENSFALG00000002611
chrN00013:clu_5483_-	ENSFALG00000002696
chrN00013:clu_5518_-	ENSFALG00000002903
chrN00014:clu_5665_-	ENSFALG00000002454
chrN00014:clu_5734_-	ENSFALG00000002857
chrN00015:clu_5857_-	ENSFALG00000005300
chrN00015:clu_5858_-	ENSFALG00000005300
chrN00015:clu_6024_+	ENSFALG00000005098
chrN00015:clu_6031_+	ENSFALG00000005117
chrN00015:clu_6055_+	ENSFALG00000005584
chrN00016:clu_6192_+	ENSFALG00000013274
chrN00016:clu_6233_+	ENSFALG00000013724
chrN00016:clu_6255_+	ENSFALG00000013782
chrN00017:clu_6435_-	ENSFALG00000005021
chrN00018:clu_6747_-	ENSFALG00000023125
chrN00018:clu_6825_+	ENSFALG00000010858
chrN00019:clu_6945_+	ENSFALG00000002910
chrN00019:clu_6987_+	ENSFALG00000003520
chrN00019:clu_7126_-	ENSFALG00000003087
chrN00019:clu_7160_-	ENSFALG00000003586
chrN00019:clu_7163_-	ENSFALG00000003629
chrN00019:clu_7247_-	ENSFALG00000026640,ENSFALG00000004355
chrN00019:clu_7248_-	ENSFALG00000026640,ENSFALG00000004355
chrN00019:clu_7250_-	ENSFALG00000026640,ENSFALG00000004355
chrN00020:clu_7400_+	ENSFALG00000004216
chrN00021:clu_7487_+	ENSFALG00000012764
chrN00021:clu_7632_-	ENSFALG00000012619
chrN00021:clu_7709_-	ENSFALG00000013283,ENSFALG00000023566
chrN00022:clu_7769_-	ENSFALG00000001673
chrN00023:clu_8015_+	ENSFALG00000008572
chrN00023:clu_8037_-	ENSFALG00000008036
chrN00024:clu_8150_+	ENSFALG00000005387
chrN00024:clu_8181_+	ENSFALG00000005654
chrN00024:clu_8332_-	ENSFALG00000024075
chrN00025:clu_8378_-	ENSFALG00000024799
chrN00025:clu_8446_-	ENSFALG00000025252,ENSFALG00000024685,ENSFALG00000007110,ENSFALG00000025850
chrN00025:clu_8508_-	ENSFALG00000007540
chrN00025:clu_8694_+	NA
chrN00026:clu_8712_+	NA
chrN00026:clu_8725_+	ENSFALG00000000948
chrN00028:clu_8919_-	ENSFALG00000003482
chrN00028:clu_9058_-	ENSFALG00000004934
chrN00028:clu_9256_+	ENSFALG00000005043
chrN00028:clu_9265_+	ENSFALG00000005124
chrN00030:clu_9549_+	ENSFALG00000010222
chrN00030:clu_9585_+	ENSFALG00000010563
chrN00030:clu_9633_-	ENSFALG00000022723
chrN00030:clu_9682_-	ENSFALG00000010257,ENSFALG00000021806
chrN00030:clu_9687_-	ENSFALG00000010257
chrN00031:clu_9757_-	ENSFALG00000011425
chrN00032:clu_9973_+	ENSFALG00000008692
chrN00033:clu_10193_+	ENSFALG00000012146
chrN00033:clu_10304_-	ENSFALG00000011549
chrN00033:clu_10367_-	ENSFALG00000012285
chrN00034:clu_10483_+	ENSFALG00000009638
chrN00035:clu_10642_+	ENSFALG00000002538
chrN00035:clu_10701_+	ENSFALG00000002940
chrN00035:clu_10706_+	ENSFALG00000002975
chrN00036:clu_10771_-	ENSFALG00000028204
chrN00036:clu_10779_-	ENSFALG00000013847
chrN00036:clu_10824_-	ENSFALG00000013978
chrN00036:clu_10870_-	ENSFALG00000014031
chrN00036:clu_10973_+	ENSFALG00000013844
chrN00036:clu_11090_+	ENSFALG00000014068
chrN00037:clu_11288_-	ENSFALG00000010138
chrN00037:clu_11291_-	ENSFALG00000010151
chrN00038:clu_11346_-	ENSFALG00000007626
chrN00038:clu_11451_-	ENSFALG00000008753
chrN00038:clu_11599_+	ENSFALG00000008937
chrN00039:clu_11662_-	ENSFALG00000028829
chrN00039:clu_11810_+	ENSFALG00000001388,ENSFALG00000001396
chrN00039:clu_11980_+	ENSFALG00000002169
chrN00039:clu_12008_+	ENSFALG00000002222
chrN00040:clu_12100_+	ENSFALG00000000840
chrN00040:clu_12274_-	ENSFALG00000001135
chrN00042:clu_12414_+	ENSFALG00000024418
chrN00042:clu_12419_-	ENSFALG00000003759
chrN00042:clu_12454_-	ENSFALG00000004005
chrN00043:clu_12626_+	ENSFALG00000007689
chrN00044:clu_12737_-	ENSFALG00000002315
chrN00044:clu_12789_+	ENSFALG00000002234
chrN00044:clu_12805_+	ENSFALG00000002270
chrN00045:clu_12820_-	NA
chrN00045:clu_12824_-	ENSFALG00000008404
chrN00045:clu_12898_+	ENSFALG00000028818
chrN00046:clu_12977_-	ENSFALG00000002620
chrN00046:clu_13045_+	ENSFALG00000002351
chrN00046:clu_13096_+	ENSFALG00000002580
chrN00046:clu_13097_+	ENSFALG00000002580
chrN00046:clu_13113_+	ENSFALG00000002703
chrN00047:clu_13342_+	ENSFALG00000012126
chrN00049:clu_13482_+	ENSFALG00000025342
chrN00049:clu_13504_+	ENSFALG00000005734
chrN00049:clu_13567_-	ENSFALG00000026244
chrN00049:clu_13646_-	ENSFALG00000024732
chrN00051:clu_13944_+	ENSFALG00000006217
chrN00052:clu_14014_+	ENSFALG00000005422
chrN00052:clu_14080_+	ENSFALG00000006283
chrN00052:clu_14125_+	ENSFALG00000006671
chrN00052:clu_14198_-	ENSFALG00000005040
chrN00052:clu_14222_-	ENSFALG00000005326
chrN00052:clu_14301_-	ENSFALG00000006112
chrN00052:clu_14328_-	ENSFALG00000025487
chrN00053:clu_14373_-	ENSFALG00000002861
chrN00053:clu_14411_-	ENSFALG00000027775
chrN00053:clu_14418_-	ENSFALG00000003314
chrN00056:clu_14797_-	ENSFALG00000009567
chrN00056:clu_14943_+	ENSFALG00000009834
chrN00057:clu_15168_+	ENSFALG00000008585
chrN00058:clu_15231_+	ENSFALG00000008884
chrN00058:clu_15232_+	ENSFALG00000008884
chrN00058:clu_15278_-	ENSFALG00000008979
chrN00059:clu_15308_+	ENSFALG00000005157
chrN00059:clu_15309_+	ENSFALG00000027445
chrN00061:clu_15483_-	ENSFALG00000028158
chrN00061:clu_15513_+	ENSFALG00000000074
chrN00063:clu_15777_-	ENSFALG00000010784
chrN00063:clu_15779_-	ENSFALG00000010814
chrN00064:clu_15902_+	ENSFALG00000006406
chrN00064:clu_15916_-	ENSFALG00000005491
chrN00064:clu_15949_-	ENSFALG00000006053
chrN00064:clu_15965_-	ENSFALG00000023422
chrN00065:clu_16054_+	ENSFALG00000000820
chrN00065:clu_16091_+	ENSFALG00000001280
chrN00066:clu_16237_-	ENSFALG00000005246
chrN00067:clu_16320_-	ENSFALG00000012853
chrN00067:clu_16354_+	ENSFALG00000012292
chrN00068:clu_16447_+	NA
chrN00068:clu_16575_-	NA
chrN00070:clu_16809_-	ENSFALG00000005439
chrN00071:clu_16903_+	ENSFALG00000002020
chrN00071:clu_16935_+	ENSFALG00000002103
chrN00071:clu_16955_+	ENSFALG00000002172
chrN00072:clu_16969_+	ENSFALG00000002265
chrN00072:clu_17031_+	NA
chrN00073:clu_17165_-	ENSFALG00000006077
chrN00073:clu_17167_-	ENSFALG00000006077
chrN00073:clu_17171_+	ENSFALG00000005752
chrN00073:clu_17192_+	ENSFALG00000006002
chrN00074:clu_17329_-	ENSFALG00000023619
chrN00075:clu_17410_-	ENSFALG00000002599
chrN00075:clu_17427_-	ENSFALG00000003072
chrN00075:clu_17578_+	ENSFALG00000023018
chrN00076:clu_17604_-	ENSFALG00000024481
chrN00077:clu_17684_+	NA
chrN00077:clu_17738_-	ENSFALG00000027477
chrN00079:clu_17905_+	NA
chrN00080:clu_17955_+	ENSFALG00000003047
chrN00080:clu_17961_+	ENSFALG00000003107
chrN00080:clu_18012_-	ENSFALG00000003218
chrN00083:clu_18172_+	ENSFALG00000001525
chrN00085:clu_18338_+	ENSFALG00000006976
chrN00086:clu_18438_-	ENSFALG00000013112
