groupID	featureID
ENSFALG00000000868	E003
ENSFALG00000000923	E015
ENSFALG00000000952	E010
ENSFALG00000001351	E008
ENSFALG00000001495	E001
ENSFALG00000001495	E003
ENSFALG00000001912	E002
ENSFALG00000002583	E013
ENSFALG00000003554	E008
ENSFALG00000003792	E001
ENSFALG00000004481	E002
ENSFALG00000005825	E005
ENSFALG00000006052	E008
ENSFALG00000006457	E001
ENSFALG00000006457	E022
ENSFALG00000006808	E022
ENSFALG00000008233	E005
ENSFALG00000008745	E011
ENSFALG00000008745	E012
ENSFALG00000009409	E025
ENSFALG00000009641	E008
ENSFALG00000009743	E005
ENSFALG00000009834	E008
ENSFALG00000011367	E006
ENSFALG00000012162	E007
ENSFALG00000012162	E011
ENSFALG00000013410	E001
ENSFALG00000023084	E004
ENSFALG00000023166	E001
ENSFALG00000024008	E003
ENSFALG00000024701	E002
ENSFALG00000026080	E002
ENSFALG00000026357	E002
ENSFALG00000028278	E003
ENSFALG00000028278	E004
