gene	exons
ENSFALG00000000053	E007
ENSFALG00000000100	E010
ENSFALG00000000228	E003
ENSFALG00000000309	E012
ENSFALG00000000388	E005
ENSFALG00000000448	E007
ENSFALG00000000467	E011
ENSFALG00000000505	E004
ENSFALG00000000524	E005
ENSFALG00000000591	E007
ENSFALG00000000674	E005
ENSFALG00000000695	E003
ENSFALG00000000762	E032
ENSFALG00000000789	E008
ENSFALG00000000796	E009
ENSFALG00000000893	E007
ENSFALG00000000923	E001
ENSFALG00000001056	E006
ENSFALG00000001175	E002
ENSFALG00000001180	E004
ENSFALG00000001291	E010
ENSFALG00000001353	E020
ENSFALG00000001407	E005
ENSFALG00000001461	E023
ENSFALG00000001667	E001
ENSFALG00000001671	E003
ENSFALG00000001772	E013
ENSFALG00000001817	E018
ENSFALG00000001924	E002
ENSFALG00000002022	E009
ENSFALG00000002077	E005
ENSFALG00000002220	E002
ENSFALG00000002387	E001,E002
ENSFALG00000002389	E023
ENSFALG00000002454	E017
ENSFALG00000002494	E001
ENSFALG00000002496	E025
ENSFALG00000002503	E002,E003,E007
ENSFALG00000002566	E016
ENSFALG00000002580	E015
ENSFALG00000002591	E016
ENSFALG00000002686	E009
ENSFALG00000002834	E016
ENSFALG00000002847	E003
ENSFALG00000002867	E004
ENSFALG00000002884	E001
ENSFALG00000003187	E001
ENSFALG00000003274	E017
ENSFALG00000003362	E002
ENSFALG00000003425	E018
ENSFALG00000003437	E002
ENSFALG00000003532	E014,E015
ENSFALG00000003554	E007
ENSFALG00000003600	E001,E002
ENSFALG00000003601	E006
ENSFALG00000003697	E007
ENSFALG00000003792	E002,E009
ENSFALG00000003907	E015
ENSFALG00000003966	E003
ENSFALG00000004177	E004,E005
ENSFALG00000004291	E008
ENSFALG00000004394	E013,E014
ENSFALG00000004675	E003
ENSFALG00000004762	E021
ENSFALG00000004765	E001,E004,E007,E008,E009
ENSFALG00000004864	E005,E006,E007
ENSFALG00000004880	E008
ENSFALG00000004887	E014
ENSFALG00000005048	E006
ENSFALG00000005059	E001
ENSFALG00000005084	E015
ENSFALG00000005088	E017
ENSFALG00000005237	E020
ENSFALG00000005248	E092
ENSFALG00000005306	E002
ENSFALG00000005314	E003
ENSFALG00000005402	E001,E002
ENSFALG00000005448	E005
ENSFALG00000005557	E014
ENSFALG00000005701	E006,E007
ENSFALG00000005790	E014
ENSFALG00000005793	E004
ENSFALG00000005801	E010
ENSFALG00000005851	E031
ENSFALG00000005874	E001,E007
ENSFALG00000005928	E002
ENSFALG00000006045	E015
ENSFALG00000006083	E029
ENSFALG00000006135	E009
ENSFALG00000006201	E001
ENSFALG00000006332	E004
ENSFALG00000006344	E013
ENSFALG00000006409	E029
ENSFALG00000006444	E009
ENSFALG00000006709	E001
ENSFALG00000006808	E006,E007
ENSFALG00000006839	E004
ENSFALG00000007089	E002,E011,E012,E016
ENSFALG00000007136	E023
ENSFALG00000007250	E031
ENSFALG00000007434	E009
ENSFALG00000007439	E001
ENSFALG00000007528	E014
ENSFALG00000007728	E012
ENSFALG00000008053	E016
ENSFALG00000008059	E012
ENSFALG00000008180	E002
ENSFALG00000008230	E003
ENSFALG00000008233	E009,E011
ENSFALG00000008337	E005
ENSFALG00000008405	E019
ENSFALG00000008431	E030
ENSFALG00000008561	E001,E005
ENSFALG00000008875	E001
ENSFALG00000008884	E003
ENSFALG00000008967	E014
ENSFALG00000008978	E001,E002
ENSFALG00000008979	E001
ENSFALG00000009031	E005
ENSFALG00000009048	E014
ENSFALG00000009087	E002
ENSFALG00000009313	E009
ENSFALG00000009429	E004,E009,E014
ENSFALG00000009517	E002
ENSFALG00000009547	E002
ENSFALG00000009600	E005
ENSFALG00000009669	E011
ENSFALG00000009731	E001,E003,E014
ENSFALG00000009831	E005
ENSFALG00000009912	E012
ENSFALG00000009938	E008
ENSFALG00000009997	E036
ENSFALG00000010121	E001
ENSFALG00000010142	E014
ENSFALG00000010208	E007
ENSFALG00000010289	E008
ENSFALG00000010416	E010
ENSFALG00000010442	E003
ENSFALG00000010565	E004,E015
ENSFALG00000010685	E010
ENSFALG00000010721	E005
ENSFALG00000010808	E008
ENSFALG00000010826	E002
ENSFALG00000010945	E004
ENSFALG00000010973	E004
ENSFALG00000010992	E002
ENSFALG00000011236	E002,E003
ENSFALG00000011255	E002
ENSFALG00000011324	E003
ENSFALG00000011392	E016
ENSFALG00000011438	E003
ENSFALG00000011452	E002
ENSFALG00000011478	E014
ENSFALG00000011490	E001,E002
ENSFALG00000011511	E002
ENSFALG00000011675	E001,E003
ENSFALG00000011694	E041
ENSFALG00000011699	E002
ENSFALG00000011805	E007
ENSFALG00000011838	E009
ENSFALG00000011889	E016
ENSFALG00000011897	E002
ENSFALG00000011987	E002
ENSFALG00000012013	E001
ENSFALG00000012148	E001
ENSFALG00000012162	E005
ENSFALG00000012284	E010
ENSFALG00000012509	E054
ENSFALG00000012534	E012
ENSFALG00000012544	E013
ENSFALG00000012560	E011
ENSFALG00000012619	E015
ENSFALG00000012688	E004
ENSFALG00000012736	E009
ENSFALG00000012774	E041
ENSFALG00000012884	E007
ENSFALG00000012924	E033,E061
ENSFALG00000013198	E002
