gene	exons
ENSFALG00000000002	E001,E002,E003,E004,E005,E006,E007
ENSFALG00000000004	E001,E002,E003,E004,E005,E006,E007,E008,E009,E010,E011,E012,E013,E014,E015
ENSFALG00000000007	E001,E002,E003,E004,E005,E006
ENSFALG00000000051	E001,E002,E003,E004,E005,E006
ENSFALG00000000058	E001,E002,E003,E004,E005,E006,E007,E008,E009,E010,E011
ENSFALG00000000077	E001,E002,E003,E004
ENSFALG00000000093	E001,E002,E003
ENSFALG00000000099	E001,E002,E003,E004,E005,E006,E007,E008,E009,E010
ENSFALG00000000129	E001,E002,E003,E004,E005,E006,E007,E008,E009,E010,E011,E012,E013,E014,E015,E016,E017
ENSFALG00000000142	E001,E002,E003,E004,E005,E006,E007,E008
ENSFALG00000000143	E001,E002,E003,E004,E005,E006,E007,E008,E009
ENSFALG00000000149	E001,E002,E003,E004,E005,E006,E007,E008,E009,E010,E011,E012
ENSFALG00000000151	E001,E002,E003,E004
ENSFALG00000000157	E001,E002,E003,E004,E005,E006,E007,E008,E009
ENSFALG00000000165	E001,E002,E003,E004,E005,E006,E007,E008
ENSFALG00000000166	E001,E002,E003,E004,E005,E006,E007,E008,E009,E010,E011,E012,E013,E014,E015,E016,E017,E018,E019,E020,E021,E022,E023,E024,E025,E026,E027,E028,E029
ENSFALG00000000172	E001,E002,E003
ENSFALG00000000187	E001,E002,E003,E004,E005,E006,E007,E008,E009,E010,E011,E012,E013,E014,E015,E016,E017,E018,E019,E020,E021,E022,E023,E024,E025,E026,E027,E028,E029,E030,E031,E032,E033,E034,E035,E036,E037,E038,E039,E040,E041,E042,E043
ENSFALG00000000195	E001,E002,E003,E004,E005,E006,E007
ENSFALG00000000216	E001,E002,E003,E004,E005,E006,E007,E008,E009,E010,E011,E012,E013,E014,E015,E016,E017
ENSFALG00000000220	E001,E002,E003,E004,E005
ENSFALG00000000224	E001,E002,E003,E004,E005
ENSFALG00000000225	E001,E002,E003,E004,E005,E006,E007,E008
ENSFALG00000000230	E001,E002,E003,E004,E005,E006,E007,E008,E009,E010,E011,E012,E013,E014,E015,E016
ENSFALG00000000242	E001,E002
ENSFALG00000000243	E001,E002,E003,E004
ENSFALG00000000245	E001,E002,E003,E004,E005,E006,E007,E008,E009,E010,E011,E012,E013,E014,E015
ENSFALG00000000248	E001,E002,E003,E004,E005,E006,E007,E008,E009,E010,E011,E012,E013,E014,E015,E016,E017,E018,E019,E020,E021,E022
ENSFALG00000000256	E001,E002,E003,E004,E005,E006,E007,E008,E009,E010,E011,E012,E013,E014,E015,E016,E017,E018,E019,E020,E021,E022
ENSFALG00000000261	E001,E002,E003,E004
ENSFALG00000000264	E001,E002,E003,E004,E005,E006,E007,E008,E009
ENSFALG00000000270	E001,E002,E003,E004,E005,E006,E007,E008,E009,E010,E011,E012,E013,E014,E015,E016,E017,E018,E019,E020,E021,E022,E023,E024,E025,E026,E027
ENSFALG00000000274	E001,E002,E003,E004,E005,E006,E007,E008,E009,E010,E011,E012,E013,E014
ENSFALG00000000278	E001,E002
ENSFALG00000000280	E001,E002,E003,E004,E005
ENSFALG00000000284	E001,E002,E003,E004,E005,E006,E007,E008,E009,E010,E011,E012,E013,E014,E015,E016,E017,E018,E019,E020,E021,E022,E023,E024,E025,E026,E027,E028,E029,E030,E031,E032,E033,E034,E035,E036,E037,E038,E039,E040,E041,E042,E043,E044,E045,E046,E047,E048,E049,E050,E051,E052,E053
ENSFALG00000000289	E001,E002,E003,E004,E005,E006,E007,E008,E009,E010,E011,E012,E013,E014,E015
ENSFALG00000000300	E001,E002,E003,E004,E005,E006,E007,E008
ENSFALG00000000306	E001,E002,E003,E004,E005,E006,E007,E008,E009,E010,E011,E012,E013,E014,E015,E016,E017,E018,E019,E020,E021,E022,E023
ENSFALG00000000307	E001,E002,E003,E004,E005,E006,E007,E008,E009,E010,E011,E012,E013,E014,E015,E016,E017,E018,E019,E020,E021,E022
ENSFALG00000000308	E001,E002,E003,E004,E005,E006,E007,E008,E009
ENSFALG00000000310	E001,E002,E003,E004,E005,E006,E007,E008,E009,E010,E011,E012,E013,E014,E015,E016,E017
ENSFALG00000000312	E001,E002
ENSFALG00000000318	E001,E002,E003,E004,E005,E006,E007,E008,E009
ENSFALG00000000327	E001,E002,E003,E004,E005,E006,E007,E008,E009,E010,E011,E012,E013
ENSFALG00000000331	E001,E002,E003,E004,E005,E006
ENSFALG00000000335	E001,E002,E003,E004,E005,E006,E007,E008
ENSFALG00000000348	E001,E002,E003,E004,E005,E006,E007,E008,E009,E010,E011,E012,E013,E014,E015,E016,E017,E018,E019,E020,E021,E022,E023,E024,E025
ENSFALG00000000349	E001,E002,E003,E004,E005,E006,E007,E008
ENSFALG00000000352	E001,E002,E003,E004,E005,E006,E007,E008,E009,E010,E011,E012,E013,E014,E015,E016,E017,E018,E019,E020,E021,E022,E023,E024,E025,E026,E027,E028,E029,E030,E031,E032,E033,E034,E035,E036,E037,E038,E039,E040,E041,E042,E043,E044,E045,E046,E047,E048,E049,E050,E051
ENSFALG00000000354	E001,E002,E003,E004,E005,E006,E007,E008,E009
ENSFALG00000000356	E001,E002,E003,E004,E005,E006,E007,E008,E009,E010,E011,E012
ENSFALG00000000357	E001,E002,E003,E004,E005,E006,E007,E008,E009,E010
ENSFALG00000000358	E001,E002,E003,E004,E005,E006,E007,E008,E009,E010,E011
ENSFALG00000000361	E001,E002,E003,E004,E005,E006,E007,E008,E009,E010
ENSFALG00000000373	E001,E002,E003
ENSFALG00000000375	E001,E002,E003,E004,E005,E006,E007,E008,E009,E010,E011
ENSFALG00000000378	E001,E002,E003,E004,E005,E006,E007,E008,E009
ENSFALG00000000379	E001,E002,E003,E004,E005,E006,E007,E008,E009,E010,E011,E012,E013,E014,E015,E016
ENSFALG00000000393	E001,E002,E003,E004,E005,E006,E007,E008,E009,E010,E011,E012
ENSFALG00000000394	E001,E002,E003,E004,E005,E006,E007,E008,E009,E010
ENSFALG00000000397	E001,E002,E003,E004,E005,E006,E007,E008,E009,E010,E011,E012,E013,E014
ENSFALG00000000400	E001,E002,E003,E004,E005,E006,E007,E008,E009,E010
ENSFALG00000000404	E001,E002,E003,E004,E005,E006,E007,E008,E009,E010,E011,E012,E013,E014,E015,E016,E017,E018,E019,E020,E021,E022,E023,E024,E025
ENSFALG00000000405	E001,E002,E003,E004,E005,E006,E007,E008
ENSFALG00000000406	E001,E002,E003,E004,E005,E006,E007,E008,E009,E010,E011,E012,E013,E014,E015
ENSFALG00000000410	E001,E002,E003,E004,E005,E006,E007
ENSFALG00000000431	E001,E002,E003,E004,E005,E006,E007,E008,E009,E010,E011,E012,E013,E014,E015,E016,E017,E018,E019,E020
ENSFALG00000000453	E001,E002,E003,E004,E005,E006,E007,E008,E009,E010,E011,E012
ENSFALG00000000469	E001,E002,E003,E004,E005,E006,E007,E008,E009,E010,E011,E012,E013
ENSFALG00000000482	E001,E002,E003
ENSFALG00000000483	E001,E002,E003,E004,E005,E006,E007,E008,E009
ENSFALG00000000490	E001,E002,E003,E004,E005,E006,E007,E008,E009,E010,E011,E012,E013,E014,E015,E016
ENSFALG00000000493	E001,E002,E003,E004,E005
ENSFALG00000000496	E001,E002,E003,E004
ENSFALG00000000497	E001,E002,E003,E004,E005,E006,E007,E008,E009,E010,E011
ENSFALG00000000502	E001,E002,E003,E004,E005
ENSFALG00000000509	E001,E002,E003,E004,E005,E006
