groupID	featureID
ENSFALG00000000448	E007
ENSFALG00000000559	E056
ENSFALG00000000607	E007
ENSFALG00000000642	E004
ENSFALG00000000734	E024
ENSFALG00000000762	E059
ENSFALG00000000810	E006
ENSFALG00000000869	E003
ENSFALG00000000893	E007
ENSFALG00000000923	E015
ENSFALG00000001056	E006
ENSFALG00000001105	E014
ENSFALG00000001105	E016
ENSFALG00000001167	E005
ENSFALG00000001495	E001
ENSFALG00000001495	E003
ENSFALG00000001538	E023
ENSFALG00000001641	E071
ENSFALG00000001698	E063
ENSFALG00000001780	E018
ENSFALG00000001817	E018
ENSFALG00000001840	E010
ENSFALG00000001894	E008
ENSFALG00000001961	E006
ENSFALG00000001976	E002
ENSFALG00000002022	E009
ENSFALG00000002317	E013
ENSFALG00000002345	E009
ENSFALG00000002345	E010
ENSFALG00000002387	E001
ENSFALG00000002387	E002
ENSFALG00000002503	E002
ENSFALG00000002503	E005
ENSFALG00000002537	E027
ENSFALG00000002566	E016
ENSFALG00000002570	E001
ENSFALG00000002570	E002
ENSFALG00000002677	E008
ENSFALG00000002866	E024
ENSFALG00000002884	E004
ENSFALG00000002910	E012
ENSFALG00000003362	E005
ENSFALG00000003468	E001
ENSFALG00000003519	E007
ENSFALG00000003573	E010
ENSFALG00000003574	E007
ENSFALG00000003933	E012
ENSFALG00000004098	E004
ENSFALG00000004177	E005
ENSFALG00000004194	E012
ENSFALG00000004201	E001
ENSFALG00000004229	E001
ENSFALG00000004313	E012
ENSFALG00000004330	E010
ENSFALG00000004334	E006
ENSFALG00000004337	E006
ENSFALG00000004414	E002
ENSFALG00000004432	E006
ENSFALG00000004449	E019
ENSFALG00000004462	E011
ENSFALG00000004481	E002
ENSFALG00000004617	E002
ENSFALG00000004710	E003
ENSFALG00000004722	E001
ENSFALG00000004765	E001
ENSFALG00000004765	E006
ENSFALG00000004765	E007
ENSFALG00000004765	E009
ENSFALG00000004864	E007
ENSFALG00000005084	E013
ENSFALG00000005084	E015
ENSFALG00000005237	E020
ENSFALG00000005248	E092
ENSFALG00000005335	E003
ENSFALG00000005402	E002
ENSFALG00000005656	E007
ENSFALG00000005656	E019
ENSFALG00000005701	E006
ENSFALG00000005704	E005
ENSFALG00000005793	E004
ENSFALG00000005818	E010
ENSFALG00000005825	E005
ENSFALG00000005874	E003
ENSFALG00000006045	E001
ENSFALG00000006112	E006
ENSFALG00000006133	E002
ENSFALG00000006236	E007
ENSFALG00000006356	E002
ENSFALG00000006371	E001
ENSFALG00000006443	E010
ENSFALG00000006457	E002
ENSFALG00000006784	E002
ENSFALG00000006784	E007
ENSFALG00000006808	E022
ENSFALG00000006809	E025
ENSFALG00000007124	E033
ENSFALG00000007132	E006
ENSFALG00000007235	E001
ENSFALG00000007235	E003
ENSFALG00000007285	E038
ENSFALG00000007626	E001
ENSFALG00000007728	E014
ENSFALG00000007855	E003
ENSFALG00000007877	E005
ENSFALG00000007881	E022
ENSFALG00000007881	E023
ENSFALG00000007881	E040
ENSFALG00000008032	E018
ENSFALG00000008059	E012
ENSFALG00000008226	E007
ENSFALG00000008233	E005
ENSFALG00000008233	E007
ENSFALG00000008233	E014
ENSFALG00000008388	E002
ENSFALG00000008431	E030
ENSFALG00000008737	E005
ENSFALG00000008875	E001
