cluster	genes
chrN00001:clu_512_-	ENSFALG00000013486
chrN00002:clu_901_+	ENSFALG00000010328
chrN00003:clu_1232_+	ENSFALG00000009266
chrN00006:clu_2531_-	ENSFALG00000008745
chrN00006:clu_2727_+	ENSFALG00000028278
chrN00009:clu_3780_+	ENSFALG00000023587,ENSFALG00000028950
chrN00011:clu_4372_-	ENSFALG00000012423
chrN00013:clu_5380_+	ENSFALG00000003458
chrN00016:clu_6233_+	ENSFALG00000013724
chrN00017:clu_6523_-	ENSFALG00000006218
chrN00017:clu_6532_-	ENSFALG00000006236
chrN00018:clu_6747_-	ENSFALG00000023125
chrN00020:clu_7374_+	ENSFALG00000028224
chrN00022:clu_7914_+	ENSFALG00000023659
chrN00023:clu_7987_+	ENSFALG00000008388
chrN00023:clu_7988_+	ENSFALG00000008388
chrN00024:clu_8330_-	ENSFALG00000005860
chrN00025:clu_8496_-	ENSFALG00000007484
chrN00026:clu_8724_+	ENSFALG00000000868
chrN00028:clu_9239_+	ENSFALG00000004844
chrN00030:clu_9645_-	ENSFALG00000026736
chrN00032:clu_9968_+	ENSFALG00000008691
chrN00034:clu_10528_+	ENSFALG00000028842
chrN00035:clu_10607_-	ENSFALG00000002867
chrN00040:clu_12298_-	ENSFALG00000001358
chrN00042:clu_12495_-	NA
chrN00043:clu_12606_+	ENSFALG00000007366
chrN00048:clu_13357_-	ENSFALG00000026098
chrN00049:clu_13637_-	ENSFALG00000006179
chrN00056:clu_14754_-	ENSFALG00000025789,ENSFALG00000025092
chrN00063:clu_15696_+	ENSFALG00000025054
chrN00063:clu_15731_-	ENSFALG00000026353
chrN00064:clu_15859_+	ENSFALG00000006176
chrN00064:clu_15973_-	ENSFALG00000025565
chrN00074:clu_17320_-	ENSFALG00000011171
chrN00075:clu_17527_+	ENSFALG00000003234
chrN00075:clu_17552_+	ENSFALG00000003445
chrN00075:clu_17568_+	ENSFALG00000003600
chrN00077:clu_17722_-	ENSFALG00000025067,ENSFALG00000010755
chrN00088:clu_18577_-	ENSFALG00000007801
chrN00092:clu_19061_+	NA
chrN00092:clu_19072_+	ENSFALG00000013591
chrN00100:clu_19665_+	ENSFALG00000013546
chrN00106:clu_20107_-	ENSFALG00000011301
chrN00113:clu_20526_+	ENSFALG00000024044
chrN00113:clu_20548_+	ENSFALG00000012460
chrN00115:clu_20672_+	ENSFALG00000001677
chrN00119:clu_20960_-	ENSFALG00000009076
chrN00157:clu_22762_+	ENSFALG00000002852,ENSFALG00000002854
chrN00171:clu_23515_-	ENSFALG00000000076
chrN00205:clu_24854_-	ENSFALG00000025596
chrN00210:clu_24950_-	ENSFALG00000000631
chrN00214:clu_25133_-	ENSFALG00000008285
chrN00227:clu_25476_+	ENSFALG00000024923
chrN00229:clu_25571_-	ENSFALG00000001059
chrN00255:clu_26322_-	ENSFALG00000007956
chrN00369:clu_27710_+	ENSFALG00000010589
chrN00412:clu_27877_+	NA
chrN00412:clu_27884_+	NA
chrN00416:clu_27915_-	ENSFALG00000008807
chrN00462:clu_28581_+	NA
chrN01242:clu_28406_+	NA
chrN01710:clu_28632_-	NA
