cluster	genes
chrN00001:clu_128_+	ENSFALG00000012564
chrN00001:clu_131_+	ENSFALG00000012593
chrN00001:clu_185_+	ENSFALG00000012928
chrN00001:clu_311_-	ENSFALG00000011450
chrN00001:clu_338_-	ENSFALG00000011817
chrN00001:clu_353_-	ENSFALG00000011898
chrN00001:clu_432_-	ENSFALG00000012736
chrN00001:clu_511_-	ENSFALG00000013486
chrN00001:clu_512_-	ENSFALG00000013486
chrN00001:clu_532_-	ENSFALG00000013580
chrN00001:clu_536_-	ENSFALG00000013600
chrN00002:clu_1013_+	ENSFALG00000011135
chrN00002:clu_1055_+	NA
chrN00002:clu_1096_+	ENSFALG00000012560
chrN00002:clu_1113_+	ENSFALG00000012956
chrN00002:clu_552_-	ENSFALG00000010095
chrN00002:clu_878_+	ENSFALG00000010127
chrN00002:clu_963_+	ENSFALG00000010808
chrN00002:clu_986_+	ENSFALG00000026978
chrN00003:clu_1348_+	ENSFALG00000010442
chrN00003:clu_1360_-	ENSFALG00000009092
chrN00003:clu_1424_-	ENSFALG00000009310
chrN00003:clu_1482_-	ENSFALG00000010161
chrN00004:clu_1723_+	ENSFALG00000007833
chrN00004:clu_1768_-	ENSFALG00000006839
chrN00004:clu_1839_-	ENSFALG00000007132
chrN00004:clu_1873_-	ENSFALG00000027618
chrN00005:clu_1967_-	ENSFALG00000003554
chrN00005:clu_2216_+	ENSFALG00000004063
chrN00006:clu_2390_-	ENSFALG00000028087
chrN00006:clu_2396_-	ENSFALG00000007406
chrN00006:clu_2403_-	NA
chrN00006:clu_2534_-	ENSFALG00000008745
chrN00006:clu_2647_+	ENSFALG00000007114
chrN00006:clu_2674_+	ENSFALG00000007408,ENSFALG00000024255
chrN00006:clu_2677_+	ENSFALG00000024255,ENSFALG00000024978
chrN00006:clu_2727_+	ENSFALG00000028278
chrN00007:clu_2845_-	ENSFALG00000028533
chrN00007:clu_3211_+	NA
chrN00007:clu_3218_+	ENSFALG00000008230
chrN00007:clu_3233_+	ENSFALG00000008296
chrN00008:clu_3385_-	ENSFALG00000009684
chrN00008:clu_3438_-	ENSFALG00000010020
chrN00008:clu_3468_+	ENSFALG00000009193
chrN00008:clu_3497_+	ENSFALG00000009267
chrN00008:clu_3547_+	ENSFALG00000009686
chrN00008:clu_3593_+	ENSFALG00000010089
chrN00009:clu_3629_-	ENSFALG00000012955
chrN00009:clu_3654_-	ENSFALG00000013156
chrN00009:clu_3673_-	ENSFALG00000013278
chrN00009:clu_3712_-	ENSFALG00000013485
chrN00009:clu_3787_+	ENSFALG00000013104
chrN00010:clu_3915_+	ENSFALG00000006083
chrN00010:clu_4001_-	ENSFALG00000005757
chrN00011:clu_4142_+	ENSFALG00000011213
chrN00011:clu_4224_+	ENSFALG00000012373
chrN00011:clu_4247_+	ENSFALG00000012610
chrN00011:clu_4277_+	NA
chrN00011:clu_4302_-	ENSFALG00000011478
chrN00011:clu_4361_-	ENSFALG00000012334
chrN00011:clu_4422_-	ENSFALG00000012916
chrN00012:clu_4451_-	ENSFALG00000006875
chrN00012:clu_4535_-	ENSFALG00000007424
chrN00012:clu_4559_-	ENSFALG00000007534
chrN00012:clu_4628_-	ENSFALG00000007990
chrN00012:clu_4829_-	NA
chrN00012:clu_4860_+	ENSFALG00000006809
chrN00012:clu_4973_+	ENSFALG00000025877
chrN00012:clu_5132_+	ENSFALG00000026922
chrN00012:clu_5156_+	NA
chrN00012:clu_5179_+	ENSFALG00000009206
chrN00012:clu_5211_+	ENSFALG00000027275
chrN00013:clu_5340_+	ENSFALG00000002834
chrN00013:clu_5449_-	ENSFALG00000002503
chrN00013:clu_5450_-	ENSFALG00000002503
chrN00013:clu_5455_-	ENSFALG00000002508
chrN00013:clu_5456_-	ENSFALG00000002508
chrN00013:clu_5552_-	ENSFALG00000003384
chrN00013:clu_5609_-	ENSFALG00000003787
chrN00015:clu_5846_-	ENSFALG00000005164
chrN00015:clu_5862_-	ENSFALG00000005362
chrN00015:clu_5923_-	ENSFALG00000028414
chrN00015:clu_5926_-	ENSFALG00000028368
chrN00015:clu_5927_-	ENSFALG00000005957
chrN00015:clu_5979_-	ENSFALG00000006298
chrN00015:clu_6023_+	ENSFALG00000005084
chrN00015:clu_6090_+	ENSFALG00000005883
chrN00015:clu_6096_+	NA
chrN00016:clu_6254_+	ENSFALG00000013782
chrN00016:clu_6255_+	ENSFALG00000013782
chrN00016:clu_6309_-	ENSFALG00000027287
chrN00016:clu_6330_-	ENSFALG00000023897
chrN00017:clu_6505_-	ENSFALG00000006052
chrN00017:clu_6523_-	ENSFALG00000006218
chrN00017:clu_6524_-	ENSFALG00000006218
chrN00017:clu_6525_-	ENSFALG00000006218
chrN00018:clu_6778_-	ENSFALG00000011921
chrN00018:clu_6799_-	ENSFALG00000012158
chrN00018:clu_6800_-	ENSFALG00000012162
chrN00018:clu_6828_+	ENSFALG00000010858
chrN00018:clu_6844_+	ENSFALG00000011258
chrN00018:clu_6849_+	ENSFALG00000011324
chrN00018:clu_6852_+	ENSFALG00000011356
chrN00018:clu_6921_+	ENSFALG00000012168
chrN00019:clu_7222_-	ENSFALG00000027684
chrN00020:clu_7362_-	ENSFALG00000025326
chrN00021:clu_7516_+	ENSFALG00000026600
chrN00021:clu_7533_+	ENSFALG00000013079
chrN00021:clu_7622_+	ENSFALG00000025775
chrN00021:clu_7632_-	ENSFALG00000012619
chrN00021:clu_7633_-	ENSFALG00000012619
chrN00021:clu_7635_-	ENSFALG00000012619
chrN00021:clu_7661_-	ENSFALG00000013114
chrN00021:clu_7692_-	ENSFALG00000013245
chrN00022:clu_7894_+	ENSFALG00000001862
chrN00023:clu_7987_+	ENSFALG00000008388
chrN00023:clu_8069_-	ENSFALG00000008254
chrN00024:clu_8160_+	ENSFALG00000005510
chrN00024:clu_8257_-	ENSFALG00000005037
chrN00024:clu_8297_-	ENSFALG00000005704
chrN00024:clu_8319_-	ENSFALG00000024541
chrN00025:clu_8444_-	ENSFALG00000024685
chrN00025:clu_8446_-	ENSFALG00000025252,ENSFALG00000024685,ENSFALG00000007110,ENSFALG00000025850
chrN00025:clu_8693_+	NA
chrN00025:clu_8694_+	NA
chrN00026:clu_8714_+	NA
chrN00027:clu_8820_-	ENSFALG00000023421
chrN00027:clu_8875_+	ENSFALG00000025843
chrN00028:clu_8936_-	ENSFALG00000003790
chrN00028:clu_8938_-	ENSFALG00000003852
chrN00028:clu_8945_-	ENSFALG00000003895
chrN00028:clu_9033_-	ENSFALG00000027846
chrN00030:clu_9521_+	ENSFALG00000027625
chrN00030:clu_9549_+	ENSFALG00000010222
chrN00030:clu_9645_-	ENSFALG00000026736
chrN00030:clu_9687_-	ENSFALG00000010257
chrN00030:clu_9722_-	ENSFALG00000010587
chrN00031:clu_9754_-	ENSFALG00000011425
chrN00031:clu_9783_-	ENSFALG00000011727
chrN00031:clu_9815_+	ENSFALG00000011142
chrN00031:clu_9819_+	ENSFALG00000011199
chrN00032:clu_10019_-	NA
chrN00032:clu_9919_+	ENSFALG00000008260
chrN00032:clu_9925_+	ENSFALG00000023840
chrN00033:clu_10242_+	ENSFALG00000026833
chrN00033:clu_10386_-	ENSFALG00000012375
chrN00033:clu_10407_-	ENSFALG00000012551
chrN00034:clu_10528_+	ENSFALG00000028842
chrN00034:clu_10529_+	ENSFALG00000009987
chrN00035:clu_10651_+	ENSFALG00000002581
chrN00035:clu_10695_+	ENSFALG00000002940
chrN00035:clu_10701_+	ENSFALG00000002940
chrN00036:clu_10736_-	NA
chrN00036:clu_10764_-	ENSFALG00000013804
chrN00036:clu_10774_-	ENSFALG00000013840
chrN00036:clu_10878_-	ENSFALG00000014031
chrN00036:clu_10941_+	ENSFALG00000013773
chrN00036:clu_10973_+	ENSFALG00000013844
chrN00036:clu_11001_+	ENSFALG00000013934
chrN00037:clu_11313_-	ENSFALG00000010308
chrN00037:clu_11317_-	ENSFALG00000010364
chrN00038:clu_11380_-	ENSFALG00000025470
chrN00038:clu_11441_-	ENSFALG00000008652
chrN00038:clu_11493_-	ENSFALG00000008958
chrN00038:clu_11597_+	ENSFALG00000008909
chrN00039:clu_11738_-	ENSFALG00000001809
chrN00039:clu_11791_+	ENSFALG00000001295
chrN00039:clu_11998_+	ENSFALG00000002222
chrN00039:clu_12003_+	ENSFALG00000002222
chrN00040:clu_12140_+	ENSFALG00000001371
chrN00042:clu_12355_+	ENSFALG00000003765
chrN00042:clu_12456_-	ENSFALG00000028762
chrN00043:clu_12507_-	ENSFALG00000007302
chrN00043:clu_12508_-	ENSFALG00000007302
chrN00043:clu_12537_-	ENSFALG00000015022
chrN00043:clu_12606_+	ENSFALG00000007366
chrN00044:clu_12680_-	ENSFALG00000002184
chrN00044:clu_12801_+	ENSFALG00000002259
chrN00044:clu_12815_+	ENSFALG00000002322
chrN00045:clu_12824_-	ENSFALG00000008404
