cluster	genes
chrN00001:clu_100_+	ENSFALG00000012182
chrN00001:clu_101_+	ENSFALG00000012182
chrN00001:clu_122_+	ENSFALG00000012529
chrN00001:clu_124_+	ENSFALG00000012564
chrN00001:clu_126_+	ENSFALG00000012564
chrN00001:clu_127_+	ENSFALG00000012564
chrN00001:clu_128_+	ENSFALG00000012564
chrN00001:clu_129_+	ENSFALG00000012593
chrN00001:clu_130_+	ENSFALG00000012593
chrN00001:clu_131_+	ENSFALG00000012593
chrN00001:clu_132_+	ENSFALG00000012593
chrN00001:clu_133_+	ENSFALG00000012593
chrN00001:clu_134_+	ENSFALG00000012598
chrN00001:clu_147_+	ENSFALG00000012671
chrN00001:clu_148_+	ENSFALG00000012711
chrN00001:clu_149_+	ENSFALG00000012711
chrN00001:clu_157_+	ENSFALG00000012821
chrN00001:clu_158_+	ENSFALG00000012821
chrN00001:clu_159_+	ENSFALG00000012821
chrN00001:clu_160_+	ENSFALG00000012821
chrN00001:clu_161_+	ENSFALG00000012821
chrN00001:clu_17_+	ENSFALG00000024864,ENSFALG00000028887
chrN00001:clu_174_+	ENSFALG00000012907
chrN00001:clu_175_+	ENSFALG00000012907
chrN00001:clu_176_+	ENSFALG00000012907
chrN00001:clu_178_+	ENSFALG00000012907
chrN00001:clu_182_+	ENSFALG00000012928
chrN00001:clu_183_+	ENSFALG00000012928
chrN00001:clu_185_+	ENSFALG00000012928
chrN00001:clu_190_+	ENSFALG00000012991
chrN00001:clu_193_+	ENSFALG00000012991
chrN00001:clu_194_+	ENSFALG00000012991
chrN00001:clu_209_+	ENSFALG00000013101
chrN00001:clu_21_+	ENSFALG00000022865
chrN00001:clu_214_+	ENSFALG00000013124
chrN00001:clu_215_+	ENSFALG00000013124
chrN00001:clu_218_+	NA
chrN00001:clu_22_+	ENSFALG00000022865
chrN00001:clu_232_+	ENSFALG00000013515
chrN00001:clu_233_+	ENSFALG00000013515
chrN00001:clu_239_+	ENSFALG00000013548
chrN00001:clu_240_+	NA
chrN00001:clu_241_+	NA
chrN00001:clu_242_+	NA
chrN00001:clu_245_+	ENSFALG00000013565
chrN00001:clu_253_-	ENSFALG00000026666,ENSFALG00000010760
chrN00001:clu_255_-	ENSFALG00000026666
chrN00001:clu_258_-	ENSFALG00000010770
chrN00001:clu_259_-	ENSFALG00000010770
chrN00001:clu_261_-	ENSFALG00000010776
chrN00001:clu_265_-	ENSFALG00000010846
chrN00001:clu_268_-	ENSFALG00000010853
chrN00001:clu_279_-	ENSFALG00000010975
chrN00001:clu_282_-	ENSFALG00000010983
chrN00001:clu_283_-	ENSFALG00000011032
chrN00001:clu_284_-	ENSFALG00000011032
chrN00001:clu_287_-	ENSFALG00000011117
chrN00001:clu_30_+	ENSFALG00000011294
chrN00001:clu_303_-	ENSFALG00000011329
chrN00001:clu_311_-	ENSFALG00000011450
chrN00001:clu_312_-	ENSFALG00000011450
chrN00001:clu_315_-	ENSFALG00000011511
chrN00001:clu_316_-	ENSFALG00000011511
chrN00001:clu_317_-	ENSFALG00000011531
chrN00001:clu_322_-	ENSFALG00000011531
chrN00001:clu_323_-	ENSFALG00000011531
chrN00001:clu_324_-	ENSFALG00000011531
chrN00001:clu_325_-	ENSFALG00000011531
chrN00001:clu_328_-	ENSFALG00000011650,ENSFALG00000026400
chrN00001:clu_332_-	ENSFALG00000011717
chrN00001:clu_335_-	ENSFALG00000011801
chrN00001:clu_336_-	ENSFALG00000011801
chrN00001:clu_337_-	ENSFALG00000011817
chrN00001:clu_338_-	ENSFALG00000011817
chrN00001:clu_34_+	ENSFALG00000011393
chrN00001:clu_341_-	ENSFALG00000011830
chrN00001:clu_342_-	ENSFALG00000011830
chrN00001:clu_343_-	ENSFALG00000011830
chrN00001:clu_346_-	ENSFALG00000011874
chrN00001:clu_348_-	ENSFALG00000011887
chrN00001:clu_349_-	ENSFALG00000011892
chrN00001:clu_350_-	ENSFALG00000011892
chrN00001:clu_352_-	ENSFALG00000011898
chrN00001:clu_353_-	ENSFALG00000011898
chrN00001:clu_363_-	ENSFALG00000011977
chrN00001:clu_366_-	ENSFALG00000011999
chrN00001:clu_372_-	ENSFALG00000012086
chrN00001:clu_374_-	ENSFALG00000012103
chrN00001:clu_382_-	ENSFALG00000012263
chrN00001:clu_383_-	ENSFALG00000012263
chrN00001:clu_401_-	ENSFALG00000012403
chrN00001:clu_408_-	ENSFALG00000024202
chrN00001:clu_409_-	ENSFALG00000024202
chrN00001:clu_411_-	ENSFALG00000024202
chrN00001:clu_418_-	ENSFALG00000012595
chrN00001:clu_424_-	ENSFALG00000012690
chrN00001:clu_426_-	ENSFALG00000012690
chrN00001:clu_427_-	ENSFALG00000012690
chrN00001:clu_430_-	ENSFALG00000023436
chrN00001:clu_431_-	ENSFALG00000012736
chrN00001:clu_432_-	ENSFALG00000012736
chrN00001:clu_436_-	ENSFALG00000023407
chrN00001:clu_437_-	ENSFALG00000023407
chrN00001:clu_444_-	ENSFALG00000012829
chrN00001:clu_445_-	ENSFALG00000012829
chrN00001:clu_454_-	ENSFALG00000012884
chrN00001:clu_455_-	ENSFALG00000012884
chrN00001:clu_456_-	ENSFALG00000012884
chrN00001:clu_466_-	ENSFALG00000013061
chrN00001:clu_467_-	ENSFALG00000013061
chrN00001:clu_468_-	ENSFALG00000013061
chrN00001:clu_5_+	ENSFALG00000010816
chrN00001:clu_513_-	ENSFALG00000013486
chrN00001:clu_514_-	ENSFALG00000013486
chrN00001:clu_517_-	ENSFALG00000027378
chrN00001:clu_521_-	ENSFALG00000013532
chrN00001:clu_522_-	ENSFALG00000013532
chrN00001:clu_523_-	ENSFALG00000013532
chrN00001:clu_524_-	ENSFALG00000013532
chrN00001:clu_526_-	ENSFALG00000013542
chrN00001:clu_530_-	ENSFALG00000026548
chrN00001:clu_531_-	ENSFALG00000013580
chrN00001:clu_532_-	ENSFALG00000013580
chrN00001:clu_533_-	ENSFALG00000013580
chrN00001:clu_534_-	ENSFALG00000013580
chrN00001:clu_536_-	ENSFALG00000013600
chrN00001:clu_55_+	ENSFALG00000011477
chrN00001:clu_56_+	ENSFALG00000011477
chrN00001:clu_59_+	ENSFALG00000024704
chrN00001:clu_6_+	ENSFALG00000010838
chrN00001:clu_60_+	ENSFALG00000024704
chrN00001:clu_63_+	NA
chrN00001:clu_7_+	ENSFALG00000010838
chrN00001:clu_71_+	NA
chrN00001:clu_73_+	ENSFALG00000011697
chrN00001:clu_80_+	ENSFALG00000025904
chrN00001:clu_82_+	ENSFALG00000011864
chrN00001:clu_86_+	ENSFALG00000011959
chrN00001:clu_87_+	ENSFALG00000011959
chrN00001:clu_88_+	ENSFALG00000011959
chrN00001:clu_89_+	ENSFALG00000011959
chrN00001:clu_92_+	ENSFALG00000012108
chrN00001:clu_95_+	ENSFALG00000012135
chrN00001:clu_97_+	ENSFALG00000026300
chrN00001:clu_98_+	ENSFALG00000026300
chrN00002:clu_1000_+	ENSFALG00000011030
chrN00002:clu_1003_+	ENSFALG00000011082
chrN00002:clu_1005_+	ENSFALG00000011082
chrN00002:clu_1006_+	ENSFALG00000011082
chrN00002:clu_1013_+	ENSFALG00000011135
chrN00002:clu_1015_+	ENSFALG00000011194
chrN00002:clu_1016_+	ENSFALG00000011194
chrN00002:clu_1019_+	ENSFALG00000011317
chrN00002:clu_1024_+	ENSFALG00000011391
chrN00002:clu_1042_+	ENSFALG00000027622
chrN00002:clu_1044_+	ENSFALG00000027600
chrN00002:clu_1045_+	ENSFALG00000027600
