genes	clusters
ENSFALG00000000074	chrN00061:clu_15514_+
ENSFALG00000000121	chrN00142:clu_22089_+
ENSFALG00000000388	chrN00110:clu_20310_-
ENSFALG00000000467	chrN00226:clu_25447_-
ENSFALG00000000591	chrN00110:clu_20370_+
ENSFALG00000000724	chrN00250:clu_26161_-
ENSFALG00000000731	chrN00040:clu_12233_-
ENSFALG00000000804	chrN00210:clu_25031_+
ENSFALG00000001067	chrN00375:clu_27726_-
ENSFALG00000001175	chrN00347:clu_27529_-
ENSFALG00000001291	chrN00183:clu_23869_-
ENSFALG00000001342	chrN00068:clu_16539_+
ENSFALG00000001351	chrN00094:clu_19325_+
ENSFALG00000001408	chrN00039:clu_11817_+
ENSFALG00000001478	chrN00039:clu_11698_-
ENSFALG00000001508	chrN00048:clu_13353_-
ENSFALG00000001525	chrN00083:clu_18172_+
ENSFALG00000001677	chrN00115:clu_20672_+,chrN00115:clu_20674_+
ENSFALG00000001709	chrN00039:clu_11918_+
ENSFALG00000001862	chrN00022:clu_7894_+
ENSFALG00000001883	chrN00069:clu_16660_+
ENSFALG00000001912	chrN00069:clu_16683_+
ENSFALG00000002103	chrN00071:clu_16935_+
ENSFALG00000002173	chrN00044:clu_12755_+
ENSFALG00000002197	chrN00071:clu_16883_-
ENSFALG00000002353	chrN00072:clu_17078_-
ENSFALG00000002369	chrN00046:clu_12948_-
ENSFALG00000002490	chrN00287:clu_26811_+
ENSFALG00000002502	chrN00013:clu_5446_-
ENSFALG00000002566	chrN00149:clu_22411_-
ENSFALG00000002580	chrN00046:clu_13096_+
ENSFALG00000002591	chrN00156:clu_22667_-
ENSFALG00000002709	chrN00013:clu_5310_+
ENSFALG00000002776	chrN00046:clu_13136_+
ENSFALG00000002777	chrN00096:clu_19420_+
ENSFALG00000002852	chrN00157:clu_22762_+
ENSFALG00000002854	chrN00157:clu_22762_+
ENSFALG00000002872	chrN00046:clu_13151_+
ENSFALG00000002940	chrN00035:clu_10701_+
ENSFALG00000003195	chrN00005:clu_2115_+
ENSFALG00000003335	chrN00102:clu_19870_+
ENSFALG00000003362	chrN00131:clu_21541_+,chrN00131:clu_21544_+
ENSFALG00000003410	chrN00206:clu_24878_-
ENSFALG00000003445	chrN00075:clu_17552_+
