gene	exons
ENSFALG00000000002	E001,E002,E003,E004,E005,E006,E007
ENSFALG00000000005	E001,E002,E003,E004,E005,E006,E007,E008,E009,E010,E011,E012,E013,E014,E015,E016
ENSFALG00000000093	E001,E002,E003
ENSFALG00000000129	E001,E002,E003,E004,E005,E006,E007,E008,E009,E010,E011,E012,E013,E014,E015,E016,E017
ENSFALG00000000142	E001,E002,E003,E004,E005,E006,E007,E008
ENSFALG00000000151	E001,E002,E003,E004
ENSFALG00000000172	E001,E002,E003
ENSFALG00000000195	E001,E002,E003,E004,E005,E006,E007
ENSFALG00000000205	E001,E002,E003
ENSFALG00000000220	E001,E002,E003,E004,E005
ENSFALG00000000242	E001,E002
ENSFALG00000000270	E001,E002,E003,E004,E005,E006,E007,E008,E009,E010,E011,E012,E013,E014,E015,E016,E017,E018,E019,E020,E021,E022,E023,E024,E025,E026,E027
ENSFALG00000000274	E001,E002,E003,E004,E005,E006,E007,E008,E009,E010,E011,E012,E013,E014
ENSFALG00000000284	E001,E002,E003,E004,E005,E006,E007,E008,E009,E010,E011,E012,E013,E014,E015,E016,E017,E018,E019,E020,E021,E022,E023,E024,E025,E026,E027,E028,E029,E030,E031,E032,E033,E034,E035,E036,E037,E038,E039,E040,E041,E042,E043,E044,E045,E046,E047,E048,E049,E050,E051,E052,E053
ENSFALG00000000312	E001,E002
ENSFALG00000000335	E001,E002,E003,E004,E005,E006,E007,E008
ENSFALG00000000372	E001,E002,E003,E004,E005,E006,E007
ENSFALG00000000375	E001,E002,E003,E004,E005,E006,E007,E008,E009,E010,E011
ENSFALG00000000394	E001,E002,E003,E004,E005,E006,E007,E008,E009,E010
ENSFALG00000000400	E001,E002,E003,E004,E005,E006,E007,E008,E009,E010
ENSFALG00000000405	E001,E002,E003,E004,E005,E006,E007,E008
ENSFALG00000000406	E001,E002,E003,E004,E005,E006,E007,E008,E009,E010,E011,E012,E013,E014,E015
ENSFALG00000000410	E001,E002,E003,E004,E005,E006,E007
ENSFALG00000000417	E001,E002,E003,E004,E005,E006,E007,E008,E009,E010,E011,E012
ENSFALG00000000447	E001,E002,E003,E004,E005
ENSFALG00000000448	E001,E002,E003,E004,E005,E006,E007
ENSFALG00000000482	E001,E002,E003
ENSFALG00000000493	E001,E002,E003,E004,E005
ENSFALG00000000526	E001,E002
ENSFALG00000000537	E001,E002,E003,E004,E005,E006,E007,E008,E009,E010,E011,E012,E013,E014,E015,E016,E017
ENSFALG00000000539	E001,E002,E003,E004,E005,E006
ENSFALG00000000544	E001,E002,E003,E004,E005,E006,E007,E008,E009,E010,E011,E012,E013,E014,E015,E016,E017,E018,E019,E020,E021,E022,E023,E024,E025,E026
ENSFALG00000000554	E001,E002,E003
ENSFALG00000000573	E001,E002,E003,E004
ENSFALG00000000579	E001,E002
ENSFALG00000000584	E001,E002,E003,E004,E005
ENSFALG00000000585	E001,E002,E003,E004,E005
ENSFALG00000000612	E001,E002,E003,E004,E005,E006
ENSFALG00000000614	E001,E002,E003,E004
ENSFALG00000000648	E001,E002,E003,E004,E005,E006,E007,E008,E009,E010,E011,E012,E013,E014,E015
ENSFALG00000000661	E001,E002,E003,E004,E005,E006,E007,E008,E009,E010,E011,E012,E013,E014,E015,E016
ENSFALG00000000693	E001,E002,E003,E004,E005
ENSFALG00000000694	E001,E002,E003,E004,E005,E006,E007,E008,E009,E010,E011
ENSFALG00000000702	E001,E002
ENSFALG00000000771	E001,E002,E003,E004
ENSFALG00000000775	E001,E002,E003,E004,E005,E006,E007,E008,E009,E010,E011,E012,E013,E014,E015,E016,E017,E018,E019,E020,E021,E022,E023,E024,E025,E026,E027,E028,E029,E030,E031,E032,E033,E034,E035,E036,E037,E038,E039,E040
ENSFALG00000000880	E001,E002,E003,E004
ENSFALG00000000887	E001,E002,E003,E004,E005,E006,E007
ENSFALG00000000894	E001,E002
ENSFALG00000000906	E001,E002,E003,E004,E005,E006,E007,E008,E009,E010,E011,E012,E013,E014
ENSFALG00000000919	E001,E002,E003,E004,E005,E006,E007,E008,E009,E010
ENSFALG00000000935	E001,E002,E003,E004,E005,E006,E007,E008,E009,E010
ENSFALG00000000941	E001,E002,E003,E004,E005
ENSFALG00000001027	E001,E002,E003,E004,E005,E006,E007,E008,E009,E010,E011,E012,E013,E014,E015,E016,E017,E018,E019,E020,E021,E022,E023,E024,E025,E026,E027,E028,E029,E030,E031,E032,E033,E034,E035,E036,E037,E038
ENSFALG00000001084	E001,E002,E003,E004
ENSFALG00000001093	E001,E002
ENSFALG00000001111	E001,E002,E003,E004,E005,E006,E007
ENSFALG00000001205	E001,E002,E003,E004,E005,E006,E007,E008,E009
ENSFALG00000001212	E001,E002,E003,E004,E005,E006,E007,E008,E009,E010,E011,E012,E013,E014,E015,E016,E017,E018
ENSFALG00000001213	E001,E002,E003,E004,E005
ENSFALG00000001248	E001,E002,E003
ENSFALG00000001258	E001,E002,E003,E004,E005,E006,E007,E008,E009,E010,E011,E012,E013,E014,E015,E016,E017,E018,E019,E020,E021,E022,E023,E024,E025,E026,E027,E028
ENSFALG00000001278	E001
ENSFALG00000001295	E001,E002,E003,E004,E005,E006
ENSFALG00000001336	E001,E002,E003,E004,E005,E006,E007,E008,E009,E010,E011,E012,E013,E014,E015
ENSFALG00000001369	E001,E002,E003,E004,E005,E006,E007,E008,E009,E010,E011,E012
ENSFALG00000001375	E001,E002,E003,E004,E005,E006
ENSFALG00000001385	E001,E002,E003
ENSFALG00000001402	E001
ENSFALG00000001405	E001,E002,E003,E004
ENSFALG00000001432	E001,E002,E003
ENSFALG00000001455	E001
ENSFALG00000001467	E001,E002,E003
ENSFALG00000001546	E001,E002,E003,E004,E005,E006,E007,E008,E009
ENSFALG00000001547	E001,E002,E003,E004
ENSFALG00000001559	E001,E002,E003,E004,E005
ENSFALG00000001603	E001,E002,E003,E004,E005,E006,E007,E008
ENSFALG00000001621	E001,E002,E003,E004,E005,E006,E007
ENSFALG00000001676	E001,E002,E003,E004
ENSFALG00000001683	E001,E002,E003,E004
ENSFALG00000001694	E001,E002,E003,E004,E005,E006,E007,E008,E009,E010,E011,E012,E013,E014,E015,E016,E017,E018,E019,E020,E021
ENSFALG00000001730	E001,E002
ENSFALG00000001731	E001,E002,E003,E004
ENSFALG00000001732	E001,E002
ENSFALG00000001736	E001,E002,E003
ENSFALG00000001742	E001,E002,E003
ENSFALG00000001776	E001,E002,E003,E004,E005,E006
ENSFALG00000001780	E001,E002,E003,E004,E005,E006,E007,E008,E009,E010,E011,E012,E013,E014,E015,E016,E017,E018,E019,E020,E021,E022,E023,E024
ENSFALG00000001803	E001,E002,E003
ENSFALG00000001810	E001,E002,E003,E004
ENSFALG00000001840	E001,E002,E003,E004,E005,E006,E007,E008,E009,E010,E011,E012
ENSFALG00000001918	E001,E002,E003,E004,E005,E006
ENSFALG00000001929	E001,E002,E003,E004,E005,E006,E007,E008,E009,E010,E011,E012,E013,E014,E015,E016,E017,E018,E019,E020,E021,E022,E023,E024,E025,E026,E027,E028,E029,E030,E031,E032,E033,E034,E035,E036,E037,E038,E039,E040,E041
ENSFALG00000001945	E001,E002,E003,E004
ENSFALG00000001989	E001
ENSFALG00000002001	E001,E002,E003
ENSFALG00000002042	E001,E002,E003,E004,E005,E006,E007,E008,E009,E010,E011,E012
ENSFALG00000002061	E001,E002,E003
ENSFALG00000002066	E001,E002,E003,E004
ENSFALG00000002092	E001
ENSFALG00000002111	E001,E002,E003,E004,E005,E006,E007,E008,E009,E010
ENSFALG00000002122	E001,E002,E003
ENSFALG00000002127	E001,E002,E003,E004,E005,E006,E007,E008,E009,E010,E011,E012,E013,E014,E015,E016,E017,E018,E019,E020
ENSFALG00000002139	E001,E002,E003,E004,E005,E006,E007,E008,E009,E010,E011,E012,E013,E014,E015,E016
ENSFALG00000002196	E001,E002
ENSFALG00000002204	E001,E002,E003
ENSFALG00000002216	E001,E002,E003,E004
ENSFALG00000002218	E001,E002,E003,E004,E005,E006,E007,E008
ENSFALG00000002219	E001,E002,E003,E004,E005,E006,E007,E008,E009,E010,E011,E012,E013
ENSFALG00000002226	E001,E002,E003,E004,E005,E006,E007,E008,E009
ENSFALG00000002227	E001,E002,E003,E004
ENSFALG00000002252	E001,E002,E003,E004
ENSFALG00000002253	E001,E002,E003,E004,E005,E006,E007,E008,E009,E010,E011,E012,E013,E014
ENSFALG00000002260	E001,E002,E003,E004,E005,E006,E007,E008,E009,E010,E011,E012,E013,E014,E015,E016,E017,E018,E019,E020,E021,E022,E023
ENSFALG00000002416	E001,E002,E003,E004,E005,E006
ENSFALG00000002430	E001,E002
ENSFALG00000002451	E001
ENSFALG00000002473	E001,E002,E003,E004
ENSFALG00000002477	E001,E002,E003,E004
ENSFALG00000002480	E001,E002,E003,E004,E005,E006,E007,E008,E009,E010,E011
ENSFALG00000002490	E001,E002
ENSFALG00000002505	E001,E002,E003,E004,E005
ENSFALG00000002506	E001,E002,E003,E004,E005,E006
ENSFALG00000002509	E001,E002,E003,E004,E005
ENSFALG00000002521	E001,E002,E003,E004,E005,E006,E007,E008,E009,E010,E011,E012,E013,E014,E015,E016,E017,E018,E019,E020,E021,E022,E023,E024,E025,E026,E027
ENSFALG00000002636	E001,E002,E003,E004,E005,E006,E007,E008,E009
ENSFALG00000002720	E001,E002,E003,E004,E005,E006,E007,E008,E009,E010
ENSFALG00000002733	E001,E002,E003,E004,E005,E006,E007,E008,E009,E010,E011,E012,E013,E014,E015,E016,E017,E018,E019,E020,E021,E022,E023,E024,E025,E026,E027,E028,E029,E030,E031,E032,E033,E034,E035,E036,E037,E038,E039,E040,E041,E042,E043,E044,E045,E046,E047,E048,E049,E050
ENSFALG00000002740	E001
ENSFALG00000002804	E001,E002,E003,E004
ENSFALG00000002817	E001,E002,E003,E004,E005,E006,E007,E008,E009,E010,E011
ENSFALG00000002819	E001,E002,E003,E004,E005,E006
ENSFALG00000002879	E001
ENSFALG00000002890	E001,E002,E003,E004,E005,E006,E007
ENSFALG00000002901	E001,E002,E003
ENSFALG00000002903	E001
ENSFALG00000002907	E001,E002,E003,E004,E005,E006,E007,E008,E009,E010,E011,E012
ENSFALG00000002938	E001,E002,E003,E004
ENSFALG00000002939	E001,E002,E003,E004,E005,E006,E007,E008,E009
ENSFALG00000002941	E001,E002,E003,E004,E005,E006
ENSFALG00000002952	E001,E002,E003,E004,E005,E006,E007,E008,E009
ENSFALG00000002954	E001,E002,E003,E004
ENSFALG00000002971	E001,E002,E003,E004,E005,E006,E007,E008,E009,E010,E011,E012,E013,E014,E015,E016,E017,E018,E019,E020,E021,E022,E023,E024,E025
ENSFALG00000002984	E001,E002
ENSFALG00000003008	E001,E002,E003,E004,E005,E006,E007,E008,E009,E010,E011,E012,E013,E014,E015,E016,E017
ENSFALG00000003033	E001,E002,E003,E004
ENSFALG00000003035	E001,E002,E003,E004,E005,E006,E007,E008,E009,E010,E011,E012,E013,E014,E015
ENSFALG00000003045	E001,E002,E003,E004,E005,E006,E007,E008,E009
ENSFALG00000003054	E001,E002,E003,E004,E005,E006,E007,E008,E009,E010,E011,E012,E013,E014,E015,E016
ENSFALG00000003061	E001,E002,E003,E004,E005,E006,E007,E008,E009,E010,E011,E012,E013
ENSFALG00000003091	E001,E002,E003
ENSFALG00000003096	E001,E002,E003,E004,E005,E006,E007,E008,E009,E010,E011,E012,E013,E014,E015
ENSFALG00000003109	E001,E002,E003,E004,E005
ENSFALG00000003118	E001,E002,E003
ENSFALG00000003123	E001,E002,E003,E004,E005,E006,E007,E008,E009
ENSFALG00000003138	E001,E002,E003,E004,E005,E006,E007,E008,E009,E010,E011
ENSFALG00000003139	E001
ENSFALG00000003190	E001,E002,E003
