groupID	featureID
ENSFALG00000000050	E009
ENSFALG00000000075	E001
ENSFALG00000000075	E011
ENSFALG00000000075	E017
ENSFALG00000000079	E001
ENSFALG00000000084	E017
ENSFALG00000000100	E010
ENSFALG00000000103	E006
ENSFALG00000000116	E011
ENSFALG00000000150	E003
ENSFALG00000000150	E004
ENSFALG00000000160	E001
ENSFALG00000000176	E014
ENSFALG00000000185	E005
ENSFALG00000000186	E014
ENSFALG00000000186	E025
ENSFALG00000000190	E002
ENSFALG00000000190	E021
ENSFALG00000000209	E024
ENSFALG00000000269	E005
ENSFALG00000000309	E012
ENSFALG00000000359	E001
ENSFALG00000000359	E006
ENSFALG00000000434	E008
ENSFALG00000000434	E009
ENSFALG00000000461	E019
ENSFALG00000000461	E020
ENSFALG00000000467	E002
ENSFALG00000000483	E001
ENSFALG00000000487	E001
ENSFALG00000000523	E002
ENSFALG00000000569	E019
ENSFALG00000000590	E048
ENSFALG00000000620	E025
ENSFALG00000000628	E001
ENSFALG00000000629	E006
ENSFALG00000000674	E005
ENSFALG00000000691	E023
ENSFALG00000000698	E001
ENSFALG00000000718	E011
ENSFALG00000000756	E011
ENSFALG00000000759	E006
ENSFALG00000000781	E007
ENSFALG00000000781	E014
ENSFALG00000000782	E001
ENSFALG00000000782	E005
ENSFALG00000000798	E019
ENSFALG00000000804	E006
ENSFALG00000000810	E001
ENSFALG00000000833	E003
ENSFALG00000000869	E003
ENSFALG00000000902	E015
ENSFALG00000000903	E002
ENSFALG00000000958	E005
ENSFALG00000000958	E039
ENSFALG00000000977	E006
ENSFALG00000000979	E002
ENSFALG00000000979	E003
ENSFALG00000000979	E004
ENSFALG00000000979	E005
ENSFALG00000000979	E012
ENSFALG00000001012	E001
ENSFALG00000001025	E012
ENSFALG00000001132	E013
ENSFALG00000001202	E006
ENSFALG00000001202	E008
ENSFALG00000001202	E013
ENSFALG00000001202	E015
ENSFALG00000001302	E008
ENSFALG00000001302	E009
ENSFALG00000001302	E012
ENSFALG00000001353	E020
ENSFALG00000001357	E001
ENSFALG00000001378	E016
ENSFALG00000001477	E001
ENSFALG00000001477	E008
ENSFALG00000001508	E011
ENSFALG00000001612	E038
ENSFALG00000001612	E058
ENSFALG00000001617	E005
ENSFALG00000001622	E008
ENSFALG00000001658	E002
ENSFALG00000001658	E004
ENSFALG00000001671	E003
ENSFALG00000001671	E012
ENSFALG00000001682	E004
ENSFALG00000001682	E012
ENSFALG00000001709	E016
ENSFALG00000001713	E009
ENSFALG00000001750	E007
ENSFALG00000001755	E019
ENSFALG00000001788	E003
ENSFALG00000001788	E005
ENSFALG00000001805	E010
ENSFALG00000001805	E017
ENSFALG00000001813	E051
ENSFALG00000001852	E016
ENSFALG00000001860	E001
ENSFALG00000001902	E062
ENSFALG00000001930	E003
ENSFALG00000001930	E004
ENSFALG00000001930	E006
ENSFALG00000001936	E010
ENSFALG00000001984	E003
ENSFALG00000001985	E012
ENSFALG00000001985	E013
ENSFALG00000001988	E009
ENSFALG00000002007	E012
ENSFALG00000002020	E007
ENSFALG00000002022	E008
ENSFALG00000002039	E018
ENSFALG00000002047	E015
ENSFALG00000002047	E019
ENSFALG00000002048	E012
ENSFALG00000002062	E008
ENSFALG00000002091	E026
ENSFALG00000002131	E019
ENSFALG00000002135	E002
ENSFALG00000002161	E001
ENSFALG00000002161	E002
ENSFALG00000002161	E003
ENSFALG00000002169	E007
ENSFALG00000002169	E012
ENSFALG00000002187	E013
ENSFALG00000002222	E007
ENSFALG00000002274	E009
ENSFALG00000002309	E005
ENSFALG00000002351	E001
ENSFALG00000002402	E009
ENSFALG00000002420	E001
ENSFALG00000002420	E002
ENSFALG00000002454	E002
ENSFALG00000002454	E017
ENSFALG00000002491	E001
ENSFALG00000002491	E010
ENSFALG00000002495	E010
ENSFALG00000002495	E019
ENSFALG00000002513	E001
ENSFALG00000002513	E002
ENSFALG00000002532	E016
ENSFALG00000002537	E009
ENSFALG00000002548	E002
ENSFALG00000002548	E021
ENSFALG00000002566	E022
ENSFALG00000002569	E007
ENSFALG00000002580	E015
ENSFALG00000002580	E017
ENSFALG00000002582	E019
ENSFALG00000002591	E001
ENSFALG00000002591	E011
ENSFALG00000002599	E015
ENSFALG00000002619	E003
ENSFALG00000002654	E001
ENSFALG00000002663	E005
ENSFALG00000002669	E002
ENSFALG00000002692	E006
ENSFALG00000002732	E013
ENSFALG00000002751	E001
ENSFALG00000002751	E006
ENSFALG00000002820	E003
ENSFALG00000002864	E007
ENSFALG00000002867	E028
ENSFALG00000002870	E003
ENSFALG00000002910	E012
ENSFALG00000002910	E021
ENSFALG00000002910	E022
ENSFALG00000002963	E004
ENSFALG00000002974	E005
ENSFALG00000003064	E001
ENSFALG00000003117	E007
ENSFALG00000003117	E011
ENSFALG00000003119	E038
ENSFALG00000003128	E020
ENSFALG00000003145	E004
ENSFALG00000003187	E001
ENSFALG00000003312	E007
ENSFALG00000003327	E001
ENSFALG00000003400	E001
ENSFALG00000003400	E004
ENSFALG00000003400	E008
ENSFALG00000003400	E009
ENSFALG00000003400	E018
ENSFALG00000003436	E007
ENSFALG00000003445	E012
ENSFALG00000003514	E004
ENSFALG00000003544	E006
ENSFALG00000003561	E015
ENSFALG00000003605	E025
ENSFALG00000003612	E001
ENSFALG00000003612	E002
ENSFALG00000003678	E003
ENSFALG00000003692	E003
ENSFALG00000003696	E008
ENSFALG00000003713	E001
ENSFALG00000003713	E008
ENSFALG00000003716	E002
ENSFALG00000003733	E001
ENSFALG00000003749	E001
ENSFALG00000003749	E003
ENSFALG00000003792	E002
ENSFALG00000003792	E009
ENSFALG00000003827	E007
ENSFALG00000003832	E007
ENSFALG00000003840	E017
ENSFALG00000003846	E009
ENSFALG00000003900	E020
ENSFALG00000003914	E003
ENSFALG00000003939	E009
ENSFALG00000003947	E010
ENSFALG00000004035	E001
ENSFALG00000004057	E024
ENSFALG00000004069	E004
ENSFALG00000004134	E011
ENSFALG00000004144	E011
ENSFALG00000004169	E008
ENSFALG00000004177	E004
ENSFALG00000004177	E005
ENSFALG00000004200	E001
ENSFALG00000004265	E004
ENSFALG00000004288	E001
ENSFALG00000004290	E014
ENSFALG00000004290	E016
ENSFALG00000004349	E023
ENSFALG00000004411	E012
ENSFALG00000004414	E009
ENSFALG00000004414	E025
ENSFALG00000004415	E003
ENSFALG00000004449	E019
ENSFALG00000004462	E004
ENSFALG00000004462	E005
ENSFALG00000004547	E008
ENSFALG00000004547	E009
ENSFALG00000004623	E001
ENSFALG00000004623	E003
ENSFALG00000004623	E004
ENSFALG00000004623	E005
ENSFALG00000004625	E001
ENSFALG00000004625	E003
ENSFALG00000004685	E003
ENSFALG00000004686	E013
ENSFALG00000004686	E014
ENSFALG00000004686	E015
ENSFALG00000004722	E014
ENSFALG00000004765	E001
ENSFALG00000004765	E007
ENSFALG00000004844	E012
ENSFALG00000004864	E005
ENSFALG00000004864	E006
ENSFALG00000004864	E007
ENSFALG00000004867	E010
ENSFALG00000004880	E009
ENSFALG00000004887	E012
ENSFALG00000004887	E014
ENSFALG00000004899	E006
ENSFALG00000004916	E003
ENSFALG00000004926	E004
ENSFALG00000004926	E011
ENSFALG00000004934	E030
ENSFALG00000004965	E001
ENSFALG00000004984	E001
ENSFALG00000004984	E011
ENSFALG00000004991	E012
ENSFALG00000005059	E001
ENSFALG00000005089	E003
ENSFALG00000005093	E003
ENSFALG00000005107	E002
ENSFALG00000005112	E003
ENSFALG00000005112	E009
ENSFALG00000005117	E026
ENSFALG00000005146	E020
ENSFALG00000005217	E002
ENSFALG00000005217	E014
ENSFALG00000005245	E002
ENSFALG00000005252	E005
ENSFALG00000005307	E009
ENSFALG00000005307	E011
ENSFALG00000005307	E012
ENSFALG00000005307	E013
ENSFALG00000005312	E002
ENSFALG00000005312	E003
ENSFALG00000005312	E006
ENSFALG00000005348	E009
ENSFALG00000005360	E017
ENSFALG00000005367	E015
ENSFALG00000005368	E001
ENSFALG00000005370	E012
ENSFALG00000005381	E001
ENSFALG00000005381	E002
ENSFALG00000005384	E006
ENSFALG00000005393	E003
ENSFALG00000005394	E015
ENSFALG00000005435	E017
ENSFALG00000005439	E013
ENSFALG00000005444	E013
ENSFALG00000005447	E003
ENSFALG00000005463	E018
ENSFALG00000005463	E019
ENSFALG00000005463	E020
ENSFALG00000005463	E022
ENSFALG00000005463	E023
ENSFALG00000005475	E009
ENSFALG00000005517	E084
ENSFALG00000005528	E002
