groupID	featureID
ENSFALG00000000004	E002
ENSFALG00000000004	E015
ENSFALG00000000006	E008
ENSFALG00000000006	E010
ENSFALG00000000006	E012
ENSFALG00000000006	E013
ENSFALG00000000006	E014
ENSFALG00000000006	E015
ENSFALG00000000006	E016
ENSFALG00000000006	E020
ENSFALG00000000006	E026
ENSFALG00000000007	E003
ENSFALG00000000007	E004
ENSFALG00000000008	E001
ENSFALG00000000008	E002
ENSFALG00000000008	E003
ENSFALG00000000008	E004
ENSFALG00000000008	E005
ENSFALG00000000008	E007
ENSFALG00000000009	E001
ENSFALG00000000009	E004
ENSFALG00000000009	E007
ENSFALG00000000009	E008
ENSFALG00000000009	E010
ENSFALG00000000012	E001
ENSFALG00000000012	E002
ENSFALG00000000012	E004
ENSFALG00000000012	E005
ENSFALG00000000012	E006
ENSFALG00000000012	E007
ENSFALG00000000012	E008
ENSFALG00000000012	E011
ENSFALG00000000012	E012
ENSFALG00000000015	E002
ENSFALG00000000015	E004
ENSFALG00000000015	E005
ENSFALG00000000015	E006
ENSFALG00000000015	E007
ENSFALG00000000015	E008
ENSFALG00000000015	E009
ENSFALG00000000018	E001
ENSFALG00000000018	E003
ENSFALG00000000018	E004
ENSFALG00000000018	E005
ENSFALG00000000018	E007
ENSFALG00000000018	E009
ENSFALG00000000018	E010
ENSFALG00000000018	E012
ENSFALG00000000018	E013
ENSFALG00000000018	E015
ENSFALG00000000018	E018
ENSFALG00000000023	E013
ENSFALG00000000026	E001
ENSFALG00000000026	E002
ENSFALG00000000026	E003
ENSFALG00000000026	E004
ENSFALG00000000031	E001
ENSFALG00000000031	E003
ENSFALG00000000031	E011
ENSFALG00000000031	E013
ENSFALG00000000031	E016
ENSFALG00000000031	E023
ENSFALG00000000031	E024
ENSFALG00000000031	E027
ENSFALG00000000031	E028
ENSFALG00000000031	E029
ENSFALG00000000031	E030
ENSFALG00000000034	E001
ENSFALG00000000034	E002
ENSFALG00000000034	E005
ENSFALG00000000034	E010
ENSFALG00000000034	E012
ENSFALG00000000034	E013
ENSFALG00000000034	E014
ENSFALG00000000036	E001
ENSFALG00000000036	E002
ENSFALG00000000036	E003
ENSFALG00000000036	E004
ENSFALG00000000036	E006
ENSFALG00000000036	E008
ENSFALG00000000036	E009
ENSFALG00000000036	E012
ENSFALG00000000036	E014
ENSFALG00000000036	E015
ENSFALG00000000036	E017
ENSFALG00000000036	E019
ENSFALG00000000036	E021
ENSFALG00000000036	E025
ENSFALG00000000036	E026
ENSFALG00000000036	E027
ENSFALG00000000036	E028
ENSFALG00000000036	E029
ENSFALG00000000036	E030
ENSFALG00000000036	E031
ENSFALG00000000036	E032
ENSFALG00000000036	E035
ENSFALG00000000036	E036
ENSFALG00000000036	E037
ENSFALG00000000036	E039
ENSFALG00000000036	E040
ENSFALG00000000036	E041
ENSFALG00000000046	E001
ENSFALG00000000046	E002
ENSFALG00000000046	E003
ENSFALG00000000046	E004
ENSFALG00000000049	E001
ENSFALG00000000049	E002
ENSFALG00000000049	E003
ENSFALG00000000049	E004
ENSFALG00000000049	E005
ENSFALG00000000049	E006
ENSFALG00000000049	E007
ENSFALG00000000049	E008
ENSFALG00000000049	E014
ENSFALG00000000049	E015
ENSFALG00000000049	E016
ENSFALG00000000049	E018
