groupID	featureID
ENSFALG00000000075	E001
ENSFALG00000000461	E019
ENSFALG00000000487	E001
ENSFALG00000000691	E023
ENSFALG00000000756	E011
ENSFALG00000000781	E007
ENSFALG00000000859	E012
ENSFALG00000000903	E002
ENSFALG00000000979	E012
ENSFALG00000001086	E007
ENSFALG00000001105	E016
ENSFALG00000001172	E014
ENSFALG00000001234	E003
ENSFALG00000001353	E020
ENSFALG00000001357	E012
ENSFALG00000001456	E001
ENSFALG00000001471	E002
ENSFALG00000001471	E005
ENSFALG00000001477	E008
ENSFALG00000001496	E001
ENSFALG00000001612	E058
ENSFALG00000001720	E004
ENSFALG00000001788	E003
ENSFALG00000001788	E005
ENSFALG00000001788	E014
ENSFALG00000001873	E003
ENSFALG00000001889	E007
ENSFALG00000002039	E012
ENSFALG00000002131	E019
ENSFALG00000002161	E002
ENSFALG00000002161	E003
ENSFALG00000002279	E009
ENSFALG00000002405	E053
ENSFALG00000002454	E017
ENSFALG00000002491	E010
ENSFALG00000002547	E017
ENSFALG00000002645	E003
ENSFALG00000003117	E007
ENSFALG00000003298	E005
ENSFALG00000003298	E009
ENSFALG00000003543	E008
ENSFALG00000003543	E014
ENSFALG00000003560	E001
ENSFALG00000003605	E025
ENSFALG00000003745	E001
ENSFALG00000003804	E003
ENSFALG00000003846	E009
ENSFALG00000003862	E008
ENSFALG00000003914	E010
ENSFALG00000003939	E009
ENSFALG00000003957	E001
ENSFALG00000004057	E024
ENSFALG00000004177	E005
ENSFALG00000004200	E001
ENSFALG00000004200	E013
ENSFALG00000004200	E018
ENSFALG00000004256	E008
ENSFALG00000004290	E016
ENSFALG00000004304	E001
ENSFALG00000004313	E012
ENSFALG00000004349	E023
ENSFALG00000004414	E020
ENSFALG00000004414	E025
ENSFALG00000004415	E007
ENSFALG00000004449	E019
ENSFALG00000004623	E001
ENSFALG00000004644	E015
ENSFALG00000004667	E002
ENSFALG00000004667	E004
ENSFALG00000004686	E013
ENSFALG00000004864	E006
ENSFALG00000004900	E001
ENSFALG00000005059	E001
ENSFALG00000005084	E011
ENSFALG00000005084	E013
ENSFALG00000005217	E002
ENSFALG00000005300	E024
ENSFALG00000005307	E012
ENSFALG00000005312	E002
ENSFALG00000005312	E003
ENSFALG00000005312	E006
ENSFALG00000005346	E014
ENSFALG00000005442	E031
ENSFALG00000005463	E018
ENSFALG00000005480	E008
ENSFALG00000005480	E009
ENSFALG00000005715	E003
ENSFALG00000005838	E002
ENSFALG00000006052	E018
ENSFALG00000006170	E006
ENSFALG00000006190	E001
ENSFALG00000006190	E007
ENSFALG00000006192	E008
ENSFALG00000006377	E004
ENSFALG00000006393	E008
ENSFALG00000006395	E006
ENSFALG00000006660	E021
ENSFALG00000006660	E025
ENSFALG00000006910	E009
ENSFALG00000006920	E002
ENSFALG00000006932	E009
ENSFALG00000007068	E007
ENSFALG00000007093	E002
ENSFALG00000007137	E020
ENSFALG00000007199	E008
ENSFALG00000007229	E010
ENSFALG00000007235	E001
ENSFALG00000007235	E003
ENSFALG00000007350	E005
ENSFALG00000007534	E019
ENSFALG00000007536	E006
ENSFALG00000007607	E014
ENSFALG00000007629	E001
ENSFALG00000007629	E004
ENSFALG00000007802	E011
ENSFALG00000007855	E005
ENSFALG00000008033	E006
ENSFALG00000008180	E002
ENSFALG00000008211	E014
ENSFALG00000008230	E003
ENSFALG00000008231	E012
ENSFALG00000008353	E029
ENSFALG00000008383	E015
ENSFALG00000008420	E012
ENSFALG00000008576	E002
ENSFALG00000008648	E018
ENSFALG00000008681	E005
ENSFALG00000008764	E009
ENSFALG00000008795	E004
ENSFALG00000008857	E004
ENSFALG00000008979	E001
ENSFALG00000009072	E018
ENSFALG00000009075	E001
ENSFALG00000009148	E001
ENSFALG00000009253	E024
ENSFALG00000009305	E009
ENSFALG00000009417	E003
ENSFALG00000009461	E007
ENSFALG00000009563	E006
ENSFALG00000009709	E004
ENSFALG00000009851	E003
ENSFALG00000009853	E013
ENSFALG00000009973	E004
ENSFALG00000010099	E017
ENSFALG00000010136	E008
ENSFALG00000010145	E001
ENSFALG00000010169	E016
ENSFALG00000010328	E001
ENSFALG00000010403	E001
ENSFALG00000010404	E024
ENSFALG00000010540	E015
ENSFALG00000010612	E005
ENSFALG00000010820	E009
ENSFALG00000010898	E002
ENSFALG00000010967	E008
ENSFALG00000010979	E003
ENSFALG00000010979	E009
ENSFALG00000011042	E055
ENSFALG00000011056	E008
ENSFALG00000011082	E011
ENSFALG00000011263	E009
ENSFALG00000011301	E038
ENSFALG00000011325	E001
ENSFALG00000011452	E027
ENSFALG00000011549	E006
ENSFALG00000011638	E025
ENSFALG00000011707	E013
ENSFALG00000011707	E014
ENSFALG00000011820	E013
ENSFALG00000011851	E007
ENSFALG00000011877	E009
ENSFALG00000011945	E056
ENSFALG00000011987	E009
ENSFALG00000011987	E012
ENSFALG00000012101	E003
ENSFALG00000012195	E014
ENSFALG00000012319	E012
ENSFALG00000012403	E001
ENSFALG00000012676	E005
ENSFALG00000012683	E015
ENSFALG00000012762	E012
ENSFALG00000012940	E001
ENSFALG00000012957	E024
ENSFALG00000013056	E012
ENSFALG00000013077	E013
ENSFALG00000013097	E007
ENSFALG00000013327	E005
ENSFALG00000013546	E005
ENSFALG00000013656	E005
ENSFALG00000013678	E029
ENSFALG00000013692	E002
ENSFALG00000013702	E005
ENSFALG00000013790	E006
ENSFALG00000013869	E001
ENSFALG00000013871	E001
ENSFALG00000013965	E007
ENSFALG00000014019	E003
ENSFALG00000014038	E002
ENSFALG00000014038	E007
ENSFALG00000014049	E004
ENSFALG00000014053	E008
ENSFALG00000017843	E001
ENSFALG00000017843	E002
ENSFALG00000023098	E004
ENSFALG00000023184	E005
ENSFALG00000023232	E001
ENSFALG00000023608	E005
ENSFALG00000023619	E006
ENSFALG00000023693	E003
ENSFALG00000023772	E001
ENSFALG00000024215	E006
ENSFALG00000024400	E003
ENSFALG00000024506	E001
ENSFALG00000024758	E003
ENSFALG00000025447	E001
ENSFALG00000025887	E015
ENSFALG00000025905	E001
ENSFALG00000026113	E015
ENSFALG00000026179	E003
ENSFALG00000026665	E003
ENSFALG00000026870	E004
ENSFALG00000026896	E005
ENSFALG00000026896	E008
ENSFALG00000026985	E003
ENSFALG00000027146	E004
ENSFALG00000027226	E001
ENSFALG00000027287	E001
ENSFALG00000027293	E006
ENSFALG00000027451	E001
ENSFALG00000027663	E003
ENSFALG00000027725	E005
ENSFALG00000028025	E003
ENSFALG00000028078	E005
ENSFALG00000028322	E001
ENSFALG00000028383	E001
ENSFALG00000028823	E008
