cluster	genes
chrN00001:clu_1_+	NA
chrN00001:clu_102_+	ENSFALG00000012200
chrN00001:clu_103_+	ENSFALG00000012244
chrN00001:clu_104_+	ENSFALG00000023321
chrN00001:clu_105_+	ENSFALG00000023321
chrN00001:clu_106_+	ENSFALG00000023321
chrN00001:clu_107_+	ENSFALG00000023321
chrN00001:clu_108_+	ENSFALG00000012277
chrN00001:clu_11_+	ENSFALG00000023706
chrN00001:clu_111_+	ENSFALG00000012433
chrN00001:clu_112_+	ENSFALG00000012433
chrN00001:clu_113_+	ENSFALG00000012433
chrN00001:clu_114_+	ENSFALG00000012433
chrN00001:clu_12_+	ENSFALG00000023706
chrN00001:clu_120_+	ENSFALG00000012529
chrN00001:clu_121_+	ENSFALG00000012529
chrN00001:clu_122_+	ENSFALG00000012529
chrN00001:clu_124_+	ENSFALG00000012564
chrN00001:clu_126_+	ENSFALG00000012564
chrN00001:clu_127_+	ENSFALG00000012564
chrN00001:clu_128_+	ENSFALG00000012564
chrN00001:clu_134_+	ENSFALG00000012598
chrN00001:clu_135_+	ENSFALG00000012598
chrN00001:clu_138_+	ENSFALG00000012711
chrN00001:clu_14_+	ENSFALG00000011001
chrN00001:clu_141_+	ENSFALG00000012615
chrN00001:clu_142_+	ENSFALG00000012615
chrN00001:clu_143_+	ENSFALG00000012653
chrN00001:clu_144_+	ENSFALG00000012653
chrN00001:clu_145_+	ENSFALG00000012653
chrN00001:clu_148_+	ENSFALG00000012711
chrN00001:clu_149_+	ENSFALG00000012711
chrN00001:clu_152_+	ENSFALG00000012744
chrN00001:clu_153_+	ENSFALG00000012744
chrN00001:clu_157_+	ENSFALG00000012821
chrN00001:clu_158_+	ENSFALG00000012821
chrN00001:clu_159_+	ENSFALG00000012821
chrN00001:clu_160_+	ENSFALG00000012821
chrN00001:clu_161_+	ENSFALG00000012821
chrN00001:clu_162_+	NA
chrN00001:clu_163_+	NA
chrN00001:clu_165_+	ENSFALG00000012835
chrN00001:clu_17_+	ENSFALG00000024864,ENSFALG00000028887
chrN00001:clu_174_+	ENSFALG00000012907
chrN00001:clu_176_+	ENSFALG00000012907
chrN00001:clu_179_+	ENSFALG00000012928
chrN00001:clu_18_+	ENSFALG00000011039
chrN00001:clu_180_+	ENSFALG00000012928
chrN00001:clu_181_+	ENSFALG00000012928
chrN00001:clu_182_+	ENSFALG00000012928
chrN00001:clu_183_+	ENSFALG00000012928
chrN00001:clu_184_+	ENSFALG00000012928
chrN00001:clu_185_+	ENSFALG00000012928
chrN00001:clu_186_+	ENSFALG00000012933
chrN00001:clu_190_+	ENSFALG00000012991
chrN00001:clu_191_+	ENSFALG00000012991
chrN00001:clu_192_+	ENSFALG00000012991
chrN00001:clu_193_+	ENSFALG00000012991
chrN00001:clu_194_+	ENSFALG00000012991
chrN00001:clu_199_+	ENSFALG00000013099
chrN00001:clu_2_+	ENSFALG00000010794
chrN00001:clu_20_+	ENSFALG00000022865
chrN00001:clu_200_+	ENSFALG00000013099
chrN00001:clu_201_+	ENSFALG00000013099
chrN00001:clu_202_+	ENSFALG00000013099
chrN00001:clu_203_+	ENSFALG00000013099
chrN00001:clu_205_+	ENSFALG00000013099
chrN00001:clu_206_+	NA
chrN00001:clu_209_+	ENSFALG00000013101
chrN00001:clu_21_+	ENSFALG00000022865
chrN00001:clu_213_+	ENSFALG00000022978
chrN00001:clu_214_+	ENSFALG00000013124
chrN00001:clu_215_+	ENSFALG00000013124
chrN00001:clu_216_+	ENSFALG00000013124
chrN00001:clu_217_+	NA
chrN00001:clu_22_+	ENSFALG00000022865
chrN00001:clu_224_+	ENSFALG00000013475
chrN00001:clu_227_+	ENSFALG00000013506
chrN00001:clu_228_+	ENSFALG00000013506
chrN00001:clu_230_+	NA
chrN00001:clu_231_+	ENSFALG00000026090
chrN00001:clu_232_+	ENSFALG00000013515
chrN00001:clu_233_+	ENSFALG00000013515
chrN00001:clu_236_+	ENSFALG00000013548
chrN00001:clu_237_+	ENSFALG00000013548
chrN00001:clu_238_+	ENSFALG00000013548
chrN00001:clu_239_+	ENSFALG00000013548
chrN00001:clu_240_+	NA
chrN00001:clu_241_+	NA
chrN00001:clu_242_+	NA
chrN00001:clu_249_+	NA
chrN00001:clu_25_+	NA
chrN00001:clu_253_-	ENSFALG00000026666,ENSFALG00000010760
chrN00001:clu_255_-	ENSFALG00000026666
chrN00001:clu_256_-	ENSFALG00000010760,ENSFALG00000026666
chrN00001:clu_257_-	ENSFALG00000010760,ENSFALG00000026666
chrN00001:clu_26_+	ENSFALG00000011201
chrN00001:clu_260_-	NA
chrN00001:clu_261_-	ENSFALG00000010776
chrN00001:clu_263_-	ENSFALG00000010846
chrN00001:clu_264_-	ENSFALG00000010846
chrN00001:clu_265_-	ENSFALG00000010846
chrN00001:clu_267_-	ENSFALG00000010846
chrN00001:clu_268_-	ENSFALG00000010853
chrN00001:clu_27_+	ENSFALG00000011201
chrN00001:clu_270_-	ENSFALG00000010875
chrN00001:clu_271_-	ENSFALG00000010875
chrN00001:clu_272_-	ENSFALG00000010875
chrN00001:clu_273_-	ENSFALG00000010875
chrN00001:clu_274_-	ENSFALG00000010959
chrN00001:clu_275_-	ENSFALG00000010959
chrN00001:clu_276_-	ENSFALG00000010959
chrN00001:clu_277_-	ENSFALG00000010959
chrN00001:clu_279_-	ENSFALG00000010975
chrN00001:clu_28_+	NA
chrN00001:clu_280_-	ENSFALG00000010975
chrN00001:clu_283_-	ENSFALG00000011032
chrN00001:clu_284_-	ENSFALG00000011032
chrN00001:clu_286_-	ENSFALG00000011117
chrN00001:clu_287_-	ENSFALG00000011117
chrN00001:clu_288_-	ENSFALG00000011168
chrN00001:clu_29_+	ENSFALG00000011294
chrN00001:clu_290_-	ENSFALG00000011225
chrN00001:clu_291_-	ENSFALG00000011225
chrN00001:clu_294_-	ENSFALG00000011270
