genes	clusters
ENSFALG00000000461	chrN00181:clu_23806_-
ENSFALG00000000464	chrN00218:clu_25269_+
ENSFALG00000000833	chrN00258:clu_26360_+
ENSFALG00000001050	chrN00208:clu_24891_-
ENSFALG00000001167	chrN00109:clu_20293_-
ENSFALG00000001682	chrN00178:clu_23766_+
ENSFALG00000001716	chrN00115:clu_20695_-
ENSFALG00000001757	chrN00204:clu_24773_-
ENSFALG00000002210	chrN00044:clu_12685_-
ENSFALG00000002280	chrN00072:clu_16981_+
ENSFALG00000002323	chrN00334:clu_27433_-
ENSFALG00000002467	chrN00046:clu_13090_+
ENSFALG00000002845	chrN00013:clu_5511_-
ENSFALG00000003742	chrN00013:clu_5607_-
ENSFALG00000003782	chrN00005:clu_2159_+
ENSFALG00000003840	chrN00232:clu_25752_+
ENSFALG00000003914	chrN00133:clu_21631_+
ENSFALG00000003952	chrN00019:clu_7192_-
ENSFALG00000003957	chrN00019:clu_7192_-
ENSFALG00000004036	chrN00019:clu_7202_-
ENSFALG00000004273	chrN00020:clu_7414_+
ENSFALG00000005132	chrN00144:clu_22191_-
ENSFALG00000005396	chrN00024:clu_8154_+
ENSFALG00000005961	chrN00073:clu_17185_+
ENSFALG00000005992	chrN00073:clu_17143_-
ENSFALG00000006031	chrN00073:clu_17202_+
ENSFALG00000006219	chrN00052:clu_14318_-
ENSFALG00000006236	chrN00017:clu_6532_-
ENSFALG00000006278	chrN00049:clu_13658_-
ENSFALG00000006362	chrN00104:clu_20029_+
ENSFALG00000007009	chrN00025:clu_8594_+
ENSFALG00000007287	chrN00004:clu_1880_-
ENSFALG00000007496	chrN00025:clu_8505_-
ENSFALG00000007538	chrN00006:clu_2411_-
ENSFALG00000007702	chrN00006:clu_2703_+
ENSFALG00000007704	chrN00215:clu_25185_+
ENSFALG00000007743	chrN00007:clu_3181_+
ENSFALG00000007794	chrN00043:clu_12579_-
ENSFALG00000007956	chrN00255:clu_26322_-
ENSFALG00000008006	chrN00006:clu_2482_-
ENSFALG00000008285	chrN00214:clu_25134_-
ENSFALG00000008304	chrN00032:clu_10021_-
ENSFALG00000008414	chrN00190:clu_24222_+
ENSFALG00000008601	chrN00007:clu_3034_-
ENSFALG00000008667	chrN00032:clu_9961_+
ENSFALG00000009206	chrN00012:clu_5179_+
ENSFALG00000009329	chrN00177:clu_23732_-
ENSFALG00000009833	chrN00008:clu_3413_-
ENSFALG00000009854	chrN00056:clu_14955_+
ENSFALG00000010488	chrN00063:clu_15671_+
ENSFALG00000011038	chrN00105:clu_20086_-
ENSFALG00000011669	chrN00033:clu_10161_+
ENSFALG00000011750	chrN00191:clu_24339_+,chrN00191:clu_24341_+
ENSFALG00000012098	chrN00047:clu_13248_-
ENSFALG00000012160	chrN00011:clu_4204_+
ENSFALG00000012167	chrN00054:clu_14603_-
ENSFALG00000012410	chrN00002:clu_1090_+
ENSFALG00000012414	chrN00062:clu_15626_-
ENSFALG00000012603	chrN00021:clu_7469_+
ENSFALG00000012839	chrN00011:clu_4417_-
ENSFALG00000013352	chrN00084:clu_18261_+
ENSFALG00000013462	chrN00100:clu_19677_-
ENSFALG00000013476	chrN00278:clu_26685_+
ENSFALG00000013486	chrN00001:clu_512_-
ENSFALG00000013600	chrN00001:clu_536_-
ENSFALG00000014076	chrN00036:clu_11102_+
ENSFALG00000020356	chrN00050:clu_13727_+
ENSFALG00000023026	chrN00009:clu_3831_+
ENSFALG00000023125	chrN00018:clu_6747_-
ENSFALG00000023301	chrN00048:clu_13349_-
ENSFALG00000023608	chrN00154:clu_22571_+
ENSFALG00000024118	chrN00210:clu_24982_-
ENSFALG00000024484	chrN00047:clu_13343_+
ENSFALG00000024820	chrN00110:clu_20349_-
ENSFALG00000024900	chrN00043:clu_12634_+
ENSFALG00000024929	chrN00001:clu_219_+
ENSFALG00000025250	chrN00105:clu_20068_-
ENSFALG00000025790	chrN00218:clu_25269_+
ENSFALG00000025926	chrN00254:clu_26319_-
ENSFALG00000026558	chrN00040:clu_12270_-
ENSFALG00000026833	chrN00033:clu_10241_+
ENSFALG00000027028	chrN00020:clu_7446_+
ENSFALG00000027398	chrN00038:clu_11425_-
ENSFALG00000027613	chrN00013:clu_5527_-
ENSFALG00000027862	chrN00095:clu_19386_+
ENSFALG00000028526	chrN00254:clu_26319_-
ENSFALG00000028841	chrN00091:clu_18971_+
ENSFALG00000029052	chrN00012:clu_4685_-
