genes	clusters
ENSFALG00000000003	chrN00141:clu_22056_-,chrN00282:clu_26744_-
ENSFALG00000000008	chrN00141:clu_22059_-,chrN00141:clu_22060_-
ENSFALG00000000012	chrN00141:clu_22040_+
ENSFALG00000000015	chrN00141:clu_22041_+
ENSFALG00000000018	chrN00141:clu_22063_-
ENSFALG00000000023	chrN00141:clu_22043_+,chrN00141:clu_22044_+
ENSFALG00000000031	chrN00141:clu_22067_-,chrN00141:clu_22068_-,chrN00141:clu_22069_-,chrN00141:clu_22070_-,chrN00141:clu_22071_-,chrN00141:clu_22072_-
ENSFALG00000000034	chrN00141:clu_22074_-,chrN00141:clu_22075_-,chrN00141:clu_22076_-,chrN00141:clu_22077_-
ENSFALG00000000036	chrN00141:clu_22079_-
ENSFALG00000000053	chrN00171:clu_23503_-,chrN00171:clu_23504_-
ENSFALG00000000054	chrN00171:clu_23556_+
ENSFALG00000000056	chrN00171:clu_23512_-
ENSFALG00000000058	chrN00171:clu_23559_+
ENSFALG00000000062	chrN00171:clu_23560_+
ENSFALG00000000073	chrN00171:clu_23561_+
ENSFALG00000000075	chrN00061:clu_15454_-,chrN00061:clu_15455_-,chrN00061:clu_15456_-,chrN00061:clu_15457_-,chrN00061:clu_15458_-,chrN00061:clu_15459_-,chrN00061:clu_15460_-
ENSFALG00000000076	chrN00171:clu_23515_-,chrN00171:clu_23517_-
ENSFALG00000000079	chrN00171:clu_23563_+
ENSFALG00000000080	chrN00061:clu_15520_+,chrN00061:clu_15521_+
ENSFALG00000000084	chrN00171:clu_23565_+
ENSFALG00000000087	chrN00061:clu_15461_-
ENSFALG00000000088	chrN00171:clu_23518_-,chrN00171:clu_23519_-,chrN00171:clu_23520_-
ENSFALG00000000089	chrN00061:clu_15463_-,chrN00061:clu_15465_-,chrN00061:clu_15467_-
ENSFALG00000000097	chrN00061:clu_15523_+
ENSFALG00000000101	chrN00061:clu_15524_+,chrN00061:clu_15525_+,chrN00061:clu_15526_+
ENSFALG00000000102	chrN00218:clu_25248_+
ENSFALG00000000106	chrN00171:clu_23522_-,chrN00171:clu_23523_-,chrN00171:clu_23524_-
ENSFALG00000000111	chrN00171:clu_23571_+,chrN00171:clu_23572_+,chrN00171:clu_23573_+
ENSFALG00000000121	chrN00142:clu_22088_+,chrN00142:clu_22089_+,chrN00142:clu_22090_+
ENSFALG00000000123	chrN00061:clu_15529_+,chrN00061:clu_15530_+,chrN00061:clu_15531_+,chrN00061:clu_15532_+
ENSFALG00000000124	chrN00218:clu_25278_-,chrN00218:clu_25279_-
ENSFALG00000000128	chrN00142:clu_22091_+
ENSFALG00000000132	chrN00061:clu_15534_+,chrN00061:clu_15535_+
ENSFALG00000000133	chrN00218:clu_25281_-
ENSFALG00000000135	chrN00061:clu_15480_-,chrN00061:clu_15481_-,chrN00061:clu_15482_-
ENSFALG00000000137	chrN00377:clu_27733_+
ENSFALG00000000153	chrN00061:clu_15538_+,chrN00061:clu_15542_+
ENSFALG00000000154	chrN00171:clu_23521_-,chrN00171:clu_23529_-,chrN00171:clu_23530_-,chrN00171:clu_23531_-
ENSFALG00000000158	chrN00171:clu_23532_-
ENSFALG00000000159	chrN00127:clu_21337_-
ENSFALG00000000160	chrN00218:clu_25282_-
ENSFALG00000000163	chrN00377:clu_27734_+,chrN00377:clu_27735_+,chrN00377:clu_27736_+
ENSFALG00000000166	chrN00142:clu_22101_+
ENSFALG00000000167	chrN00377:clu_27738_-,chrN00377:clu_27739_-
ENSFALG00000000168	chrN00161:clu_23009_-
ENSFALG00000000170	chrN00127:clu_21343_-
ENSFALG00000000173	chrN00161:clu_22991_+,chrN00161:clu_22992_+,chrN00161:clu_22993_+
ENSFALG00000000176	chrN00061:clu_15543_+,chrN00061:clu_15544_+,chrN00061:clu_15545_+
ENSFALG00000000178	chrN00161:clu_23010_-,chrN00161:clu_23011_-
ENSFALG00000000179	chrN00171:clu_23578_+
ENSFALG00000000180	chrN00161:clu_22996_+
ENSFALG00000000182	chrN00218:clu_25285_-
ENSFALG00000000184	chrN00127:clu_21345_-,chrN00127:clu_21346_-
ENSFALG00000000185	chrN00161:clu_23015_-,chrN00161:clu_23016_-,chrN00161:clu_23018_-
ENSFALG00000000189	chrN00142:clu_22107_+
ENSFALG00000000190	chrN00171:clu_23579_+
ENSFALG00000000197	chrN00127:clu_21351_+,chrN00127:clu_21352_+,chrN00127:clu_21353_+,chrN00127:clu_21354_+,chrN00127:clu_21355_+
ENSFALG00000000202	chrN00161:clu_23023_-,chrN00161:clu_23024_-
ENSFALG00000000208	chrN00218:clu_25286_-
ENSFALG00000000223	chrN00061:clu_15547_+,chrN00061:clu_15548_+,chrN00061:clu_15549_+,chrN00061:clu_15550_+,chrN00061:clu_15551_+
ENSFALG00000000224	chrN00218:clu_25253_+
ENSFALG00000000228	chrN00061:clu_15552_+,chrN00061:clu_15554_+,chrN00061:clu_15555_+
ENSFALG00000000237	chrN00061:clu_15557_+
ENSFALG00000000238	chrN00061:clu_15559_+,chrN00061:clu_15560_+,chrN00061:clu_15561_+,chrN00061:clu_15562_+
ENSFALG00000000240	chrN00171:clu_23580_+
ENSFALG00000000241	chrN00061:clu_15498_-,chrN00061:clu_15499_-,chrN00061:clu_15500_-,chrN00061:clu_15501_-,chrN00061:clu_15502_-
ENSFALG00000000243	chrN00142:clu_22118_-
ENSFALG00000000245	chrN00305:clu_27079_+,chrN00305:clu_27080_+,chrN00305:clu_27081_+
ENSFALG00000000250	chrN00061:clu_15563_+
ENSFALG00000000254	chrN00171:clu_23583_+,chrN00171:clu_23584_+,chrN00171:clu_23585_+
ENSFALG00000000256	chrN00305:clu_27087_+,chrN00305:clu_27088_+,chrN00305:clu_27089_+,chrN00305:clu_27090_+,chrN00305:clu_27091_+,chrN00305:clu_27092_+
ENSFALG00000000259	chrN00061:clu_15566_+,chrN00061:clu_15567_+,chrN00061:clu_15568_+,chrN00061:clu_15569_+,chrN00061:clu_15570_+,chrN00061:clu_15571_+,chrN00061:clu_15572_+
ENSFALG00000000265	chrN00218:clu_25287_-
ENSFALG00000000267	chrN00147:clu_22367_-,chrN00147:clu_22368_-
ENSFALG00000000271	chrN00171:clu_23586_+,chrN00171:clu_23587_+
ENSFALG00000000272	chrN00050:clu_13706_+,chrN00050:clu_13707_+,chrN00050:clu_13708_+
ENSFALG00000000273	chrN00171:clu_23589_+,chrN00171:clu_23590_+,chrN00171:clu_23591_+,chrN00171:clu_23592_+,chrN00171:clu_23593_+
ENSFALG00000000285	chrN00050:clu_13713_+,chrN00050:clu_13714_+
ENSFALG00000000292	chrN00050:clu_13715_+,chrN00050:clu_13716_+,chrN00050:clu_13717_+,chrN00050:clu_13718_+
ENSFALG00000000293	chrN00050:clu_13676_-
ENSFALG00000000295	chrN00050:clu_13720_+
ENSFALG00000000296	chrN00171:clu_23595_+
ENSFALG00000000301	chrN00171:clu_23548_-
ENSFALG00000000304	chrN00171:clu_23550_-,chrN00171:clu_23551_-
ENSFALG00000000305	chrN00171:clu_23597_+
ENSFALG00000000309	chrN00218:clu_25289_-,chrN00218:clu_25290_-,chrN00218:clu_25291_-
ENSFALG00000000311	chrN00050:clu_13724_+,chrN00050:clu_13725_+
ENSFALG00000000315	chrN00050:clu_13679_-,chrN00050:clu_13682_-
ENSFALG00000000321	chrN00040:clu_12010_+
ENSFALG00000000332	chrN00040:clu_12150_-
ENSFALG00000000336	chrN00050:clu_13683_-
ENSFALG00000000337	chrN00050:clu_13732_+,chrN00050:clu_13733_+
ENSFALG00000000338	chrN00050:clu_13684_-,chrN00050:clu_13685_-
ENSFALG00000000357	chrN00050:clu_13693_-
