genes	clusters
ENSFALG00000000004	chrN00141:clu_22035_+,chrN00141:clu_22036_+,chrN00141:clu_22037_+
ENSFALG00000000007	chrN00141:clu_22057_-,chrN00141:clu_22058_-
ENSFALG00000000052	chrN00171:clu_23502_-,chrN00171:clu_23505_-,chrN00171:clu_23506_-,chrN00171:clu_23507_-,chrN00171:clu_23508_-,chrN00171:clu_23509_-
ENSFALG00000000055	chrN00171:clu_23557_+,chrN00171:clu_23558_+
ENSFALG00000000064	chrN00171:clu_23513_-
ENSFALG00000000072	chrN00061:clu_15511_+
ENSFALG00000000074	chrN00061:clu_15512_+,chrN00061:clu_15513_+,chrN00061:clu_15514_+
ENSFALG00000000092	chrN00171:clu_23566_+
ENSFALG00000000105	chrN00218:clu_25274_-,chrN00218:clu_25275_-
ENSFALG00000000115	chrN00218:clu_25276_-
ENSFALG00000000126	chrN00218:clu_25280_-
ENSFALG00000000127	chrN00171:clu_23528_-
ENSFALG00000000129	chrN00218:clu_25252_+
ENSFALG00000000130	chrN00061:clu_15533_+
ENSFALG00000000139	chrN00377:clu_27731_+
ENSFALG00000000141	chrN00171:clu_23574_+
ENSFALG00000000149	chrN00377:clu_27737_-
ENSFALG00000000175	chrN00142:clu_22112_-
ENSFALG00000000187	chrN00161:clu_22998_+
ENSFALG00000000200	chrN00142:clu_22114_-,chrN00142:clu_22115_-,chrN00142:clu_22116_-,chrN00142:clu_22117_-
ENSFALG00000000207	chrN00161:clu_23033_-,chrN00161:clu_23034_-
ENSFALG00000000213	chrN00127:clu_21356_+
ENSFALG00000000216	chrN00171:clu_23537_-
ENSFALG00000000218	chrN00061:clu_15494_-
ENSFALG00000000219	chrN00093:clu_19241_-
ENSFALG00000000266	chrN00147:clu_22346_+
ENSFALG00000000274	chrN00147:clu_22354_+,chrN00147:clu_22355_+,chrN00147:clu_22356_+
ENSFALG00000000294	chrN00050:clu_13719_+
ENSFALG00000000310	chrN00226:clu_25414_+
ENSFALG00000000347	chrN00040:clu_12154_-,chrN00040:clu_12155_-
ENSFALG00000000348	chrN00050:clu_13735_+,chrN00050:clu_13737_+
ENSFALG00000000353	chrN00050:clu_13738_+,chrN00050:clu_13739_+,chrN00050:clu_13740_+
ENSFALG00000000359	chrN00226:clu_25416_+
ENSFALG00000000388	chrN00110:clu_20308_-,chrN00110:clu_20309_-,chrN00110:clu_20310_-,chrN00110:clu_20311_-,chrN00110:clu_20312_-,chrN00110:clu_20313_-,chrN00110:clu_20314_-,chrN00110:clu_20315_-
ENSFALG00000000405	chrN00040:clu_12019_+,chrN00040:clu_12020_+,chrN00040:clu_12021_+
ENSFALG00000000417	chrN00040:clu_12023_+
ENSFALG00000000431	chrN00050:clu_13761_+,chrN00050:clu_13762_+,chrN00050:clu_13763_+
ENSFALG00000000438	chrN00110:clu_20354_+,chrN00110:clu_20355_+,chrN00110:clu_20356_+
ENSFALG00000000443	chrN00050:clu_13764_+
ENSFALG00000000454	chrN00040:clu_12028_+
ENSFALG00000000458	chrN00110:clu_20358_+,chrN00110:clu_20359_+,chrN00110:clu_20360_+
ENSFALG00000000459	chrN00181:clu_23803_-,chrN00181:clu_23804_-
