cluster	genes
chrN00001:clu_102_+	ENSFALG00000012200
chrN00001:clu_108_+	ENSFALG00000012277
chrN00001:clu_111_+	ENSFALG00000012433
chrN00001:clu_138_+	ENSFALG00000012711
chrN00001:clu_149_+	ENSFALG00000012711
chrN00001:clu_189_+	ENSFALG00000012991
chrN00001:clu_190_+	ENSFALG00000012991
chrN00001:clu_199_+	ENSFALG00000013099
chrN00001:clu_200_+	ENSFALG00000013099
chrN00001:clu_217_+	NA
chrN00001:clu_219_+	ENSFALG00000024929
chrN00001:clu_230_+	NA
chrN00001:clu_231_+	ENSFALG00000026090
chrN00001:clu_27_+	ENSFALG00000011201
chrN00001:clu_290_-	ENSFALG00000011225
chrN00001:clu_302_-	ENSFALG00000011270
chrN00001:clu_311_-	ENSFALG00000011450
chrN00001:clu_315_-	ENSFALG00000011511
chrN00001:clu_328_-	ENSFALG00000011650,ENSFALG00000026400
chrN00001:clu_332_-	ENSFALG00000011717
chrN00001:clu_336_-	ENSFALG00000011801
chrN00001:clu_386_-	ENSFALG00000012360
chrN00001:clu_410_-	NA
chrN00001:clu_432_-	ENSFALG00000012736
chrN00001:clu_444_-	ENSFALG00000012829
chrN00001:clu_456_-	ENSFALG00000012884
chrN00001:clu_473_-	NA
chrN00001:clu_474_-	NA
chrN00001:clu_480_-	NA
chrN00001:clu_484_-	ENSFALG00000013141
chrN00001:clu_50_+	ENSFALG00000011469
chrN00001:clu_512_-	ENSFALG00000013486
chrN00001:clu_532_-	ENSFALG00000013580
chrN00001:clu_536_-	ENSFALG00000013600
chrN00001:clu_63_+	NA
chrN00001:clu_64_+	NA
chrN00001:clu_73_+	ENSFALG00000011697
chrN00001:clu_95_+	ENSFALG00000012135
chrN00002:clu_1013_+	ENSFALG00000011135
chrN00002:clu_1020_+	ENSFALG00000026627
chrN00002:clu_1033_+	ENSFALG00000011588
chrN00002:clu_1049_+	ENSFALG00000011651
chrN00002:clu_1060_+	NA
chrN00002:clu_1070_+	ENSFALG00000011980
chrN00002:clu_1073_+	ENSFALG00000027046
chrN00002:clu_1090_+	ENSFALG00000012410
chrN00002:clu_1093_+	ENSFALG00000012518
chrN00002:clu_1119_+	ENSFALG00000028015
chrN00002:clu_1123_+	ENSFALG00000028015
chrN00002:clu_1129_+	ENSFALG00000013016
chrN00002:clu_1155_+	ENSFALG00000013273
chrN00002:clu_1158_+	ENSFALG00000013342
chrN00002:clu_543_-	ENSFALG00000027933
chrN00002:clu_590_-	ENSFALG00000010404
chrN00002:clu_621_-	NA
chrN00002:clu_623_-	ENSFALG00000010636
chrN00002:clu_646_-	ENSFALG00000010746
chrN00002:clu_648_-	ENSFALG00000010759
chrN00002:clu_669_-	ENSFALG00000010898
chrN00002:clu_680_-	ENSFALG00000011002
chrN00002:clu_731_-	ENSFALG00000011908
chrN00002:clu_771_-	ENSFALG00000012474
chrN00002:clu_777_-	ENSFALG00000012726
chrN00002:clu_810_-	NA
chrN00002:clu_828_-	ENSFALG00000013422
chrN00002:clu_859_+	ENSFALG00000009938
chrN00002:clu_864_+	NA
chrN00002:clu_865_+	NA
chrN00002:clu_867_+	ENSFALG00000009996
chrN00002:clu_878_+	ENSFALG00000010127
chrN00002:clu_884_+	ENSFALG00000010157,ENSFALG00000010173
chrN00002:clu_907_+	ENSFALG00000010390
chrN00002:clu_916_+	ENSFALG00000010415
chrN00002:clu_932_+	ENSFALG00000010517
chrN00002:clu_960_+	NA
chrN00002:clu_965_+	NA
chrN00002:clu_969_+	NA
chrN00002:clu_974_+	NA
chrN00002:clu_975_+	NA
chrN00002:clu_982_+	NA
chrN00002:clu_986_+	ENSFALG00000026978
chrN00002:clu_997_+	ENSFALG00000011030
chrN00003:clu_1182_+	ENSFALG00000009131
chrN00003:clu_1204_+	ENSFALG00000009187
chrN00003:clu_1227_+	ENSFALG00000009218
chrN00003:clu_1258_+	ENSFALG00000009527
chrN00003:clu_1274_+	ENSFALG00000026843
chrN00003:clu_1352_+	ENSFALG00000010442
chrN00003:clu_1364_-	ENSFALG00000009096
chrN00003:clu_1373_-	NA
chrN00003:clu_1384_-	ENSFALG00000009143
chrN00003:clu_1395_-	ENSFALG00000009165
chrN00003:clu_1423_-	ENSFALG00000009310
chrN00003:clu_1427_-	ENSFALG00000009370
chrN00003:clu_1440_-	ENSFALG00000009588
chrN00003:clu_1441_-	ENSFALG00000009588
chrN00003:clu_1446_-	NA
chrN00003:clu_1470_-	ENSFALG00000009961
chrN00003:clu_1506_-	ENSFALG00000010379
chrN00004:clu_1528_+	ENSFALG00000023888
chrN00004:clu_1551_+	ENSFALG00000006746
chrN00004:clu_1573_+	ENSFALG00000006892
chrN00004:clu_1574_+	NA
chrN00004:clu_1582_+	ENSFALG00000006920
chrN00004:clu_1591_+	NA
chrN00004:clu_1600_+	ENSFALG00000007038
chrN00004:clu_1621_+	ENSFALG00000007112
chrN00004:clu_1631_+	ENSFALG00000007122
chrN00004:clu_1634_+	NA
chrN00004:clu_1662_+	ENSFALG00000007259
chrN00004:clu_1671_+	ENSFALG00000007293
chrN00004:clu_1681_+	ENSFALG00000007398
chrN00004:clu_1683_+	ENSFALG00000007398
chrN00004:clu_1686_+	NA
chrN00004:clu_1704_+	ENSFALG00000007485
chrN00004:clu_1726_+	NA
chrN00004:clu_1737_-	ENSFALG00000006592
chrN00004:clu_1758_-	ENSFALG00000024282
chrN00004:clu_1776_-	ENSFALG00000006845
chrN00004:clu_1781_-	ENSFALG00000006897
chrN00004:clu_1783_-	NA
chrN00004:clu_1810_-	NA
chrN00004:clu_1838_-	ENSFALG00000007132
chrN00004:clu_1861_-	ENSFALG00000007214
chrN00004:clu_1876_-	ENSFALG00000007287
chrN00004:clu_1877_-	ENSFALG00000007287
chrN00004:clu_1878_-	ENSFALG00000007287
chrN00004:clu_1880_-	ENSFALG00000007287
chrN00004:clu_1891_-	ENSFALG00000007325
chrN00004:clu_1900_-	ENSFALG00000007405
chrN00004:clu_1908_-	ENSFALG00000007432
chrN00004:clu_1930_-	NA
chrN00005:clu_1961_-	ENSFALG00000003544
chrN00005:clu_1982_-	ENSFALG00000003716
chrN00005:clu_2017_-	ENSFALG00000004056
chrN00005:clu_2034_-	ENSFALG00000026232
chrN00005:clu_2054_-	NA
chrN00005:clu_2058_-	ENSFALG00000004229
chrN00005:clu_2059_-	ENSFALG00000004233
chrN00005:clu_2063_-	ENSFALG00000004250
chrN00005:clu_2079_-	ENSFALG00000028890
chrN00005:clu_2081_-	ENSFALG00000004405
chrN00005:clu_2083_-	ENSFALG00000004405
chrN00005:clu_2100_-	ENSFALG00000004465
chrN00005:clu_2106_-	ENSFALG00000004490
chrN00005:clu_2107_-	ENSFALG00000004490
chrN00005:clu_2110_-	ENSFALG00000004547
chrN00005:clu_2134_+	ENSFALG00000028444
chrN00005:clu_2137_+	ENSFALG00000003471
chrN00005:clu_2157_+	NA
chrN00005:clu_2164_+	ENSFALG00000003793
chrN00005:clu_2169_+	ENSFALG00000003811
chrN00005:clu_2189_+	ENSFALG00000003947
chrN00005:clu_2205_+	ENSFALG00000004004
chrN00005:clu_2224_+	NA
chrN00005:clu_2231_+	ENSFALG00000004184
chrN00005:clu_2250_+	ENSFALG00000004321
chrN00005:clu_2254_+	NA
chrN00005:clu_2282_+	NA
chrN00006:clu_2299_-	ENSFALG00000006822
chrN00006:clu_2325_-	ENSFALG00000006903
chrN00006:clu_2334_-	NA
chrN00006:clu_2348_-	ENSFALG00000007047
chrN00006:clu_2366_-	NA
chrN00006:clu_2377_-	NA
chrN00006:clu_2390_-	ENSFALG00000028087
chrN00006:clu_2391_-	ENSFALG00000028087
chrN00006:clu_2394_-	ENSFALG00000007402
chrN00006:clu_2400_-	ENSFALG00000007406
chrN00006:clu_2407_-	ENSFALG00000007480
chrN00006:clu_2411_-	ENSFALG00000007538
chrN00006:clu_2417_-	NA
chrN00006:clu_2450_-	ENSFALG00000007915
chrN00006:clu_2469_-	ENSFALG00000007971
chrN00006:clu_2482_-	ENSFALG00000008006
chrN00006:clu_2501_-	ENSFALG00000008454
chrN00006:clu_2527_-	ENSFALG00000008728
chrN00006:clu_2532_-	ENSFALG00000008745
chrN00006:clu_2543_-	ENSFALG00000008791
chrN00006:clu_2547_-	ENSFALG00000008825
chrN00006:clu_2548_-	ENSFALG00000008825
chrN00006:clu_2549_-	ENSFALG00000008825
chrN00006:clu_2551_-	ENSFALG00000008825
chrN00006:clu_2589_+	ENSFALG00000006913
chrN00006:clu_2613_+	NA
chrN00006:clu_2615_+	ENSFALG00000007041
chrN00006:clu_2621_+	NA
chrN00006:clu_2623_+	NA
chrN00006:clu_2627_+	ENSFALG00000007093
chrN00006:clu_2651_+	NA
chrN00006:clu_2684_+	ENSFALG00000007449
chrN00006:clu_2703_+	ENSFALG00000007702
chrN00006:clu_2710_+	ENSFALG00000007736
chrN00006:clu_2723_+	NA
chrN00006:clu_2726_+	ENSFALG00000007827
chrN00006:clu_2737_+	NA
chrN00006:clu_2759_+	ENSFALG00000008293
chrN00006:clu_2797_+	ENSFALG00000008619
chrN00006:clu_2819_+	NA
chrN00006:clu_2824_+	ENSFALG00000008836
chrN00006:clu_2829_+	NA
chrN00007:clu_2832_-	ENSFALG00000006668
chrN00007:clu_2833_-	ENSFALG00000006675
chrN00007:clu_2834_-	ENSFALG00000006675
chrN00007:clu_2859_-	NA
chrN00007:clu_2860_-	NA
chrN00007:clu_2869_-	ENSFALG00000006962
chrN00007:clu_2871_-	ENSFALG00000006962
chrN00007:clu_2874_-	NA
chrN00007:clu_2875_-	ENSFALG00000006994
chrN00007:clu_2890_-	NA
chrN00007:clu_2905_-	ENSFALG00000007119
chrN00007:clu_2914_-	ENSFALG00000007274
chrN00007:clu_2950_-	ENSFALG00000007536
chrN00007:clu_2951_-	ENSFALG00000007536
chrN00007:clu_2954_-	ENSFALG00000007536
chrN00007:clu_2957_-	ENSFALG00000007628
chrN00007:clu_2977_-	ENSFALG00000008021
chrN00007:clu_3027_-	ENSFALG00000008434
chrN00007:clu_3029_-	ENSFALG00000008443
chrN00007:clu_3034_-	ENSFALG00000008601
chrN00007:clu_3047_+	NA
chrN00007:clu_3056_+	ENSFALG00000006842
chrN00007:clu_3071_+	ENSFALG00000006941
chrN00007:clu_3101_+	ENSFALG00000007070
chrN00007:clu_3102_+	ENSFALG00000007070
chrN00007:clu_3114_+	ENSFALG00000007175
chrN00007:clu_3115_+	ENSFALG00000007175
chrN00007:clu_3116_+	ENSFALG00000007175
chrN00007:clu_3136_+	ENSFALG00000007448
chrN00007:clu_3143_+	ENSFALG00000007476
chrN00007:clu_3181_+	ENSFALG00000007743
chrN00007:clu_3218_+	ENSFALG00000008230
chrN00007:clu_3251_+	ENSFALG00000008416
chrN00007:clu_3280_+	ENSFALG00000008650
chrN00008:clu_3296_-	NA
chrN00008:clu_3299_-	ENSFALG00000009145
chrN00008:clu_3321_-	ENSFALG00000009183
chrN00008:clu_3322_-	NA
chrN00008:clu_3323_-	ENSFALG00000009221
chrN00008:clu_3351_-	ENSFALG00000009417
chrN00008:clu_3358_-	ENSFALG00000009488
chrN00008:clu_3359_-	ENSFALG00000009488
chrN00008:clu_3360_-	ENSFALG00000009488
chrN00008:clu_3361_-	ENSFALG00000009488
chrN00008:clu_3368_-	ENSFALG00000023527
chrN00008:clu_3410_-	ENSFALG00000009811
chrN00008:clu_3413_-	ENSFALG00000009833
chrN00008:clu_3419_-	ENSFALG00000009853
chrN00008:clu_3421_-	ENSFALG00000009853
chrN00008:clu_3436_-	ENSFALG00000010020
chrN00008:clu_3441_-	ENSFALG00000010037
chrN00008:clu_3445_-	ENSFALG00000010076
chrN00008:clu_3452_-	ENSFALG00000010092
chrN00008:clu_3496_+	ENSFALG00000009267
chrN00008:clu_3500_+	ENSFALG00000009278
chrN00008:clu_3502_+	ENSFALG00000009278
chrN00008:clu_3510_+	ENSFALG00000009340
chrN00008:clu_3515_+	ENSFALG00000009347
chrN00008:clu_3524_+	ENSFALG00000009507
chrN00008:clu_3530_+	ENSFALG00000009607
chrN00008:clu_3547_+	ENSFALG00000009686
chrN00008:clu_3593_+	ENSFALG00000010089
chrN00008:clu_3605_+	NA
chrN00009:clu_3615_-	NA
chrN00009:clu_3633_-	ENSFALG00000013005
chrN00009:clu_3640_-	NA
chrN00009:clu_3648_-	ENSFALG00000026713
chrN00009:clu_3650_-	NA
chrN00009:clu_3651_-	NA
chrN00009:clu_3655_-	NA
chrN00009:clu_3657_-	ENSFALG00000013166
chrN00009:clu_3679_-	ENSFALG00000027663
chrN00009:clu_3689_-	NA
