cluster	status	loglr	df	p	p.adjust	genes
chrmt_fAlb:clu_28515_-	<=1 sample with coverage>0	NA	NA	NA	NA	NA
chrmt_fAlb:clu_28516_-	<=1 sample with coverage>0	NA	NA	NA	NA	NA
chrmt_fAlb:clu_28517_-	<=1 sample with coverage>0	NA	NA	NA	NA	NA
chrmt_fAlb:clu_28518_-	<=1 sample with coverage>0	NA	NA	NA	NA	NA
chrmt_fAlb:clu_28519_-	<=1 sample with coverage>0	NA	NA	NA	NA	NA
chrmt_fAlb:clu_28520_-	<=1 sample with coverage>0	NA	NA	NA	NA	NA
chrmt_fAlb:clu_28521_-	<=1 sample with coverage>0	NA	NA	NA	NA	NA
chrmt_fAlb:clu_28522_-	<=1 sample with coverage>0	NA	NA	NA	NA	NA
chrmt_fAlb:clu_28523_+	<=1 sample with coverage>0	NA	NA	NA	NA	NA
chrmt_fAlb:clu_28524_+	<=1 sample with coverage>0	NA	NA	NA	NA	NA
chrmt_fAlb:clu_28525_+	<=1 sample with coverage>0	NA	NA	NA	NA	NA
chrmt_fAlb:clu_28526_+	<=1 sample with coverage>0	NA	NA	NA	NA	NA
chrN00001:clu_1_+	Success	0.000968969033692701	1	0.964886853065305	0.984955242846956	NA
chrN00001:clu_10_+	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	ENSFALG00000028957
chrN00001:clu_100_+	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	ENSFALG00000012182
chrN00001:clu_101_+	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	ENSFALG00000012182
chrN00001:clu_102_+	Success	9.23800783262595	4	0.000995863080171779	0.0345869494855232	ENSFALG00000012200
chrN00001:clu_103_+	Success	1.02837169251109	1	0.151533723073226	0.44956198630897	ENSFALG00000012244
chrN00001:clu_104_+	Success	0.271695861687192	1	0.461030475491203	0.730877602560407	ENSFALG00000023321
chrN00001:clu_105_+	Success	0.236001046741649	1	0.49206755100908	0.750926597502628	ENSFALG00000023321
chrN00001:clu_106_+	Success	0.0387465495409174	1	0.780723876412633	0.90459073272485	ENSFALG00000023321
chrN00001:clu_107_+	Not enough valid samples	NA	NA	NA	NA	ENSFALG00000023321
chrN00001:clu_108_+	Success	0.59864280177311	2	0.549556987954131	0.784734548581349	ENSFALG00000012277
chrN00001:clu_109_+	Success	0.865594440339152	2	0.420801336976083	0.706237907207364	NA
chrN00001:clu_11_+	Success	0.778742539801783	2	0.458982801188221	0.729965349710662	ENSFALG00000023706
chrN00001:clu_110_+	<=1 sample with coverage>0	NA	NA	NA	NA	NA
chrN00001:clu_111_+	Success	0.305402059535709	4	0.961855570105511	0.984100250742983	ENSFALG00000012433
chrN00001:clu_112_+	Success	1.75218651407067	1	0.0612070089442747	0.299807633715074	ENSFALG00000012433
chrN00001:clu_113_+	Success	0.150870337092385	1	0.58279322671205	0.805012704966091	ENSFALG00000012433
chrN00001:clu_114_+	Success	3.26391904607078	3	0.0885710799607831	0.35617645998329	ENSFALG00000012433
chrN00001:clu_115_+	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	ENSFALG00000012470
chrN00001:clu_116_+	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	ENSFALG00000012470
chrN00001:clu_117_+	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	ENSFALG00000012470
chrN00001:clu_118_+	Not enough valid samples	NA	NA	NA	NA	NA
chrN00001:clu_119_+	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	ENSFALG00000012529
chrN00001:clu_12_+	Success	0.389904642841685	1	0.377199473345334	0.676219104664083	ENSFALG00000023706
chrN00001:clu_120_+	Success	8.65808413345584	2	0.000173716806507112	0.0109733059251338	ENSFALG00000012529
chrN00001:clu_121_+	Success	0.495061193072431	1	0.319712464090581	0.628350584820126	ENSFALG00000012529
chrN00001:clu_122_+	Success	0.920522798495199	1	0.17482844632631	0.479926646961574	ENSFALG00000012529
chrN00001:clu_123_+	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	ENSFALG00000012564
chrN00001:clu_124_+	Success	2.08974053981467	3	0.24272426395786	0.555587437670832	ENSFALG00000012564
chrN00001:clu_125_+	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	ENSFALG00000012564
chrN00001:clu_126_+	Success	0.00741904864696608	1	0.903048124821044	0.958961040921101	ENSFALG00000012564
chrN00001:clu_127_+	Success	0.146677145430772	2	0.863572740819113	0.941224785662613	ENSFALG00000012564
chrN00001:clu_128_+	Success	0.0404570520637222	1	0.77606244621326	0.902266659719499	ENSFALG00000012564
chrN00001:clu_129_+	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	ENSFALG00000012593
