Sample Species Tissue
SRR9617524_Aligned.sortedByCoord.out.bam Ficedula_albicollis Heart
SRR9617525_Aligned.sortedByCoord.out.bam Ficedula_albicollis Kidney
SRR9617526_Aligned.sortedByCoord.out.bam Ficedula_albicollis Testis
SRR9617527_Aligned.sortedByCoord.out.bam Ficedula_albicollis Brain
SRR9617528_Aligned.sortedByCoord.out.bam Ficedula_albicollis Kidney
SRR9617529_Aligned.sortedByCoord.out.bam Ficedula_albicollis Liver
SRR9617530_Aligned.sortedByCoord.out.bam Ficedula_albicollis Brain
SRR9617531_Aligned.sortedByCoord.out.bam Ficedula_albicollis Heart
SRR9617532_Aligned.sortedByCoord.out.bam Ficedula_hypoleuca Testis 
SRR9617533_Aligned.sortedByCoord.out.bam Ficedula_hypoleuca Brain
SRR9617534_Aligned.sortedByCoord.out.bam Ficedula_hypoleuca Testis 
SRR9617535_Aligned.sortedByCoord.out.bam Ficedula_hypoleuca Kidney
SRR9617536_Aligned.sortedByCoord.out.bam Ficedula_hypoleuca Liver
SRR9617537_Aligned.sortedByCoord.out.bam Ficedula_hypoleuca Brain
SRR9617538_Aligned.sortedByCoord.out.bam Ficedula_hypoleuca Heart
SRR9617539_Aligned.sortedByCoord.out.bam Ficedula_hypoleuca Heart
SRR9617540_Aligned.sortedByCoord.out.bam Ficedula_hypoleuca Kidney
SRR9617541_Aligned.sortedByCoord.out.bam Ficedula_albicollis Liver
SRR9617542_Aligned.sortedByCoord.out.bam Ficedula_albicollis Testis 
SRR9617543_Aligned.sortedByCoord.out.bam Ficedula_albicollis Heart
SRR9617544_Aligned.sortedByCoord.out.bam Ficedula_albicollis Kidney
SRR9617545_Aligned.sortedByCoord.out.bam Ficedula_albicollis Testis 
SRR9617546_Aligned.sortedByCoord.out.bam Ficedula_albicollis Brain
SRR9617547_Aligned.sortedByCoord.out.bam Ficedula_albicollis Kidney
SRR9617548_Aligned.sortedByCoord.out.bam Ficedula_albicollis Liver
SRR9617549_Aligned.sortedByCoord.out.bam Ficedula_albicollis Brain
SRR9617550_Aligned.sortedByCoord.out.bam Ficedula_albicollis Heart
SRR9617561_Aligned.sortedByCoord.out.bam Ficedula_hypoleuca Liver
SRR9617562_Aligned.sortedByCoord.out.bam Ficedula_hypoleuca Liver
SRR9617563_Aligned.sortedByCoord.out.bam Ficedula_albicollis Liver
SRR9617564_Aligned.sortedByCoord.out.bam Ficedula_hypoleuca Heart
SRR9617565_Aligned.sortedByCoord.out.bam Ficedula_hypoleuca Brain
SRR9617566_Aligned.sortedByCoord.out.bam Ficedula_hypoleuca Liver
SRR9617567_Aligned.sortedByCoord.out.bam Ficedula_hypoleuca Kidney
SRR9617568_Aligned.sortedByCoord.out.bam Ficedula_hypoleuca Brain
SRR9617569_Aligned.sortedByCoord.out.bam Ficedula_hypoleuca Testis 
SRR9617570_Aligned.sortedByCoord.out.bam Ficedula_hypoleuca Kidney
SRR9617571_Aligned.sortedByCoord.out.bam Ficedula_hypoleuca Heart
SRR9617572_Aligned.sortedByCoord.out.bam Ficedula_hypoleuca Testis 
SRR9617573_Aligned.sortedByCoord.out.bam Ficedula_hypoleuca Liver
SRR9617574_Aligned.sortedByCoord.out.bam Ficedula_hypoleuca Heart
SRR9617575_Aligned.sortedByCoord.out.bam Ficedula_hypoleuca Brain
SRR9617576_Aligned.sortedByCoord.out.bam Ficedula_albicollis Testis 
SRR9617577_Aligned.sortedByCoord.out.bam Ficedula_hypoleuca Testis 
SRR9617581_Aligned.sortedByCoord.out.bam Ficedula_albicollis Testis 
SRR9617582_Aligned.sortedByCoord.out.bam Ficedula_albicollis Liver
SRR9617583_Aligned.sortedByCoord.out.bam Ficedula_albicollis Kidney
SRR9617584_Aligned.sortedByCoord.out.bam Ficedula_albicollis Heart
SRR9617585_Aligned.sortedByCoord.out.bam Ficedula_albicollis Brain
SRR9617586_Aligned.sortedByCoord.out.bam Ficedula_hypoleuca Kidney 
