cluster	status	loglr	df	p	p.adjust	genes
chrmt_fAlb:clu_28515_-	<=1 sample with coverage>0	NA	NA	NA	NA	NA
chrmt_fAlb:clu_28516_-	<=1 sample with coverage>0	NA	NA	NA	NA	NA
chrmt_fAlb:clu_28517_-	<=1 sample with coverage>0	NA	NA	NA	NA	NA
chrmt_fAlb:clu_28518_-	<=1 sample with coverage>0	NA	NA	NA	NA	NA
chrmt_fAlb:clu_28519_-	<=1 sample with coverage>0	NA	NA	NA	NA	NA
chrmt_fAlb:clu_28520_-	<=1 sample with coverage>0	NA	NA	NA	NA	NA
chrmt_fAlb:clu_28521_-	<=1 sample with coverage>0	NA	NA	NA	NA	NA
chrmt_fAlb:clu_28522_-	<=1 sample with coverage>0	NA	NA	NA	NA	NA
chrmt_fAlb:clu_28523_+	<=1 sample with coverage>0	NA	NA	NA	NA	NA
chrmt_fAlb:clu_28524_+	<=1 sample with coverage>0	NA	NA	NA	NA	NA
chrmt_fAlb:clu_28525_+	<=1 sample with coverage>0	NA	NA	NA	NA	NA
chrmt_fAlb:clu_28526_+	<=1 sample with coverage>0	NA	NA	NA	NA	NA
chrN00001:clu_1_+	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	NA
chrN00001:clu_10_+	Success	4.4861160874346	2	0.0112643085491991	0.148255630212921	ENSFALG00000028957
chrN00001:clu_100_+	Success	1.31782654895343	1	0.104489086073641	0.403343278123404	ENSFALG00000012182
chrN00001:clu_101_+	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	ENSFALG00000012182
chrN00001:clu_102_+	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	ENSFALG00000012200
chrN00001:clu_103_+	Not enough valid samples	NA	NA	NA	NA	ENSFALG00000012244
chrN00001:clu_104_+	Success	0.502253265239474	1	0.316222510965513	0.64258517370783	ENSFALG00000023321
chrN00001:clu_105_+	Success	0.486598522629166	1	0.323884137274264	0.648038809243879	ENSFALG00000023321
chrN00001:clu_106_+	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	ENSFALG00000023321
chrN00001:clu_107_+	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	ENSFALG00000023321
chrN00001:clu_108_+	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	ENSFALG00000012277
chrN00001:clu_109_+	<=1 sample with coverage>0	NA	NA	NA	NA	NA
chrN00001:clu_11_+	Success	0.00142476449342155	1	0.957428359655007	0.980932758790184	ENSFALG00000023706
chrN00001:clu_110_+	<=1 sample with coverage>0	NA	NA	NA	NA	NA
chrN00001:clu_111_+	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	ENSFALG00000012433
chrN00001:clu_112_+	Success	1.1850169251685	1	0.123684369500847	0.43229286647861	ENSFALG00000012433
chrN00001:clu_113_+	Success	0.0317754379356288	1	0.800969187793376	0.913887610623769	ENSFALG00000012433
chrN00001:clu_114_+	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	ENSFALG00000012433
chrN00001:clu_115_+	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	ENSFALG00000012470
chrN00001:clu_116_+	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	ENSFALG00000012470
chrN00001:clu_117_+	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	ENSFALG00000012470
chrN00001:clu_118_+	<=1 sample with coverage>0	NA	NA	NA	NA	NA
chrN00001:clu_119_+	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	ENSFALG00000012529
chrN00001:clu_12_+	Success	0.552231726308662	1	0.293288645554602	0.624028161040989	ENSFALG00000023706
chrN00001:clu_120_+	Success	0.899951677270735	2	0.406589306770889	0.704651808156656	ENSFALG00000012529
chrN00001:clu_121_+	Success	0.0396380458417696	1	0.778280835996323	0.902893217040678	ENSFALG00000012529
chrN00001:clu_122_+	Success	0.426949297466081	2	0.652496634621962	0.840498192392691	ENSFALG00000012529
chrN00001:clu_123_+	Not enough valid samples	NA	NA	NA	NA	ENSFALG00000012564
chrN00001:clu_124_+	Success	3.87585238381007	3	0.0514318539616926	0.29088656888452	ENSFALG00000012564
chrN00001:clu_125_+	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	ENSFALG00000012564
chrN00001:clu_126_+	Success	0.35284164270206	1	0.400880592029815	0.700415295512924	ENSFALG00000012564
chrN00001:clu_127_+	Success	0.214766084355801	2	0.806730124905173	0.917152985855649	ENSFALG00000012564
chrN00001:clu_128_+	Success	0.00610357822336027	2	0.993915010771181	0.997075076228151	ENSFALG00000012564
