cluster	status	loglr	df	p	p.adjust	genes
chrmt_fAlb:clu_28515_-	<=1 sample with coverage>0	NA	NA	NA	NA	NA
chrmt_fAlb:clu_28516_-	<=1 sample with coverage>0	NA	NA	NA	NA	NA
chrmt_fAlb:clu_28517_-	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	NA
chrmt_fAlb:clu_28518_-	<=1 sample with coverage>0	NA	NA	NA	NA	NA
chrmt_fAlb:clu_28519_-	<=1 sample with coverage>0	NA	NA	NA	NA	NA
chrmt_fAlb:clu_28520_-	<=1 sample with coverage>0	NA	NA	NA	NA	NA
chrmt_fAlb:clu_28521_-	<=1 sample with coverage>0	NA	NA	NA	NA	NA
chrmt_fAlb:clu_28522_-	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	NA
chrmt_fAlb:clu_28523_+	<=1 sample with coverage>0	NA	NA	NA	NA	NA
chrmt_fAlb:clu_28524_+	<=1 sample with coverage>0	NA	NA	NA	NA	NA
chrmt_fAlb:clu_28525_+	<=1 sample with coverage>0	NA	NA	NA	NA	NA
chrmt_fAlb:clu_28526_+	<=1 sample with coverage>0	NA	NA	NA	NA	NA
chrN00001:clu_1_+	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	NA
chrN00001:clu_10_+	Success	0.560987576942296	2	0.5706452294089	0.834411192528385	ENSFALG00000028957
chrN00001:clu_100_+	Success	0.737965116026572	1	0.224412362452111	0.620538710698132	ENSFALG00000012182
chrN00001:clu_101_+	Success	0.536434658920257	2	0.584829656911036	0.840368643247857	ENSFALG00000012182
chrN00001:clu_102_+	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	ENSFALG00000012200
chrN00001:clu_103_+	Success	0.716405814317127	1	0.231306126777509	0.628314911619333	ENSFALG00000012244
chrN00001:clu_104_+	Success	0.0989796582455185	1	0.656373093628505	0.872496138384717	ENSFALG00000023321
chrN00001:clu_105_+	Success	0.00168128831241887	1	0.953758403535245	0.987546584894096	ENSFALG00000023321
chrN00001:clu_106_+	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	ENSFALG00000023321
chrN00001:clu_107_+	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	ENSFALG00000023321
chrN00001:clu_108_+	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	ENSFALG00000012277
chrN00001:clu_109_+	<=1 sample with coverage>0	NA	NA	NA	NA	NA
chrN00001:clu_11_+	Success	0.413428612566378	1	0.363182872204419	0.725162197754839	ENSFALG00000023706
chrN00001:clu_110_+	<=1 sample with coverage>0	NA	NA	NA	NA	NA
chrN00001:clu_111_+	Success	2.09965062627488	2	0.122499218785994	0.501860301213153	ENSFALG00000012433
chrN00001:clu_112_+	Success	0.615620453396957	1	0.267165846925899	0.658235611679651	ENSFALG00000012433
chrN00001:clu_113_+	Success	1.08133783828094	1	0.141398282815455	0.526459932394483	ENSFALG00000012433
chrN00001:clu_114_+	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	ENSFALG00000012433
chrN00001:clu_115_+	Not enough valid samples	NA	NA	NA	NA	ENSFALG00000012470
chrN00001:clu_116_+	Not enough valid samples	NA	NA	NA	NA	ENSFALG00000012470
chrN00001:clu_117_+	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	ENSFALG00000012470
chrN00001:clu_118_+	<=1 sample with coverage>0	NA	NA	NA	NA	NA
chrN00001:clu_119_+	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	ENSFALG00000012529
chrN00001:clu_12_+	Success	0.0752518169078229	1	0.698054531705554	0.89159840009141	ENSFALG00000023706
chrN00001:clu_120_+	Success	0.453576397522511	2	0.635351812852512	0.86279947439636	ENSFALG00000012529
chrN00001:clu_121_+	Success	0.00344450153991716	1	0.933851524862737	0.982241013040857	ENSFALG00000012529
chrN00001:clu_122_+	Success	0.078009855305254	2	0.924955310781686	0.980259608051157	ENSFALG00000012529
chrN00001:clu_123_+	Not enough valid samples	NA	NA	NA	NA	ENSFALG00000012564
chrN00001:clu_124_+	Success	2.25063644477405	3	0.212176776616254	0.607637750534149	ENSFALG00000012564
chrN00001:clu_125_+	Not enough valid samples	NA	NA	NA	NA	ENSFALG00000012564
chrN00001:clu_126_+	Success	0.0209985356830202	1	0.837625354905641	0.950279990982093	ENSFALG00000012564
chrN00001:clu_127_+	Success	0.420180288576717	2	0.65692837245675	0.872767098542344	ENSFALG00000012564
chrN00001:clu_128_+	Success	4.87325797590601	2	0.00764840632859055	0.204347025166983	ENSFALG00000012564
chrN00001:clu_129_+	Success	0.325870880848356	1	0.419490641835406	0.755542067044366	ENSFALG00000012593
