cluster	status	loglr	df	p	p.adjust	genes
chrmt_fAlb:clu_28515_-	<=1 sample with coverage>0	NA	NA	NA	NA	NA
chrmt_fAlb:clu_28516_-	<=1 sample with coverage>0	NA	NA	NA	NA	NA
chrmt_fAlb:clu_28517_-	<=1 sample with coverage>0	NA	NA	NA	NA	NA
chrmt_fAlb:clu_28518_-	<=1 sample with coverage>0	NA	NA	NA	NA	NA
chrmt_fAlb:clu_28519_-	<=1 sample with coverage>0	NA	NA	NA	NA	NA
chrmt_fAlb:clu_28520_-	<=1 sample with coverage>0	NA	NA	NA	NA	NA
chrmt_fAlb:clu_28521_-	<=1 sample with coverage>0	NA	NA	NA	NA	NA
chrmt_fAlb:clu_28522_-	<=1 sample with coverage>0	NA	NA	NA	NA	NA
chrmt_fAlb:clu_28523_+	<=1 sample with coverage>0	NA	NA	NA	NA	NA
chrmt_fAlb:clu_28524_+	<=1 sample with coverage>0	NA	NA	NA	NA	NA
chrmt_fAlb:clu_28525_+	<=1 sample with coverage>0	NA	NA	NA	NA	NA
chrmt_fAlb:clu_28526_+	<=1 sample with coverage>0	NA	NA	NA	NA	NA
chrN00001:clu_1_+	Success	0.0480313804926027	1	0.756606636222543	0.920864983015438	NA
chrN00001:clu_10_+	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	ENSFALG00000028957
chrN00001:clu_100_+	<=1 sample with coverage>0	NA	NA	NA	NA	ENSFALG00000012182
chrN00001:clu_101_+	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	ENSFALG00000012182
chrN00001:clu_102_+	Success	1.47514843890826	4	0.566177260129111	0.84619775672871	ENSFALG00000012200
chrN00001:clu_103_+	Success	0.0239436921144147	1	0.826781025345491	0.94652491217652	ENSFALG00000012244
chrN00001:clu_104_+	Success	0.135403164533727	1	0.602791392199561	0.861495840652504	ENSFALG00000023321
chrN00001:clu_105_+	Success	2.19675057008266	1	0.0360761575124039	0.345154017002025	ENSFALG00000023321
chrN00001:clu_106_+	Success	0.00456531839745367	1	0.923874510216605	0.97769391669863	ENSFALG00000023321
chrN00001:clu_107_+	Success	0.346631204878577	3	0.874787542786921	0.962354107407223	ENSFALG00000023321
chrN00001:clu_108_+	Success	6.56668437800153	2	0.00140645295622095	0.100278345007239	ENSFALG00000012277
chrN00001:clu_109_+	Not enough valid samples	NA	NA	NA	NA	NA
chrN00001:clu_11_+	Success	1.24654177634739	2	0.287497309701825	0.687284043489222	ENSFALG00000023706
chrN00001:clu_110_+	<=1 sample with coverage>0	NA	NA	NA	NA	NA
chrN00001:clu_111_+	Success	6.32262799443038	4	0.0131457243823477	0.245258395289773	ENSFALG00000012433
chrN00001:clu_112_+	Success	2.1070764556132	1	0.0400880777219664	0.361140743635842	ENSFALG00000012433
chrN00001:clu_113_+	Success	0.108695313868566	1	0.641035362303174	0.876808406504977	ENSFALG00000012433
chrN00001:clu_114_+	Success	3.51569906584285	3	0.0709037121481624	0.427906593036487	ENSFALG00000012433
chrN00001:clu_115_+	<=1 sample with coverage>0	NA	NA	NA	NA	ENSFALG00000012470
chrN00001:clu_116_+	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	ENSFALG00000012470
chrN00001:clu_117_+	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	ENSFALG00000012470
chrN00001:clu_118_+	Not enough valid samples	NA	NA	NA	NA	NA
chrN00001:clu_119_+	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	ENSFALG00000012529
chrN00001:clu_12_+	Success	2.2177205226625	1	0.0352001239590393	0.343507273764	ENSFALG00000023706
chrN00001:clu_120_+	Success	6.19993189552497	2	0.00202956885431041	0.11434125122497	ENSFALG00000012529
chrN00001:clu_121_+	Success	0.201357551025296	1	0.525690385951253	0.828213143501312	ENSFALG00000012529
chrN00001:clu_122_+	Success	2.25332710935737	1	0.0337632232910355	0.338874687973051	ENSFALG00000012529
chrN00001:clu_123_+	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	ENSFALG00000012564
chrN00001:clu_124_+	Success	3.8698855996883	3	0.0517074332807736	0.387590921213801	ENSFALG00000012564
chrN00001:clu_125_+	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	ENSFALG00000012564
chrN00001:clu_126_+	Success	0.0014208126997346	1	0.957487384021507	0.987694028057906	ENSFALG00000012564
chrN00001:clu_127_+	Success	2.71684930471122	2	0.0660826330139016	0.420168210238099	ENSFALG00000012564
chrN00001:clu_128_+	Success	0.871539319493962	2	0.418307145060064	0.775296265081121	ENSFALG00000012564
chrN00001:clu_129_+	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	ENSFALG00000012593
