genes	clusters
ENSFALG00000000003	chrN00141:clu_22056_-,chrN00282:clu_26744_-,chrN00282:clu_26745_-
ENSFALG00000000004	chrN00141:clu_22035_+,chrN00141:clu_22036_+,chrN00141:clu_22037_+
ENSFALG00000000007	chrN00141:clu_22057_-,chrN00141:clu_22058_-
ENSFALG00000000008	chrN00141:clu_22059_-,chrN00141:clu_22060_-
ENSFALG00000000012	chrN00141:clu_22040_+
ENSFALG00000000015	chrN00141:clu_22041_+
ENSFALG00000000036	chrN00141:clu_22079_-
ENSFALG00000000055	chrN00171:clu_23557_+,chrN00171:clu_23558_+
ENSFALG00000000058	chrN00171:clu_23559_+
ENSFALG00000000062	chrN00171:clu_23560_+
ENSFALG00000000064	chrN00171:clu_23513_-
ENSFALG00000000072	chrN00061:clu_15511_+
ENSFALG00000000073	chrN00171:clu_23561_+
ENSFALG00000000079	chrN00171:clu_23563_+,chrN00171:clu_23564_+
ENSFALG00000000084	chrN00171:clu_23565_+
ENSFALG00000000092	chrN00171:clu_23566_+
ENSFALG00000000097	chrN00061:clu_15522_+,chrN00061:clu_15523_+
ENSFALG00000000104	chrN00061:clu_15527_+,chrN00061:clu_15528_+
ENSFALG00000000115	chrN00218:clu_25276_-
ENSFALG00000000126	chrN00218:clu_25280_-
ENSFALG00000000127	chrN00171:clu_23528_-
ENSFALG00000000129	chrN00218:clu_25252_+
ENSFALG00000000130	chrN00061:clu_15533_+
ENSFALG00000000133	chrN00218:clu_25281_-
ENSFALG00000000139	chrN00377:clu_27731_+
ENSFALG00000000141	chrN00171:clu_23574_+
ENSFALG00000000149	chrN00377:clu_27737_-
ENSFALG00000000157	chrN00161:clu_22983_+,chrN00161:clu_22984_+
ENSFALG00000000159	chrN00127:clu_21337_-,chrN00127:clu_21339_-
ENSFALG00000000163	chrN00377:clu_27734_+,chrN00377:clu_27735_+,chrN00377:clu_27736_+
ENSFALG00000000166	chrN00142:clu_22101_+
ENSFALG00000000175	chrN00142:clu_22112_-
ENSFALG00000000187	chrN00161:clu_22998_+
ENSFALG00000000207	chrN00161:clu_23033_-,chrN00161:clu_23034_-
ENSFALG00000000216	chrN00171:clu_23537_-
ENSFALG00000000218	chrN00061:clu_15494_-
ENSFALG00000000219	chrN00093:clu_19241_-
ENSFALG00000000224	chrN00218:clu_25253_+
ENSFALG00000000237	chrN00061:clu_15557_+
ENSFALG00000000240	chrN00171:clu_23580_+
ENSFALG00000000241	chrN00061:clu_15498_-,chrN00061:clu_15499_-,chrN00061:clu_15500_-,chrN00061:clu_15501_-,chrN00061:clu_15502_-
ENSFALG00000000243	chrN00142:clu_22118_-,chrN00142:clu_22119_-
ENSFALG00000000245	chrN00305:clu_27079_+,chrN00305:clu_27080_+,chrN00305:clu_27081_+
ENSFALG00000000256	chrN00305:clu_27087_+,chrN00305:clu_27088_+,chrN00305:clu_27089_+,chrN00305:clu_27090_+,chrN00305:clu_27091_+,chrN00305:clu_27092_+
ENSFALG00000000259	chrN00061:clu_15566_+,chrN00061:clu_15567_+,chrN00061:clu_15568_+,chrN00061:clu_15569_+,chrN00061:clu_15570_+,chrN00061:clu_15571_+,chrN00061:clu_15572_+
ENSFALG00000000266	chrN00147:clu_22346_+
