cluster	status	loglr	df	p	p.adjust	genes
chrmt_fAlb:clu_28515_-	<=1 sample with coverage>0	NA	NA	NA	NA	NA
chrmt_fAlb:clu_28516_-	<=1 sample with coverage>0	NA	NA	NA	NA	NA
chrmt_fAlb:clu_28517_-	<=1 sample with coverage>0	NA	NA	NA	NA	NA
chrmt_fAlb:clu_28518_-	<=1 sample with coverage>0	NA	NA	NA	NA	NA
chrmt_fAlb:clu_28519_-	<=1 sample with coverage>0	NA	NA	NA	NA	NA
chrmt_fAlb:clu_28520_-	<=1 sample with coverage>0	NA	NA	NA	NA	NA
chrmt_fAlb:clu_28521_-	<=1 sample with coverage>0	NA	NA	NA	NA	NA
chrmt_fAlb:clu_28522_-	<=1 sample with coverage>0	NA	NA	NA	NA	NA
chrmt_fAlb:clu_28523_+	<=1 sample with coverage>0	NA	NA	NA	NA	NA
chrmt_fAlb:clu_28524_+	<=1 sample with coverage>0	NA	NA	NA	NA	NA
chrmt_fAlb:clu_28525_+	<=1 sample with coverage>0	NA	NA	NA	NA	NA
chrmt_fAlb:clu_28526_+	<=1 sample with coverage>0	NA	NA	NA	NA	NA
chrN00001:clu_1_+	Success	0.031062605128966	1	0.803167951679149	0.904572939926415	NA
chrN00001:clu_10_+	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	ENSFALG00000028957
chrN00001:clu_100_+	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	ENSFALG00000012182
chrN00001:clu_101_+	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	ENSFALG00000012182
chrN00001:clu_102_+	Success	9.47772147777937	4	0.000801945234357037	0.0118769877756296	ENSFALG00000012200
chrN00001:clu_103_+	Success	1.2230463993709	1	0.117817808762339	0.325230909359155	ENSFALG00000012244
chrN00001:clu_104_+	Success	0.0300985230630886	1	0.806184771746106	0.906160592771494	ENSFALG00000023321
chrN00001:clu_105_+	Success	0.814226054707547	1	0.201917277297898	0.442727345592103	ENSFALG00000023321
chrN00001:clu_106_+	Success	0.0335860379717587	1	0.795499630933551	0.900154924987558	ENSFALG00000023321
chrN00001:clu_107_+	Not enough valid samples	NA	NA	NA	NA	ENSFALG00000023321
chrN00001:clu_108_+	Success	6.11181807055959	2	0.00221651736239918	0.0251977759159215	ENSFALG00000012277
chrN00001:clu_109_+	Success	0.570023597818704	2	0.565512093690219	0.763770438628026	NA
chrN00001:clu_11_+	Success	0.100768475138921	2	0.904142340084703	0.958205457121462	ENSFALG00000023706
chrN00001:clu_110_+	<=1 sample with coverage>0	NA	NA	NA	NA	NA
chrN00001:clu_111_+	Success	8.11885136361252	4	0.00271623780939701	0.0289053710856678	ENSFALG00000012433
chrN00001:clu_112_+	Success	5.32998022890752e-05	1	0.991762220890522	0.998229681843184	ENSFALG00000012433
chrN00001:clu_113_+	Success	0.600614235908324	1	0.273076284550638	0.524582646977813	ENSFALG00000012433
chrN00001:clu_114_+	Success	2.82914520999788	3	0.12947173603118	0.344777200065642	ENSFALG00000012433
chrN00001:clu_115_+	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	ENSFALG00000012470
chrN00001:clu_116_+	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	ENSFALG00000012470
chrN00001:clu_117_+	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	ENSFALG00000012470
chrN00001:clu_118_+	Success	1.37261714651491	1	0.0975447785711032	0.290756222017119	NA
chrN00001:clu_119_+	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	ENSFALG00000012529
chrN00001:clu_12_+	Success	1.83532017862046	1	0.0553789037453857	0.210970795688997	ENSFALG00000023706
chrN00001:clu_120_+	Success	0.540839246171998	2	0.582259388301291	0.775897248775112	ENSFALG00000012529
chrN00001:clu_121_+	Success	0.132316315638349	1	0.606955189481752	0.791766277889879	ENSFALG00000012529
chrN00001:clu_122_+	Success	0.312491364429661	2	0.731621946892146	0.866174633265679	ENSFALG00000012529
chrN00001:clu_123_+	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	ENSFALG00000012564
chrN00001:clu_124_+	Success	4.50165854062186	3	0.0292468166248584	0.142681956067813	ENSFALG00000012564
chrN00001:clu_125_+	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	ENSFALG00000012564
chrN00001:clu_126_+	Success	0.00206361119649046	1	0.948776371280803	0.979358881173655	ENSFALG00000012564
chrN00001:clu_127_+	Success	1.66016878079279	2	0.190106891001807	0.427770822067262	ENSFALG00000012564
chrN00001:clu_128_+	Success	3.34191679416551	2	0.0353690974256811	0.161437327802687	ENSFALG00000012564
