genes	clusters
ENSFALG00000000274	chrN00147:clu_22355_+
ENSFALG00000000294	chrN00050:clu_13719_+
ENSFALG00000000338	chrN00050:clu_13686_-
ENSFALG00000000724	chrN00250:clu_26161_-
ENSFALG00000000868	chrN00026:clu_8724_+
ENSFALG00000000891	chrN00296:clu_26934_-
ENSFALG00000001059	chrN00229:clu_25571_-
ENSFALG00000001103	chrN00217:clu_25229_-
ENSFALG00000001517	chrN00055:clu_14679_+
ENSFALG00000002020	chrN00071:clu_16904_+
ENSFALG00000002234	chrN00044:clu_12789_+
ENSFALG00000002438	chrN00013:clu_5433_-
ENSFALG00000002467	chrN00046:clu_13090_+
ENSFALG00000002601	chrN00156:clu_22671_-
ENSFALG00000002861	chrN00053:clu_14373_-
ENSFALG00000003553	chrN00101:clu_19790_-
ENSFALG00000003586	chrN00019:clu_7160_-
ENSFALG00000003710	chrN00232:clu_25737_+
ENSFALG00000003734	chrN00133:clu_21680_-
ENSFALG00000003759	chrN00042:clu_12419_-
ENSFALG00000004012	chrN00146:clu_22315_+
ENSFALG00000005086	chrN00052:clu_13988_+
ENSFALG00000006417	chrN00015:clu_6160_+
ENSFALG00000006788	chrN00159:clu_22843_-
ENSFALG00000006962	chrN00007:clu_2871_-
ENSFALG00000007530	chrN00116:clu_20752_-
ENSFALG00000007611	chrN00025:clu_8663_+
ENSFALG00000007649	chrN00346:clu_27526_+
ENSFALG00000007801	chrN00088:clu_18577_-
ENSFALG00000007956	chrN00255:clu_26322_-
ENSFALG00000008744	chrN00032:clu_9991_+
ENSFALG00000008753	chrN00038:clu_11451_-
ENSFALG00000009571	chrN00003:clu_1439_-
ENSFALG00000009619	chrN00249:clu_26152_+
ENSFALG00000009702	chrN00132:clu_21608_-
ENSFALG00000009723	chrN00008:clu_3390_-
ENSFALG00000010891	chrN00191:clu_24241_-
ENSFALG00000011337	chrN00106:clu_20119_-
ENSFALG00000011510	chrN00145:clu_22243_-
ENSFALG00000011919	chrN00041:clu_12309_-
ENSFALG00000013546	chrN00100:clu_19665_+
ENSFALG00000014068	chrN00036:clu_11089_+
ENSFALG00000023125	chrN00018:clu_6747_-
ENSFALG00000023840	chrN00032:clu_9925_+
ENSFALG00000024044	chrN00113:clu_20526_+
ENSFALG00000024418	chrN00042:clu_12414_+
ENSFALG00000024732	chrN00049:clu_13646_-
ENSFALG00000025145	chrN00235:clu_25829_+
ENSFALG00000027165	chrN00012:clu_4913_+
ENSFALG00000027970	chrN00346:clu_27520_+
ENSFALG00000028278	chrN00006:clu_2727_+
ENSFALG00000029052	chrN00012:clu_4685_-
