genes	clusters
ENSFALG00000000121	chrN00142:clu_22089_+
ENSFALG00000000150	chrN00142:clu_22094_+
ENSFALG00000000189	chrN00142:clu_22106_+
ENSFALG00000000237	chrN00061:clu_15557_+
ENSFALG00000000347	chrN00040:clu_12154_-
ENSFALG00000000353	chrN00050:clu_13739_+
ENSFALG00000000437	chrN00226:clu_25423_+
ENSFALG00000000461	chrN00181:clu_23808_-
ENSFALG00000000466	chrN00181:clu_23824_+
ENSFALG00000000522	chrN00040:clu_12045_+
ENSFALG00000000529	chrN00110:clu_20327_-,chrN00110:clu_20328_-
ENSFALG00000000545	chrN00040:clu_12056_+
ENSFALG00000000591	chrN00110:clu_20370_+
ENSFALG00000000621	chrN00110:clu_20386_+
ENSFALG00000000660	chrN00040:clu_12222_-
ENSFALG00000000677	chrN00210:clu_25006_+
ENSFALG00000000715	chrN00210:clu_24973_-
ENSFALG00000000724	chrN00250:clu_26161_-
ENSFALG00000000776	chrN00026:clu_8709_+
ENSFALG00000000804	chrN00210:clu_25031_+
ENSFALG00000000833	chrN00258:clu_26360_+
ENSFALG00000000891	chrN00296:clu_26934_-
ENSFALG00000000902	chrN00026:clu_8760_-
ENSFALG00000000918	chrN00285:clu_26799_-
ENSFALG00000000937	chrN00068:clu_16467_+
ENSFALG00000000990	chrN00040:clu_12257_-
ENSFALG00000001039	chrN00217:clu_25236_-
ENSFALG00000001059	chrN00229:clu_25571_-
ENSFALG00000001123	chrN00283:clu_26755_+
ENSFALG00000001152	chrN00283:clu_26765_-
ENSFALG00000001165	chrN00040:clu_12283_-
ENSFALG00000001175	chrN00347:clu_27529_-
ENSFALG00000001382	chrN00039:clu_11808_+
ENSFALG00000001424	chrN00039:clu_11831_+,chrN00039:clu_11834_+
ENSFALG00000001489	chrN00055:clu_14672_+
ENSFALG00000001495	chrN00039:clu_11703_-
ENSFALG00000001667	chrN00115:clu_20691_-
ENSFALG00000001877	chrN00022:clu_7896_+
ENSFALG00000001879	chrN00022:clu_7803_-
ENSFALG00000001931	chrN00071:clu_16891_+
ENSFALG00000001967	chrN00244:clu_26043_+
ENSFALG00000001979	chrN00233:clu_25784_-
ENSFALG00000001993	chrN00022:clu_7823_-
ENSFALG00000002020	chrN00071:clu_16903_+,chrN00071:clu_16905_+
ENSFALG00000002041	chrN00071:clu_16915_+
ENSFALG00000002103	chrN00071:clu_16935_+
ENSFALG00000002126	chrN00271:clu_26614_+
ENSFALG00000002222	chrN00039:clu_12008_+
ENSFALG00000002244	chrN00216:clu_25206_-,chrN00216:clu_25207_-
ENSFALG00000002261	chrN00072:clu_16961_+
ENSFALG00000002338	chrN00014:clu_5649_-
ENSFALG00000002345	chrN00075:clu_17372_-
ENSFALG00000002390	chrN00227:clu_25504_-
ENSFALG00000002420	chrN00075:clu_17382_-
ENSFALG00000002443	chrN00046:clu_13085_+
ENSFALG00000002448	chrN00075:clu_17489_+,chrN00075:clu_17490_+
ENSFALG00000002454	chrN00014:clu_5665_-
ENSFALG00000002467	chrN00046:clu_13090_+
ENSFALG00000002543	chrN00156:clu_22661_-
ENSFALG00000002566	chrN00149:clu_22411_-
ENSFALG00000002580	chrN00046:clu_13096_+,chrN00046:clu_13097_+
ENSFALG00000002612	chrN00156:clu_22673_-
ENSFALG00000002645	chrN00156:clu_22718_+
ENSFALG00000002679	chrN00035:clu_10663_+
ENSFALG00000002681	chrN00046:clu_13109_+
ENSFALG00000002703	chrN00046:clu_13113_+
ENSFALG00000002852	chrN00157:clu_22762_+
ENSFALG00000002854	chrN00157:clu_22762_+
ENSFALG00000002870	chrN00013:clu_5344_+
ENSFALG00000002913	chrN00046:clu_13034_-
ENSFALG00000002940	chrN00035:clu_10701_+
ENSFALG00000002963	chrN00035:clu_10621_-
ENSFALG00000002974	chrN00013:clu_5523_-
ENSFALG00000002975	chrN00035:clu_10706_+
ENSFALG00000003035	chrN00345:clu_27503_+,chrN00345:clu_27506_+
ENSFALG00000003072	chrN00075:clu_17427_-
ENSFALG00000003078	chrN00102:clu_19813_-
ENSFALG00000003147	chrN00102:clu_19821_-
ENSFALG00000003169	chrN00035:clu_10634_-
ENSFALG00000003199	chrN00102:clu_19850_+,chrN00102:clu_19855_+
ENSFALG00000003237	chrN00053:clu_14484_+
ENSFALG00000003263	chrN00228:clu_25529_+
ENSFALG00000003300	chrN00131:clu_21538_+
ENSFALG00000003320	chrN00124:clu_21200_-
ENSFALG00000003335	chrN00102:clu_19870_+
ENSFALG00000003362	chrN00131:clu_21541_+
ENSFALG00000003436	chrN00013:clu_5560_-
ENSFALG00000003520	chrN00019:clu_6987_+
ENSFALG00000003553	chrN00101:clu_19789_-
ENSFALG00000003554	chrN00005:clu_1967_-
ENSFALG00000003560	chrN00131:clu_21550_+
ENSFALG00000003598	chrN00005:clu_2144_+
ENSFALG00000003600	chrN00075:clu_17568_+
ENSFALG00000003629	chrN00019:clu_7163_-
ENSFALG00000003646	chrN00053:clu_14429_-
ENSFALG00000003703	chrN00232:clu_25712_-
