genes	clusters
ENSFALG00000000012	chrN00141:clu_22040_+
ENSFALG00000000015	chrN00141:clu_22041_+
ENSFALG00000000018	chrN00141:clu_22063_-
ENSFALG00000000023	chrN00141:clu_22043_+,chrN00141:clu_22044_+
ENSFALG00000000031	chrN00141:clu_22067_-,chrN00141:clu_22069_-,chrN00141:clu_22071_-
ENSFALG00000000034	chrN00141:clu_22073_-,chrN00141:clu_22074_-
ENSFALG00000000050	chrN00171:clu_23497_-,chrN00171:clu_23498_-,chrN00171:clu_23499_-,chrN00171:clu_23500_-
ENSFALG00000000053	chrN00171:clu_23503_-,chrN00171:clu_23504_-
ENSFALG00000000054	chrN00171:clu_23556_+
ENSFALG00000000056	chrN00171:clu_23512_-
ENSFALG00000000073	chrN00171:clu_23561_+
ENSFALG00000000074	chrN00061:clu_15514_+
ENSFALG00000000075	chrN00061:clu_15455_-,chrN00061:clu_15456_-,chrN00061:clu_15457_-
ENSFALG00000000076	chrN00171:clu_23515_-,chrN00171:clu_23516_-,chrN00171:clu_23517_-
ENSFALG00000000080	chrN00061:clu_15520_+,chrN00061:clu_15521_+
ENSFALG00000000087	chrN00061:clu_15461_-
ENSFALG00000000088	chrN00171:clu_23518_-,chrN00171:clu_23520_-
ENSFALG00000000089	chrN00061:clu_15463_-,chrN00061:clu_15464_-,chrN00061:clu_15465_-,chrN00061:clu_15467_-
ENSFALG00000000101	chrN00061:clu_15524_+,chrN00061:clu_15526_+
ENSFALG00000000103	chrN00061:clu_15472_-,chrN00061:clu_15474_-
ENSFALG00000000106	chrN00171:clu_23522_-,chrN00171:clu_23523_-,chrN00171:clu_23524_-,chrN00171:clu_23525_-,chrN00171:clu_23526_-
ENSFALG00000000107	chrN00061:clu_15477_-
ENSFALG00000000111	chrN00171:clu_23572_+,chrN00171:clu_23573_+
ENSFALG00000000124	chrN00218:clu_25278_-,chrN00218:clu_25279_-
ENSFALG00000000132	chrN00061:clu_15535_+
ENSFALG00000000135	chrN00061:clu_15480_-,chrN00061:clu_15481_-
ENSFALG00000000137	chrN00377:clu_27733_+
ENSFALG00000000150	chrN00142:clu_22094_+,chrN00142:clu_22095_+,chrN00142:clu_22096_+
ENSFALG00000000152	chrN00061:clu_15538_+
ENSFALG00000000153	chrN00061:clu_15538_+
ENSFALG00000000154	chrN00171:clu_23521_-,chrN00171:clu_23530_-,chrN00171:clu_23531_-
ENSFALG00000000160	chrN00218:clu_25282_-
ENSFALG00000000167	chrN00377:clu_27738_-
ENSFALG00000000170	chrN00127:clu_21343_-
ENSFALG00000000173	chrN00161:clu_22991_+,chrN00161:clu_22992_+,chrN00161:clu_22994_+
ENSFALG00000000179	chrN00171:clu_23578_+
ENSFALG00000000180	chrN00161:clu_22996_+
ENSFALG00000000183	chrN00142:clu_22103_+,chrN00142:clu_22104_+
ENSFALG00000000184	chrN00127:clu_21346_-
ENSFALG00000000189	chrN00142:clu_22106_+,chrN00142:clu_22107_+
ENSFALG00000000190	chrN00171:clu_23579_+
ENSFALG00000000192	chrN00161:clu_23020_-
ENSFALG00000000197	chrN00127:clu_21351_+
ENSFALG00000000202	chrN00161:clu_23023_-,chrN00161:clu_23024_-
ENSFALG00000000204	chrN00161:clu_23023_-,chrN00161:clu_23025_-,chrN00161:clu_23027_-,chrN00161:clu_23028_-,chrN00161:clu_23030_-,chrN00161:clu_23032_-
ENSFALG00000000206	chrN00061:clu_15546_+
ENSFALG00000000209	chrN00161:clu_23004_+,chrN00161:clu_23005_+,chrN00161:clu_23007_+
ENSFALG00000000213	chrN00127:clu_21356_+
ENSFALG00000000218	chrN00061:clu_15494_-
ENSFALG00000000228	chrN00061:clu_15552_+,chrN00061:clu_15553_+,chrN00061:clu_15555_+
ENSFALG00000000238	chrN00061:clu_15559_+,chrN00061:clu_15560_+
ENSFALG00000000250	chrN00061:clu_15563_+
ENSFALG00000000253	chrN00061:clu_15505_-,chrN00061:clu_15506_-,chrN00061:clu_15507_-,chrN00061:clu_15509_-
ENSFALG00000000254	chrN00171:clu_23584_+,chrN00171:clu_23585_+
ENSFALG00000000255	chrN00218:clu_25254_+
ENSFALG00000000265	chrN00218:clu_25287_-
ENSFALG00000000267	chrN00147:clu_22368_-
ENSFALG00000000269	chrN00147:clu_22352_+
ENSFALG00000000271	chrN00171:clu_23587_+
