genes	clusters
ENSFALG00000000003	chrN00141:clu_22056_-,chrN00282:clu_26744_-,chrN00282:clu_26745_-
ENSFALG00000000004	chrN00141:clu_22036_+
ENSFALG00000000008	chrN00141:clu_22060_-
ENSFALG00000000012	chrN00141:clu_22040_+
ENSFALG00000000015	chrN00141:clu_22041_+
ENSFALG00000000018	chrN00141:clu_22062_-,chrN00141:clu_22063_-
ENSFALG00000000023	chrN00141:clu_22043_+,chrN00141:clu_22044_+
ENSFALG00000000031	chrN00141:clu_22069_-,chrN00141:clu_22070_-
ENSFALG00000000034	chrN00141:clu_22073_-,chrN00141:clu_22074_-,chrN00141:clu_22075_-,chrN00141:clu_22076_-,chrN00141:clu_22078_-
ENSFALG00000000049	chrN00171:clu_23491_-,chrN00171:clu_23494_-
ENSFALG00000000053	chrN00171:clu_23503_-,chrN00171:clu_23504_-
ENSFALG00000000054	chrN00171:clu_23556_+
ENSFALG00000000055	chrN00171:clu_23557_+,chrN00171:clu_23558_+
ENSFALG00000000056	chrN00171:clu_23512_-
ENSFALG00000000074	chrN00061:clu_15514_+
ENSFALG00000000075	chrN00061:clu_15455_-,chrN00061:clu_15456_-,chrN00061:clu_15457_-,chrN00061:clu_15458_-,chrN00061:clu_15459_-
ENSFALG00000000080	chrN00061:clu_15520_+,chrN00061:clu_15521_+
ENSFALG00000000087	chrN00061:clu_15461_-
ENSFALG00000000088	chrN00171:clu_23518_-
ENSFALG00000000089	chrN00061:clu_15463_-,chrN00061:clu_15467_-
ENSFALG00000000097	chrN00061:clu_15523_+
ENSFALG00000000101	chrN00061:clu_15524_+,chrN00061:clu_15526_+
ENSFALG00000000103	chrN00061:clu_15472_-,chrN00061:clu_15476_-
ENSFALG00000000105	chrN00218:clu_25274_-
ENSFALG00000000106	chrN00171:clu_23523_-,chrN00171:clu_23524_-
ENSFALG00000000111	chrN00171:clu_23571_+,chrN00171:clu_23572_+
ENSFALG00000000116	chrN00142:clu_22082_+,chrN00142:clu_22083_+,chrN00142:clu_22084_+,chrN00142:clu_22087_+
ENSFALG00000000121	chrN00142:clu_22089_+
ENSFALG00000000123	chrN00061:clu_15530_+
ENSFALG00000000124	chrN00218:clu_25278_-,chrN00218:clu_25279_-
ENSFALG00000000129	chrN00218:clu_25252_+
ENSFALG00000000130	chrN00061:clu_15533_+
ENSFALG00000000132	chrN00061:clu_15535_+
ENSFALG00000000135	chrN00061:clu_15480_-,chrN00061:clu_15481_-
ENSFALG00000000137	chrN00377:clu_27733_+
ENSFALG00000000139	chrN00377:clu_27731_+
ENSFALG00000000141	chrN00171:clu_23574_+
