cluster	status	loglr	df	p	p.adjust	genes
chrmt_fAlb:clu_28515_-	<=1 sample with coverage>0	NA	NA	NA	NA	NA
chrmt_fAlb:clu_28516_-	<=1 sample with coverage>0	NA	NA	NA	NA	NA
chrmt_fAlb:clu_28517_-	<=1 sample with coverage>0	NA	NA	NA	NA	NA
chrmt_fAlb:clu_28518_-	<=1 sample with coverage>0	NA	NA	NA	NA	NA
chrmt_fAlb:clu_28519_-	<=1 sample with coverage>0	NA	NA	NA	NA	NA
chrmt_fAlb:clu_28520_-	<=1 sample with coverage>0	NA	NA	NA	NA	NA
chrmt_fAlb:clu_28521_-	<=1 sample with coverage>0	NA	NA	NA	NA	NA
chrmt_fAlb:clu_28522_-	<=1 sample with coverage>0	NA	NA	NA	NA	NA
chrmt_fAlb:clu_28523_+	<=1 sample with coverage>0	NA	NA	NA	NA	NA
chrmt_fAlb:clu_28524_+	<=1 sample with coverage>0	NA	NA	NA	NA	NA
chrmt_fAlb:clu_28525_+	<=1 sample with coverage>0	NA	NA	NA	NA	NA
chrmt_fAlb:clu_28526_+	<=1 sample with coverage>0	NA	NA	NA	NA	NA
chrN00001:clu_1_+	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	NA
chrN00001:clu_10_+	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	ENSFALG00000028957
chrN00001:clu_100_+	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	ENSFALG00000012182
chrN00001:clu_101_+	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	ENSFALG00000012182
chrN00001:clu_102_+	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	ENSFALG00000012200
chrN00001:clu_103_+	Not enough valid samples	NA	NA	NA	NA	ENSFALG00000012244
chrN00001:clu_104_+	Success	0.183579972958768	1	0.544556425415272	0.92661052053981	ENSFALG00000023321
chrN00001:clu_105_+	Success	0.135274146594583	1	0.602964209580346	0.941756191775402	ENSFALG00000023321
chrN00001:clu_106_+	Success	0.263203044948149	1	0.468121745299972	0.900567461044539	ENSFALG00000023321
chrN00001:clu_107_+	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	ENSFALG00000023321
chrN00001:clu_108_+	<=1 sample with coverage>0	NA	NA	NA	NA	ENSFALG00000012277
chrN00001:clu_109_+	<=1 sample with coverage>0	NA	NA	NA	NA	NA
chrN00001:clu_11_+	Success	0.104376930573125	1	0.647745872892551	0.952965563949255	ENSFALG00000023706
chrN00001:clu_110_+	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	NA
chrN00001:clu_111_+	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	ENSFALG00000012433
chrN00001:clu_112_+	Success	0.0401120194385953	1	0.776994029619702	0.978144694993432	ENSFALG00000012433
chrN00001:clu_113_+	Success	2.32235197001535	1	0.0311495097726067	0.470518668330111	ENSFALG00000012433
chrN00001:clu_114_+	Not enough valid samples	NA	NA	NA	NA	ENSFALG00000012433
chrN00001:clu_115_+	Success	0.604784442631569	3	0.750710224508158	0.974620070713788	ENSFALG00000012470
chrN00001:clu_116_+	Success	0.00100725628777809	1	0.964200310724484	1	ENSFALG00000012470
chrN00001:clu_117_+	Success	0.107483413326236	2	0.898091418676635	0.994040582785847	ENSFALG00000012470
chrN00001:clu_118_+	<=1 sample with coverage>0	NA	NA	NA	NA	NA
chrN00001:clu_119_+	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	ENSFALG00000012529
chrN00001:clu_12_+	Success	2.73058125712991	1	0.0194437066405686	0.427997589729525	ENSFALG00000023706
chrN00001:clu_120_+	Success	1.1821787955987	2	0.306609969857652	0.840522469419672	ENSFALG00000012529
chrN00001:clu_121_+	Success	0.541751242011685	1	0.29791534569514	0.838323128164775	ENSFALG00000012529
chrN00001:clu_122_+	Success	0.0489973581820777	2	0.952183645191001	1	ENSFALG00000012529
chrN00001:clu_123_+	Success	1.57873099663902	1	0.0755806018915273	0.583903830855647	ENSFALG00000012564
chrN00001:clu_124_+	Success	1.26356809659137	6	0.865418416972009	0.989511392130426	ENSFALG00000012564
chrN00001:clu_125_+	Success	1.39342818352685	1	0.0950405059711284	0.615825188664756	ENSFALG00000012564
chrN00001:clu_126_+	Not enough valid samples	NA	NA	NA	NA	ENSFALG00000012564
chrN00001:clu_127_+	Success	0.992205208728308	2	0.37075818967462	0.866229716791913	ENSFALG00000012564
chrN00001:clu_128_+	Success	0.394268985528118	1	0.374542577348917	0.866610905504639	ENSFALG00000012564
chrN00001:clu_129_+	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	ENSFALG00000012593
