cluster	status	loglr	df	p	p.adjust	genes
chrmt_fAlb:clu_28515_-	<=1 sample with coverage>0	NA	NA	NA	NA	NA
chrmt_fAlb:clu_28516_-	<=1 sample with coverage>0	NA	NA	NA	NA	NA
chrmt_fAlb:clu_28517_-	<=1 sample with coverage>0	NA	NA	NA	NA	NA
chrmt_fAlb:clu_28518_-	<=1 sample with coverage>0	NA	NA	NA	NA	NA
chrmt_fAlb:clu_28519_-	<=1 sample with coverage>0	NA	NA	NA	NA	NA
chrmt_fAlb:clu_28520_-	<=1 sample with coverage>0	NA	NA	NA	NA	NA
chrmt_fAlb:clu_28521_-	<=1 sample with coverage>0	NA	NA	NA	NA	NA
chrmt_fAlb:clu_28522_-	<=1 sample with coverage>0	NA	NA	NA	NA	NA
chrmt_fAlb:clu_28523_+	<=1 sample with coverage>0	NA	NA	NA	NA	NA
chrmt_fAlb:clu_28524_+	<=1 sample with coverage>0	NA	NA	NA	NA	NA
chrmt_fAlb:clu_28525_+	<=1 sample with coverage>0	NA	NA	NA	NA	NA
chrmt_fAlb:clu_28526_+	<=1 sample with coverage>0	NA	NA	NA	NA	NA
chrN00001:clu_1_+	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	NA
chrN00001:clu_10_+	Success	4.70244802115178	2	0.0090730389018671	0.113775097261208	ENSFALG00000028957
chrN00001:clu_100_+	Success	0.00136826988111238	1	0.95828013430221	0.98457637675183	ENSFALG00000012182
chrN00001:clu_101_+	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	ENSFALG00000012182
chrN00001:clu_102_+	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	ENSFALG00000012200
chrN00001:clu_103_+	Not enough valid samples	NA	NA	NA	NA	ENSFALG00000012244
chrN00001:clu_104_+	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	ENSFALG00000023321
chrN00001:clu_105_+	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	ENSFALG00000023321
chrN00001:clu_106_+	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	ENSFALG00000023321
chrN00001:clu_107_+	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	ENSFALG00000023321
chrN00001:clu_108_+	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	ENSFALG00000012277
chrN00001:clu_109_+	<=1 sample with coverage>0	NA	NA	NA	NA	NA
chrN00001:clu_11_+	Success	0.958409565010641	1	0.166207741971475	0.491930569190637	ENSFALG00000023706
chrN00001:clu_110_+	<=1 sample with coverage>0	NA	NA	NA	NA	NA
chrN00001:clu_111_+	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	ENSFALG00000012433
chrN00001:clu_112_+	Success	0.0376535095792292	1	0.783760919072878	0.911128425573311	ENSFALG00000012433
chrN00001:clu_113_+	Success	0.769566516821712	1	0.214746897500079	0.546901578797788	ENSFALG00000012433
chrN00001:clu_114_+	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	ENSFALG00000012433
chrN00001:clu_115_+	Not enough valid samples	NA	NA	NA	NA	ENSFALG00000012470
chrN00001:clu_116_+	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	ENSFALG00000012470
chrN00001:clu_117_+	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	ENSFALG00000012470
chrN00001:clu_118_+	<=1 sample with coverage>0	NA	NA	NA	NA	NA
chrN00001:clu_119_+	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	ENSFALG00000012529
chrN00001:clu_12_+	Success	0.467699042318515	1	0.333464153384294	0.659963725453127	ENSFALG00000023706
chrN00001:clu_120_+	Success	1.44500345067786	2	0.2357452630735	0.568023319997073	ENSFALG00000012529
chrN00001:clu_121_+	Success	0.000603203206622993	1	0.972292358199516	0.991570272724545	ENSFALG00000012529
chrN00001:clu_122_+	Success	0.323902580462686	2	0.723320704515956	0.881907745238445	ENSFALG00000012529
chrN00001:clu_123_+	Success	2.70168555779303	1	0.0200978955566549	0.17474306733642	ENSFALG00000012564
chrN00001:clu_124_+	Success	5.21353724427672	3	0.0152638413491867	0.152961252775902	ENSFALG00000012564
chrN00001:clu_125_+	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	ENSFALG00000012564
chrN00001:clu_126_+	Success	0.519700327885175	1	0.30796090448626	0.63766360522964	ENSFALG00000012564
chrN00001:clu_127_+	Success	0.740026843366536	2	0.477101108349215	0.759986905378759	ENSFALG00000012564
chrN00001:clu_128_+	Success	0.339562551317584	1	0.409888154734778	0.718703897499351	ENSFALG00000012564
