genes	clusters
ENSFALG00000000003	chrN00141:clu_22056_-,chrN00282:clu_26744_-,chrN00282:clu_26745_-
ENSFALG00000000004	chrN00141:clu_22035_+,chrN00141:clu_22036_+,chrN00141:clu_22037_+
ENSFALG00000000007	chrN00141:clu_22057_-,chrN00141:clu_22058_-
ENSFALG00000000008	chrN00141:clu_22059_-,chrN00141:clu_22060_-
ENSFALG00000000012	chrN00141:clu_22040_+
ENSFALG00000000015	chrN00141:clu_22041_+
ENSFALG00000000036	chrN00141:clu_22079_-
ENSFALG00000000049	chrN00171:clu_23491_-,chrN00171:clu_23492_-,chrN00171:clu_23493_-,chrN00171:clu_23494_-,chrN00171:clu_23495_-
ENSFALG00000000052	chrN00171:clu_23502_-,chrN00171:clu_23505_-,chrN00171:clu_23506_-,chrN00171:clu_23507_-,chrN00171:clu_23508_-,chrN00171:clu_23509_-
ENSFALG00000000055	chrN00171:clu_23557_+,chrN00171:clu_23558_+
ENSFALG00000000056	chrN00171:clu_23512_-
ENSFALG00000000058	chrN00171:clu_23559_+
ENSFALG00000000064	chrN00171:clu_23513_-
ENSFALG00000000072	chrN00061:clu_15511_+
ENSFALG00000000073	chrN00171:clu_23561_+
ENSFALG00000000074	chrN00061:clu_15512_+,chrN00061:clu_15513_+,chrN00061:clu_15514_+
ENSFALG00000000076	chrN00171:clu_23515_-,chrN00171:clu_23516_-,chrN00171:clu_23517_-
ENSFALG00000000079	chrN00171:clu_23563_+,chrN00171:clu_23564_+
ENSFALG00000000084	chrN00171:clu_23565_+
ENSFALG00000000092	chrN00171:clu_23566_+
ENSFALG00000000097	chrN00061:clu_15522_+,chrN00061:clu_15523_+
ENSFALG00000000102	chrN00218:clu_25248_+
ENSFALG00000000104	chrN00061:clu_15527_+,chrN00061:clu_15528_+
ENSFALG00000000105	chrN00218:clu_25274_-,chrN00218:clu_25275_-
ENSFALG00000000115	chrN00218:clu_25276_-
ENSFALG00000000116	chrN00142:clu_22082_+,chrN00142:clu_22083_+,chrN00142:clu_22084_+,chrN00142:clu_22085_+,chrN00142:clu_22086_+,chrN00142:clu_22087_+
ENSFALG00000000127	chrN00171:clu_23528_-
ENSFALG00000000129	chrN00218:clu_25252_+
ENSFALG00000000130	chrN00061:clu_15533_+
ENSFALG00000000133	chrN00218:clu_25281_-
ENSFALG00000000141	chrN00171:clu_23574_+
ENSFALG00000000149	chrN00377:clu_27737_-
ENSFALG00000000157	chrN00161:clu_22983_+,chrN00161:clu_22984_+
ENSFALG00000000158	chrN00171:clu_23532_-
ENSFALG00000000159	chrN00127:clu_21337_-,chrN00127:clu_21339_-
ENSFALG00000000163	chrN00377:clu_27734_+,chrN00377:clu_27735_+,chrN00377:clu_27736_+
ENSFALG00000000166	chrN00142:clu_22101_+
ENSFALG00000000168	chrN00161:clu_23008_-,chrN00161:clu_23009_-
ENSFALG00000000173	chrN00161:clu_22991_+,chrN00161:clu_22992_+,chrN00161:clu_22993_+,chrN00161:clu_22994_+
ENSFALG00000000175	chrN00142:clu_22112_-
ENSFALG00000000178	chrN00161:clu_23010_-,chrN00161:clu_23011_-
ENSFALG00000000182	chrN00218:clu_25284_-,chrN00218:clu_25285_-
