cluster	status	loglr	df	p	p.adjust	genes
chrmt_fAlb:clu_28515_-	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	NA
chrmt_fAlb:clu_28516_-	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	NA
chrmt_fAlb:clu_28517_-	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	NA
chrmt_fAlb:clu_28518_-	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	NA
chrmt_fAlb:clu_28519_-	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	NA
chrmt_fAlb:clu_28520_-	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	NA
chrmt_fAlb:clu_28521_-	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	NA
chrmt_fAlb:clu_28522_-	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	NA
chrmt_fAlb:clu_28523_+	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	NA
chrmt_fAlb:clu_28524_+	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	NA
chrmt_fAlb:clu_28525_+	<=1 sample with coverage>0	NA	NA	NA	NA	NA
chrmt_fAlb:clu_28526_+	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	NA
chrN00001:clu_1_+	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	NA
chrN00001:clu_10_+	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	ENSFALG00000028957
chrN00001:clu_100_+	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	ENSFALG00000012182
chrN00001:clu_101_+	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	ENSFALG00000012182
chrN00001:clu_102_+	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	ENSFALG00000012200
chrN00001:clu_103_+	Success	0.201884956764275	1	0.525148710836347	0.777396246789494	ENSFALG00000012244
chrN00001:clu_104_+	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	ENSFALG00000023321
chrN00001:clu_105_+	Success	0.0146573766069906	1	0.864054306959308	0.939670352624892	ENSFALG00000023321
chrN00001:clu_106_+	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	ENSFALG00000023321
chrN00001:clu_107_+	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	ENSFALG00000023321
chrN00001:clu_108_+	<=1 sample with coverage>0	NA	NA	NA	NA	ENSFALG00000012277
chrN00001:clu_109_+	<=1 sample with coverage>0	NA	NA	NA	NA	NA
chrN00001:clu_11_+	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	ENSFALG00000023706
chrN00001:clu_110_+	<=1 sample with coverage>0	NA	NA	NA	NA	NA
chrN00001:clu_111_+	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	ENSFALG00000012433
chrN00001:clu_112_+	Not enough valid samples	NA	NA	NA	NA	ENSFALG00000012433
chrN00001:clu_113_+	Success	0.929625973720292	1	0.172711161078596	0.507474411578463	ENSFALG00000012433
chrN00001:clu_114_+	Not enough valid samples	NA	NA	NA	NA	ENSFALG00000012433
chrN00001:clu_115_+	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	ENSFALG00000012470
chrN00001:clu_116_+	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	ENSFALG00000012470
chrN00001:clu_117_+	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	ENSFALG00000012470
chrN00001:clu_118_+	<=1 sample with coverage>0	NA	NA	NA	NA	NA
chrN00001:clu_119_+	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	ENSFALG00000012529
chrN00001:clu_12_+	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	ENSFALG00000023706
chrN00001:clu_120_+	Not enough valid samples	NA	NA	NA	NA	ENSFALG00000012529
chrN00001:clu_121_+	Not enough valid samples	NA	NA	NA	NA	ENSFALG00000012529
chrN00001:clu_122_+	Success	2.52563044546832	1	0.0246080246705199	0.204370563098544	ENSFALG00000012529
chrN00001:clu_123_+	Success	0.0456021012448673	1	0.762651807385807	0.898703382556249	ENSFALG00000012564
chrN00001:clu_124_+	Success	2.40465806604493	3	0.186304423979352	0.52456302551808	ENSFALG00000012564
chrN00001:clu_125_+	Success	0.664674870878343	2	0.514440760191589	0.773949528670181	ENSFALG00000012564
chrN00001:clu_126_+	Success	1.22452032615402	1	0.117596720120632	0.432808432920209	ENSFALG00000012564
chrN00001:clu_127_+	Success	1.16724791443237	1	0.126535952730944	0.446853784067736	ENSFALG00000012564
chrN00001:clu_128_+	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	ENSFALG00000012564
chrN00001:clu_129_+	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	ENSFALG00000012593
chrN00001:clu_13_+	Not enough valid samples	NA	NA	NA	NA	ENSFALG00000023706
chrN00001:clu_130_+	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	ENSFALG00000012593
chrN00001:clu_131_+	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	ENSFALG00000012593
chrN00001:clu_132_+	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	ENSFALG00000012593
chrN00001:clu_133_+	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	ENSFALG00000012593
chrN00001:clu_134_+	Success	0.222232603455723	1	0.504975126468663	0.769070465802219	ENSFALG00000012598
chrN00001:clu_135_+	Success	0.612436820131137	2	0.542028432662699	0.78442436612478	ENSFALG00000012598
chrN00001:clu_136_+	Not enough valid samples	NA	NA	NA	NA	ENSFALG00000012602
chrN00001:clu_137_+	Not enough valid samples	NA	NA	NA	NA	ENSFALG00000012602
chrN00001:clu_138_+	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	ENSFALG00000012711
chrN00001:clu_139_+	<=1 sample with coverage>0	NA	NA	NA	NA	NA
chrN00001:clu_14_+	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	ENSFALG00000011001
chrN00001:clu_140_+	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	ENSFALG00000012615
chrN00001:clu_141_+	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	ENSFALG00000012615
chrN00001:clu_142_+	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	ENSFALG00000012615
chrN00001:clu_143_+	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	ENSFALG00000012653
chrN00001:clu_144_+	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	ENSFALG00000012653
chrN00001:clu_145_+	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	ENSFALG00000012653
chrN00001:clu_146_+	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	ENSFALG00000012671
chrN00001:clu_147_+	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	ENSFALG00000012671
chrN00001:clu_148_+	Success	2.08613494066174	1	0.0410907143552457	0.262244179143192	ENSFALG00000012711
chrN00001:clu_149_+	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	ENSFALG00000012711
chrN00001:clu_15_+	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	ENSFALG00000023025
chrN00001:clu_150_+	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	ENSFALG00000012711
chrN00001:clu_151_+	Not enough valid samples	NA	NA	NA	NA	NA
chrN00001:clu_152_+	Success	2.9478455253311	4	0.20707473093728	0.54601144760087	ENSFALG00000012744
chrN00001:clu_153_+	Not enough valid samples	NA	NA	NA	NA	ENSFALG00000012744
chrN00001:clu_154_+	<=1 sample with coverage>0	NA	NA	NA	NA	NA
chrN00001:clu_155_+	Success	1.77639733336468	1	0.0594452509346631	0.315493909805419	ENSFALG00000012800
chrN00001:clu_156_+	Success	1.82775259963799	1	0.0558842044883252	0.306257414170159	ENSFALG00000012800
chrN00001:clu_157_+	Success	0.810236070815151	1	0.203025966736654	0.544037782494356	ENSFALG00000012821
chrN00001:clu_158_+	Success	2.32638446923761	2	0.0976481595513367	0.395344049334038	ENSFALG00000012821
chrN00001:clu_159_+	Success	1.70159735497259	3	0.333536171841971	0.662976677363043	ENSFALG00000012821
