genes	clusters
ENSFALG00000000677	chrN00210:clu_25006_+
ENSFALG00000001223	chrN00109:clu_20300_-,chrN00109:clu_20301_-
ENSFALG00000002031	chrN00039:clu_11764_-
ENSFALG00000002467	chrN00046:clu_13090_+
ENSFALG00000003618	chrN00005:clu_2145_+
ENSFALG00000004843	chrN00059:clu_15370_-
ENSFALG00000004890	chrN00027:clu_8824_-
ENSFALG00000006000	chrN00052:clu_14281_-
ENSFALG00000007350	chrN00154:clu_22584_+
ENSFALG00000007353	chrN00154:clu_22584_+
ENSFALG00000007484	chrN00025:clu_8496_-
ENSFALG00000007647	chrN00097:clu_19491_+
ENSFALG00000007794	chrN00043:clu_12579_-
ENSFALG00000007956	chrN00255:clu_26322_-
ENSFALG00000008107	chrN00007:clu_3210_+
ENSFALG00000009527	chrN00003:clu_1258_+
ENSFALG00000010018	chrN00030:clu_9653_-
ENSFALG00000011750	chrN00191:clu_24341_+
ENSFALG00000011915	chrN00123:clu_21133_-
ENSFALG00000012014	chrN00002:clu_749_-
ENSFALG00000012167	chrN00054:clu_14603_-
ENSFALG00000013486	chrN00001:clu_512_-
ENSFALG00000023125	chrN00018:clu_6747_-
ENSFALG00000026312	chrN00012:clu_5060_+
ENSFALG00000026833	chrN00033:clu_10242_+
ENSFALG00000027970	chrN00346:clu_27520_+
