genes	clusters
ENSFALG00000000591	chrN00110:clu_20371_+
ENSFALG00000000766	chrN00110:clu_20400_+
ENSFALG00000000804	chrN00210:clu_25031_+
ENSFALG00000000833	chrN00258:clu_26360_+
ENSFALG00000000847	chrN00250:clu_26199_+
ENSFALG00000000858	chrN00068:clu_16581_-
ENSFALG00000001033	chrN00217:clu_25231_-
ENSFALG00000001131	chrN00109:clu_20270_+
ENSFALG00000001682	chrN00178:clu_23767_+
ENSFALG00000001791	chrN00039:clu_11736_-
ENSFALG00000002448	chrN00075:clu_17489_+
ENSFALG00000002580	chrN00046:clu_13096_+
ENSFALG00000002611	chrN00013:clu_5290_+
ENSFALG00000003410	chrN00206:clu_24878_-
ENSFALG00000003979	chrN00005:clu_2194_+
ENSFALG00000004477	chrN00005:clu_2273_+
ENSFALG00000004506	chrN00020:clu_7352_-
ENSFALG00000004843	chrN00059:clu_15370_-
ENSFALG00000004931	chrN00017:clu_6426_-
ENSFALG00000004944	chrN00089:clu_18844_-
ENSFALG00000005089	chrN00089:clu_18857_-
ENSFALG00000005246	chrN00066:clu_16237_-
ENSFALG00000006117	chrN00052:clu_14057_+
ENSFALG00000006386	chrN00010:clu_4090_-
ENSFALG00000007046	chrN00231:clu_25665_-
ENSFALG00000007498	chrN00007:clu_2947_-
ENSFALG00000007806	chrN00088:clu_18581_-
ENSFALG00000007851	chrN00057:clu_15035_-
ENSFALG00000008149	chrN00012:clu_5055_+
ENSFALG00000008807	chrN00416:clu_27912_-
ENSFALG00000009283	chrN00136:clu_21822_-
ENSFALG00000009803	chrN00237:clu_25911_+
ENSFALG00000009913	chrN00056:clu_14962_+
ENSFALG00000010455	chrN00063:clu_15665_+
ENSFALG00000010476	chrN00002:clu_924_+
ENSFALG00000010740	chrN00077:clu_17681_+
ENSFALG00000010814	chrN00063:clu_15779_-,chrN00063:clu_15780_-
ENSFALG00000011142	chrN00031:clu_9815_+
ENSFALG00000011787	chrN00187:clu_24044_-
ENSFALG00000012083	chrN00018:clu_6789_-
ENSFALG00000013278	chrN00009:clu_3673_-
ENSFALG00000013321	chrN00076:clu_17675_+
ENSFALG00000013462	chrN00100:clu_19677_-
ENSFALG00000013486	chrN00001:clu_512_-
ENSFALG00000013506	chrN00001:clu_227_+
ENSFALG00000013845	chrN00016:clu_6382_-
ENSFALG00000013856	chrN00016:clu_6388_-
ENSFALG00000013885	chrN00118:clu_20901_+,chrN00118:clu_20907_+
ENSFALG00000014000	chrN00118:clu_20933_+
ENSFALG00000023469	chrN00104:clu_19946_-
ENSFALG00000023567	chrN00025:clu_8698_+
ENSFALG00000023681	chrN00003:clu_1337_+
ENSFALG00000024209	chrN00140:clu_22009_+
ENSFALG00000024488	chrN00015:clu_5874_-
ENSFALG00000025250	chrN00105:clu_20068_-
ENSFALG00000026244	chrN00049:clu_13567_-
ENSFALG00000026907	chrN00169:clu_23424_-
ENSFALG00000027199	chrN00005:clu_2262_+
ENSFALG00000027533	chrN00039:clu_11958_+
ENSFALG00000027545	chrN00072:clu_16968_+
ENSFALG00000027769	chrN00047:clu_13243_-
ENSFALG00000028087	chrN00006:clu_2390_-,chrN00006:clu_2391_-
ENSFALG00000028414	chrN00015:clu_5923_-
