cluster	genes
chrN00001:clu_10_+	ENSFALG00000028957
chrN00001:clu_100_+	ENSFALG00000012182
chrN00001:clu_101_+	ENSFALG00000012182
chrN00001:clu_103_+	ENSFALG00000012244
chrN00001:clu_104_+	ENSFALG00000023321
chrN00001:clu_105_+	ENSFALG00000023321
chrN00001:clu_11_+	ENSFALG00000023706
chrN00001:clu_111_+	ENSFALG00000012433
chrN00001:clu_112_+	ENSFALG00000012433
chrN00001:clu_113_+	ENSFALG00000012433
chrN00001:clu_12_+	ENSFALG00000023706
chrN00001:clu_120_+	ENSFALG00000012529
chrN00001:clu_121_+	ENSFALG00000012529
chrN00001:clu_122_+	ENSFALG00000012529
chrN00001:clu_124_+	ENSFALG00000012564
chrN00001:clu_126_+	ENSFALG00000012564
chrN00001:clu_127_+	ENSFALG00000012564
chrN00001:clu_128_+	ENSFALG00000012564
chrN00001:clu_129_+	ENSFALG00000012593
chrN00001:clu_13_+	ENSFALG00000023706
chrN00001:clu_130_+	ENSFALG00000012593
chrN00001:clu_131_+	ENSFALG00000012593
chrN00001:clu_132_+	ENSFALG00000012593
chrN00001:clu_133_+	ENSFALG00000012593
chrN00001:clu_134_+	ENSFALG00000012598
chrN00001:clu_135_+	ENSFALG00000012598
chrN00001:clu_141_+	ENSFALG00000012615
chrN00001:clu_147_+	ENSFALG00000012671
chrN00001:clu_148_+	ENSFALG00000012711
chrN00001:clu_149_+	ENSFALG00000012711
chrN00001:clu_152_+	ENSFALG00000012744
chrN00001:clu_157_+	ENSFALG00000012821
chrN00001:clu_158_+	ENSFALG00000012821
chrN00001:clu_159_+	ENSFALG00000012821
chrN00001:clu_160_+	ENSFALG00000012821
chrN00001:clu_161_+	ENSFALG00000012821
chrN00001:clu_165_+	ENSFALG00000012835
chrN00001:clu_17_+	ENSFALG00000024864,ENSFALG00000028887
chrN00001:clu_170_+	ENSFALG00000012875
chrN00001:clu_171_+	ENSFALG00000012890
chrN00001:clu_173_+	ENSFALG00000012907
chrN00001:clu_174_+	ENSFALG00000012907
chrN00001:clu_175_+	ENSFALG00000012907
chrN00001:clu_176_+	ENSFALG00000012907
chrN00001:clu_178_+	ENSFALG00000012907
chrN00001:clu_179_+	ENSFALG00000012928
chrN00001:clu_18_+	ENSFALG00000011039
chrN00001:clu_180_+	ENSFALG00000012928
chrN00001:clu_181_+	ENSFALG00000012928
chrN00001:clu_182_+	ENSFALG00000012928
chrN00001:clu_183_+	ENSFALG00000012928
chrN00001:clu_184_+	ENSFALG00000012928
chrN00001:clu_185_+	ENSFALG00000012928
chrN00001:clu_189_+	ENSFALG00000012991
chrN00001:clu_190_+	ENSFALG00000012991
chrN00001:clu_191_+	ENSFALG00000012991
chrN00001:clu_192_+	ENSFALG00000012991
chrN00001:clu_193_+	ENSFALG00000012991
chrN00001:clu_194_+	ENSFALG00000012991
chrN00001:clu_2_+	ENSFALG00000010794
chrN00001:clu_208_+	ENSFALG00000013101
chrN00001:clu_209_+	ENSFALG00000013101
chrN00001:clu_21_+	ENSFALG00000022865
chrN00001:clu_211_+	ENSFALG00000013106
chrN00001:clu_213_+	ENSFALG00000022978
chrN00001:clu_214_+	ENSFALG00000013124
chrN00001:clu_215_+	ENSFALG00000013124
chrN00001:clu_218_+	NA
chrN00001:clu_22_+	ENSFALG00000022865
chrN00001:clu_225_+	ENSFALG00000013502
chrN00001:clu_226_+	ENSFALG00000013502
chrN00001:clu_227_+	ENSFALG00000013506
chrN00001:clu_228_+	ENSFALG00000013506
chrN00001:clu_229_+	ENSFALG00000013506
chrN00001:clu_232_+	ENSFALG00000013515
chrN00001:clu_233_+	ENSFALG00000013515
chrN00001:clu_234_+	ENSFALG00000013515
chrN00001:clu_237_+	ENSFALG00000013548
chrN00001:clu_238_+	ENSFALG00000013548
chrN00001:clu_239_+	ENSFALG00000013548
chrN00001:clu_240_+	NA
chrN00001:clu_241_+	NA
chrN00001:clu_242_+	NA
chrN00001:clu_245_+	ENSFALG00000013565
chrN00001:clu_252_+	ENSFALG00000013610
chrN00001:clu_253_-	ENSFALG00000026666,ENSFALG00000010760
chrN00001:clu_255_-	ENSFALG00000026666
chrN00001:clu_256_-	ENSFALG00000010760,ENSFALG00000026666
chrN00001:clu_260_-	NA
chrN00001:clu_261_-	ENSFALG00000010776
chrN00001:clu_265_-	ENSFALG00000010846
chrN00001:clu_268_-	ENSFALG00000010853
chrN00001:clu_276_-	ENSFALG00000010959
chrN00001:clu_279_-	ENSFALG00000010975
