cluster	genes
chrN00001:clu_102_+	ENSFALG00000012200
chrN00001:clu_120_+	ENSFALG00000012529
chrN00001:clu_189_+	ENSFALG00000012991
chrN00001:clu_227_+	ENSFALG00000013506
chrN00001:clu_26_+	ENSFALG00000011201
chrN00001:clu_302_-	ENSFALG00000011270
chrN00001:clu_332_-	ENSFALG00000011717
chrN00001:clu_341_-	ENSFALG00000011830
chrN00001:clu_357_-	ENSFALG00000011949
chrN00001:clu_450_-	ENSFALG00000012840
chrN00001:clu_512_-	ENSFALG00000013486
chrN00001:clu_526_-	ENSFALG00000013542
chrN00001:clu_532_-	ENSFALG00000013580
chrN00001:clu_73_+	ENSFALG00000011697
chrN00001:clu_92_+	ENSFALG00000012108
chrN00002:clu_1020_+	ENSFALG00000026627
chrN00002:clu_1077_+	ENSFALG00000026521
chrN00002:clu_1090_+	ENSFALG00000012410
chrN00002:clu_1093_+	ENSFALG00000012518
chrN00002:clu_585_-	ENSFALG00000010403
chrN00002:clu_648_-	ENSFALG00000010759
chrN00002:clu_878_+	ENSFALG00000010127
chrN00002:clu_907_+	ENSFALG00000010390
chrN00002:clu_932_+	ENSFALG00000010517
chrN00002:clu_935_+	ENSFALG00000010529
chrN00003:clu_1352_+	ENSFALG00000010442
chrN00003:clu_1437_-	ENSFALG00000009571
chrN00004:clu_1524_+	ENSFALG00000006519
chrN00004:clu_1599_+	ENSFALG00000006999
chrN00004:clu_1600_+	ENSFALG00000007038
chrN00004:clu_1671_+	ENSFALG00000007293
chrN00004:clu_1683_+	ENSFALG00000007398
chrN00004:clu_1704_+	ENSFALG00000007485
chrN00004:clu_1776_-	ENSFALG00000006845
chrN00005:clu_1949_-	ENSFALG00000003507
chrN00005:clu_2017_-	ENSFALG00000004056
chrN00005:clu_2057_-	ENSFALG00000004229
chrN00005:clu_2165_+	ENSFALG00000003793
chrN00005:clu_2243_+	ENSFALG00000004321
chrN00006:clu_2295_-	ENSFALG00000006749
chrN00006:clu_2299_-	ENSFALG00000006822
chrN00006:clu_2309_-	ENSFALG00000006879
chrN00006:clu_2376_-	ENSFALG00000007291
chrN00006:clu_2390_-	ENSFALG00000028087
chrN00006:clu_2391_-	ENSFALG00000028087
chrN00006:clu_2442_-	ENSFALG00000026956
chrN00006:clu_2527_-	ENSFALG00000008728
chrN00006:clu_2589_+	ENSFALG00000006913
chrN00007:clu_2950_-	ENSFALG00000007536
chrN00007:clu_2954_-	ENSFALG00000007536
chrN00007:clu_3056_+	ENSFALG00000006842
chrN00007:clu_3071_+	ENSFALG00000006941
chrN00007:clu_3136_+	ENSFALG00000007448
chrN00007:clu_3155_+	ENSFALG00000007519
chrN00008:clu_3359_-	ENSFALG00000009488
chrN00008:clu_3368_-	ENSFALG00000023527
chrN00008:clu_3407_-	ENSFALG00000009811
chrN00008:clu_3515_+	ENSFALG00000009347
chrN00008:clu_3524_+	ENSFALG00000009507
chrN00009:clu_3658_-	ENSFALG00000013166
chrN00009:clu_3679_-	ENSFALG00000027663
chrN00009:clu_3730_-	ENSFALG00000013528
chrN00009:clu_3855_+	ENSFALG00000013500
chrN00010:clu_3890_+	ENSFALG00000005939
chrN00010:clu_4028_-	ENSFALG00000026668
chrN00011:clu_4147_+	ENSFALG00000028025
chrN00011:clu_4164_+	ENSFALG00000011618
chrN00011:clu_4271_+	ENSFALG00000012966
chrN00011:clu_4331_-	ENSFALG00000023353
chrN00011:clu_4412_-	ENSFALG00000012659
chrN00011:clu_4413_-	ENSFALG00000012720
chrN00012:clu_4646_-	ENSFALG00000008162
chrN00012:clu_4671_-	ENSFALG00000008273
chrN00012:clu_4886_+	ENSFALG00000007083
chrN00012:clu_4947_+	ENSFALG00000007376
chrN00012:clu_4963_+	ENSFALG00000007450,ENSFALG00000026172
chrN00012:clu_5055_+	ENSFALG00000008149
chrN00012:clu_5086_+	ENSFALG00000008709
chrN00012:clu_5121_+	ENSFALG00000008997
chrN00012:clu_5176_+	ENSFALG00000009197
chrN00012:clu_5207_+	ENSFALG00000009339
chrN00012:clu_5208_+	ENSFALG00000009339
chrN00013:clu_5300_+	ENSFALG00000026471
chrN00013:clu_5310_+	ENSFALG00000002709
chrN00013:clu_5321_+	ENSFALG00000027088
chrN00013:clu_5350_+	ENSFALG00000002919
chrN00013:clu_5384_+	ENSFALG00000025871
chrN00013:clu_5399_+	ENSFALG00000003754
chrN00013:clu_5417_-	ENSFALG00000002368
chrN00013:clu_5457_-	ENSFALG00000002516
chrN00013:clu_5484_-	ENSFALG00000002696
chrN00013:clu_5511_-	ENSFALG00000002845
chrN00013:clu_5526_-	ENSFALG00000027613
chrN00013:clu_5591_-	ENSFALG00000003631
chrN00014:clu_5665_-	ENSFALG00000002454
chrN00015:clu_5892_-	ENSFALG00000025230
chrN00015:clu_5991_-	ENSFALG00000006377
chrN00015:clu_6011_+	ENSFALG00000023843
chrN00015:clu_6031_+	ENSFALG00000005117
chrN00015:clu_6091_+	ENSFALG00000005900
chrN00015:clu_6154_+	ENSFALG00000006387
chrN00015:clu_6155_+	ENSFALG00000006387
chrN00016:clu_6218_+	ENSFALG00000013561
chrN00016:clu_6222_+	ENSFALG00000013561
chrN00016:clu_6269_+	ENSFALG00000024506
chrN00016:clu_6310_-	ENSFALG00000027287
chrN00017:clu_6424_-	ENSFALG00000004907
chrN00017:clu_6567_+	ENSFALG00000024339
chrN00017:clu_6600_+	ENSFALG00000005438
chrN00017:clu_6614_+	ENSFALG00000005540
chrN00017:clu_6674_+	ENSFALG00000006172
chrN00018:clu_6710_-	ENSFALG00000011300
chrN00018:clu_6790_-	ENSFALG00000012092
chrN00018:clu_6830_+	ENSFALG00000010931
chrN00018:clu_6856_+	ENSFALG00000011420
chrN00018:clu_6899_+	ENSFALG00000011986
chrN00019:clu_7003_+	ENSFALG00000003678
chrN00019:clu_7021_+	ENSFALG00000003964
chrN00019:clu_7192_-	ENSFALG00000003952,ENSFALG00000003957
chrN00019:clu_7193_-	ENSFALG00000003957
chrN00019:clu_7226_-	ENSFALG00000025029
chrN00019:clu_7238_-	ENSFALG00000004277
chrN00019:clu_7256_-	ENSFALG00000025621
chrN00020:clu_7429_+	ENSFALG00000004352
chrN00020:clu_7457_+	ENSFALG00000023274
chrN00020:clu_7462_+	ENSFALG00000004576
chrN00021:clu_7540_+	ENSFALG00000023232
chrN00021:clu_7551_+	ENSFALG00000013220
chrN00021:clu_7596_+	ENSFALG00000013588
chrN00021:clu_7622_+	ENSFALG00000025775
chrN00021:clu_7657_-	ENSFALG00000013097
chrN00021:clu_7658_-	ENSFALG00000013097
chrN00021:clu_7669_-	ENSFALG00000013192
chrN00021:clu_7755_-	ENSFALG00000013680
chrN00021:clu_7766_-	ENSFALG00000013687
chrN00022:clu_7769_-	ENSFALG00000001673
chrN00022:clu_7821_-	ENSFALG00000001984
chrN00023:clu_7986_+	ENSFALG00000008388
chrN00023:clu_7999_+	ENSFALG00000008435
chrN00023:clu_8015_+	ENSFALG00000008572
chrN00024:clu_8187_+	ENSFALG00000005691
chrN00024:clu_8190_+	ENSFALG00000005691
chrN00024:clu_8205_+	ENSFALG00000005801
chrN00024:clu_8243_+	ENSFALG00000027310
chrN00024:clu_8302_-	ENSFALG00000005772
chrN00024:clu_8355_-	ENSFALG00000006045
chrN00024:clu_8363_-	ENSFALG00000006084
chrN00025:clu_8381_-	ENSFALG00000023337
chrN00025:clu_8429_-	ENSFALG00000006910
chrN00025:clu_8449_-	ENSFALG00000007067
chrN00025:clu_8686_+	ENSFALG00000023131
chrN00026:clu_8752_-	ENSFALG00000026200
chrN00027:clu_8790_-	ENSFALG00000023381
chrN00027:clu_8791_-	ENSFALG00000023381
chrN00028:clu_9162_+	ENSFALG00000004074
chrN00029:clu_9280_-	ENSFALG00000009977
chrN00029:clu_9326_-	ENSFALG00000010307
chrN00029:clu_9430_+	ENSFALG00000010413
chrN00030:clu_9462_+	ENSFALG00000009737
chrN00030:clu_9649_-	ENSFALG00000009973
chrN00030:clu_9669_-	ENSFALG00000010078
chrN00031:clu_9748_-	ENSFALG00000011390
chrN00031:clu_9815_+	ENSFALG00000011142
chrN00032:clu_10029_-	ENSFALG00000008342
chrN00032:clu_9949_+	ENSFALG00000008521
chrN00032:clu_9954_+	ENSFALG00000008604
chrN00032:clu_9997_+	ENSFALG00000008763
chrN00033:clu_10241_+	ENSFALG00000026833
chrN00033:clu_10292_-	ENSFALG00000011485
chrN00033:clu_10386_-	ENSFALG00000012375
chrN00033:clu_10411_-	ENSFALG00000028021
chrN00034:clu_10445_-	ENSFALG00000009718
chrN00034:clu_10471_-	ENSFALG00000023574
chrN00034:clu_10505_+	ENSFALG00000009903
chrN00035:clu_10660_+	ENSFALG00000002669
chrN00035:clu_10677_+	ENSFALG00000002704
chrN00035:clu_10717_+	ENSFALG00000003130
chrN00036:clu_10725_-	ENSFALG00000003144,ENSFALG00000013656
chrN00036:clu_10749_-	ENSFALG00000013758
chrN00036:clu_10759_-	ENSFALG00000013792
chrN00036:clu_10779_-	ENSFALG00000013847
chrN00036:clu_10809_-	ENSFALG00000013964
chrN00036:clu_10821_-	ENSFALG00000013975
chrN00036:clu_10859_-	ENSFALG00000014005
chrN00036:clu_10891_-	ENSFALG00000014038
chrN00036:clu_10906_-	ENSFALG00000014054
chrN00036:clu_10923_-	ENSFALG00000014067
chrN00036:clu_10975_+	ENSFALG00000013888
chrN00036:clu_10976_+	ENSFALG00000013888
chrN00036:clu_11012_+	ENSFALG00000013965
chrN00036:clu_11029_+	ENSFALG00000013994
chrN00036:clu_11068_+	ENSFALG00000014053
chrN00037:clu_11229_+	ENSFALG00000010524
chrN00037:clu_11262_-	ENSFALG00000009750
chrN00038:clu_11351_-	ENSFALG00000007651
chrN00039:clu_11754_-	ENSFALG00000024482
chrN00039:clu_11811_+	ENSFALG00000001396
chrN00039:clu_11885_+	ENSFALG00000001476,ENSFALG00000001477
chrN00039:clu_11906_+	ENSFALG00000028616
chrN00039:clu_11943_+	ENSFALG00000001813
chrN00040:clu_12031_+	ENSFALG00000026741,ENSFALG00000021473
chrN00040:clu_12042_+	ENSFALG00000000512,ENSFALG00000000508
chrN00040:clu_12059_+	ENSFALG00000000592
chrN00040:clu_12153_-	ENSFALG00000026808
chrN00040:clu_12270_-	ENSFALG00000026558
chrN00040:clu_12300_-	ENSFALG00000001358
chrN00043:clu_12525_-	ENSFALG00000007587
chrN00043:clu_12565_-	ENSFALG00000007726
chrN00044:clu_12766_+	ENSFALG00000024371
chrN00044:clu_12804_+	ENSFALG00000002259
chrN00046:clu_12982_-	ENSFALG00000002677
chrN00046:clu_13003_-	ENSFALG00000028358
chrN00046:clu_13018_-	ENSFALG00000002745
chrN00046:clu_13090_+	ENSFALG00000002467
chrN00046:clu_13096_+	ENSFALG00000002580
chrN00046:clu_13097_+	ENSFALG00000002580
chrN00046:clu_13153_+	ENSFALG00000002906
chrN00047:clu_13250_-	ENSFALG00000012132
chrN00047:clu_13285_+	ENSFALG00000025008
chrN00049:clu_13457_+	ENSFALG00000026966
chrN00049:clu_13502_+	ENSFALG00000005705
chrN00049:clu_13522_+	ENSFALG00000026962
chrN00049:clu_13558_-	ENSFALG00000005252
chrN00049:clu_13600_-	ENSFALG00000005650
chrN00049:clu_13656_-	ENSFALG00000006278
chrN00050:clu_13698_-	ENSFALG00000000403
chrN00051:clu_13815_-	ENSFALG00000005661
chrN00052:clu_13951_+	ENSFALG00000004654
chrN00052:clu_14012_+	ENSFALG00000005422
