cluster	status	loglr	df	p	p.adjust	genes
chrmt_fAlb:clu_28515_-	<=1 sample with coverage>0	NA	NA	NA	NA	NA
chrmt_fAlb:clu_28516_-	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	NA
chrmt_fAlb:clu_28517_-	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	NA
chrmt_fAlb:clu_28518_-	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	NA
chrmt_fAlb:clu_28519_-	<=1 sample with coverage>0	NA	NA	NA	NA	NA
chrmt_fAlb:clu_28520_-	<=1 sample with coverage>0	NA	NA	NA	NA	NA
chrmt_fAlb:clu_28521_-	<=1 sample with coverage>0	NA	NA	NA	NA	NA
chrmt_fAlb:clu_28522_-	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	NA
chrmt_fAlb:clu_28523_+	<=1 sample with coverage>0	NA	NA	NA	NA	NA
chrmt_fAlb:clu_28524_+	<=1 sample with coverage>0	NA	NA	NA	NA	NA
chrmt_fAlb:clu_28525_+	<=1 sample with coverage>0	NA	NA	NA	NA	NA
chrmt_fAlb:clu_28526_+	<=1 sample with coverage>0	NA	NA	NA	NA	NA
chrN00001:clu_1_+	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	NA
chrN00001:clu_10_+	Not enough valid samples	NA	NA	NA	NA	ENSFALG00000028957
chrN00001:clu_100_+	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	ENSFALG00000012182
chrN00001:clu_101_+	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	ENSFALG00000012182
chrN00001:clu_102_+	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	ENSFALG00000012200
chrN00001:clu_103_+	Success	1.66259619458987	1	0.0682260316708032	0.307485580494342	ENSFALG00000012244
chrN00001:clu_104_+	Not enough valid samples	NA	NA	NA	NA	ENSFALG00000023321
chrN00001:clu_105_+	Not enough valid samples	NA	NA	NA	NA	ENSFALG00000023321
chrN00001:clu_106_+	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	ENSFALG00000023321
chrN00001:clu_107_+	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	ENSFALG00000023321
chrN00001:clu_108_+	<=1 sample with coverage>0	NA	NA	NA	NA	ENSFALG00000012277
chrN00001:clu_109_+	<=1 sample with coverage>0	NA	NA	NA	NA	NA
chrN00001:clu_11_+	Not enough valid samples	NA	NA	NA	NA	ENSFALG00000023706
chrN00001:clu_110_+	<=1 sample with coverage>0	NA	NA	NA	NA	NA
chrN00001:clu_111_+	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	ENSFALG00000012433
chrN00001:clu_112_+	Not enough valid samples	NA	NA	NA	NA	ENSFALG00000012433
chrN00001:clu_113_+	Not enough valid samples	NA	NA	NA	NA	ENSFALG00000012433
chrN00001:clu_114_+	Not enough valid samples	NA	NA	NA	NA	ENSFALG00000012433
chrN00001:clu_115_+	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	ENSFALG00000012470
chrN00001:clu_116_+	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	ENSFALG00000012470
chrN00001:clu_117_+	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	ENSFALG00000012470
chrN00001:clu_118_+	<=1 sample with coverage>0	NA	NA	NA	NA	NA
chrN00001:clu_119_+	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	ENSFALG00000012529
chrN00001:clu_12_+	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	ENSFALG00000023706
chrN00001:clu_120_+	Not enough valid samples	NA	NA	NA	NA	ENSFALG00000012529
chrN00001:clu_121_+	Not enough valid samples	NA	NA	NA	NA	ENSFALG00000012529
chrN00001:clu_122_+	Not enough valid samples	NA	NA	NA	NA	ENSFALG00000012529
chrN00001:clu_123_+	Not enough valid samples	NA	NA	NA	NA	ENSFALG00000012564
chrN00001:clu_124_+	Success	4.3135537727253	3	0.0346823710951315	0.23048912904936	ENSFALG00000012564
chrN00001:clu_125_+	Not enough valid samples	NA	NA	NA	NA	ENSFALG00000012564
chrN00001:clu_126_+	Not enough valid samples	NA	NA	NA	NA	ENSFALG00000012564
chrN00001:clu_127_+	Not enough valid samples	NA	NA	NA	NA	ENSFALG00000012564
chrN00001:clu_128_+	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	ENSFALG00000012564
chrN00001:clu_129_+	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	ENSFALG00000012593
