gene	exons
ENSFALG00000000004	E015
ENSFALG00000000006	E008,E012,E013,E014,E015,E026
ENSFALG00000000007	E003,E004,E005
ENSFALG00000000008	E001,E002,E003,E004,E005,E007
ENSFALG00000000009	E001,E004,E007,E010
ENSFALG00000000012	E001,E002,E004,E005,E006,E007,E008,E011,E012
ENSFALG00000000015	E002,E004,E005,E006,E007,E008,E009
ENSFALG00000000018	E001,E003,E004,E005,E007,E009,E010,E013,E015,E018
ENSFALG00000000023	E013
ENSFALG00000000026	E001,E002,E003,E004
ENSFALG00000000031	E001,E003,E011,E013,E016,E023,E024,E030
ENSFALG00000000034	E001,E002,E005,E010,E013,E014
ENSFALG00000000036	E001,E002,E003,E004,E006,E008,E009,E012,E014,E015,E017,E019,E021,E025,E026,E027,E028,E029,E030,E031,E032,E035,E036,E037,E038,E039,E040,E041
ENSFALG00000000046	E001,E002,E003,E004
ENSFALG00000000049	E001,E002,E003,E004,E005,E006,E007,E008,E014,E015,E016,E018,E019,E021,E022
ENSFALG00000000050	E001,E002,E003,E005,E007,E008,E009,E010,E012,E013,E014,E015,E016,E017,E018,E019,E020,E021,E022,E023,E024
ENSFALG00000000051	E006
ENSFALG00000000052	E001,E003,E006,E007,E008,E023
ENSFALG00000000053	E001,E002,E003,E004,E006,E007,E008,E009,E010
ENSFALG00000000054	E001,E002,E003,E004,E005,E006,E007
ENSFALG00000000055	E052
ENSFALG00000000056	E001,E003,E013
ENSFALG00000000058	E001,E002,E003,E004,E006,E007,E008,E009,E011
ENSFALG00000000061	E001,E003
ENSFALG00000000062	E002,E005,E007,E012
ENSFALG00000000064	E002,E005,E006,E020
ENSFALG00000000071	E001,E006,E012
ENSFALG00000000072	E008
ENSFALG00000000073	E003,E004
ENSFALG00000000074	E007,E008
ENSFALG00000000075	E001,E002,E003,E005,E006,E007,E008,E009,E010,E011,E012,E016,E017
ENSFALG00000000076	E001,E002,E003,E007,E008,E010,E014
ENSFALG00000000077	E002,E004
ENSFALG00000000078	E001,E011
ENSFALG00000000079	E001,E002,E008,E009,E010,E011
ENSFALG00000000080	E001,E002,E004,E005,E006,E007,E009,E010,E011,E023,E024,E030,E032,E033
ENSFALG00000000084	E002,E015,E017,E018,E021
ENSFALG00000000086	E001,E003,E026
ENSFALG00000000087	E001,E002,E003,E006,E011
ENSFALG00000000088	E001,E008,E009
ENSFALG00000000089	E001,E002,E003,E007,E013,E015,E019
ENSFALG00000000092	E002,E003
ENSFALG00000000094	E010
ENSFALG00000000096	E001,E002,E003,E004,E005,E006,E007,E009
ENSFALG00000000097	E004,E006,E007,E012
ENSFALG00000000098	E002,E004
ENSFALG00000000099	E010
ENSFALG00000000100	E002,E010,E011,E012,E013
ENSFALG00000000101	E002,E003,E006,E007
ENSFALG00000000102	E002,E003
ENSFALG00000000103	E001,E002,E004,E005,E006,E007,E008,E009,E010,E011,E012,E014,E016,E017,E018,E019,E020
ENSFALG00000000104	E002,E003
ENSFALG00000000105	E001
ENSFALG00000000106	E008
ENSFALG00000000107	E001,E002,E007,E008,E009,E010,E012,E022,E025,E035,E036
ENSFALG00000000111	E003,E004,E005,E008,E013
ENSFALG00000000115	E001,E002,E003,E006,E009,E010
ENSFALG00000000116	E010,E011,E012,E014
ENSFALG00000000118	E001
ENSFALG00000000119	E001,E003,E004,E005,E006,E007,E009
ENSFALG00000000120	E001,E005
ENSFALG00000000121	E002,E006,E007
ENSFALG00000000122	E001
ENSFALG00000000123	E009,E017,E022,E023,E024,E027,E029,E032
ENSFALG00000000124	E001,E003,E007
ENSFALG00000000126	E001,E002,E003,E004,E005,E006,E007,E008,E009,E010,E016,E017,E018,E019,E020,E021,E022
ENSFALG00000000127	E001,E003
ENSFALG00000000128	E003,E008,E016
ENSFALG00000000130	E008
ENSFALG00000000132	E003,E004,E005,E006,E007,E008,E009
ENSFALG00000000133	E001,E002,E004,E005,E006,E008,E009,E010,E012,E013,E015
ENSFALG00000000135	E001,E002,E003
ENSFALG00000000137	E005
ENSFALG00000000139	E009
ENSFALG00000000141	E011,E019
ENSFALG00000000149	E001,E004,E008,E009,E010,E011,E012
ENSFALG00000000150	E001,E002,E003,E004,E006,E007,E008,E011,E013,E016,E017,E019,E020,E021,E023,E025,E027,E030
ENSFALG00000000152	E001,E003,E005
ENSFALG00000000153	E007,E014,E015,E017
ENSFALG00000000154	E001,E002,E003,E004,E006,E007,E010,E013
ENSFALG00000000155	E006,E012,E014
ENSFALG00000000157	E002,E005,E006,E007,E009
ENSFALG00000000158	E001,E002,E003,E004,E008,E009,E010,E012
ENSFALG00000000159	E001,E002,E007,E010
ENSFALG00000000160	E001,E002,E003,E005
ENSFALG00000000163	E002,E003,E004,E005,E006,E007,E008
ENSFALG00000000165	E002,E006,E007
ENSFALG00000000166	E005,E012,E013,E015,E017,E020,E026,E027,E028,E029
ENSFALG00000000167	E001,E003,E004,E007,E008,E010,E013,E024,E025,E026,E027,E028,E030,E031
ENSFALG00000000168	E001,E006
ENSFALG00000000170	E001,E002,E003,E004,E005,E006,E007
ENSFALG00000000171	E001
ENSFALG00000000173	E002,E003,E004,E006,E007,E008,E010,E011,E013,E015,E016
ENSFALG00000000175	E001,E002,E003
ENSFALG00000000176	E001,E004,E005,E009,E010,E011,E012,E013,E014,E015,E016,E017,E018,E019,E020,E022,E023,E024,E025,E027,E028,E029,E031,E032
ENSFALG00000000178	E001,E002
ENSFALG00000000179	E001,E002,E003,E004,E005,E006,E007
ENSFALG00000000180	E003,E005
ENSFALG00000000182	E001,E004,E007,E008,E010,E023,E024,E029,E032,E033,E036,E057,E060
ENSFALG00000000183	E001,E004,E005,E017,E020,E021,E024,E029,E034,E040,E041,E043,E044,E048
ENSFALG00000000184	E001,E002,E003,E004,E005
ENSFALG00000000185	E001,E002,E004,E011,E019,E020,E021,E022,E023,E024,E025,E028,E029,E031,E033,E045
ENSFALG00000000186	E001,E002,E003,E004,E005,E006,E007,E008,E009,E010,E011,E012,E013,E014,E015,E016,E017,E018,E019,E024,E025
ENSFALG00000000187	E001,E020,E023,E024,E041,E042,E043
ENSFALG00000000189	E010
ENSFALG00000000190	E001,E002,E003,E007,E010,E011,E016,E017,E018,E019,E020,E021
ENSFALG00000000192	E001,E002,E004,E005,E006,E007,E008,E012
ENSFALG00000000193	E001
ENSFALG00000000197	E001,E002,E003,E004,E014,E015,E016,E017,E020,E021,E022,E023,E024
ENSFALG00000000199	E007,E011,E013,E014,E015,E016,E017
ENSFALG00000000200	E001,E013,E014
ENSFALG00000000202	E001,E002,E003,E004,E005,E006
ENSFALG00000000204	E001,E002,E003,E005,E007,E008,E009,E010,E011,E012,E021
ENSFALG00000000206	E004,E010
ENSFALG00000000207	E003,E007,E009,E010,E011,E012,E013
ENSFALG00000000208	E001
ENSFALG00000000209	E001,E003,E004,E006,E007,E008,E009,E011,E014,E015,E016,E017,E018,E019,E020,E021,E022,E023,E024,E025,E027
ENSFALG00000000212	E001
ENSFALG00000000213	E003,E005,E006
ENSFALG00000000215	E001,E002,E003,E004,E006
ENSFALG00000000216	E017
ENSFALG00000000218	E002,E003
ENSFALG00000000219	E003,E008,E009
ENSFALG00000000223	E003,E004,E005,E007,E008,E009,E010
ENSFALG00000000224	E001,E005
ENSFALG00000000225	E001
ENSFALG00000000228	E001,E002,E003,E006,E007,E008,E009,E010,E011
ENSFALG00000000230	E016
ENSFALG00000000232	E001,E002,E007
ENSFALG00000000233	E003,E005,E006,E008
ENSFALG00000000235	E001,E004,E012,E013
ENSFALG00000000237	E001,E003,E006,E010
ENSFALG00000000238	E001,E002,E006,E008,E017,E018,E019,E021
ENSFALG00000000240	E001,E002,E003,E004,E005,E007
ENSFALG00000000241	E002,E004,E005,E006,E007,E013,E021,E022,E026,E029,E032,E033,E035,E036,E037,E038,E039,E040,E042,E049,E050
ENSFALG00000000243	E001,E002
ENSFALG00000000245	E001,E002,E003,E005,E006,E009,E011,E012,E013,E014
ENSFALG00000000248	E022
ENSFALG00000000250	E005,E006
ENSFALG00000000253	E001,E002,E003,E004,E010,E012,E014,E015,E018,E025,E026,E028
ENSFALG00000000254	E002,E008,E012,E016
ENSFALG00000000255	E001,E002,E006,E011,E013,E014,E015,E016,E017,E022
ENSFALG00000000256	E002,E003,E004,E005,E009,E010,E011,E012,E014,E015,E017,E018,E019,E020,E022
ENSFALG00000000259	E001,E002,E003,E004,E007,E010,E011,E012,E013,E014,E015,E016,E017,E018,E019,E021,E022,E023,E024,E029,E031
ENSFALG00000000261	E001
ENSFALG00000000263	E014
ENSFALG00000000264	E001,E003,E006,E007,E008
ENSFALG00000000266	E002,E007,E008,E009,E010,E011,E012,E013,E014,E015
ENSFALG00000000267	E001,E002,E003,E004,E005
ENSFALG00000000268	E001,E002,E003
ENSFALG00000000269	E002,E003,E004,E005,E008,E009,E013,E014,E015,E016,E017,E018,E019,E020
ENSFALG00000000271	E009,E010,E011,E013,E014
ENSFALG00000000272	E006,E007,E009,E014,E018,E019,E023,E024,E033,E036,E042,E047
ENSFALG00000000273	E001,E003,E004,E005,E006,E007,E010
ENSFALG00000000276	E005,E009
ENSFALG00000000280	E001
ENSFALG00000000281	E001,E002,E003,E005,E010,E011
ENSFALG00000000283	E001,E002,E008
ENSFALG00000000285	E002,E004,E006,E008,E009,E011,E012,E013,E014
ENSFALG00000000289	E015
ENSFALG00000000290	E005,E009,E010,E011
ENSFALG00000000292	E001,E002,E003,E007,E008,E009,E011,E013,E014,E015,E016,E018,E019,E020,E021,E022,E023,E025,E026,E027,E029
ENSFALG00000000293	E001,E003,E004,E005
ENSFALG00000000294	E002,E009,E012
ENSFALG00000000295	E002,E003,E004,E006,E007,E008,E009,E010,E011,E012
ENSFALG00000000296	E002,E005,E007,E010,E016
ENSFALG00000000297	E003,E004,E006,E009,E018,E021
ENSFALG00000000299	E001,E005,E006
ENSFALG00000000300	E001
ENSFALG00000000301	E021,E023,E024,E032,E033,E034
ENSFALG00000000304	E001,E002,E004,E005,E007
ENSFALG00000000305	E001,E004,E005
ENSFALG00000000306	E001
ENSFALG00000000307	E007,E008,E009,E011,E012,E013,E014,E015,E016,E018,E020,E022
ENSFALG00000000308	E009
ENSFALG00000000310	E017
ENSFALG00000000311	E001,E002,E003,E004,E005
ENSFALG00000000313	E001,E004
ENSFALG00000000314	E001,E002,E003
ENSFALG00000000315	E002,E010,E012,E016,E017,E021
ENSFALG00000000318	E001,E002,E007,E008,E009
ENSFALG00000000320	E001,E005,E006,E007,E010,E012,E015,E016
ENSFALG00000000321	E004,E006,E009
ENSFALG00000000325	E001,E002
ENSFALG00000000327	E001,E013
ENSFALG00000000330	E002
ENSFALG00000000332	E001,E004,E005,E014,E016,E017,E025
ENSFALG00000000333	E001,E006,E008
ENSFALG00000000336	E001,E003,E004,E005,E007,E008,E009
ENSFALG00000000337	E001,E002,E003,E004,E005,E009,E010,E011
ENSFALG00000000338	E001,E002,E005,E006,E007,E008
ENSFALG00000000339	E001,E004
ENSFALG00000000341	E001,E008
ENSFALG00000000346	E001,E008
ENSFALG00000000347	E001,E002,E003,E006,E007,E008,E013,E020,E023,E041,E042
ENSFALG00000000348	E007
ENSFALG00000000349	E001,E003,E004,E006,E008
ENSFALG00000000350	E003,E004,E005,E006
ENSFALG00000000351	E001,E002,E003,E004,E006,E008
ENSFALG00000000352	E002,E004,E034,E042,E043,E048
ENSFALG00000000353	E019,E024
ENSFALG00000000354	E001,E002,E005,E007,E009
ENSFALG00000000356	E001,E004,E006,E007,E008,E011,E012
ENSFALG00000000357	E001,E002,E003,E006,E010
ENSFALG00000000358	E002,E003,E004,E005,E006,E009,E011
ENSFALG00000000359	E001,E003,E006
ENSFALG00000000361	E004,E005,E006,E008,E010
ENSFALG00000000362	E001,E003,E004,E007,E008,E009,E011,E012,E013
ENSFALG00000000364	E001,E003,E006,E010
ENSFALG00000000370	E001,E005,E006,E008
ENSFALG00000000371	E001,E002,E003,E004,E006
ENSFALG00000000373	E003
ENSFALG00000000376	E001,E004,E006,E013,E015,E016,E023
ENSFALG00000000378	E006,E008
ENSFALG00000000383	E002,E003,E004,E005,E006,E007,E008,E009,E010,E011,E012,E013
ENSFALG00000000384	E001,E002,E005,E006,E007,E008
ENSFALG00000000385	E001,E002
ENSFALG00000000387	E001,E002,E006,E007,E008,E009,E010,E011,E012
ENSFALG00000000389	E005,E007,E008,E010,E011,E012,E013,E020,E021,E022,E023,E024,E026,E028,E029,E030,E031,E033,E034,E035
ENSFALG00000000390	E001
ENSFALG00000000392	E002,E004,E005,E008
ENSFALG00000000393	E001
ENSFALG00000000396	E001
ENSFALG00000000403	E001,E002,E006,E007
ENSFALG00000000411	E001,E002,E006,E012,E013,E015,E018,E022,E023,E024,E026,E027,E032,E033,E035,E036,E038,E039,E040,E041,E042,E043,E044,E045,E046,E049,E051,E054,E056,E059,E063,E066,E070,E073,E081,E084,E086,E088,E089,E090,E091,E094
ENSFALG00000000412	E001,E002,E003,E005,E007,E008,E009,E010
ENSFALG00000000414	E013
ENSFALG00000000415	E001,E002,E003,E006,E007,E008
ENSFALG00000000419	E001,E002,E003,E004
ENSFALG00000000420	E001,E003,E006,E007,E008
ENSFALG00000000421	E004,E005
ENSFALG00000000424	E002,E009
ENSFALG00000000425	E001,E005,E009,E011
ENSFALG00000000426	E004
ENSFALG00000000427	E005
ENSFALG00000000431	E020
ENSFALG00000000432	E002,E003,E004,E005,E006,E008
ENSFALG00000000433	E001
ENSFALG00000000434	E001,E002,E004,E005,E006,E007,E008,E009,E010,E012,E013
ENSFALG00000000435	E001,E002
ENSFALG00000000436	E005,E006,E007,E008,E009,E010,E011,E012,E014
ENSFALG00000000437	E006,E007,E009,E015,E018,E020,E021,E022,E026,E027
ENSFALG00000000438	E026
ENSFALG00000000440	E001,E002
ENSFALG00000000443	E002,E006
ENSFALG00000000444	E001,E002,E003,E004,E007,E008,E010
ENSFALG00000000445	E001,E004,E006,E011,E012,E013,E014,E015,E016,E017,E020,E021,E022,E023,E024,E025
ENSFALG00000000449	E001,E004,E006,E011,E013,E015,E016
ENSFALG00000000452	E001,E007,E010,E012,E013,E015,E016,E020,E021,E039,E047,E048,E049,E056,E058,E069,E079,E081,E082,E083,E084,E085,E091
ENSFALG00000000453	E003,E011,E012
ENSFALG00000000454	E001,E002,E011
ENSFALG00000000455	E001
ENSFALG00000000456	E006,E007,E008,E011,E012,E013,E015,E016,E017,E018
ENSFALG00000000457	E001,E003,E005,E008,E009,E010
ENSFALG00000000459	E001,E002,E006
ENSFALG00000000461	E001,E002,E003,E004,E005,E006,E007,E008,E009,E010,E011,E012,E014,E015,E016,E018,E019,E020
ENSFALG00000000462	E002,E005
ENSFALG00000000464	E001,E002,E003,E005,E006,E008,E009,E010
ENSFALG00000000465	E001,E002,E003
ENSFALG00000000466	E001,E002,E003,E004,E005,E006,E007,E008
ENSFALG00000000467	E001,E002,E003,E004,E005,E006,E007,E008,E009,E010,E011,E012,E013
ENSFALG00000000472	E001,E002,E004,E005
ENSFALG00000000474	E001
ENSFALG00000000478	E002,E003,E004,E005,E006,E011,E012,E013,E014,E015,E016
ENSFALG00000000479	E009,E010,E012,E013,E014,E016,E018,E019
ENSFALG00000000481	E001,E002,E003,E004
ENSFALG00000000483	E001,E002,E003,E004,E005,E006,E007
ENSFALG00000000485	E006,E007,E010,E011,E012
ENSFALG00000000486	E005,E006,E009
ENSFALG00000000487	E001,E003,E006,E007,E008,E009,E011,E013
ENSFALG00000000488	E001,E003
ENSFALG00000000489	E002,E003,E005,E006,E008,E009
ENSFALG00000000490	E001,E002,E003,E005,E008,E009,E010,E011,E012,E013,E014,E015
ENSFALG00000000491	E001,E004,E005,E006,E008,E009
ENSFALG00000000492	E001,E003
ENSFALG00000000496	E004
ENSFALG00000000499	E001,E007
ENSFALG00000000500	E037,E041,E043,E044
ENSFALG00000000502	E001,E004,E005
ENSFALG00000000504	E001,E002,E003,E004,E005,E006,E007
ENSFALG00000000505	E001,E002,E003,E004,E005,E006,E007
ENSFALG00000000506	E001
ENSFALG00000000507	E008
ENSFALG00000000508	E001,E002,E003,E005,E006
ENSFALG00000000510	E020,E025,E033
ENSFALG00000000511	E001,E002,E004,E005,E007,E011,E012
ENSFALG00000000512	E001,E006,E008,E010
ENSFALG00000000513	E001
ENSFALG00000000514	E001,E004,E011
ENSFALG00000000515	E023
ENSFALG00000000517	E001
ENSFALG00000000518	E001,E002,E003,E004,E005
ENSFALG00000000519	E001,E002,E003,E004,E005,E006,E007,E008,E009
ENSFALG00000000520	E001,E002,E003,E004,E005
ENSFALG00000000521	E033
ENSFALG00000000522	E002,E003,E008,E009
ENSFALG00000000523	E001,E002,E003,E004,E005,E006,E007,E008,E009,E010,E011,E012,E013
ENSFALG00000000524	E001,E002
ENSFALG00000000525	E001,E010
ENSFALG00000000528	E001,E004,E008
ENSFALG00000000529	E001,E002,E003,E005,E006,E007,E008,E011
ENSFALG00000000530	E002,E004,E006
ENSFALG00000000535	E001
ENSFALG00000000536	E001
ENSFALG00000000541	E001,E002,E015
ENSFALG00000000542	E009
ENSFALG00000000543	E001,E002,E003,E004,E006,E008,E009,E011,E015
ENSFALG00000000545	E008,E009,E010
ENSFALG00000000548	E001,E024,E033
ENSFALG00000000553	E001,E002,E003,E004,E005,E009,E010,E011,E012,E013,E014
ENSFALG00000000555	E014,E017,E019
ENSFALG00000000557	E013,E014
ENSFALG00000000558	E001,E002,E005
ENSFALG00000000559	E005,E008,E009,E010,E013,E018,E020,E021,E022,E024,E026,E030,E033,E034,E039,E040,E044,E048,E049,E051,E073,E077,E079,E090,E091,E092,E094,E095,E106,E108
ENSFALG00000000560	E001,E003
ENSFALG00000000563	E001,E002
ENSFALG00000000564	E002,E006,E007,E008,E009,E010,E013,E014,E015
ENSFALG00000000568	E001,E002,E003,E004,E007,E008,E009,E010,E011,E013
ENSFALG00000000569	E002,E003,E006,E008,E014,E016,E017,E018,E020,E021,E022
ENSFALG00000000570	E001,E004,E008,E010
ENSFALG00000000571	E001,E003,E008
ENSFALG00000000572	E001,E003,E004
ENSFALG00000000575	E001,E002,E003,E005,E006,E007,E010,E011,E012,E013,E014,E015,E016,E017,E018
ENSFALG00000000580	E002,E007,E013,E015
ENSFALG00000000581	E002,E003,E005,E009,E010,E011
ENSFALG00000000582	E002,E003,E004,E005
ENSFALG00000000583	E001,E005,E006,E008
ENSFALG00000000587	E002,E003,E004,E005,E006
ENSFALG00000000588	E020
ENSFALG00000000589	E001,E004,E006
ENSFALG00000000591	E002,E005,E013,E014,E015
ENSFALG00000000592	E002,E003,E004,E007,E009,E011,E013
ENSFALG00000000593	E001,E015
ENSFALG00000000596	E001,E010,E011
ENSFALG00000000598	E005
ENSFALG00000000599	E001,E002,E007,E008,E009,E010,E011,E012,E013
ENSFALG00000000600	E001,E002,E008
ENSFALG00000000601	E006,E010,E011,E012,E013
ENSFALG00000000602	E001,E002,E003,E004,E005,E006
ENSFALG00000000606	E001,E002
ENSFALG00000000607	E005,E010,E011,E012
ENSFALG00000000609	E002,E003,E005,E006
ENSFALG00000000610	E001,E002,E003,E004,E005,E006,E007,E008,E009,E010,E011,E012,E013,E014
ENSFALG00000000611	E001,E002,E004,E005,E006,E010
ENSFALG00000000613	E002,E006,E007,E008,E010
ENSFALG00000000615	E001,E003,E006,E007,E008,E009,E014
ENSFALG00000000616	E001,E007,E018
ENSFALG00000000617	E004,E006
ENSFALG00000000620	E001,E002,E003,E004,E005,E006,E007,E008,E009,E010,E017
ENSFALG00000000621	E015,E016,E024,E026,E027,E028,E029,E030
ENSFALG00000000622	E001
ENSFALG00000000624	E025,E034,E037,E039,E045,E047,E048,E049,E051,E052,E069
ENSFALG00000000625	E001,E002,E003
ENSFALG00000000626	E011
ENSFALG00000000628	E001,E002,E003,E004,E005,E006,E007
ENSFALG00000000629	E001,E002,E004,E005,E006,E007
ENSFALG00000000630	E001,E002
ENSFALG00000000631	E001,E004,E005,E006,E007,E009,E012,E014,E015,E018,E019,E021,E022,E025,E028
ENSFALG00000000633	E001,E002,E003,E004,E005,E006,E007,E008
ENSFALG00000000635	E001,E002,E003,E004,E005,E006,E008
ENSFALG00000000636	E011,E014
ENSFALG00000000637	E006,E008,E009,E013,E015,E017,E019
ENSFALG00000000638	E001,E002,E003,E004,E005,E007,E008
ENSFALG00000000639	E001,E005,E006,E009,E010,E011,E013,E014,E017
ENSFALG00000000642	E001,E002,E003,E004,E005,E006,E008
ENSFALG00000000643	E001,E002,E003,E004,E005,E006,E007,E012,E015,E017,E018,E019
ENSFALG00000000644	E001,E002
ENSFALG00000000647	E004,E007
ENSFALG00000000649	E001,E002
ENSFALG00000000651	E002,E004
ENSFALG00000000656	E001,E002,E008,E010,E011,E021,E022
ENSFALG00000000660	E001,E004,E006,E007,E011,E016
ENSFALG00000000663	E002,E006
ENSFALG00000000666	E003,E004,E005,E006,E010,E011
ENSFALG00000000667	E001,E008,E012,E016,E019
ENSFALG00000000668	E006
ENSFALG00000000670	E002,E004,E005
ENSFALG00000000673	E001,E005
ENSFALG00000000675	E001,E002,E003
ENSFALG00000000677	E003,E006,E009,E011,E012,E013,E014,E017,E018,E020,E021,E022,E023,E024
ENSFALG00000000681	E001,E002,E003,E005,E006,E007,E008,E011
ENSFALG00000000682	E001,E003,E004,E006,E009,E010,E012,E017
ENSFALG00000000683	E001,E004,E005,E008,E009,E010,E011
ENSFALG00000000684	E001,E012
ENSFALG00000000685	E001,E002,E007,E009,E012,E013,E015,E016,E017,E018
ENSFALG00000000688	E001
ENSFALG00000000689	E001,E003,E004,E005,E006,E007,E008
ENSFALG00000000690	E011
ENSFALG00000000691	E001,E002,E005,E006,E007,E009,E012,E013,E014,E015,E016,E017,E018,E024,E025
ENSFALG00000000692	E005,E006,E007,E008
ENSFALG00000000695	E004,E005,E006,E007,E010
ENSFALG00000000696	E002,E016,E021,E030
ENSFALG00000000698	E001,E010,E014,E107
ENSFALG00000000700	E001,E010
ENSFALG00000000705	E001,E011,E016
ENSFALG00000000706	E003,E006,E008,E010,E012,E013
ENSFALG00000000707	E001,E007,E026
ENSFALG00000000708	E001,E008,E009,E010,E011,E012
ENSFALG00000000709	E001,E003,E008,E009
ENSFALG00000000710	E001
ENSFALG00000000711	E005,E006,E007,E008,E011
ENSFALG00000000712	E007,E023
ENSFALG00000000713	E001,E002,E003,E004,E005,E006,E007,E008,E009
ENSFALG00000000715	E002,E003,E004,E011,E012,E015,E016,E018,E019,E020,E021,E023,E024
ENSFALG00000000716	E001,E003
ENSFALG00000000717	E001,E002,E003,E004,E005,E006,E007,E008,E009,E010,E011,E012,E013,E014
ENSFALG00000000718	E001,E002,E003,E009,E012,E016
ENSFALG00000000719	E001,E002,E003,E004
ENSFALG00000000720	E002,E003,E004,E005,E006,E007
ENSFALG00000000721	E001,E003,E006,E009,E012,E013,E014
ENSFALG00000000722	E022
ENSFALG00000000723	E025
ENSFALG00000000724	E001,E002,E003,E004,E005,E007,E008,E010,E011,E013
ENSFALG00000000725	E001,E002,E003,E004,E006,E007,E008,E009,E010,E011,E014
ENSFALG00000000726	E001,E002,E004,E007
ENSFALG00000000727	E001
ENSFALG00000000729	E002,E003,E004,E006,E007,E008,E009,E010
ENSFALG00000000731	E001,E002,E003,E004,E008,E009,E010
ENSFALG00000000732	E004,E005,E006
ENSFALG00000000734	E002,E004,E006,E007,E008,E009,E011,E013,E014,E015,E017,E018,E019,E020,E021,E023,E024,E026,E027,E028
ENSFALG00000000735	E001
ENSFALG00000000736	E001,E002
ENSFALG00000000738	E001,E003,E007,E008,E010,E012,E013
ENSFALG00000000739	E006,E008,E013,E014
ENSFALG00000000740	E001,E002,E004,E005,E006,E007,E008,E009,E010,E011,E012,E013,E018,E019,E020
ENSFALG00000000741	E001,E003,E004
ENSFALG00000000742	E001,E002,E003,E004,E005,E006
ENSFALG00000000748	E003,E004,E010,E016
ENSFALG00000000750	E001,E005,E015,E016
ENSFALG00000000752	E002
ENSFALG00000000753	E001,E010
ENSFALG00000000754	E001,E002,E003
ENSFALG00000000756	E002,E006,E009,E011,E012,E015,E016,E018,E019,E020,E022,E023
ENSFALG00000000757	E005,E006,E007,E008,E009,E010
ENSFALG00000000758	E001,E003
ENSFALG00000000759	E001,E008
ENSFALG00000000761	E013,E014,E015,E016,E019,E020,E022,E023
ENSFALG00000000762	E001,E002,E003,E004,E005,E008,E009,E031,E032,E033,E036,E038
ENSFALG00000000766	E002,E004,E005,E009,E010,E011,E016,E020,E022,E023
ENSFALG00000000768	E002,E003,E004,E005
ENSFALG00000000769	E003,E005,E006,E007,E008,E010,E011,E012,E013,E014,E016,E018,E020,E024
ENSFALG00000000770	E007,E017,E023
ENSFALG00000000772	E003,E004,E005
ENSFALG00000000773	E001,E002,E007,E008,E009,E010,E011,E013,E015,E016,E017,E021,E022
ENSFALG00000000774	E001,E002,E008,E013
ENSFALG00000000776	E002,E004,E005,E006
ENSFALG00000000778	E001,E003,E008,E010,E011,E012
ENSFALG00000000779	E007,E008
ENSFALG00000000780	E001,E010,E023,E024,E026,E032
ENSFALG00000000781	E002,E003,E004,E005,E006,E007,E008,E009,E010,E011,E012,E013,E014,E015,E016
ENSFALG00000000782	E001,E003,E004,E005,E006
ENSFALG00000000784	E003,E004
ENSFALG00000000785	E002,E003,E004,E005,E006,E007,E008,E009,E010,E012,E013
ENSFALG00000000786	E003,E004,E005
ENSFALG00000000788	E001,E002,E003,E009,E011,E012
ENSFALG00000000789	E008,E009,E010,E020,E021,E024,E025,E031
