cluster	status	loglr	df	p	p.adjust	genes
chrmt_fAlb:clu_28515_-	<=1 sample with coverage>0	NA	NA	NA	NA	NA
chrmt_fAlb:clu_28516_-	<=1 sample with coverage>0	NA	NA	NA	NA	NA
chrmt_fAlb:clu_28517_-	<=1 sample with coverage>0	NA	NA	NA	NA	NA
chrmt_fAlb:clu_28518_-	<=1 sample with coverage>0	NA	NA	NA	NA	NA
chrmt_fAlb:clu_28519_-	<=1 sample with coverage>0	NA	NA	NA	NA	NA
chrmt_fAlb:clu_28520_-	<=1 sample with coverage>0	NA	NA	NA	NA	NA
chrmt_fAlb:clu_28521_-	<=1 sample with coverage>0	NA	NA	NA	NA	NA
chrmt_fAlb:clu_28522_-	<=1 sample with coverage>0	NA	NA	NA	NA	NA
chrmt_fAlb:clu_28523_+	<=1 sample with coverage>0	NA	NA	NA	NA	NA
chrmt_fAlb:clu_28524_+	<=1 sample with coverage>0	NA	NA	NA	NA	NA
chrmt_fAlb:clu_28525_+	<=1 sample with coverage>0	NA	NA	NA	NA	NA
chrmt_fAlb:clu_28526_+	<=1 sample with coverage>0	NA	NA	NA	NA	NA
chrN00001:clu_1_+	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	NA
chrN00001:clu_10_+	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	ENSFALG00000028957
chrN00001:clu_100_+	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	ENSFALG00000012182
chrN00001:clu_101_+	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	ENSFALG00000012182
chrN00001:clu_102_+	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	ENSFALG00000012200
chrN00001:clu_103_+	Success	0.0493300667922654	1	0.753443489352643	0.953418419431709	ENSFALG00000012244
chrN00001:clu_104_+	Success	0.296614773657126	1	0.441172983105852	0.833311333440781	ENSFALG00000023321
chrN00001:clu_105_+	Success	0.102828911627896	1	0.650192257017429	0.91881015839891	ENSFALG00000023321
chrN00001:clu_106_+	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	ENSFALG00000023321
chrN00001:clu_107_+	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	ENSFALG00000023321
chrN00001:clu_108_+	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	ENSFALG00000012277
chrN00001:clu_109_+	<=1 sample with coverage>0	NA	NA	NA	NA	NA
chrN00001:clu_11_+	Success	0.169324384264058	1	0.560610218621423	0.886728292312288	ENSFALG00000023706
chrN00001:clu_110_+	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	NA
chrN00001:clu_111_+	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	ENSFALG00000012433
chrN00001:clu_112_+	Success	0.0330620789557656	1	0.797065929290025	0.964653229349053	ENSFALG00000012433
chrN00001:clu_113_+	Success	0.141608441771012	1	0.594600467446195	0.901578730064674	ENSFALG00000012433
chrN00001:clu_114_+	Not enough valid samples	NA	NA	NA	NA	ENSFALG00000012433
chrN00001:clu_115_+	Success	5.86909002169381	3	0.00833603783415279	0.153851758183327	ENSFALG00000012470
chrN00001:clu_116_+	Success	0.498712096679	1	0.317934581408915	0.766105522900334	ENSFALG00000012470
chrN00001:clu_117_+	Success	0.820907636684183	2	0.440032083939377	0.833195713599236	ENSFALG00000012470
chrN00001:clu_118_+	<=1 sample with coverage>0	NA	NA	NA	NA	NA
chrN00001:clu_119_+	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	ENSFALG00000012529
chrN00001:clu_12_+	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	ENSFALG00000023706
chrN00001:clu_120_+	Success	0.477971690793311	2	0.620039749566969	0.909952069261895	ENSFALG00000012529
chrN00001:clu_121_+	Success	2.42023737972403	1	0.0277992407150008	0.291709936411121	ENSFALG00000012529
chrN00001:clu_122_+	Success	2.78736355999035	2	0.0615833609123011	0.41189847695867	ENSFALG00000012529
chrN00001:clu_123_+	Success	0.185100246882712	1	0.542895002147651	0.879893382149071	ENSFALG00000012564
chrN00001:clu_124_+	Success	8.20262966436985	6	0.011736408056434	0.188772346449872	ENSFALG00000012564
chrN00001:clu_125_+	Success	1.62519888744231	1	0.0714061268450307	0.440140236690191	ENSFALG00000012564
chrN00001:clu_126_+	Success	0.115877479376252	1	0.630225595311288	0.914134994785887	ENSFALG00000012564
chrN00001:clu_127_+	Success	0.490310172761326	2	0.612436403630541	0.907526551500002	ENSFALG00000012564
chrN00001:clu_128_+	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	ENSFALG00000012564
