cluster	status	loglr	df	p	p.adjust	genes
chrmt_fAlb:clu_28515_-	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	NA
chrmt_fAlb:clu_28516_-	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	NA
chrmt_fAlb:clu_28517_-	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	NA
chrmt_fAlb:clu_28518_-	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	NA
chrmt_fAlb:clu_28519_-	<=1 sample with coverage>0	NA	NA	NA	NA	NA
chrmt_fAlb:clu_28520_-	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	NA
chrmt_fAlb:clu_28521_-	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	NA
chrmt_fAlb:clu_28522_-	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	NA
chrmt_fAlb:clu_28523_+	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	NA
chrmt_fAlb:clu_28524_+	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	NA
chrmt_fAlb:clu_28525_+	<=1 sample with coverage>0	NA	NA	NA	NA	NA
chrmt_fAlb:clu_28526_+	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	NA
chrN00001:clu_1_+	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	NA
chrN00001:clu_10_+	Not enough valid samples	NA	NA	NA	NA	ENSFALG00000028957
chrN00001:clu_100_+	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	ENSFALG00000012182
chrN00001:clu_101_+	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	ENSFALG00000012182
chrN00001:clu_102_+	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	ENSFALG00000012200
chrN00001:clu_103_+	Success	1.2158007599312	1	0.118911356545559	0.484076729768392	ENSFALG00000012244
chrN00001:clu_104_+	Not enough valid samples	NA	NA	NA	NA	ENSFALG00000023321
chrN00001:clu_105_+	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	ENSFALG00000023321
chrN00001:clu_106_+	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	ENSFALG00000023321
chrN00001:clu_107_+	<=1 sample with coverage>0	NA	NA	NA	NA	ENSFALG00000023321
chrN00001:clu_108_+	<=1 sample with coverage>0	NA	NA	NA	NA	ENSFALG00000012277
chrN00001:clu_109_+	<=1 sample with coverage>0	NA	NA	NA	NA	NA
chrN00001:clu_11_+	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	ENSFALG00000023706
chrN00001:clu_110_+	<=1 sample with coverage>0	NA	NA	NA	NA	NA
chrN00001:clu_111_+	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	ENSFALG00000012433
chrN00001:clu_112_+	Not enough valid samples	NA	NA	NA	NA	ENSFALG00000012433
chrN00001:clu_113_+	Not enough valid samples	NA	NA	NA	NA	ENSFALG00000012433
chrN00001:clu_114_+	Not enough valid samples	NA	NA	NA	NA	ENSFALG00000012433
chrN00001:clu_115_+	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	ENSFALG00000012470
chrN00001:clu_116_+	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	ENSFALG00000012470
chrN00001:clu_117_+	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	ENSFALG00000012470
chrN00001:clu_118_+	<=1 sample with coverage>0	NA	NA	NA	NA	NA
chrN00001:clu_119_+	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	ENSFALG00000012529
chrN00001:clu_12_+	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	ENSFALG00000023706
chrN00001:clu_120_+	Not enough valid samples	NA	NA	NA	NA	ENSFALG00000012529
chrN00001:clu_121_+	Not enough valid samples	NA	NA	NA	NA	ENSFALG00000012529
chrN00001:clu_122_+	Not enough valid samples	NA	NA	NA	NA	ENSFALG00000012529
chrN00001:clu_123_+	Not enough valid samples	NA	NA	NA	NA	ENSFALG00000012564
chrN00001:clu_124_+	Success	2.95520582404015	3	0.116051182195587	0.481945506635889	ENSFALG00000012564
chrN00001:clu_125_+	Not enough valid samples	NA	NA	NA	NA	ENSFALG00000012564
chrN00001:clu_126_+	Not enough valid samples	NA	NA	NA	NA	ENSFALG00000012564
chrN00001:clu_127_+	Not enough valid samples	NA	NA	NA	NA	ENSFALG00000012564
chrN00001:clu_128_+	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	ENSFALG00000012564
chrN00001:clu_129_+	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	ENSFALG00000012593
chrN00001:clu_13_+	Not enough valid samples	NA	NA	NA	NA	ENSFALG00000023706
chrN00001:clu_130_+	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	ENSFALG00000012593
chrN00001:clu_131_+	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	ENSFALG00000012593
chrN00001:clu_132_+	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	ENSFALG00000012593
chrN00001:clu_133_+	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	ENSFALG00000012593
chrN00001:clu_134_+	Success	0.653278519382752	2	0.520337042153541	0.815691768714467	ENSFALG00000012598
chrN00001:clu_135_+	Success	4.26878491253932	2	0.0139987825685225	0.256507169205648	ENSFALG00000012598
chrN00001:clu_136_+	Not enough valid samples	NA	NA	NA	NA	ENSFALG00000012602
chrN00001:clu_137_+	Not enough valid samples	NA	NA	NA	NA	ENSFALG00000012602
chrN00001:clu_138_+	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	ENSFALG00000012711
chrN00001:clu_139_+	<=1 sample with coverage>0	NA	NA	NA	NA	NA
chrN00001:clu_14_+	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	ENSFALG00000011001
chrN00001:clu_140_+	<=1 sample with coverage>0	NA	NA	NA	NA	ENSFALG00000012615
chrN00001:clu_141_+	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	ENSFALG00000012615
chrN00001:clu_142_+	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	ENSFALG00000012615
chrN00001:clu_143_+	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	ENSFALG00000012653
chrN00001:clu_144_+	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	ENSFALG00000012653
chrN00001:clu_145_+	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	ENSFALG00000012653
chrN00001:clu_146_+	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	ENSFALG00000012671
chrN00001:clu_147_+	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	ENSFALG00000012671
chrN00001:clu_148_+	Success	0.225039490948745	1	0.502297449506136	0.806364560581635	ENSFALG00000012711
chrN00001:clu_149_+	Not enough valid samples	NA	NA	NA	NA	ENSFALG00000012711
chrN00001:clu_15_+	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	ENSFALG00000023025
chrN00001:clu_150_+	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	ENSFALG00000012711
chrN00001:clu_151_+	Not enough valid samples	NA	NA	NA	NA	NA
chrN00001:clu_152_+	Success	4.07108646068241	4	0.0865068762496006	0.437041877298125	ENSFALG00000012744
chrN00001:clu_153_+	Not enough valid samples	NA	NA	NA	NA	ENSFALG00000012744
chrN00001:clu_154_+	<=1 sample with coverage>0	NA	NA	NA	NA	NA
chrN00001:clu_155_+	Success	3.41504823782373	1	0.00896344236523185	0.223391707961659	ENSFALG00000012800
chrN00001:clu_156_+	Success	0.101319666225777	1	0.652598834535168	0.875969536246197	ENSFALG00000012800
chrN00001:clu_157_+	Not enough valid samples	NA	NA	NA	NA	ENSFALG00000012821
chrN00001:clu_158_+	Success	1.23292620974775	2	0.291438518478459	0.661053719999538	ENSFALG00000012821
chrN00001:clu_159_+	Success	1.4038246375643	3	0.422242257689048	0.759675476256693	ENSFALG00000012821
chrN00001:clu_16_+	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	NA
chrN00001:clu_160_+	Not enough valid samples	NA	NA	NA	NA	ENSFALG00000012821
chrN00001:clu_161_+	Success	0.353501319487293	3	0.871555634738874	0.957107502477824	ENSFALG00000012821
