cluster	status	loglr	df	p	p.adjust	genes
chrmt_fAlb:clu_28515_-	<=1 sample with coverage>0	NA	NA	NA	NA	NA
chrmt_fAlb:clu_28516_-	<=1 sample with coverage>0	NA	NA	NA	NA	NA
chrmt_fAlb:clu_28517_-	<=1 sample with coverage>0	NA	NA	NA	NA	NA
chrmt_fAlb:clu_28518_-	<=1 sample with coverage>0	NA	NA	NA	NA	NA
chrmt_fAlb:clu_28519_-	<=1 sample with coverage>0	NA	NA	NA	NA	NA
chrmt_fAlb:clu_28520_-	<=1 sample with coverage>0	NA	NA	NA	NA	NA
chrmt_fAlb:clu_28521_-	<=1 sample with coverage>0	NA	NA	NA	NA	NA
chrmt_fAlb:clu_28522_-	<=1 sample with coverage>0	NA	NA	NA	NA	NA
chrmt_fAlb:clu_28523_+	<=1 sample with coverage>0	NA	NA	NA	NA	NA
chrmt_fAlb:clu_28524_+	<=1 sample with coverage>0	NA	NA	NA	NA	NA
chrmt_fAlb:clu_28525_+	<=1 sample with coverage>0	NA	NA	NA	NA	NA
chrmt_fAlb:clu_28526_+	<=1 sample with coverage>0	NA	NA	NA	NA	NA
chrN00001:clu_1_+	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	NA
chrN00001:clu_10_+	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	ENSFALG00000028957
chrN00001:clu_100_+	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	ENSFALG00000012182
chrN00001:clu_101_+	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	ENSFALG00000012182
chrN00001:clu_102_+	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	ENSFALG00000012200
chrN00001:clu_103_+	Not enough valid samples	NA	NA	NA	NA	ENSFALG00000012244
chrN00001:clu_104_+	Success	0.429847831473396	1	0.353823872144125	0.816319676479336	ENSFALG00000023321
chrN00001:clu_105_+	Success	0.00642216816300589	1	0.909766669448238	0.990036631863171	ENSFALG00000023321
chrN00001:clu_106_+	Success	0.251533392429977	1	0.47815569410064	0.867134926601694	ENSFALG00000023321
chrN00001:clu_107_+	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	ENSFALG00000023321
chrN00001:clu_108_+	<=1 sample with coverage>0	NA	NA	NA	NA	ENSFALG00000012277
chrN00001:clu_109_+	<=1 sample with coverage>0	NA	NA	NA	NA	NA
chrN00001:clu_11_+	Success	0.0896115013431142	1	0.672041831741959	0.936993676316713	ENSFALG00000023706
chrN00001:clu_110_+	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	NA
chrN00001:clu_111_+	Success	1.67474240410055	1	0.0672260505205649	0.492821613607315	ENSFALG00000012433
chrN00001:clu_112_+	Success	0.00308722420362528	1	0.937368558555785	0.994400051272332	ENSFALG00000012433
chrN00001:clu_113_+	Success	1.8406352544291	1	0.0550269045030413	0.464967287329065	ENSFALG00000012433
chrN00001:clu_114_+	Not enough valid samples	NA	NA	NA	NA	ENSFALG00000012433
chrN00001:clu_115_+	Success	4.92774109747774	3	0.0198353923930153	0.344225534843093	ENSFALG00000012470
chrN00001:clu_116_+	Success	0.314284622563747	1	0.427880610303349	0.847729703980098	ENSFALG00000012470
chrN00001:clu_117_+	Success	0.533521363697787	2	0.586535922577483	0.908730162293794	ENSFALG00000012470
chrN00001:clu_118_+	<=1 sample with coverage>0	NA	NA	NA	NA	NA
chrN00001:clu_119_+	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	ENSFALG00000012529
chrN00001:clu_12_+	Success	2.66112687395689	1	0.0210547627420595	0.352414037498279	ENSFALG00000023706
chrN00001:clu_120_+	Success	0.795555622952975	2	0.4513303957158	0.855475217779489	ENSFALG00000012529
chrN00001:clu_121_+	Success	0.646675368999496	1	0.255431369391144	0.749915717061725	ENSFALG00000012529
chrN00001:clu_122_+	Success	1.8987480942651	2	0.14975598229078	0.647384475391807	ENSFALG00000012529
chrN00001:clu_123_+	Success	0.776591550703188	1	0.212666143444902	0.71770202148005	ENSFALG00000012564
chrN00001:clu_124_+	Success	5.24401880195273	6	0.105547698984692	0.577050605961821	ENSFALG00000012564
chrN00001:clu_125_+	Success	0.154603143458104	1	0.578167648239391	0.906166862155333	ENSFALG00000012564
chrN00001:clu_126_+	Not enough valid samples	NA	NA	NA	NA	ENSFALG00000012564
chrN00001:clu_127_+	Success	0.831865603819324	2	0.435236549465778	0.849463761362143	ENSFALG00000012564
chrN00001:clu_128_+	Success	0.557464268454535	1	0.291013097773142	0.774162365455394	ENSFALG00000012564
chrN00001:clu_129_+	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	ENSFALG00000012593
