genes	clusters
ENSFALG00000000006	chrN00141:clu_22038_+
ENSFALG00000000008	chrN00141:clu_22060_-
ENSFALG00000000012	chrN00141:clu_22040_+
ENSFALG00000000015	chrN00141:clu_22041_+
ENSFALG00000000018	chrN00141:clu_22063_-
ENSFALG00000000023	chrN00141:clu_22043_+,chrN00141:clu_22044_+
ENSFALG00000000031	chrN00141:clu_22069_-,chrN00141:clu_22071_-
ENSFALG00000000034	chrN00141:clu_22073_-,chrN00141:clu_22074_-,chrN00141:clu_22076_-,chrN00141:clu_22078_-
ENSFALG00000000049	chrN00171:clu_23493_-,chrN00171:clu_23494_-
ENSFALG00000000050	chrN00171:clu_23497_-,chrN00171:clu_23498_-,chrN00171:clu_23499_-,chrN00171:clu_23500_-
ENSFALG00000000052	chrN00171:clu_23505_-
ENSFALG00000000053	chrN00171:clu_23503_-,chrN00171:clu_23504_-
ENSFALG00000000054	chrN00171:clu_23556_+
ENSFALG00000000056	chrN00171:clu_23512_-
ENSFALG00000000073	chrN00171:clu_23561_+
ENSFALG00000000074	chrN00061:clu_15513_+,chrN00061:clu_15514_+
ENSFALG00000000075	chrN00061:clu_15455_-,chrN00061:clu_15456_-,chrN00061:clu_15457_-,chrN00061:clu_15458_-,chrN00061:clu_15460_-
ENSFALG00000000076	chrN00171:clu_23515_-,chrN00171:clu_23517_-
ENSFALG00000000080	chrN00061:clu_15520_+,chrN00061:clu_15521_+
ENSFALG00000000087	chrN00061:clu_15461_-
ENSFALG00000000088	chrN00171:clu_23518_-,chrN00171:clu_23519_-,chrN00171:clu_23520_-
ENSFALG00000000089	chrN00061:clu_15463_-,chrN00061:clu_15465_-,chrN00061:clu_15467_-
ENSFALG00000000101	chrN00061:clu_15524_+,chrN00061:clu_15525_+,chrN00061:clu_15526_+
ENSFALG00000000103	chrN00061:clu_15472_-,chrN00061:clu_15474_-
ENSFALG00000000105	chrN00218:clu_25274_-
ENSFALG00000000106	chrN00171:clu_23522_-,chrN00171:clu_23523_-,chrN00171:clu_23524_-,chrN00171:clu_23526_-
ENSFALG00000000107	chrN00061:clu_15477_-,chrN00061:clu_15478_-
ENSFALG00000000111	chrN00171:clu_23571_+,chrN00171:clu_23572_+
ENSFALG00000000116	chrN00142:clu_22084_+,chrN00142:clu_22086_+
ENSFALG00000000123	chrN00061:clu_15530_+
ENSFALG00000000124	chrN00218:clu_25278_-,chrN00218:clu_25279_-
ENSFALG00000000128	chrN00142:clu_22091_+
ENSFALG00000000132	chrN00061:clu_15535_+
ENSFALG00000000135	chrN00061:clu_15480_-,chrN00061:clu_15481_-
ENSFALG00000000137	chrN00377:clu_27733_+
ENSFALG00000000152	chrN00061:clu_15538_+
