cluster	status	loglr	df	p	p.adjust	genes
chrmt_fAlb:clu_28515_-	<=1 sample with coverage>0	NA	NA	NA	NA	NA
chrmt_fAlb:clu_28516_-	<=1 sample with coverage>0	NA	NA	NA	NA	NA
chrmt_fAlb:clu_28517_-	<=1 sample with coverage>0	NA	NA	NA	NA	NA
chrmt_fAlb:clu_28518_-	<=1 sample with coverage>0	NA	NA	NA	NA	NA
chrmt_fAlb:clu_28519_-	<=1 sample with coverage>0	NA	NA	NA	NA	NA
chrmt_fAlb:clu_28520_-	<=1 sample with coverage>0	NA	NA	NA	NA	NA
chrmt_fAlb:clu_28521_-	<=1 sample with coverage>0	NA	NA	NA	NA	NA
chrmt_fAlb:clu_28522_-	<=1 sample with coverage>0	NA	NA	NA	NA	NA
chrmt_fAlb:clu_28523_+	<=1 sample with coverage>0	NA	NA	NA	NA	NA
chrmt_fAlb:clu_28524_+	<=1 sample with coverage>0	NA	NA	NA	NA	NA
chrmt_fAlb:clu_28525_+	<=1 sample with coverage>0	NA	NA	NA	NA	NA
chrmt_fAlb:clu_28526_+	<=1 sample with coverage>0	NA	NA	NA	NA	NA
chrN00001:clu_1_+	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	NA
chrN00001:clu_10_+	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	ENSFALG00000028957
chrN00001:clu_100_+	Success	1.6827012375937	1	0.0665793136432319	0.359028060316808	ENSFALG00000012182
chrN00001:clu_101_+	Success	0.695761826255648	2	0.498694384756593	0.775995311516487	ENSFALG00000012182
chrN00001:clu_102_+	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	ENSFALG00000012200
chrN00001:clu_103_+	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	ENSFALG00000012244
chrN00001:clu_104_+	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	ENSFALG00000023321
chrN00001:clu_105_+	Not enough valid samples	NA	NA	NA	NA	ENSFALG00000023321
chrN00001:clu_106_+	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	ENSFALG00000023321
chrN00001:clu_107_+	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	ENSFALG00000023321
chrN00001:clu_108_+	<=1 sample with coverage>0	NA	NA	NA	NA	ENSFALG00000012277
chrN00001:clu_109_+	<=1 sample with coverage>0	NA	NA	NA	NA	NA
chrN00001:clu_11_+	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	ENSFALG00000023706
chrN00001:clu_110_+	<=1 sample with coverage>0	NA	NA	NA	NA	NA
chrN00001:clu_111_+	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	ENSFALG00000012433
chrN00001:clu_112_+	Not enough valid samples	NA	NA	NA	NA	ENSFALG00000012433
chrN00001:clu_113_+	Success	0.178511233023329	1	0.550164549928514	0.802425421158853	ENSFALG00000012433
chrN00001:clu_114_+	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	ENSFALG00000012433
chrN00001:clu_115_+	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	ENSFALG00000012470
chrN00001:clu_116_+	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	ENSFALG00000012470
chrN00001:clu_117_+	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	ENSFALG00000012470
chrN00001:clu_118_+	<=1 sample with coverage>0	NA	NA	NA	NA	NA
chrN00001:clu_119_+	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	ENSFALG00000012529
chrN00001:clu_12_+	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	ENSFALG00000023706
chrN00001:clu_120_+	Success	1.76845785768734	2	0.170595869182081	0.509311865941509	ENSFALG00000012529
chrN00001:clu_121_+	Not enough valid samples	NA	NA	NA	NA	ENSFALG00000012529
chrN00001:clu_122_+	Success	0.223837577780444	2	0.799444971451542	0.925276752251779	ENSFALG00000012529
chrN00001:clu_123_+	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	ENSFALG00000012564
chrN00001:clu_124_+	Success	8.01351111674876	3	0.00111960995644366	0.0779848005881941	ENSFALG00000012564
chrN00001:clu_125_+	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	ENSFALG00000012564
chrN00001:clu_126_+	Success	1.18665908441483	1	0.123424458378112	0.451554854493539	ENSFALG00000012564
chrN00001:clu_127_+	Success	3.12288121369369	2	0.0440301252884585	0.323089522406281	ENSFALG00000012564
chrN00001:clu_128_+	Success	7.34580744183623	2	0.00064529212170058	0.062046240310471	ENSFALG00000012564
chrN00001:clu_129_+	Success	0.903454597071295	1	0.178879446314978	0.522405936646517	ENSFALG00000012593
